likehood |Likelihood. [Obs.] South.
likelihood |1. Appearance; show; sign; expression. [Obs.] What of his heart perceive you in his face By any likelihood he showed to-day Shak. 2. Likeness; resemblance. [Obs.] There is no likelihood between pure light and black darkness, or between righteousness and reprobation. Sir W. Raleigh. 3. Appearance of truth or reality; probability; verisimilitude. Tennyson.
likeliness |1. Likelihood; probability. 2. Suitableness; agreeableness. [Obs.]
likely |1. Worthy of belief; probable; credible; as, a likely story. It seems likely that he was in hope of being busy and conspicuous. Johnson. 2. Having probability; having or giving reason to expect; -- followed by the infinitive; as, it is likely to rain. 3. Similar; like; alike. [Obs.] Spenser. 4. Such as suits; good-looking; pleasing; agreeable; handsome. Shak. Milton. 5. Having such qualities as make success probable; well adapted to the place; promising; as, a likely young man; a likely servant.\n\nIn all probability; probably. While man was innocent he was likely ignorant of nothing that imported him to know. Glanvill.
liken |1. To allege, or think, to be like; to represent as like; to compare; as, to liken life to a pilgrimage. Whosoever heareth these sayings of mine, and doeth them, I will liken him unto a wise man which built his house upon a rock. Matt. vii. 24. 2. To make or cause to be like. [R.] Brougham.
likeness |1. The state or quality of being like; similitude; resemblance; similarity; as, the likeness of the one to the other is remarkable. 2. Appearance or form; guise. An enemy in the likeness of a friend. L'Estrange. 3. That which closely resembles; a portrait. [How he looked] the likenesses of him which still remain enable us to imagine. Macaulay. 4. A comparison; parable; proverb. [Obs.] He said to them, Soothly ye shall say to me this likeness, Leech, heal thyself. Wyclif (Luke iv. 23). Syn. -- Similarity; parallel; similitude; representation; portrait; effigy.
likerous |See Lickerish, Lickerishness. Chaucer.
likerousness |See Lickerish, Lickerishness. Chaucer.
likewise |In like manner; also; moreover; too. See Also. Go, and do thou likewise. Luke x. 37. For he seeth that wise men die; likewise the fool and the brutish person perish. Ps. xlix. 10.
likin |A Chinese provincial tax levied at many inland stations upon imports or articles in transit. \"Likin,\" which used to be regarded as illegal, as one of the many, \"squeezes\" imposed by the mandarins, is, in Jamieson's opinion, just as legal as any other form of taxation. A. R. Colquhoun.
liking |Looking; appearing; as, better or worse liking. See Like, to look. [Obs.] Chaucer. Why should he see your faces worse liking than the children which are of your sort Dan. i. 10.\n\n1. The state of being pleasing; a suiting. See On liking, below. [Obs. or Prov. End.] 2. The state of being pleased with, or attracted toward, some thing or person; hence, inclination; desire; pleasure; preference; -- often with for, formerly with to; as, it is an amusement I have no liking for. If the human intellect hath once taken a liking to any doctrine, . . . it draws everything else into harmony with that doctrine, and to its support. Bacon. 3. Appearance; look; figure; state of body as to health or condition. [Archaic] I shall think the worse of fat men, as long as I have an eye to make difference of men's liking. Shak. Their young ones are in good liking. Job. xxxix. 4. On liking, on condition of being pleasing to or suiting; also, on condition of being pleased with; as, to hold a place of service on liking; to engage a servant on liking. [Obs. or Prov. Eng.] Would he be the degenerate scion of that royal line . . . to be a king on liking and on sufferance Hazlitt.
