loather |One who loathes.
loathful |1. Full of loathing; hating; abhorring. \"Loathful eyes.\" Spenser. 2. Causing a feeling of loathing; disgusting. Above the reach of loathful, sinful lust. Spenser.
loathing |Extreme disgust; a feeling of aversion, nausea, abhorrence, or detestation. The mutual fear and loathing of the hostile races. Macaulay.
loathingly |With loathing.
loathliness |Loathsomeness. [Obs.]
loathly |Loathsome. [Obs.] \" Loathly mouth.\" Spenser.\n\n1. Unwillingly; reluctantly. This shows that you from nature loathly stray. Donne. 2. ( [Obs.] With dust and blood his locks were loathly dight. Fairfax.
loathness |Unwillingness; reluctance. A general silence and loathness to speak. Bacon.
loathsome |Fitted to cause loathing; exciting disgust; disgusting. The most loathsome and deadly forms of infection. Macaulay. -- Loath\"some*ly. adv. -- Loath\"some*ness, n.
loathy |Loathsome. [Obs.] Spenser.
loaves |pl. of Loaf.
lob |1. A dull, heavy person. \" Country lobs.\" Gauden. 2. Something thick and heavy.\n\nTo let fall heavily or lazily. And their poor jades Lob down their heads. Shak. To lob a ball (Lawn Tennis), to strike a ball so as to send it up into the air.\n\nSee Cob, v. t.\n\nThe European pollock.
lobar |Of or pertaining to a lobe; characterized by, or like, a lobe or lobes.
lobate |1. (Bot.)  Consisting of, or having, lobes; lobed; as, a lobate leaf. 2. (Zoöl.) (a) Having lobes; -- said of the tails of certain fishes having the integument continued to the bases of the fin rays. (b) Furnished with membranous flaps, as the toes of a coot. See Illust. (m) under Aves.
lobated |1. (Bot.)  Consisting of, or having, lobes; lobed; as, a lobate leaf. 2. (Zoöl.) (a) Having lobes; -- said of the tails of certain fishes having the integument continued to the bases of the fin rays. (b) Furnished with membranous flaps, as the toes of a coot. See Illust. (m) under Aves.
lobately |As a lobe; so as to make a lobe; in a lobate manner.
lobbish |Like a lob; consisting of lobs. Sir. P. Sidney.
lobby |1. (Arch.)  A passage or hall of communication, especially when large enough to serve also as a waiting room. It differs from an antechamber in that a lobby communicates between several rooms, an antechamber to one only; but this distinction is not carefully preserved. 2. That part of a hall of legislation not appropriated to the official use of the assembly; hence, the persons, collectively, who frequent such a place to transact business with the legislators; any persons, not members of a legislative body, who strive to influence its proceedings by personal agency. [U.S.] 3. (Naut.)  An apartment or passageway in the fore part of an old-fashioned cabin under the quarter-deck. 4. (Agric.)  A confined place for cattle, formed by hedges. trees, or other fencing, near the farmyard. Lobby member, a lobbyist. [Humorous cant, U. S.]\n\nTo address or solicit members of a legislative body in the lobby or elsewhere, with the purpose to influence their votes.[U.S.] Bartlett.\n\nTo urge the adoption or passage of by soliciting members of a legislative body; as, to lobby a bill. [U.S.]
lobbyist |A member of the lobby; a person who solicits members of a legislature for the purpose of influencing legislation. [U.S.]
lobcock |A dull, sluggish person; a lubber; a lob. [Low]
lobe |Any projection or division, especially one of a somewhat rounded form; as: (a) (Bot.) A rounded projection or division of a leaf. Gray. (b)(Zoöl.)  A membranous flap on the sides of the toes of certain birds, as the coot. (c) (Anat.) A round projecting part of an organ, as of the liver, lungs, brain, etc. See Illust. of Brain. (b) (Mach.) The projecting part of a cam wheel or of a non-circular gear wheel. Lobe of the ear, the soft, fleshy prominence in which the human ear terminates below. See. Illust. of Ear.
lobe-footed |Lobiped.
lobed |Having lobes; lobate.
lobefoot |A bird having lobate toes; esp., a phalarope.
lobelet |A small lobe; a lobule.
lobelia |A genus of plants, including a great number of species. Lobelia inflata, or Indian tobacco, is an annual plant of North America, whose leaves contain a poisonous white viscid juice, of an acrid taste. It has often been used in medicine as an emetic, expectorant, etc. L. cardinalis is the cardinal flower, remarkable for the deep and vivid red color of its flowers.
lobeliaceous |Of or pertaining to a natural order of plants of which the genus Lobelia is the type.
lobelin |A yellowish green resin from Lobelia, used as an emetic and diaphoretic.
lobeline |A poisonous narcotic alkaloid extracted from the leaves of Indian tobacco (Lobelia inflata) as a yellow oil, having a tobaccolike taste and odor.
lobiped |Having lobate toes, as a coot.
loblolly |Gruel; porridge; -- so called among seamen. Loblolly bay (Bot.), an elegant white-flowered evergreen shrub or small tree, of the genus Gordonia (G. Lasianthus), growing in the maritime parts of the Southern United States. Its bark is sometimes used in tanning. Also, a similar West Indian tree (Laplacea hæmatoxylon). -- Loblolly boy, a surgeon's attendant on shipboard. Smollett. -- Loblolly pine (Bot.), a kind of pitch pine found from Delaware southward along the coast; old field pine (Pinus Tæda). Also, P. Bahamensis, of the West Indies. -- Loblolly tree (Bot.), a name of several West Indian trees, having more or less leathery foliage, but alike in no other respect; as Pisonia subcordata, Cordia alba, and Cupania glabra.
lobosa |An order of Rhizopoda, in which the pseudopodia are thick and irregular in form, as in the Amoeba.
lobscouse |A combination of meat with vegetables, bread, etc., usually stewed, sometimes baked; an olio.
lobsided |See Lopsided.
lobspound |A prison. [Obs.] Hudibras.
lobster |Any large macrurous crustacean used as food, esp. those of the genus Homarus; as the American lobster (H. Americanus), and the European lobster (H. vulgaris). The Norwegian lobster (Nephrops Norvegicus) is similar in form. All these have a pair of large unequal claws. The spiny lobsters of more southern waters, belonging to Palinurus, Panulirus, and allied genera, have no large claws. The fresh-water crayfishes are sometimes called lobsters. Lobster caterpillar (Zoöl.), the caterpillar of a European bombycid moth (Stauropus fagi); -- so called from its form. Lobster louse (Zoöl.), a copepod crustacean (Nicothoë astaci) parasitic on the gills of the European lobster.
lobular |Like a lobule; pertaining to a lobule or lobules.
lobulate |Made up of, or divided into, lobules; as, a lobulated gland.
lobulated |Made up of, or divided into, lobules; as, a lobulated gland.
lobule |A small lobe; a subdivision of a lobe. Lobule of the ear. (Anat.) Same as Lobe of the ear.
lobulette |A little lobule, or subdivision of a lobule.
lobworm |The lugworm.
