maculature |, Blotting paper. [Obs.]
macule |1. A spot. [Obs.] 2. (Print.)  A blur, or an appearance of a double impression, as when the paper slips a little; a mackle.\n\nTo blur; especially (Print.), to blur or double an impression from type. See Mackle.
maculose |Of or pertaining to spots upon a surface; spotted; maculate.
mad |of Made. Chaucer.\n\n1. Disordered in intellect; crazy; insane. I have heard my grandsire say full oft, Extremity of griefs would make men mad. Shak. 2. Excited beyond self-control or the restraint of reason; inflamed by violent or uncontrollable desire, passion, or appetite; as, to be mad with terror, lust, or hatred; mad against political reform. It is the land of graven images, and they are mad upon their idols. Jer. 1. 88. And being exceedingly mad against them, I persecuted them even unto strange cities. Acts xxvi. 11. 3. Proceeding from, or indicating, madness; expressing distraction; prompted by infatuation, fury, or extreme rashness. \"Mad demeanor.\" Milton. Mad wars destroy in one year the works of many years of peace. Franklin. The mad promise of Cleon was fulfilled. Jowett (Thucyd.). 4. Extravagant; immoderate. \"Be mad and merry.\" Shak. \"Fetching mad bounds.\" Shak. 5. Furious with rage, terror, or disease; -- said of the lower animals; as, a mad bull; esp., having hydrophobia; rabid; as, a mad dog. 6. Angry; out of patience; vexed; as, to get mad at a person. [Colloq.] 7. Having impaired polarity; -- applied to a compass needle. [Colloq.] Like mad, like a mad person; in a furious manner; as, to run like mad. L'Estrange. -- To run mad. (a) To become wild with excitement. (b) To run wildly about under the influence of hydrophobia; to become affected with hydrophobia. -- To run mad after, to pursue under the influence of infatuation or immoderate desire. \"The world is running mad after farce.\" Dryden.\n\nTo make mad or furious; to madden. Had I but seen thy picture in this plight, It would have madded me. Shak.\n\nTo be mad; to go mad; to rave. See Madding. [Archaic] Chaucer. Festus said with great voice, Paul thou maddest. Wyclif (Acts).\n\nAn earthworm. [Written also made.]
mad-apple |See Eggplant.
mad-headed |Wild; crack-brained.
madam |A gentlewoman; -- an appellation or courteous form of address given to a lady, especially an elderly or a married lady; -- much used in the address, at the beginning of a letter, to a woman. The corresponding word in addressing a man is Sir.
madame |My lady; -- a French title formerly given to ladies of quality; now, in France, given to all married women. Chaucer.
madbrain |Hot-headed; rash. Shak. -- n.  A rash or hot-headed person.
madbrained |Disordered in mind; hot-headed. Shak.
madcap |1. Inclined to wild sports; delighting in rash, absurd, or dangerous amusements. \"The merry madcap  lord.\" Shak. 2. Wild; reckless. \"Madcap follies\" Beau. & Fl.\n\nA person of wild behavior; an excitable, rash, violent person. Shak.
madden |To make mad; to drive to madness; to craze; to excite violently with passion; to make very angry; to enrage.\n\nTo become mad; to act as if mad. They rave, recite, and madden round the land. Pope.
madder |A plant of the Rubia (R. tinctorum). The root is much used in dyeing red, and formerly was used in medicine. It is cultivated in France and Holland. See Rubiaceous. Note: Madder is sometimes used in forming pigments, as lakes, etc., which receive their names from their colors; as. madder yellow. Field madder, an annual European weed (Sherardia arvensis) resembling madder. -- Indian madder , the East Indian Rubia cordifolia, used in the East for dyeing; -- called also munjeet. -- Wild madder, Rubia peregrina of Europe; also the Galium Mollugo, a kind of bedstraw.
madderwort |A name proposed for any plant of the same natural order (Rubiaceæ) as the madder.
madding |Affected with madness; raging; furious. -- Mad\"ding*ly, adv. [Archaic] Far from the madding crowd's ignoble strife. Gray. The madding wheels Of brazen chariots raged. Milton.
maddish |Somewhat mad. Beau. & Fl.
made |See Mad, n.\n\nof Make.\n\nArtificially produced; pieced together; formed by filling in; as, made ground; a made mast, in distinction from one consisting of a single spar. Made up. (a) Complete; perfect. \"A made up villain.\" Shak. (b) Falsely devised; fabricated; as, a made up story. (c) Artificial; as, a made up figure or complexion.
madecass |A native or inhabitant of Madagascar, or Madecassee; the language of the natives of Madagascar. See Malagasy.
madecassee |A native or inhabitant of Madagascar, or Madecassee; the language of the natives of Madagascar. See Malagasy.\n\nOf or pertaining to Madagascar or its inhabitants.
madefaction |The act of madefying, or making wet; the state of that which is made wet. [R.] Bacon.
madefication |The act of madefying, or making wet; the state of that which is made wet. [R.] Bacon.
madefy |To make wet or moist. [R.]
madegassy |See Madecassee.
madeira |A rich wine made on the Island of Madeira. A cup of Madeira, and a cold capon's leg. Shak. Madeira nut (Bot.), the European walnut; the nut of the Juglans regia.
madeira vine |A herbaceous climbing vine (Boussingaultia baselloides) very popular in cultivation, having shining entire leaves and racemes of small fragrant white flowers.
madeira wood |(a) The mahogany tree (Swietenia Mahogoni). (b) A West Indian leguminous tree (Lysiloma Latisiliqua) the wood of which is used for boat trimming.
mademoiselle |1. A French title of courtesy given to a girl or an unmarried lady, equivalent to the English Miss. Goldsmith. 2. (Zoöl.)  A marine food fish (Sciæna chrysura), of the Southern United States; -- called also yellowtail, and silver perch.
madge |(a) The barn owl. (b) The magpie.
madhouse |A house where insane persons are confined; an insane asylum; a bedlam.
madia |A genus of composite plants, of which one species (Madia sativa) is cultivated for the oil yielded from its seeds by pressure. This oil is sometimes used instead of olive oil for the table.
madid |Wet; moist; as, a madid eye. [R.] Beaconsfield.
madisterium |An instrument to extract hairs.
madjoun |An intoxicating confection from the hemp plant; -- used by the Turks and Hindoos. [Written also majoun.]
madly |In a mad manner; without reason or understanding; wildly.
madman |A man who is mad; lunatic; a crazy person. When a man mistakes his thoughts for person and things, he is mad. A madman is properly so defined. Coleridge.
madnep |The masterwort (Peucedanum Ostruthium).
madness |1. The condition of being mad; insanity; lunacy. 2. Frenzy; ungovernable rage; extreme folly. Syn. -- Insanity; distraction; derangement; craziness; lunacy; mania; frenzy; franticness; rage; aberration; alienation; monomania. See Insanity.
madonna |1. My lady; -- a term of address in Italian formerly used as the equivalent of Madame, but for which Signora is now substituted. Sometimes introduced into English. Shak. 2. [pl. Madonnas (naz).]  A picture of the Virgin Mary (usually with the babe). The Italian painters are noted for drawing the Madonnas by their own wives or mistresses. Rymer.
madoqua |A small Abyssinian antelope (Neotragus Saltiana), about the size of a hare.
madrague |A large fish pound used for the capture of the tunny in the Mediterranean; also applied to the seines used for the same purpose.
madras |A large silk-and-cotton kerchief, usually of bright colors, such as those often used by negroes for turbans. A black woman in blue cotton gown, red-and-yellow madras turban . . . crouched against the wall. G. W. Cable.
madreperl |Mother-of-pearl.
madrepora |A genus of reef corals abundant in tropical seas. It includes than one hundred and fifty species, most of which are elegantly branched. -- Mad`re*po\"ral, a.
madreporaria |An extensive division of Anthozoa, including most of the species that produce stony corals. See Illust. of Anthozoa. -- Mad`re*po*ra\"ri*an, a. & n.
madrepore |Any coral of the genus Madrepora; formerly, often applied to any stony coral.
madreporian |Resembling, or pertaining to, the genus Madrepora. Madreporic plate (Zoöl.), a perforated plate in echinoderms, through which water is admitted to the ambulacral tubes; -- called also madreporic tubercule.
madreporic |Resembling, or pertaining to, the genus Madrepora. Madreporic plate (Zoöl.), a perforated plate in echinoderms, through which water is admitted to the ambulacral tubes; -- called also madreporic tubercule.
madreporiform |Resembling a madreporian coral in form or structure.
madreporite |1. (Paleon.)  A fossil coral. 2. (Zoöl.)  The madreporic plate of echinoderms.
madrier |A thick plank, used for several mechanical purposes; especially: (a) A plank to receive the mouth of a petard, with which it is applied to anything intended to be broken down. (b) A plank or beam used for supporting the earth in mines or fortifications.
madrigal |1. A little amorous poem, sometimes called a pastoral poem, containing some tender and delicate, though simple, thought. Whose artful strains have oft delayed The huddling brook to hear his madrigal. Milton. 2. (Mus.)  An unaccompanied polyphonic song, in four, five, or more parts, set to secular words, but full of counterpoint and imitation, and adhering to the old church modes. Unlike the freer glee, it is best sung with several voices on a part. See Glee.
madrigaler |A madrigalist.
madrigalist |A composer of madrigals.
madrilenian |Of or pertaining to Madrid in Spain, or to its inhabitants. -- n.  A native or inhabitant of Madrid.
madrina |An animal (usually an old mare), wearing a bell and acting as the leader of a troop of pack mules. [S. America]
madro |A small evergreen tree or shrub (Arbutus Menziesii), of California, having a smooth bark, thick shining leaves, and edible red berries, which are often called madroña apples. [Written also madroño.]
madrona |A small evergreen tree or shrub (Arbutus Menziesii), of California, having a smooth bark, thick shining leaves, and edible red berries, which are often called madroña apples. [Written also madroño.]
madronya |A small evergreen tree or shrub (Arbutus Menziesii), of California, having a smooth bark, thick shining leaves, and edible red berries, which are often called madroña apples. [Written also madroño.]
madwort |A genus of cruciferous plants (Alyssum) with white or yellow flowers and rounded pods. A. maritimum is the commonly cultivated sweet alyssum, a fragrant white-flowered annual.
maegbote |Compensation for the injury done by slaying a kinsman. Spelman.
maelstrom |1. A celebrated whirlpool on the coast of Norway. 2. Also Fig. ; as, a maelstrom of vice.
maenad |1. A Bacchante; a priestess or votary of Bacchus. 2. A frantic or frenzied woman.
maestoso |Majestic or majestically; -- a direction to perform a passage or piece of music in a dignified manner.
maestricht monitor |The Mosasaurus Hofmanni. See Mosasaurus.
maestro |A master in any art, especially in music; a composer.
maffia |A secret society which organized in Sicily as a political organization, but is now widespread among Italians, and is used to further or protect private interests, reputedly by illegal methods.
maffioso |A member of the maffia.
maffle |To stammer. [Obs.]
maffler |A stammerer. [Obs.]
mafia |A secret society which organized in Sicily as a political organization, but is now widespread among Italians, and is used to further or protect private interests, reputedly by illegal methods.
mafioso |A member of the maffia.
magazine |1. A receptacle in which anything is stored, especially military stores, as ammunition, arms, provisions, etc. \"Armories and magazines.\" Milton. 2. The building or room in which the supply of powder is kept in a fortification or a ship. 3. A chamber in a gun for holding a number of cartridges to be fed automatically to the piece. 4. A pamphlet published periodically containing miscellaneous papers or compositions. Magazine dress, clothing made chiefly of woolen, without anything metallic about it, to be worn in a powder magazine. -- Magazine gun, a portable firearm, as a rifle, with a chamber carrying cartridges which are brought automatically into position for firing. -- Magazine stove, a stove having a chamber for holding fuel which is supplied to the fire by some self-feeding process, as in the common base-burner.\n\nTo store in, or as in, a magazine; to store up for use.
magazine camera |A camera in which a number of plates can be exposed without reloading.
magaziner |One who edits or writes for a magazine. [R.] Goldsmith.
magazining |The act of editing, or writing for, a magazine. [Colloq.] Byron.
magazinist |One who edits or writes for a magazine. [R.]
magbote |Compensation for the injury done by slaying a kinsman. Spelman.\n\nSee Mægbote.
magdala |Designating an orange-red dyestuff obtained from naphthylamine, and called magdala red, naphthalene red, etc.
magdalen |A reformed prostitute.
magdaleon |A medicine in the form of a roll, a esp. a roll of plaster.
magdeburg |A city of Saxony. Magdeburg centuries, Magdeburg hemispheres. See under Century, and Hemisphere.
mage |A magician. [Archaic] Spenser. Tennyson.
magellanic |Of or pertaining to, or named from, Magellan, the navigator. Magellenic clouds (Astron.), three conspicuous nebulæ near the south pole, resembling thin white clouds.
magenta |An aniline dye obtained as an amorphous substance having a green bronze surface color, which dissolves to a shade of red; also, the color; -- so called from Magenta, in Italy, in allusion to the battle fought there about the time the dye was discovered. Called also fuchsine, roseïne, etc.
magged |Worn; fretted; as, a magged brace. Ham. Nav. Encyc.
maggiore |Greater, in respect to scales, intervals, etc., when used in opposition to minor; major. Moore (Encyc. of Music).
maggot |1. (Zoöl.)  The footless larva of any fly. See Larval. 2. A whim; an odd fancy. Hudibras. Tennyson.
maggot-pie |A magpie. [Obs.] Shak.
maggotiness |State of being maggoty.
maggotish |Full of whims or fancies; maggoty.
maggoty |1. Infested with maggots. 2. Full of whims; capricious. Norris.
maghet |A name for daisies and camomiles of several kinds.
