mameluco |A child born of a white father and Indian mother. [S. Amer.]
mameluke |One of a body of mounted soldiers recruited from slaves converted to Mohammedanism, who, during several centuries, had more or less control of the government of Egypt, until exterminated or dispersed by Mehemet Ali in 1811.
mamillated |See Mammillated.
mamma |Mother; -- word of tenderness and familiarity. [Written also mama.] Tell tales papa and mamma. Swift.\n\nA glandular organ for secreting milk, characteristic of all mammals, but usually rudimentary in the male; a mammary gland; a breast; under; bag.
mammal |One of the Mammalia. Age of mammals. See under Age, n., 8.
mammalia |The highest class of Vertebrata. The young are nourished for a time by milk, or an analogous fluid, secreted by the mammary glands of the mother. Note: Mammalia are divided into threes subclasses; --I. Placentalia. This subclass embraces all the higher orders, including man. In these the fetus is attached to the uterus by a placenta. II. Marsupialia. In these no placenta is formed, and the young, which are born at an early state of development, are carried for a time attached to the teats, and usually protected by a marsupial pouch. The opossum, kangaroo, wombat, and koala are examples. III. Monotremata. In this group, which includes the genera Echidna and Ornithorhynchus, the female lays large eggs resembling those of a bird or lizard, and the young, which are hatched like those of birds, are nourished by a watery secretion from the imperfectly developed mammæ.
mammalian |Of or pertaining to the Mammalia or mammals.
mammaliferous |Containing mammalian remains; -- said of certain strata.
mammalogical |Of or pertaining to mammalogy.
mammalogist |One versed in mammalogy.
mammalogy |The science which relates to mammals or the Mammalia. See Mammalia.
mammary |Of or pertaining to the mammæ or breasts; as, the mammary arteries and veins.
mammee |A fruit tree of tropical America, belonging to the genus Mammea (M. Americana); also, its fruit. The latter is large, covered with a thick, tough ring, and contains a bright yellow pulp of a pleasant taste and fragrant scent. It is often called mammee apple.
mammer |To hesitate; to mutter doubtfully. [Obs.]
mammet |An idol; a puppet; a doll. [Obs.] Selden. Shak.
mammetry |See Mawmetry. [Obs.]
mammifer |A mammal. See Mammalia.
mammiferous |Having breasts; of, pertaining to, or derived from, the Mammalia.
mammiform |Having the form of a mamma (breast) or mammæ.
mammilla |The nipple.
mammillary |1. Of or pertaining to the mammilla, or nipple, or to the breast; resembling a mammilla; mammilloid. 2. (Min.)  Composed of convex convex concretions, somewhat resembling the breasts in form; studded with small mammiform protuberances.
mammillate |1. Having small nipples, or small protuberances like nipples or mammæ. 2. (Zoöl.)  Bounded like a nipple; -- said of the apex of some shells.
mammillated |1. Having small nipples, or small protuberances like nipples or mammæ. 2. (Zoöl.)  Bounded like a nipple; -- said of the apex of some shells.
mammilliform |Having the form of a mammilla.
mammilloid |Like a mammilla or nipple; mammilliform.
mammock |A shapeless piece; a fragment. [Obs.]\n\nTo tear to pieces. [Obs.] Milton.
mammodis |Coarse plain India muslins.
mammology |Mastology. See Mammalogy.
mammon |Riches; wealth; the god of riches; riches, personified. Ye can not serve God and Mammon. Matt. vi. 24.
mammonish |Actuated or prompted by a devotion to money getting or the service of Mammon. Carlyle.
mammonism |Devotion to the pursuit of wealth; worldliness. Carlyle.
mammonist |A mammonite.
mammonite |One devoted to the acquisition of wealth or the service of Mammon. C. Kingsley.
mammonization |The process of making mammonish; the state of being under the influence of mammonism.
mammonize |To make mammonish.
mammose |Having the form of the breast; breast-shaped.
mammoth |An extinct, hairy, maned elephant (Elephas primigenius), of enormous size, remains of which are found in the northern parts of both continents. The last of the race, in Europe, were coeval with prehistoric man. Note: Several specimens have been found in Siberia preserved entire, with the flesh and hair remaining. They were imbedded in the ice cliffs at a remote period, and became exposed by the melting of the ice.\n\nResembling the mammoth in size; very large; gigantic; as, a mammoth ox.
mammothrept |A child brought up by its grandmother; a spoiled child. [R.] O, you are a more mammothrept in judgment. B. Jonson.
mammy |A child's name for mamma, mother.
mamzer |A person born of relations between whom marriage was forbidden by the Mosaic law; a bastard. Deut. xxiii. 2 (Douay version).
