marplot |One who, by his officious
marque |A license to pass the limits of a jurisdiction, or boundary of a country, for the purpose of making reprisals. Letters of marque, Letters of marque and reprisal, a license or extraordinary commission granted by a government to a private person to fit out a privateer or armed ship to cruise at sea and make prize of the enemy's ships and merchandise. The ship so commissioned is sometimes called a letter of marque.
marquee |A large field tent; esp., one adapted to the use of an officer of high rank. [Written also markee.]
marquess |A marquis. Lady marquess, a marchioness. [Obs.] Shak.
marquetry |Inlaid work; work inlaid with pieces of wood, shells, ivory, and the like, of several colors.
marquis |A nobleman in England, France, and Germany, of a rank next below that of duke. Originally, the marquis was an officer whose duty was to guard the marches or frontiers of the kingdom. The office has ceased, and the name is now a mere title conferred by patent.
marquisate |The seigniory, dignity, or lordship of a marquis; the territory governed by a marquis.
marquisdom |A marquisate. [Obs.] \"Nobles of the marquisdom of Saluce.\" Holinshed.
marquise |The wife of a marquis; a marchioness.
marquisship |A marquisate.
marram |A coarse grass found on sandy beaches (Ammophila arundinacea). See Beach grass, under Beach.
marrer |One who mars or injures.
marriable |Marriageable. [R.] Coleridge.
marriage |1. The act of marrying, or the state of being married; legal union of a man and a woman for life, as husband and wife; wedlock; matrimony. Marriage is honorable in all. Heb. xiii. 4. 2. The marriage vow or contract. [Obs.] Chaucer. 3. A feast made on the occasion of a marriage. The kingdom of heaven is like unto a certain king which made a marriage for his son. Matt. xxii. 2. 4. Any intimate or close union. Marriage brokage. (a) The business of bringing about marriages. (b) The payment made or demanded for the procurement of a marriage. -- Marriage favors, knots of white ribbons, or bunches of white flowers, worn at weddings. -- Marriage settlement (Law), a settlement of property in view, and in consideration, of marriage. Syn. -- Matrimony; wedlock; wedding; nuptials. -- Marriage, Matrimony, Wedlock. Marriage is properly the act which unites the two parties, and matrimony the state into which they enter. Marriage is, however, often used for the state as well as the act. Wedlock is the old Anglo-Saxon term for matrimony.
marriageability |The quality or state of being marriageable.
marriageable |Fit for, or capable of, marriage; of an age at which marriage is allowable. -- Mar\"riage*a*ble*ness, n.
married |1. Being in the state of matrimony; wedded; as, a married man or woman. 2. Of or pertaining to marriage; connubial; as, the married state.
marrier |One who marries.
marron |1. A large chestnut. [Obs.] Holland. 2. A chestnut color; maroon. 3. (Pyrotechny & Mil.)  A paper or pasteboard box or shell, wound about with strong twine, filled with an explosive, and ignited with a fuse, -- used to make a noise like a cannon. [Written also maroon.]
marroon |Same as 1st Maroon.
marrot |(a) The razor-billed auk. See Auk. (b) The common guillemot. (c) The puffin. [Prov. Eng.] [Written also marrott, and morrot.]
marrow |1. (Anat.)  The tissue which fills the cavities of most bones; the medulla. In the larger cavities it is commonly very fatty, but in the smaller cavities it is much less fatty, and red or reddish in color. 2. The essence; the best part. It takes from our achievements . . . The pith and marrow of our attribute. Shak. 3. Etym: [OE. maru, maro; -- perh. a different word; cf. Gael. maraon together.]  One of a pair; a match; a companion; an intimate associate. [Scot.] Chopping and changing I can not commend, With thief or his marrow, for fear of ill end. Tusser. Marrow squash (Bot.), a name given to several varieties of squash, esp. to the Boston marrow, an ovoid fruit, pointed at both ends, and with reddish yellow flesh, and to the vegetable marrow, a variety of an ovoid form, and having a soft texture and fine grain resembling marrow. -- Spinal marrow. (Anat.) See Spinal cord, under Spinal.\n\nTo fill with, or as with, marrow of fat; to glut.
marrowbone |A bone containing marrow; pl. ludicrously, knee bones or knees; as, to get down on one's marrowbones, i. e., to kneel.
marrowfat |A rich but late variety of pea.
marrowish |Of the nature of, or like, marrow.
marrowless |Destitute of marrow.
marrowy |Full of marrow; pithy.
marrubium |A genus of bitter aromatic plants, sometimes used in medicine; hoarhound.
marry |1. To unite in wedlock or matrimony; to perform the ceremony of joining, as a man and a woman, for life; to constitute (a man and a woman) husband and wife according to the laws or customs of the place. Tell him that he shall marry the couple himself. Gay. 2. To join according to law, (a man) to a woman as his wife, or (a woman) to a man as her husband. See the Note to def. 4. A woman who had been married to her twenty-fifth husband, and being now a widow, was prohibited to marry. Evelyn. 3. To dispose of in wedlock; to give away as wife. Mæcenas took the liberty to tell him [Augustus] that he must either marry his daughter [Julia] to Agrippa, or take away his life. Bacon. 4. To take for husband or wife. See the Note below. Note: We say, a man is married to or marries a woman; or, a woman is married to or marries a man. Both of these uses are equally well authorized; but given in marriage is said only of the woman. They got him [the Duke of Monmouth] . . . to declare in writing, that the last king [Charles II.] told him he was never married to his mother. Bp. Lloyd. 5. Figuratively, to unite in the closest and most endearing relation. Turn, O backsliding children, saith the Lord; for I am married unto you. Jer. iii. 14. To marry ropes. (Naut.) (a) To place two ropes along side of each other so that they may be grasped and hauled on at the same time. (b) To join two ropes end to end so that both will pass through a block. Ham. Nav. Encyc.\n\nTo enter into the conjugal or connubial state; to take a husband or a wife. I will, therefore, that the younger women marry. 1 Tim. v. 14. Marrrying man, a man disposed to marry. [Colloq.]\n\nIndeed ! in truth ! -- a term of asseveration said to have been derived from the practice of swearing by the Virgin Mary. [Obs.] Shak.
mars |1. (Rom. Myth.)  The god of war and husbandry. 2. (Astron.)  One of the planets of the solar system, the fourth in order from the sun, or the next beyond the earth, having a diameter of about 4,200 miles, a period of 687 days, and a mean distance of 141,000,000 miles. It is conspicuous for the redness of its light. 3. (Alchemy)  The metallic element iron, the symbol of which was the same as that of the planet Mars. [Archaic] Chaucer. Mars brown, a bright, somewhat yellowish, brown.
marsala |A kind of wine exported from Marsala in Sicily.
marsdenia |A genus of plants of the Milkweed family, mostly woody climbers with fragrant flowers, several species of which furnish valuable fiber, and one species (Marsdenia tinctoria) affords indigo.
marsebanker |The menhaden.
marseillais |Of or pertaining to Marseilles, in France, or to its inhabitants. Marseillaise hymn, or The Marseillaise, the national anthem of France, popularly so called. It was composed in 1792, by Rouget de l'Isle, an officer then stationed at Strasburg. In Paris it was sung for the first time by the band of men who came from Marseilles to aid in the revolution of August 10, 1792; whence the name.\n\nA native or inhabitant of Marseilles.
marseillaise |Of or pertaining to Marseilles, in France, or to its inhabitants. Marseillaise hymn, or The Marseillaise, the national anthem of France, popularly so called. It was composed in 1792, by Rouget de l'Isle, an officer then stationed at Strasburg. In Paris it was sung for the first time by the band of men who came from Marseilles to aid in the revolution of August 10, 1792; whence the name.\n\nA native or inhabitant of Marseilles.
marseilles |A general term for certain kinds of fabrics, which are formed of two series of threads interlacing each other, thus forming double cloth, quilted in the loom; -- so named because first made in Marseilles, France.
