mebles |See Moebles. [Obs.]
mecate |A rope of hair or of maguey fiber, for tying horses, etc. [Southwestern U. S.]
meccawee |Of or pertaining to Mecca, in Arabia. -- n.  A native or inhabitant of Mecca.
mechanic |1. The art of the application of the laws of motion or force to construction. [Obs.] 2. A mechanician; an artisan; an artificer; one who practices any mechanic art; one skilled or employed in shaping and uniting materials, as wood, metal, etc., into any kind of structure, machine, or other object, requiring the use of tools, or instruments. An art quite lost with our mechanics. Sir T. Browne.\n\n1. Having to do woth the application of the laws of motion in the art of constructing or making things; of or pertaining to mechanics; mechanical; as, the mechanic arts. \"These mechanic philosophers.\" Ray. Mechanic slaves, With greasy aprons, rules, and hammers. Shak. 2. Of or pertaining to a mechanic or artificer, or to the class of artisans; hence, rude; common; vulgar. To make a god, a hero, or a king Descend to a mechanic dialect. Roscommon. Sometimes he ply'd the strong, mechanic tool. Thomson. 3. Base. [Obs.] Whitlock.
mechanical |1. Pertaining to, governed by, or in accordance with, mechanics, or the laws of motion; pertaining to the quantitative relations of force and matter, as distinguished from mental, vital, chemical, etc.; as, mechanical principles; a mechanical theory; mechanical deposits. 2. Of or pertaining to a machine or to machinery or tools; made or formed by a machine or with tools; as, mechanical precision; mechanical products. We have also divers mechanical arts. Bacon. 3. Done as if by a machine; uninfluenced by will or emotion; proceeding automatically, or by habit, without special intention or reflection; as, mechanical singing; mechanical verses; mechanical service. 4. Made and operated by interaction of forces without a directing intelligence; as, a mechanical universe. 5. Obtained by trial, by measurements, etc.; approximate; empirical. See the 2d Note under Geometric. Mechanical effect, effective power; useful work exerted, as by a machine, in a definite time. -- Mechanical engineering. See the Note under Engineering. -- Mechanical maneuvers (Mil.), the application of mechanical appliances to the mounting, dismounting, and moving of artillery. Farrow. -- Mechanical philosophy, the principles of mechanics applied to the inverstigation of physical phenomena. -- Mechanical powers, certain simple instruments, such as the lever and its modifications (the wheel and axle and the pulley), the inclined plane with its modifications (the screw and the wedge), which convert a small force acting throught a great space into a great force acting through a small space, or vice versa, and are used separately or in combination. -- Mechanical solution (Math.), a solution of a problem by any art or contrivance not strictly geometrical, as by means of the ruler and compasses, or other instruments.\n\nA mechanic. [Obs.] Shak.
mechanicalize |To cause to become mechanical.
mechanically |In a mechanical manner.
mechanicalness |The state or quality of being mechanical.
mechanician |One skilled in the theory or construction of machines; a machinist. Boyle.
mechanico-chemical |Pertaining to, connected with, or dependent upon, both mechanics and chemistry; -- said especially of those sciences which treat of such phenomena as seem to depend on the laws both of mechanics and chemistry, as electricity and magnetism.
mechanics |That science, or branch of applied mathematics, which treats of the action of forces on bodies. Note: That part of mechanics which considers the action of forces in producing rest or equilibrium is called statics; that which relates to such action in producing motion is called dynamics. The term mechanics includes the action of forces on all bodies, whether solid, liquid, or gaseous. It is sometimes, however, and formerly was often, used distinctively of solid bodies only: The mechanics of liquid bodies is called also hydrostatics, or hydrodynamics, according as the laws of rest or of motion are considered. The mechanics of gaseous bodies is called also pneumatics. The mechanics of fluids in motion, with special reference to the methods of obtaining from them useful results, constitutes hydraulics. Animal mechanics (Physiol.), that portion of physiology which has for its object the investigation of the laws of equilibrium and motion in the animal body. The most important mechanical principle is that of the lever, the bones forming the arms of the levers, the contractile muscles the power, the joints the fulcra or points of support, while the weight of the body or of the individual limbs constitutes the weight or resistance. -- Applied mechanics, the principles of abstract mechanics applied to human art; also, the practical application of the laws of matter and motion to the construction of machines and structures of all kinds.
mechanism |1. The arrangement or relation of the parts of a machine; the parts of a machine, taken collectively; the arrangement or relation of the parts of anything as adapted to produce an effect; as, the mechanism of a watch; the mechanism of a sewing machine; the mechanism of a seed pod. 2. Mechanical operation or action. He acknowledges nothing besides matter and motion; so that all must be performed either by mechanism or accident. Bentley. 3. (Kinematics)  An ideal machine; a combination of movable bodies constituting a machine, but considered only with regard to relative movements.
mechanist |1. A maker of machines; one skilled in mechanics. 2. One who regards the phenomena of nature as the effects of forces merely mechanical.
mechanize |To cause to be mechanical. Shelley.
mechanograph |One of a number of copies of anything multiplied mechanically.
mechanographic |1. Treating of mechanics. [R.] 2. Written, copied, or recorded by machinery; produced by mechanography; as, a mechanographic record of changes of temperature; mechanographic prints.
mechanographist |An artist who, by mechanical means, multiplies copies of works of art.
mechanography |The art of mechanically multiplying copies of a writing, or any work of art.
mechanurgy |That branch of science which treats of moving machines.
mechitarist |One of a religious congregation of the Roman Catholic Church devoted to the improvement of Armenians.
mechlin |A kind of lace made at, or originating in, Mechlin, in Belgium.
mechoacan |A species of jalap, of very feeble properties, said to be obtained from the root of a species of Convolvulus (C. Mechoacan); -- so called from Michoacan, in Mexico, whence it is obtained.
meckelian |Pertaining to, or discovered by, J. F. Meckel, a German anatomist. Meckelian cartilage, the cartilaginous rod which forms the axis of the mandible; -- called also Meckel's cartilage.
meconate |A salt of meconic acid.
meconic |Pertaining to, or obtained from, the poppy or opium; specif. (Chem.), designating an acid related to aconitic acid, found in opium and extracted as a white crystalline substance.
meconidine |An alkaloid found in opium, and extracted as a yellow amorphous substance which is easily decomposed.
meconidium |A kind of gonophore produced by hydroids of the genus Gonothyræa. It has tentacles, and otherwise resembles a free medusa, but remains attached by a pedicel.
meconin |A substance regarded as an anhydride of meconinic acid, existing in opium and extracted as a white crystalline substance. Also erroneously called meconina, meconia, etc., as though it were an alkaloid.
meconinic |Pertaining to, or designating, an acid which occurs in opium, and which may be obtained by oxidizing narcotine.
meconium |(a) Opium. [Obs.] (b) The contents of the fetal intestine; hence, first excrement.
