mercership |The business of a mercer.
mercery |The trade of mercers; the goods in which a mercer deals.
merchand |To traffic. [Obs.] Bacon.
merchandisable |Such as can be used or transferred as merchandise.
merchandise |1. The objects of commerce; whatever is usually bought or sold in trade, or market, or by merchants; wares; goods; commodities. Spenser. 2. The act or business of trading; trade; traffic.\n\nTo trade; to carry on commerce. Bacon.\n\nTo make merchandise of; to buy and sell. \"Love is merchandised.\" Shak.
merchandiser |A trader. Bunyan.
merchandry |Trade; commerce. [Obs.] Bp. Sanderson.
merchant |1. One who traffics on a large scale, especially with foreign countries; a trafficker; a trader. Others, like merchants, venture trade abroad. Shak. 2. A trading vessel; a merchantman. [Obs.] Shak. 3. One who keeps a store or shop for the sale of goods; a shopkeeper. [U. S. & Scot.]\n\nOf, pertaining to, or employed in, trade or merchandise; as, the merchant service. Merchant bar, Merchant iron or steel, certain common sizes of wrought iron and steel bars. -- Merchant service, the mercantile marine of a country. Am. Cyc. -- Merchant ship, a ship employed in commerce. -- Merchant tailor, a tailor who keeps and sells materials for the garments which he makes.\n\nTo be a merchant; to trade. [Obs.]
merchantable |Fit for market; such as is usually sold in market, or such as will bring the ordinary price; as, merchantable wheat; sometimes, a technical designation for a particular kind or class.
merchantly |Merchantlike; suitable to the character or business of a merchant. [Obs.] Gauden.
merchantman |1. A merchant. [Obs.] Matt. xiii. 45. 2. A trading vessel; a ship employed in the transportation of goods, as, distinguished from a man-of-war.
merchantry |1. The body of merchants taken collectively; as, the merchantry of a country. 2. The business of a merchant; merchandise. Walpole.
merchet |In old English and in Scots law, a fine paid to the lord of the soil by a tenant upon the marriage of one the tenant's daughters.
merciable |Merciful. [Obs.]
merciful |1. Full of mercy; having or exercising mercy; disposed to pity and spare offenders; unwilling to punish. The Lord, the Lord God, merciful and gracious. Ex. xxxiv. 6. Be merciful, great duke, to men of mold. Shak. 2. Unwilling to give pain; compassionate. A merciful man will be merciful to his beast. Old Proverb. Syn. -- Compassionate; tender; humane; gracious; kind; mild; clement; benignant. -- Mer\"ci*ful*ly, adv. -- Mer\"ci*ful*ness, n.
mercify |To pity. [Obs.] Spenser.
merciless |Destitute of mercy; cruel; unsparing; -- said of animate beings, and also, figuratively, of things; as, a merciless tyrant; merciless waves. The foe is merciless, and will not pity. Shak. Syn. -- Cruel; unmerciful; remorseless; ruthless; pitiless; barbarous; savage. -- Mer\"ci*less*ly, adv. -- Mer\"ci*less*ness, n.
mercurammonium |A radical regarded as derived from ammonium by the substitution of mercury for a portion of the hydrogen.
mercurial |1. Having the qualities fabled to belong to the god Mercury; swift; active; sprightly; fickle; volatile; changeable; as, a mercurial youth; a mercurial temperament. A mercurial man Who fluttered over all things like a fan. Byron. 2. Having the form or image of Mercury; -- applied to ancient guideposts. [Obs.] Chillingworth. 3. Of or pertaining to Mercury as the god of trade; hence, money- making; crafty. The mercurial wand of commerce. J. Q. Adams. 4. Of or pertaining to, or containing, mercury; as, mercurial preparations, barometer. See Mercury, 2. 5. (Med.)  Caused by the use of mercury; as, mercurial sore mouth.\n\n1. A person having mercurial qualities. Bacon. 2. (Med.)  A preparation containing mercury.
mercurialism |The morbid condition produced by the excessive use of mercury, or by exposure to its fumes, as in mining or smelting.
mercurialist |1. One under the influence of Mercury; one resembling Mercury in character. 2. (Med.)  A physician who uses much mercury, in any of its forms, in his practice.
mercurialize |1. (Med.)  To affect with mercury. 2. (Photography)  To treat with mercury; to expose to the vapor of mercury.\n\nTo be sprightly, fantastic, or capricious. [Obs.]
mercurially |In a mercurial manner.
mercuric |Of, pertaining to, or derived from, mercury; containing mercury; -- said of those compounds of mercury into which this element enters in its lowest proportion. Mercuric chloride, corrosive sublimate. See Corrosive.
mercurification |1. (Metal.)  The process or operation of obtaining the mercury, in its fluid form, from mercuric minerals. 2. (Chem.)  The act or process of compounding, or the state of being compounded, with mercury. [R.]
mercurify |1. To obtain mercury from, as mercuric minerals, which may be done by any application of intense heat that expels the mercury in fumes, which are afterward condensed. [R.] 2. To combine or mingle mercury with; to impregnate with mercury; to mercurialize. [R.]
mercurism |A communication of news; an announcement. [Obs.] Sir T. Browne.
mercurous |Of, pertaining to, or derived from, mercury; containing mercury; -- said of those compounds of mercury in which it is present in its highest proportion. Mercurous chloride. (Chem.) See Calomel.
mercury |1. (Rom. Myth.)  A Latin god of commerce and gain; -- treated by the poets as identical with the Greek Hermes, messenger of the gods, conductor of souls to the lower world, and god of eloquence. 2. (Chem.)  A metallic element mostly obtained by reduction from cinnabar, one of its ores. It is a heavy, opaque, glistening liquid (commonly called quicksilver), and is used in barometers, thermometers, ect. Specific gravity 13.6. Symbol Hg (Hydrargyrum). Atomic weight 199.8. Mercury has a molecule which consists of only one atom. It was named by the alchemists after the god Mercury, and designated by his symbol, mercury. Note: Mercury forms alloys, called amalgams, with many metals, and is thus used in applying tin foil to the backs of mirrors, and in extracting gold and silver from their ores. It is poisonous, and is used in medicine in the free state as in blue pill, and in its compounds as calomel, corrosive sublimate, etc. It is the only metal which is liquid at ordinary temperatures, and it solidifies at about -39º Centigrade to a soft, malleable, ductile metal. 3. (Astron.)  One of the planets of the solar system, being the one nearest the sun, from which its mean distance is about 36,000,000 miles. Its period is 88 days, and its diameter 3,000 miles. 4. A carrier of tidings; a newsboy; a messenger; hence, also, a newspaper. Sir J. Stephen. \"The monthly Mercuries.\" Macaulay. 5. Sprightly or mercurial quality; spirit; mutability; fickleness. [Obs.] He was so full of mercury that he could not fix long in any friendship, or to any design. Bp. Burnet. 6. (Bot.)  A plant (Mercurialis annua), of the Spurge family, the leaves of which are sometimes used for spinach, in Europe. Note: The name is also applied, in the United States, to certain climbing plants, some of which are poisonous to the skin, esp. to the Rhus Toxicodendron, or poison ivy. Dog's mercury (Bot.), Mercurialis perennis, a perennial plant differing from M. annua by having the leaves sessile. -- English mercury (Bot.), a kind of goosefoot formerly used as a pot herb; -- called Good King Henry. -- Horn mercury (Min.), a mineral chloride of mercury, having a semitranslucent, hornlike appearance.\n\nTo wash with a preparation of mercury. [Obs.] B. Jonson.
