metrist |A maker of verses. Bale. Spenser was no mere metrist, but a great composer. Lowell.
metritis |Inflammation of the womb.
metrochrome |An instrument for measuring colors.
metrograph |An instrument attached to a locomotive for recording its speed and the number and duration of its stops.
metrological |Of or pertaining to metrology.
metrology |The science of, or a system of, weights and measures; also, a treatise on the subject.
metromania |A mania for writing verses.
metromaniac |One who has metromania.
metrometer |An instrument for measuring the size of the womb. Knight.
metronome |An instrument consisting of a short pendulum with a sliding weight. It is set in motion by clockwork, and serves to measure time in music.
metronomy |Measurement of time by an instrument.
metronymic |Derived from the name of one's mother, or other female ancestor; as, a metronymic name or appellation. -- A metronymic appellation.
metropole |A metropolis. [Obs.] Holinshed.
metropolis |1. The mother city; the chief city of a kingdom, state, or country. [Edinburgh] gray metropolis of the North. Tennyson. 2. (Eccl.)  The seat, or see, of the metropolitan, or highest church dignitary. The great metropolis and see of Rome. Shak.
metropolitan |1. Of or pertaining to the capital or principal city of a country; as, metropolitan luxury. 2. (Eccl.)  Of, pertaining to, or designating, a metropolitan or the presiding bishop of a country or province, his office, or his dignity; as, metropolitan authority. \"Bishops metropolitan.\" Sir T. More.\n\n1. The superior or presiding bishop of a country or province. 2. (Lat. Church.)  An archbishop. 3. (Gr. Church)  A bishop whose see is civil metropolis. His rank is intermediate between that of an archbishop and a patriarch. Hook.
metropolitanate |The see of a metropolitan bishop. Milman.
metropolite |A metropolitan. Barrow.
metropolitical |Of or pertaining to a metropolis; being a metropolis; metropolitan; as, the metropolitical chair. Bp. Hall.
metrorrhagia |Profuse bleeding from the womb, esp. such as does not occur at the menstrual period.
metroscope |A modification of the stethoscope, for directly auscultating the uterus from the vagina.
metrosideros |A myrtaceous genus of trees or shrubs, found in Australia and the South Sea Islands, and having very hard wood. Metrosideros vera is the true ironwood.
metrotome |An instrument for cutting or scarifying the uterus or the neck of the uterus.
metrotomy |The operation of cutting into the uterus; hysterotomy; the Cæsarean section.
mette |of Mete, to dream. Chaucer.
mettle |Substance or quality of temperament; spirit, esp. as regards honor, courage, fortitude, ardor, etc.; disposition; -- usually in a good sense. A certain critical hour which shall... try what mettle his heart is made of. South. Gentlemen of brave mettle. Shak. The winged courser, like a generous horse, Shows most true mettle when you check his course. Pope. To put one one's mettle, to cause or incite one to use one's best efforts.
mettled |Having mettle; high-spirited; ardent; full of fire. Addison.
mettlesome |Full of spirit; possessing constitutional ardor; fiery; as, a mettlesome horse. -- Met\"tle*some*ly, adv. -- Met\"tle*some*ness, n.
meum |Lit., mine; that which is mine; -- used in the phrase meum et tuum, or meum and tuum; as, to confound meum and tuum, to fail to distinguish one's own property from that of others; to be dishonest. Ancestors . . . generally esteemed more renowned for ancient family and high courage than for accurately regarding the trifling distinction of meum and tuum. Sir W. Scott.
meute |A cage for hawks; a mew. See 4th Mew, 1. Milman.
meve |To move. [Obs.] Chaucer.
mew |A gull, esp. the common British species (Larus canus); called also sea mew, maa, mar, mow, and cobb.\n\nTo shed or cast; to change; to molt; as, the hawk mewed his feathers. Nine times the moon had mewed her horns. Dryden.\n\nTo cast the feathers; to molt; hence, to change; to put on a new appearance. Now everything doth mew, And shifts his rustic winter robe. Turbervile.\n\n1. A cage for hawks while mewing; a coop for fattening fowls; hence, any inclosure; a place of confinement or shelter; -- in the latter sense usually in the plural. Full many a fat partrich had he in mewe. Chaucer. Forthcoming from her darksome mew. Spenser. Violets in their secret mews. Wordsworth. 2. A stable or range of stables for horses; -- compound used in the plural, and so called from the royal stables in London, built on the site of the king's mews for hawks.\n\nTo shut up; to inclose; to confine, as in a cage or other inclosure. More pity that the eagle should be mewed. Shak. Close mewed in their sedans, for fear of air. Dryden.\n\nTo cry as a cat. [Written also meaw, meow.] Shak.\n\nThe common cry of a cat. Shak.
mewl |To cry, as a young child; to squall. [Written also meawl.] Shak.
mewler |One that mewls.
mews |An alley where there are stables; a narrow passage; a confined place. [Eng.] Mr. Turveydrop's great room... was built out into a mews at the back. Dickens.
mexal |See Mescal.
mexical |See Mescal.
