mistrustless |Having no mistrust or suspicion. The swain mistrustless of his smutted face. Goldsmith.
mistune |To tune wrongly.
mistura |(a) A mingled compound in which different ingredients are contained in a liquid state; a mixture. See Mixture, n., 4. (b) Sometimes, a liquid medicine containing very active substances, and which can only be administered by drops. Dunglison.
misturn |To turn amiss; to pervert.
mistutor |To instruct amiss.
misty |1. Accompained with mist; characterized by the presence of mist; obscured by, or overspread with, mist; as, misty weather; misty mountains; a misty atmosphere. 2. Obscured as if by mist; dim; obscure; clouded; as, misty sight. The more I muse therein [theology], The mistier it seemeth. Piers Plowman.
misunderstand |To misconceive; to mistake; to miscomprehend; to take in a wrong sense.
misunderstander |One who misunderstands. Sir T. More.
misunderstanding |1. Mistake of the meaning; error; misconception. Bacon. 2. Disagreement; difference of opinion; dissension; quarrel. \"Misunderstandings among friends.\" Swift.
misurato |Measured; -- a direction to perform a passage in strict or measured time.
misusage |Bad treatment; abuse. Spenser.
misuse |1. To treat or use improperly; to use to a bad purpose; to misapply; as, to misuse one's talents. South. The sweet poison of misused wine. Milton. 2. To abuse; to treat ill. O, she misused me past the endurance of a block. Shak. Syn. -- To maltreat; abuse; misemploy; misapply.\n\n1. Wrong use; misapplication; erroneous or improper use. Words little suspected for any such misuse. Locke. 2. Violence, or its effects. [Obs.] Shak.
misusement |Misuse. [Obs.]
misuser |1. One who misuses. \"Wretched misusers of language.\" Coleridge. 2. (Law)  Unlawful use of a right; use in excess of, or varying from, one's right. Bouvier.
misvalue |To value wrongly or too little; to undervalue. But for I am so young, I dread my work Wot be misvalued both of old and young. W. Browne.
misvouch |To vouch falsely.
miswander |To wander in a wrong path; to stray; to go astray. [Obs.] Chaucer.
misway |A wrong way. [Obs.] Chaucer.
miswear |To wear ill. [Obs.] Bacon.
miswed |To wed improperly.
misween |To ween amiss; to misjudge; to distrust; to be mistaken. [Obs.] Spenser.
miswend |To go wrong; to go astray. [Obs.] \"The world is miswent.\" Gower.
misword |To word wrongly; as, to misword a message, or a sentence.\n\nA word wrongly spoken; a cross word. [Obs.] Sylvester. Breton.
misworship |Wrong or false worship; mistaken practices in religion. Bp. Hall. Such hideous jungle of misworships. Carlyle.\n\nTo worship wrongly. Bp. Hall.
misworshiper |One who worships wrongly.
miswrite |To write incorrectly.
miswrought |Badly wrought. Bacon.
misy |An impure yellow sulphate of iron; yellow copperas or copiapite.
misyoke |To yoke improperly.
miszealous |Mistakenly zealous. [Obs.]
mite |1. (Zoöl.)  A minute arachnid, of the order Acarina, of which there are many species; as, the cheese mite, sugar mite, harvest mite, etc. See Acarina. 2. Etym: [D. mijt; prob. the same word.]  A small coin formerly circulated in England, rated at about a third of a farthing. The name is also applied to a small coin used in Palestine in the time of Christ. Two mites, which make a farthing. Mark xii. 49. 3. A small weight; one twentieth of a grain. 4. Anything very small; a minute object; a very little quantity or particle. For in effect they be not worth a myte. Chaucer.
miter |1. A covering for the head, worn on solemn occasions by church dignitaries. It has been made in many forms, the present form being a lofty cap with two points or peaks. Fairholt. 2. The surface forming the beveled end or edge of a piece where a miter joint is made; also, a joint formed or a junction effected by two beveled ends or edges; a miter joint. 3. (Numis.)  A sort of base money or coin. Miter box (Carp. & Print.), an apparatus for guiding a handsaw at the proper angle in making a miter joint; esp., a wooden or metal trough with vertical kerfs in its upright sides, for guides. -- Miter dovetail (Carp.), a kind of dovetail for a miter joint in which there is only one joint line visible, and that at the angle. -- Miter gauge (Carp.), a gauge for determining the angle of a miter. -- Miter joint, a joint formed by pieces matched and united upon a line bisecting the angle of junction, as by the beveled ends of two pieces of molding or brass rule, etc. The term is used especially when the pieces form a right angle. See Miter, 2. -- Miter shell (Zoöl.), any one of numerous species of marine univalve shells of the genus Mitra. -- Miter square (Carp.), a bevel with an immovable arm at an angle of 45º, for striking lines on stuff to be mitered; also, a square with an arm adjustable to any angle. -- Miter wheels, a pair of bevel gears, of equal diameter, adapted for working together, usually with their axes at right angles.\n\n1. To place a miter upon; to adorn with a miter. \"Mitered locks.\" Milton. 2. To match together, as two pieces of molding or brass rule on a line bisecting the angle of junction; to bevel the ends or edges of, for the purpose of matching together at an angle.\n\nTo meet and match together, as two pieces of molding, on a line bisecting the angle of junction.
miterwort |Any plant of the genus Mitella, -- slender, perennial herbs with a pod slightly resembling a bishop's miter; bishop's cap. False miterwort, a white-flowered perennial herb of the United States (Tiarella cardifolia).
mithgarthr |The middle space or region between heaven and hell, the abode of human beings; the earth.
mithic |See Mythic.
mithras |The sun god of the Persians.
mithridate |An antidote against poison, or a composition in form of an electuary, supposed to serve either as a remedy or a preservative against poison; an alexipharmic; -- so called from King Mithridates, its reputed inventor. [Love is] a drop of the true elixir; no mithridate so effectual against the infection of vice. Southey.
mithridatic |Of or pertaining to King Mithridates, or to a mithridate.
mitigable |Admitting of mitigation; that may be mitigated.
mitigant |Tending to mitigate; mitigating; lentitive. Johnson.
mitigate |1. To make less severe, intense, harsh, rigorous, painful, etc.; to soften; to meliorate; to alleviate; to diminish; to lessen; as, to mitigate heat or cold; to mitigate grief. 2. To make mild and accessible; to mollify; -- applied to persons. [Obs.] This opinion ... mitigated kings into companions. Burke. Syn. -- To alleviate; assuage; allay. See Alleviate.
mitigation |The act of mitigating, or the state of being mitigated; abatement or diminution of anything painful, harsh, severe, afflictive, or calamitous; as, the mitigation of pain, grief, rigor, severity, punishment, or penalty. Syn. -- Alleviation; abatement; relief.
mitigative |Tending to mitigate; alleviating.
mitigator |One who, or that which, mitigates.
mitigatory |Tending to mitigate or alleviate; mitigative.
miting |A little one; -- used as a term of endearment. [Obs.] Skelton.
mitis casting |A process, invented by P. Ostberg, for producing malleable iron castings by melting wrought iron, to which from 0.05 to 0.1 per cent of aluminium is added to lower the melting point, usually in a petroleum furnace, keeping the molten metal at the bubbling point until it becomes quiet, and then pouring the molten metal into a mold lined with a special mixture consisting essentially of molasses and ground burnt fire clay; also, a casting made by this process; -- called also wrought-iron casting.
mitis metal |The malleable iron produced by mitis casting; -- called also simply mitis.
mitome |The denser part of the protoplasm of a cell.
mitosis |See Karyokinesis.
mitotic |Of or pertaining to mitosis; karyokinetic; as, mitotic cell division; -- opposed to amitotic. --Mi*tot\"ic*al*ly (#), adv.
mitraille |Shot or bits of iron used sometimes in loading cannon.
mitrailleur |One who serves a mitrailleuse.
mitrailleuse |A breech-loading machine gun consisting of a number of barrels fitted together, so arranged that the barrels can be fired simultaneously, or successively, and rapidly.
mitral |Pertaining to a miter; resembling a miter; as, the mitral valve between the left auricle and left ventricle of the heart.
mitre |1. A covering for the head, worn on solemn occasions by church dignitaries. It has been made in many forms, the present form being a lofty cap with two points or peaks. Fairholt. 2. The surface forming the beveled end or edge of a piece where a miter joint is made; also, a joint formed or a junction effected by two beveled ends or edges; a miter joint. 3. (Numis.)  A sort of base money or coin. Miter box (Carp. & Print.), an apparatus for guiding a handsaw at the proper angle in making a miter joint; esp., a wooden or metal trough with vertical kerfs in its upright sides, for guides. -- Miter dovetail (Carp.), a kind of dovetail for a miter joint in which there is only one joint line visible, and that at the angle. -- Miter gauge (Carp.), a gauge for determining the angle of a miter. -- Miter joint, a joint formed by pieces matched and united upon a line bisecting the angle of junction, as by the beveled ends of two pieces of molding or brass rule, etc. The term is used especially when the pieces form a right angle. See Miter, 2. -- Miter shell (Zoöl.), any one of numerous species of marine univalve shells of the genus Mitra. -- Miter square (Carp.), a bevel with an immovable arm at an angle of 45º, for striking lines on stuff to be mitered; also, a square with an arm adjustable to any angle. -- Miter wheels, a pair of bevel gears, of equal diameter, adapted for working together, usually with their axes at right angles.\n\n1. To place a miter upon; to adorn with a miter. \"Mitered locks.\" Milton. 2. To match together, as two pieces of molding or brass rule on a line bisecting the angle of junction; to bevel the ends or edges of, for the purpose of matching together at an angle.\n\nTo meet and match together, as two pieces of molding, on a line bisecting the angle of junction.\n\nSee Miter.
mitriform |Having the form of a miter, or a peaked cap; as, a mitriform calyptra. Gray.
mitt |A mitten; also, a covering for the wrist and hand and not for the fingers.
mitten |1. A covering for the hand, worn to defend it from cold or injury. It differs from a glove in not having a separate sheath for each finger. Chaucer. 2. A cover for the wrist and forearm. To give the mitten to, to dismiss as a lover; to reject the suit of. [Colloq.] -- To handle without mittens, to treat roughly; to handle without gloves. [Colloq.]
mittened |Covered with a mitten or mittens. \"Mittened hands.\" Whittier.
mittent |Sending forth; emitting. [Obs.] Wiseman.
mittimus |(a) A precept or warrant granted by a justice for committing to prison a party charged with crime; a warrant of commitment to prison. Burrill. (b) A writ for removing records from one court to another. Brande & C. MITTLER'S GREEN Mitt\"ler's green`. (Chem.)  A pigment of a green color, the chief constituent of which is oxide of chromium.
mitty |The stormy petrel. [Prov. Eng.]
mitu |A South American curassow of the genus Mitua.
mity |Having, or abounding with, mites.
mix |1. To cause a promiscuous interpenetration of the parts of, as of two or more substances with each other, or of one substance with others; to unite or blend into one mass or compound, as by stirring together; to mingle; to blend; as, to mix flour and salt; to mix wines. Fair persuasions mixed with sugared words. Shak. 2. To unite with in company; to join; to associate. Ephraim, he hath mixed himself among the people. Hos. vii. 8. 3. To form by mingling; to produce by the stirring together of ingredients; to compound of different parts. Hast thou no poison mixed Shak. I have chosen an argument mixed of religious and civil considerations. Bacon.\n\n1. To become united into a compound; to be blended promiscuously together. 2. To associate; to mingle. He had mixed Again in fancied safety with his kind. Byron.
mixable |Capable of being mixed.
mixed |Formed by mixing; united; mingled; blended. See Mix, v. t. & i. Mixed action (Law), a suit combining the properties of a real and a personal action. -- Mixed angle, a mixtilineal angle. -- Mixed fabric, a textile fabric composed of two or more kinds of fiber, as a poplin. -- Mixed marriage, a marriage between persons of different races or religions; specifically, one between a Roman Catholic and a Protestant. -- Mixed number, a whole number and a fraction taken together. -- Mixed train, a railway train containing both passenger and freight cars. -- Mixed voices (Mus.), voices of both males and females united in the same performance.
mixedly |In a mixed or mingled manner.
mixen |A compost heap; a dunghill. Chaucer. Tennyson.
mixer |One who, or that which, mixes.
mixogamous |Pairing with several males; -- said of certain fishes of which several males accompany each female during spawning.
mixolydian mode |The seventh ecclesiastical mode, whose scale commences on G.
mixtilineal |Containing, or consisting of, lines of different kinds, as straight, curved, and the like; as, a mixtilinear angle, that is, an angle contained by a straight line and a curve. [R.]
mixtilinear |Containing, or consisting of, lines of different kinds, as straight, curved, and the like; as, a mixtilinear angle, that is, an angle contained by a straight line and a curve. [R.]
mixtion |1. Mixture. [Obs.] 2. A kind of cement made of mastic, amber, etc., used as a mordant for gold leaf.
mixtly |With mixture; in a mixed manner; mixedly. Bacon.
mixture |1. The act of mixing, or the state of being mixed; as, made by a mixture of ingredients. Hooker. 2. That which results from mixing different ingredients together; a compound; as, to drink a mixture of molasses and water; -- also, a medley. There is also a mixture of good and evil wisely distributed by God, to serve the ends of his providence. Atterbury. 3. An ingredient entering into a mixed mass; an additional ingredient. Cicero doubts whether it were possible for a community to exist that had not a prevailing mixture of piety in its constitution. Addison. 4. (Med.)  A kind of liquid medicine made up of many ingredients; esp., as opposed to solution, a liquid preparation in which the solid ingredients are not completely dissolved. 5. (Physics & Chem.)  A mass of two or more ingredients, the particles of which are separable, independent, and uncompounded with each other, no matter how thoroughly and finely commingled; -- contrasted with a compound; thus, gunpowder is a mechanical mixture of carbon, sulphur, and niter. 6. (Mus.)  An organ stop, comprising from two to five ranges of pipes, used only in combination with the foundation and compound stops; -- called also furniture stop. It consists of high harmonics, or overtones, of the ground tone. Syn. -- Union; admixture; intermixture; medley.
mizmaze |A maze or labyrinth. [Obs.]
mizzen |Hindmost; nearest the stern; as, the mizzen shrouds, sails, etc.\n\nThe hindmost of the fore and aft sails of a three-masted vessel; also, the spanker.
mizzenmast |The hindmost mast of a three-masted vessel, or of a yawl-rigged vessel.
mizzle |1. To rain in very fine drops. Spenser. 2. To take one's self off; to go. [Slang] As long as George the Fourth could reign, he reigned, And then he mizzled. Epigram, quoted by Wright.\n\nMist; fine rain.
mizzy |A bog or quagmire. [Obs.] Ainsworth. M'-NAUGHT M'-Naught\" (mak*nalt\"), v. t. (Steam Engines)  To increase the power of (a single-cylinder beam engine) by adding a small high-pressure cylinder with a piston acting on the beam between the center and the flywheel end, using high-pressure steam and working as a compound engine, -- a plan introduced by M'Naught, a Scottish engineer, in 1845.
mnemonic |Assisting in memory.
mnemonical |Assisting in memory.
mnemonician |One who instructs in the art of improving or using the memory.
mnemonics |The art of memory; a system of precepts and rules intended to assist the memory; artificial memory.
mnemosyne |The goddess of memory and the mother of the Muses.
mnemotechny |Mnemonics.
mo |More; -- usually, more in number. [Obs.] An hundred thousand mo. Chaucer. Likely to find mo to commend than to imitate it. Fuller.
moa |Any one of several very large extinct species of wingless birds belonging to Dinornis, and other related genera, of the suborder Dinornithes, found in New Zealand. They are allied to the apteryx and the ostrich. They were probably exterminated by the natives before New Zealand was discovered by Europeans. Some species were much larger than the ostrich.
moabite |One of the posterity of Moab, the son of Lot. (Gen. xix. 37.) Also used adjectively.
moabite stone |A block of black basalt, found at Dibon in Moab by Rev. F. A. Klein, Aug. 19, 1868, which bears an inscription of thirty-four lines, dating from the 9th century b. c., and written in the Moabite alphabet, the oldest Phonician type of the Semitic alphabet. It records the victories of Mesha, king of Moab, esp. those over Israel (2 Kings iii. 4, 5, 27).
moabitess |A female Moabite. Ruth i. 22.
moabitish |Moabite. Ruth ii. 6.
