mostahiba |See Mustaiba.
moste |of Mote. Chaucer.
mostic |A painter's maul-stick.
mostick |A painter's maul-stick.
mostly |For the greatest part; for the most part; chiefly; in the main.
mostra |See Direct, n.
mostwhat |For the most part. [Obs.] \"All the rest do mostwhat far amiss.\" Spenser.
mot |May; must; might. He moot as well say one word as another Chaucer. The wordes mote be cousin to the deed. Chaucer. Men moot [i.e., one only] give silver to the poore freres. Chaucer. So mote it be, so be it; amen; -- a phrase in some rituals, as that of the Freemasons.\n\n1. A word; hence, a motto; a device. [Obs.] Bp. Hall. Tarquin's eye may read the mot afar. Shak. 2. A pithy or witty saying; a witticism. [A Gallicism] Here and there turns up a ... savage mot. N. Brit. Rev. 3. A note or brief strain on a bugle. Sir W. Scott.
motacil |Any singing bird of the genus Motacilla; a wagtail.
motation |The act of moving; motion. [Obs.]
mote |See 1st Mot. [Obs.] Chaucer.\n\n1. A meeting of persons for discussion; as, a wardmote in the city of London. 2. A body of persons who meet for discussion, esp. about the management of affairs; as, a folkmote. 3. A place of meeting for discussion. Mote bell, the bell rung to summon to a mote. [Obs.]\n\nThe flourish sounded on a horn by a huntsman. See Mot, n., 3, and Mort. Chaucer.\n\nA small particle, as of floating dust; anything proverbially small; a speck. The little motes in the sun do ever stir, though there be no wind. Bacon. We are motes in the midst of generations. Landor.
moted |Filled with motes, or fine floating dust; as, the air. \"Moted sunbeams.\" Tennyson.
motet |A composition adapted to sacred words in the elaborate polyphonic church style; an anthem.
moth |A mote. [Obs.] Shak.\n\n1. (Zoöl.)  Any nocturnal lepidopterous insect, or any not included among the butterflies; as, the luna moth; Io moth; hawk moth. 2. (Zoöl.)  Any lepidopterous insect that feeds upon garments, grain, etc.; as, the clothes moth; grain moth; bee moth. See these terms under Clothes, Grain, etc. 3. (Zoöl.)  Any one of various other insects that destroy woolen and fur goods, etc., esp. the larvæ of several species of beetles of the genera Dermestes and Anthrenus. Carpet moths are often the larvæ of Anthrenus. See Carpet beetle, under Carpet, Dermestes, Anthrenus. 4. Anything which gradually and silently eats, consumes, or wastes any other thing. Moth blight (Zoöl.), any plant louse of the genus Aleurodes, and related genera. They are injurious to various plants. -- Moth gnat (Zoöl.), a dipterous insect of the genus Bychoda, having fringed wings. -- Moth hunter (Zoöl.), the goatsucker. -- Moth miller (Zoöl.), a clothes moth. See Miller, 3, (a). -- Moth mullein (Bot.), a common herb of the genus Verbascum (V. Blattaria), having large wheel-shaped yellow or whitish flowers.
moth-eat |To eat or prey upon, as a moth eats a garment. [Rarely used except in the form moth-eaten, p.p. or a.] Ruin and neglect have so moth-eaten her. Sir T. Herbert.
mothen |Full of moths. [Obs.] Fulke.
