murdress |A battlement in ancient fortifications with interstices for firing through.
mure |A wall. [Obs.] Shak.\n\nTo inclose in walls; to wall; to immure; to shut up. Spenser. The five kings are mured in a cave. John. x. (Heading).
murenger |One who had charge of the wall of a town, or its repairs.
murenoid |Like or pertaining to the genus Muræna, or family Murænidæ.
murex |A genus of marine gastropods, having rough, and frequently spinose, shells, which are often highly colored inside; the rock shells. They abound in tropical seas.
murexan |A complex nitrogenous substance obtained from murexide, alloxantin, and other ureids, as a white, or yellowish, crystalline which turns red on exposure to the air; -- called also uramil, dialuramide, and formerly purpuric acid.
murexide |A crystalline nitrogenous substance having a splendid dichroism, being green by reflected light and garnet-red by transmitted light. It was formerly used in dyeing calico, and was obtained in a large quantities from guano. Formerly called also ammonium purpurate.
murexoin |A complex nitrogenous compound obtained as a scarlet crystalline substance, and regarded as related to murexide.
muriate |A salt of muriatic hydrochloric acid; a chloride; as, muriate of ammonia. Note: This term, as also the word muriatic, was formerly applied to the chlorides before their true composition was understood, and while they were erroneously supposed to be compounds of an acid with an oxide. Muriate and muriatic are still occasionally used as commercial terms, but are obsolete in scientific language.
muriated |1. Put in brine. Evelyn. 2. (Chem.)  Combined or impregnated with muriatic or hydrochloric acid. 3. (Photog.)  Prepared with chloride of silver through the agency of common salt.
muriatic |Of, pertaining to, or obtained from, sea salt, or from chlorine, one of the constituents of sea salt; hydrochloric. Muriatic acid, hydrochloric acid, HCl; -- formerly called also marine acid, and spirit of salt. See hydrochloric, and the Note under Muriate.
muriatiferous |Producing muriatic substances or salt. [Obs.]
muricate |Formed with sharp points; full of sharp points or of pickles; covered, or roughened, as a surface, with sharp points or excrescences.
muricated |Formed with sharp points; full of sharp points or of pickles; covered, or roughened, as a surface, with sharp points or excrescences.
muricoid |Like, or pertaining to, the genus Murex, or family Muricidæ.
muriculate |Minutely muricate.
muride |Bromine; -- formerly so called from its being obtained from sea water.
muriform |Resembling courses of bricks or stones in squareness and regular arrangement; as, a muriform variety of cellular tissue.
murine |Pertaining to a family of rodents (Muridæ), of which the mouse is the type.\n\nOne of a tribe of rodents, of which the mouse is the type.
muringer |See Murenger. Jacob.
murk |Dark; murky. He can not see through the mantle murk. J. R. Drake.\n\nDarkness; mirk. [Archaic] Shak.\n\nThe refuse of fruit, after the juice has been expressed; marc.
murkily |Darkly; gloomily.
murkiness |The state of being murky.
murky |Dark; obscure; gloomy. \"The murkiest den.\" Shak. A murky deep lowering o'er our heads. Addison.
murlins |A seaweed. See Baddrelocks.
murmur |1. A low, confused, and indistinct sound, like that of running water. 2. A complaint half suppressed, or uttered in a low, muttering voice. Chaucer. Some discontents there are, some idle murmurs. Dryden.\n\n1. To make a low continued noise, like the hum of bees, a stream of water, distant waves, or the wind in a forest. They murmured as doth a swarm of bees. Chaucer. 2. To utter complaints in a low, half-articulated voice; to feel or express dissatisfaction or discontent; to grumble; -- often with at or against. \"His disciples murmured at it.\" John vi. 61. And all the children of Israel murmured against Moses and against Aaron. Num. xiv. 2. Neither murmur ye, as some of them also murmured. 1 Cor. x. 10.\n\nTo utter or give forth in low or indistinct words or sounds; as, to murmur tales. Shak. The people murmured such things concerning him. John vii. 32.
murmuration |The act of murmuring; a murmur. [Obs.] Skelton.
murmurer |One who murmurs.
murmuring |Uttering murmurs; making low sounds; complaining. -- Mur\"mur*ing*ly, adv.
murmurous |Attended with murmurs; exciting murmurs or complaint; murmuring. [Archaic or Poetic] The lime, a summer home of murmurous wings. Tennyson.
murnival |In the game of gleek, four cards of the same value, as four aces or four kings; hence, four of anything. [Obs.] [Written also mournival.]
murphy |A potato. [Humorous] Thackeray.
murr |A catarrh. [Obs.] Gascoigne.
murrain |An infectious and fatal disease among cattle. Bacon. A murrain on you, may you be afflicted with a pestilent disease. Shak.\n\nHaving, or afflicted with, murrain.
murrayin |A glucoside found in the flowers of a plant (Murraya exotica) of South Asia, and extracted as a white amorphous slightly bitter substance.
