naples yellow |See under Yellow.
napless |Without nap; threadbare. Shak.
napoleon |A French gold coin of twenty francs, or about $3.86.
napoleonic |Of or pertaining to Napoleon I., or his family; resembling, or having the qualities of, Napoleon I. Lowell.
napoleonist |A supporter of the dynasty of the Napoleons.
nappe |Sheet; surface; all that portion of a surface that is continuous in such a way that it is possible to pass from any one point of the portion to any other point of the portion without leaving the surface. Thus, some hyperboloids have one nappe, and some have two.
nappiness |The quality of having a nap; abundance of nap, as on cloth.
napping |1. The act or process of raising a nap, as on cloth. 2. (Hat Making)  A sheet of partially felted fur before it is united to the hat body. Knight.
nappy |1. Inclined to sleep; sleepy; as, to feel nappy. 2. Tending to cause sleepiness; serving to make sleepy; strong; heady; as, nappy ale. [Obs.] Wyatt.\n\nHaving a nap or pile; downy; shaggy. Holland.\n\nA round earthen dish, with a flat bottom and sloping sides. [Written also nappie.]
napu |A very small chevrotain (Tragulus Javanicus), native of Java. It is about the size of a hare, and is noted for its agility in leaping. Called also Java musk deer, pygmy musk deer, and deerlet.
napus |A kind of turnip. See Navew.
narceine |An alkaloid found in small quantities in opium, and extracted as a white crystalline substance of a bitter astringent taste. It is a narcotic. Called also narceia.
narcissine |Of or pertaining to Narcissus.
narcissus |1. (Bot.)  A genus of endogenous bulbous plants with handsome flowers, having a cup-shaped crown within the six-lobed perianth, and comprising the daffodils and jonquils of several kinds. 2. (Classical Myth.)  A beautiful youth fabled to have been enamored of his own image as seen in a fountain, and to have been changed into the flower called Narcissus.
narcotic |Having the properties of a narcotic; operating as a narcotic. -- Nar*cot\"ic*ness, n.\n\nA drug which, in medicinal doses, generally allays morbid susceptibility, relieves pain, and produces sleep; but which, in poisonous doses, produces stupor, coma, or convulsions, and, when given in sufficient quantity, causes death. The best examples are opium (with morphine), belladonna (with atropine), and conium. Nercotykes and opye (opium) of Thebes. Chaucer.
narcotical |Narcotic. -- Nar*cot\"ic*al*ly, adv.
narcotine |An alkaloid found in opium, and extracted as a white crystalline substance, tasteless and less poisonous than morphine; -- called also narcotia.
narcotinic |Pertaining to narcotine.
narcotism |Narcosis; the state of being narcotized. G. Eliot.
narcotize |To imbue with, or subject to the influence of, a narcotic; to put into a state of narcosis.
nard |1. (Bot.)  An East Indian plant (Nardostachys Jatamansi) of the Valerian family, used from remote ages in Oriental perfumery. 2. An ointment prepared partly from this plant. See Spikenard. 3. (Bot.)  A kind of grass (Nardus stricta) of little value, found in Europe and Asia.
nardine |Of or pertaining to nard; having the qualities of nard.
nardoo |An Australian name for Marsilea Drummondii, a four-leaved cryptogamous plant, sometimes used for food.
nare |A nostril. [R.] B. Jonson.
nares |The nostrils or nasal openings, -- the anterior nares being the external or proper nostrils, and the posterior nares, the openings of the nasal cavities into the mouth or pharynx.
nargile |An apparatus for smoking tobacco. It has a long flexible tube, and the smoke is drawn through water.
nargileh |An apparatus for smoking tobacco. It has a long flexible tube, and the smoke is drawn through water.
narica |The brown coati. See Coati.
nariform |Formed like the nose.
narine |Of or belonging to the nostrils.
narrable |Capable of being narrated or told. [Obs.]
