neoplatonic |Of, pertaining to, or resembling, Neoplatonism or the Neoplatonists.
neoplatonician |A neoplatonist.
neoplatonism |A pantheistic eclectic school of philosophy, of which Plotinus was the chief (A. D. 205-270), and which sought to reconcile the Platonic and Aristotelian systems with Oriental theosophy. It tended to mysticism and theurgy, and was the last product of Greek philosophy.
neoplatonist |One who held to Neoplatonism; a member of the Neoplatonic school.
neorama |A panorama of the interior of a building, seen from within.
neossine |The substance constituting the edible bird's nest.
neossology |The study of young birds.
neoteric |Recent in origin; modern; new. \"Our neoteric verbs.\" Fitzed. Hall. Some being ancient, others neoterical. Bacon.\n\nOne of modern times; a modern.
neoterical |Recent in origin; modern; new. \"Our neoteric verbs.\" Fitzed. Hall. Some being ancient, others neoterical. Bacon.
neoterically |Recently; newly.
neoterism |An innovation or novelty; a neoteric word or phrase.
neoterist |One ho introduces new word Fitzed Hall.
neoterize |To innovate; to coin or introduce new words. Freely as we of the nineteenth century neoterize. fized. Hall.
neotropical |Belonging to, or designating, a region of the earth's surface which comprises most of South America, the Antilles, and tropical North America.
neozoic |More recent than the Paleozoic, -- that is, including the Mesozoic and Cenozoic.
nep |Catnip.
nepa |A genus of aquatic hemipterus insects. The species feed upon other insects and are noted for their voracity; -- called also scorpion bug and water scorpion.
nepaulese |Of or pertaining to Nepaul, a kingdom in Northern Hindostan. -- n. sing. & pl.  A native or natives of Nepaul.
nepenthe |A drug used by the ancients to give relief from pain and sorrow; -- by some supposed to have been opium or hasheesh. Hence, anything soothing and comforting. Lulled with the sweet nepenthe of a court. Pope. Quaff, O quaff this kind nepenthe. Poe.
nepenthes |1. Same as Nepenthe. Milton. 2. (Bot.)  A genus of climbing plants found in India, Malaya, etc., which have the leaves prolonged into a kind of stout tendril terminating in a pitcherlike appendage, whence the plants are often called pitcher plants and monkey-cups. There are about thirty species, of which the best known is Nepenthes distillatoria. See Pitcher plant.
nepeta |A genus of labiate plants, including the catnip and ground ivy.
nephalism |Total abstinence from spirituous liquor.
nephalist |One who advocates or practices nephalism.
nepheline |A mineral occuring at Vesuvius, in glassy agonal crystals; also elsewhere, in grayish or greenish masses having a greasy luster, as the variety elæolite. It is a silicate of aluminia, soda, and potash.
nephelite |A mineral occuring at Vesuvius, in glassy agonal crystals; also elsewhere, in grayish or greenish masses having a greasy luster, as the variety elæolite. It is a silicate of aluminia, soda, and potash.
nephelodometer |An instrument for reckoning the distances or velocities of clouds.
nephelometer |An instrument for measuring or registering the amount of cloudiness.
nephew |1. A grandson or grandchild, or remoter lineal descendant. [Obs.] But if any widow have children or nephews [Rev. Ver. grandchildren,]. 1 Tim. v. 4. If naturalists say true that nephews are often liker to their grandfathers than to their fathers. Jer. Taylor. 2. A cousin. [Obs.] Shak. 3. The son of a brother or a sister, or of a brother-in-law or sister-in-law. Chaucer.
nephilim |Giants. Gen. vi. 4. Num. xiii. 33.
nephoscope |An instrument for observing the clouds and their velocity.
nephralgia |Neuralgia of the kidneys; a disease characterized by pain in the region of the kidneys without any structural lesion of the latter. Quain.
nephralgy |Neuralgia of the kidneys; a disease characterized by pain in the region of the kidneys without any structural lesion of the latter. Quain.
nephridial |of or pertaining to a nephridium.
nephridium |A segmental tubule; one of the tubules of the primitive urinogenital organs; a segmental organ. See Illust. under Loeven's larva.
nephrite |A hard compact mineral, of a dark green color, formerly worn as a remedy for diseases of the kidneys, whence its name; kidney stone; a kind of jade. See Jade.
nephritic |1. Of or pertaining to the kidneys or urinary organs; renal; as, a nephritic disease. 2. (Med.) (a) Affected with a disease of the kidneys; as, a nephritic patient. (b) Relieving disorders of the kidneys; affecting the kidneys; as, a nephritic medicine. Nephritic stone (Min.), nephrite; jade. See Nephrite.\n\nA medicine adapted to relieve or cure disease of the kidneys.
nephritical |1. Of or pertaining to the kidneys or urinary organs; renal; as, a nephritic disease. 2. (Med.) (a) Affected with a disease of the kidneys; as, a nephritic patient. (b) Relieving disorders of the kidneys; affecting the kidneys; as, a nephritic medicine. Nephritic stone (Min.), nephrite; jade. See Nephrite.
nephritis |An inflammation of the kidneys.
nephrolithic |of or pertaining to gravel, or renal calculi. Dunglison.
nephrology |A treatise on, or the science which treats of, the kidneys, and their structure and functions.
nephrostome |The funnelshaped opening of a nephridium into the body cavity.
nephrotomy |Extraction of stone from the kidney by cutting.
nepotal |Of or relating to a nephew.
nepotic |Of or pertaining to npotism. The nepotic ambition of the ruling pontiff. Milman.
nepotism |Undue attachment to relations; favoritism shown to members of one's family; bestowal of patronage in consideration of relationship, rather than of merit or of legal claim. From nepotism Alexander V. was safe; for he was without kindred or relatives. But there was another perhaps more fatal nepotism, which turned the tide of popularity against him -- the nepotism of his order. Milman.
nepotist |One who practices nepotism.
neptune |1. (Rom. Myth.)  The son of Saturn and Ops, the god of the waters, especially of the sea. He is represented as bearing a trident for a scepter. 2. (Astron.)  The remotest known planet of our system, discovered -- as a result of the computations of Leverrier, of Paris -- by Galle, of Berlin, September 23, 1846. Its mean distance from the sun is about 2,775,000,000 miles, and its period of revolution is about 164,78 years. Neptune powder, an explosive containing nitroglycerin, -- used in blasting. -- Neptune's cup (Zoöl.), a very large, cup-shaped, marine sponge (Thalassema Neptuni).
neptunian |1. Of or pertaining to the ocean or sea. 2. (Geol.)  Formed by water or aqueous solution; as, Neptunian rocks. Neptunian races (Ethnol.), the Malay and Polynesian races. -- Neptunian theory (Geol.), the theory of Werner, which referred the formation of all rocks and strata to the agency of water; -- opposed to the Plutonic theory.\n\nOne who adopts the neptunian theory.
neptunicentric |As seen from Neptune, or having Neptune as a center; as, Neptunicentric longitude or force.
neptunist |One who adopts the neptunian theory.
neptunium |A new metallic element, of doubtful genuineness and uncertain indentification, said to exist in certain minerals, as columbite. Hermann.
ner |nearer. [Obs.] See Nerre.
nere |Were not. [Obs.] Chaucer.
nereid |1. (Class. Myth.)  A sea nymph, one of the daughters of Nereus, who were attendants upon Neptune, and were represented as riding on sea horses, sometimes with the human form entire, and sometimes with the tail of a fish. 2. (Zoöl.)  Any species of Nereis. The word is sometimes used for similar annelids of other families.
nereidian |Any annelid resembling Nereis, or of the family Lycoridæ or allied families.
nereis |1. (Class. Myth.)  A Nereid. See Nereid. 2. (Zoöl.)  A genus, including numerous species, of marine chætopod annelids, having a well-formed head, with two pairs of eyes, antennæ, four pairs of tentacles, and a protrusile pharynx, armed with a pair of hooked jaws.
nereites |Fossil tracks of annelids.
nereocystis |A genus of gigantic seaweeds. Note: Nereocystis Lutkeana, of the North Pacific, has a stem many fathoms long, terminating in a great vesicle, which is crowned with a tuft of long leaves. The stem is used by the Alaskans for fishing lines.
nerfling |The id.
nerita |A genus of marine gastropods, mostly natives of warm climates.
nerite |Any mollusk of the genus Nerita.
neritina |A genus including numerous species of shells resembling Nerita in form. They mostly inhabit brackish water, and are often delicately tinted.
nerka |The most important salmon of Alaska (Oncorhinchus nerka), ascending in spring most rivers and lakes from Alaska to Oregon, Washington, and Idaho; --called also red salmon, redfish, blueback, and sawqui.
nero |A Roman emperor notorius for debauchery and barbarous cruelty; hence, any profligate and cruel ruler or merciless tyrant. -- Ne*ro\"ni*an, a.
nero-antico |A beautiful black marble found in fragments among Roman ruins, and usually thought to have come from ancient Laconia.
neroli |An essential oil obtained by distillation from the flowers of the orange. It has a strong odor, and is used in perfumery, etc. Neroli camphor (Chem.), a white crystalline waxy substance, tasteless and odorless, obtained from beroli oil; -- called also auradin.
nerre |Nearer. [Obs.] [Written also neer, ner.] Chaucer. Never the neer, never the nearer; no nearer. [Obs.]
nervate |Nerved.
nervation |The arrangement of nerves and veins, especially those of leaves; neuration. The outlines of the fronds of ferns, and their nervation, are frail characters if employed alone for the determination of existing genera. J. D. Hooker.
nerve |1. (Anat.)  One of the whitish and elastic bundles of fibers, with the accompanying tissues, which transmit nervous impulses between nerve centers and various parts of the animal body. Note: An ordinary nerve is made up of several bundles of nerve fibers, each bundle inclosed in a special sheath (the perineurium) and all bound together in a connective tissue sheath and framework (the epineurium) containing blood vessels and lymphatics. 2. A sinew or a tendon. Pope. 3. Physical force or steadiness; muscular power and control; constitutional vigor. he led me on to mightiest deeds, Above the nerve of mortal arm. Milton. 4. Steadiness and firmness of mind; self-command in personal danger, or under suffering; unshaken courage and endurance; coolness; pluck; resolution. 5. Audacity; assurance. [Slang] 6. (Bot.)  One of the principal fibrovascular bundles or ribs of a leaf, especially when these extend straight from the base or the midrib of the leaf. 7. (Zoöl.)  One of the nervures, or veins, in the wings of insects. Nerve cell (Anat.), one of the nucleated cells with which nerve fibers are connected; a ganglion cell. -- Nerve fiber (Anat.), one of the fibers of which nerves are made up. These fibers are either medullated or nonmedullated. in both kinds the essential part is the translucent threadlike axis cylinder which is continuous the whole length of the fiber. -- Nerve stretching (Med.), the operation of stretching a nerve in order to remedy diseases such as tetanus, which are supposed to be influenced by the condition of the nerve or its connections.\n\nTo give strength or vigor to; to supply with force; as, fear nerved his arm.
nerve-shaken |Affected by a tremor, or by a nervous disease; weakened; overcome by some violent influence or sensation; shoked.
nerved |1. Having nerves of a special character; as, weak-nerved. 2. (Bot.)  Having nerves, or simple and parallel ribs or veins. Gray.
nerveless |1. Destitute of nerves. 2. Destitute of strength or of courage; wanting vigor; weak; powerless. A kingless people for a nerveless state. Byron. Awaking, all nerveless, from an ugly dream. Hawthorne.
nervelessness |The state of being nerveless.
nervimotion |The movement caused in the sensory organs by external agents and transmitted to the muscles by the nerves. Dunglison.
nervimotor |Any agent capable of causing nervimotion. Dunglison.
nervine |Having the quality of acting upon or affecting the nerves; quieting nervous excitement. -- n.  A nervine agent.
nervomuscular |Of or pertaining to both nerves and muscles; of the nature of nerves and muscles; as, nervomuscular energy.
nervose |Same as Nerved.
nervosity |Nervousness. [R.]
nervous |1. possessing nerve; sinewy; strong; vigorous. \"Nervous arms.\" Pope. 2. Possessing or manifesting vigor of mind; characterized by strength in sentiment or style; forcible; spirited; as, a nervous writer. 3. Of or pertaining to the nerves; seated in the nerves; as, nervous excitement; a nervous fever. 4. Having the nerves weak, diseased, or easily excited; subject to, or suffering from, undue excitement of the nerves; easily agitated or annoyed. Poor, weak, nervous creatures. Cheyne. 5. Sensitive; excitable; timid. Our aristocratic class does not firmly protest against the unfair treatment of Irish Catholics, because it is nervous about the land. M. Arnold. Nervous fever (Med.), a low form of fever characterized by great disturbance of the nervous system, as evinced by delirium, or stupor, disordered sensibility, etc. -- Nervous system (Anat.), the specialized coördinating apparatus which endows animals with sensation and volition. In vertebrates it is often divided into three systems: the central, brain and spinal cord; the peripheral, cranial and spinal nerves; and the sympathetic. See Brain, Nerve, Spinal cord, under Spinal, and Sympathetic system, under Sympathetic, and Illust. in Appendix. -- Nervous temperament, a condition of body characterized by a general predominance of mental manifestations. Mayne.
nervously |In a nervous manner.
nervousness |State or quality of being nervous.
nervure |1. (Bot.)  One of the nerves of leaves. 2. (Zoöl.)  One of the chitinous supports, or veins, in the wings of incests.
nervy |Strong; sinewy. \"His nervy knees.\" Keats.
nescience |Want of knowledge; ignorance; agnosticism. God fetched it about for me, in that absence and nescience of mine. Bp. Hall.
nese |Nose. [Obs.] Piers plowman.
nesh |Soft; tender; delicate. [Obs. or Prov. Eng.]
ness |A promontory; a cape; a headland. Hakluyt. Note: Ness is frequently used as a suffix in the names of places and promontories; as, Sheerness.
nesslerize |To treat or test, as a liquid, with a solution of mercuric iodide in potassium iodide and potassium hydroxide, which is called Nessler's solution or Nessler's test, and is used to detect the presence of ammonia.
