artsman |A man skilled in an art or in arts. [Obs.] Bacon.
arum |A genus of plants found in central Europe and about the Mediterranean, having flowers on a spadix inclosed in a spathe. The cuckoopint of the English is an example. Our common arums the lords and ladies of village children. Lubbock. Note: The American \"Jack in the pulpit\" is now separated from the genus Arum.
arundelian |Pertaining to an Earl of Arundel; as, Arundel or Arundelian marbles, marbles from ancient Greece, bought by the Earl of Arundel in 1624.
arundiferous |Producing reeds or canes.
arundinaceous |Of or pertaining to a reed; resembling the reed or cane.
arundineous |Abounding with reeds; reedy.
aruspex |One of the class of diviners among the Etruscans and Romans, who foretold events by the inspection of the entrails of victims offered on the altars of the gods.
aruspice |A soothsayer of ancient Rome. Same as Aruspex. [Written also haruspice.]
aruspicy |Prognostication by inspection of the entrails of victims slain sacrifice.
arval |A funeral feast. [North of Eng.] Grose.
arvicole |A mouse of the genus Arvicola; the meadow mouse. There are many species.
aryan |1. One of a primitive people supposed to have lived in prehistoric times, in Central Asia, east of the Caspian Sea, and north of the Hindoo 2. The language of the original Aryans. [Written also Arian.]\n\nOf or pertaining to the people called Aryans; Indo-European; Indo-Germanic; as, the Aryan stock, the Aryan languages.
aryanize |To make Aryan (a language, or in language). K. Johnston.
arytenoid |Ladle-shaped; -- applied to two small cartilages of the larynx, and also to the glands, muscles, etc., connected with them. The cartilages are attached to the cricoid cartilage and connected with the vocal cords.
