olfactor |A smelling organ; a nose. [R.]
olfactory |Of, pertaining to, or connected with, the sense of smell; as, the olfactory nerves; the olfactory cells. Olfactory organ (Anat.), an organ for smelling. In vertebrates the olfactory organs are more or less complicated sacs, situated in the front part of the head and lined with epithelium innervated by the olfactory (or first cranial) nerves, and sensitive to odoriferous particles conveyed to it in the air or in water.\n\nAn olfactory organ; also, the sense of smell; -- usually in the plural.
oliban |See Olibanum.
olibanum |The fragrant gum resin of various species of Boswellia; Oriental frankincense.
olibene |A colorless mobile liquid of a pleasant aromatic odor obtained by the distillation of olibanum, or frankincense, and regarded as a terpene; -- called also conimene.
olid |Having a strong, disagreeable smell; fetid. [Obs.] Boyle. Sir T. Browne.
olidous |Having a strong, disagreeable smell; fetid. [Obs.] Boyle. Sir T. Browne.
olifant |1. An elephant. [Obs.] 2. An ancient horn, made of ivory.
oligandrous |Having few stamens.
oliganthous |Having few flowers.
oligarch |A member of an oligarchy; one of the rulers in an oligarchical government.
oligarchal |Oligarchic. Glover.
oligarchic |Of or pertaining to oligarchy, or government by a few. \"Oligarchical exiles.\" Jowett (Thucyd. ).
oligarchical |Of or pertaining to oligarchy, or government by a few. \"Oligarchical exiles.\" Jowett (Thucyd. ).
oligarchist |An advocate or supporter of oligarchy.
oligarchy |A form of government in which the supreme power is placed in the hands of a few persons; also, those who form the ruling few. All oligarchies, wherein a few men domineer, do what they list. Burton.
oligist |Hematite or specular iron ore; -- prob. so called in allusion to its feeble magnetism, as compared with magnetite.\n\nOf or pertaining to hematite.
oligistic |Of or pertaining to hematite.
oligo- |A combining form from Gr. few, little, small.
oligocene |Of, pertaining to, or designating, certain strata which occupy an intermediate position between the Eocene and Miocene periods. -- n.  The Oligocene period. See the Chart of Geology.
oligochaeta |An order of Annelida which includes the earthworms and related species.
oligochete |Of or pertaining to the Oligochæta.
oligoclase |A triclinic soda-lime feldspar. See Feldspar.
oligomerous |Having few members in each set of organs; as, an oligomerous flower.
oligomyold |Having few or imperfect syringeal muscles; -- said of some passerine birds (Oligomyodi).
oligopetalous |Having few petals.
oligosepalous |Having few sepals.
oligosiderite |A meteorite characterized by the presence of but a small amount of metallic iron.
oligospermous |Having few seeds.
oligotokous |Producing few young.
olio |1. A dish of stewed meat of different kinds. [Obs.] Besides a good olio, the dishes were trifling. Evelyn. 2. A mixture; a medley. Dryden. 3. (Mus.)  A collection of miscellaneous pieces.
olitory |Of or pertaining to, or produced in, a kitchen garden; used for kitchen purposes; as, olitory seeds. At convenient distance towards the olitory garden. Evelyn.
oliva |A genus of polished marine gastropod shells, chiefly tropical, and often beautifully colored.
olivaceous |Resembling the olive; of the color of the olive; olive-green.
olivary |Like an olive. Olivary body (Anat.), an oval prominence on each side of the medulla oblongata; -- called also olive.
olivaster |Of the color of the olive; tawny. Sir T. Herbert.
