oviposit |To lay or deposit eggs; -- said esp. of insects.\n\nTo deposit or lay (an egg).
ovipositing |The depositing of eggs, esp. by insects.
oviposition |The depositing of eggs, esp. by insects.
ovipositor |The organ with which many insects and some other animals deposit their eggs. Some ichneumon files have a long ovipositor fitted to pierce the eggs or larvæ of other insects, in order to lay their own eggs within the same.
ovisac |(a) A Graafian follicle; any sac containing an ovum or ova. (b) The inner layer of the fibrous wall of a Graafian follicle.
ovism |The old theory that the egg contains the whole embryo of the future organism and the germs of all subsequent offsprings and is merely awakened to activity by the spermatozoön; -- opposed to spermism or animalculism.
ovist |Same as Ovulist.
ovococcus |A germinal vesicle.
ovoid |Resembling an egg in shape; egg-shaped; ovate; as, an ovoidal apple.\n\nA solid resembling an egg in shape.
ovoidal |Resembling an egg in shape; egg-shaped; ovate; as, an ovoidal apple.
ovolo |A round, convex molding. See Illust. of Column. Note: In Roman work it is usually a quarter circle in section; in Greek work it is flatter, and is equivalent to the echinus; that is, it has in section the elastic curve of the shell of the sea urchin. In mediæval architecture it is not distinguishable from the multitude of convex moldings, of all sections, which are used.
ovology |That branch of natural history which treats of the origin and functions of eggs.
ovoplasma |Yolk; egg yolk. Haeckel.
ovotesttis |An organ which produces both ova and spermatozoids; an hermaphrodite gland.
ovoviviparous |Oviparous, but hatching the egg while it is within the body, as some fishes and reptiles.
ovular |Relating or belonging to an ovule; as, an ovular growth.
ovulary |Pertaining to ovules.
ovulate |Containing an ovule or ovules.
ovulation |The formation of ova or eggs in the ovary, and the discharge of the same. In the mammalian female the discharge occurs during menstruation.
ovule |(a) The rudiment of a seed. It grows from a placenta, and consists of a soft nucleus within two delicate coatings. The attached base of the ovule is the hilum, the coatings are united with the nucleus at the chalaza, and their minute orifice is the foramen. (b) An ovum.
ovuliferous |Producing ovules.
ovulist |A believer in the theory (called encasement theory), current during the last century, that the egg was the real animal germ, and that at the time of fecundation the spermatozoa simply gave the impetus which caused the unfolding of the egg, in which all generations were inclosed one within the other. Also called ovist.
ovulite |A fossil egg.
ovulum |An ovule.
ovum |1. (Biol.)  A more or less spherical and transparent mass of granular protoplasm, which by a process of multiplication and growth develops into a mass of cells, constituting a new individual like the parent; an egg, spore, germ, or germ cell. See Illust. of Mycropyle. Note: The ovum is a typical cell, with a cell wall, cell substance, nucleus, and nucleolus. In man and the higher animals the cell wall, a vertically striated membrane, is called the zona pellucida; the cell contents, the vitellus; the nucleus, the germinal vesicle; and the nucleolus, the germinal spot. The diameter of the ripe ovum in man and the domestic animals varies between 1-200 and 1-120 of an inch. 2. (Arch.)  One of the series of egg-shaped ornaments into which the ovolo is often carved. Gwilt.
owch |See Ouch. [Obs.] Speser.
owe |1. To possess; to have, as the rightful owner; to own. [Obs.] Thou dost here usurp The name thou ow'st not. Shak. 2. To have or possess, as something derived or bestowed; to be obliged to ascribe (something to some source); to be indebted or obliged for; as, he owed his wealth to his father; he owed his victoty to his lieutenants. Milton. O deem thy fall not owed to man's decree. Pope. 3. Hence: To have or be under an obigation to restore, pay, or render (something) in return or compensation for something received; to be indebted in the sum of; as, the subject owes allegiance; the fortunate owe assistance to the unfortunate. The one ought five hundred pence, and the other fifty. Bible (1551). A son owes help and honor to his father. Holyday. Note: Owe was sometimes followed by an objective clause introduced by the infinitive. \"Ye owen to incline and bow your heart.\" Chaucer. 4. To have an obligation to (some one) on account of something done or received; to be indebted to; as, to iwe the grocer for supplies, or a laborer for services.
owel |Equal. [Obs.] Burrill.
owelty |Equality; -- sometimes written ovelty and ovealty. Burrill.
owen |Own. [Obs.] Chaucer.
owenite |A follower of Robert Owen, who tried to reorganize society on a socialistic basis, and established an industrial community on the Clyde, Scotland, and, later, a similar one in Indiana.
owher |Anywhere. [Obs.] \"If he found owher a good fellow.\" Chaucer.
owing |1. Had or held under obligation of paying; due. There is more owing her than is paid. Shak. 2. Had or experienced as a consequence, result, issue, etc.; ascribable; -- with to; as, misfortunes are often owing to vices; his failure was owing to speculations.
owl |1. (Zoöl.)  Any cpecies of raptorial birds of the family Strigidæ. They have large eyes and ears, and a conspicuous circle of feathers around each eye. They are mostly nocturnal in their habits. Note: Some species have erectile tufts of feathers on the head. The feathers are soft and somewhat downy. The species are numerous. See Barn owl, Burrowing owl, Eared owl, Hawk owl, Horned owl, Screech owl, Snowy owl, under BarnBurrowing, etc. Note: In the Scriptures the owl is commonly associated with desolation; poets and story-tellers introduce it as a bird of ill omen. . . . The Greeks and Romans made it the emblem of wisdom, and sacred to Minerva, -- and indeed its large head and solemn eyes give it an air of wisdom. Am. Cyc. 2. (Zoöl.)  A variety of the domestic pigeon. Owl monkey (Zoöl.), any one of several species of South American nocturnal monkeys of the genus Nyctipithecus. They have very large eyes. Called also durukuli. -- Owl moth ( (Zoöl.), a very large moth (Erebus strix). The expanse of its wings is over ten inches. -- Owl parrot (Zoöl.), the kakapo. -- Sea owl (Zoöl.), the lumpfish. -- Owl train, a cant name for certain railway trains whose run is in the nighttime.\n\n1. To pry about; to prowl. [Prov. Eng.] 2. To carry wool or sheep out of England. [Obs.] Note: This was formerly illegal, and was done chiefly by night. 3. Hence, to carry on any contraband trade. [Eng.]
owl-eyed |Having eyes like an owl's.
owler |One who owls; esp., one who conveys contraband goods. See Owling, n. [Obs. or Prov. Eng.] T. Brown.
owlery |An abode or a haunt of owls.
owlet |A small owl; especially, the European species (Athene noctua), and the California flammulated owlet (Megascops flammeolus). Owlet moth (Zoöl.), any noctuid moth.
owling |The offense of transporting wool or sheep out of England contrary to the statute formerly existing. Blackstone.
owlish |Resembling, or characteristic of, an owl.
owlism |Affected wisdom; pompous dellness. [R.]
owllight |Glimmering or imperfect [R.] Bp. Warburton.
own |To grant; to acknowledge; to admit to be true; to confess; to recognize in a particular character; as, we own that we have forfeited your love. The wakeful bloodhound rose, and shook his hide owns. Keats.\n\nBelonging to; belonging exclusively or especially to; peculiar; -- most frequently following a possessive pronoun, as my, our, thy, your, his, her, its, their, in order to emphasize or intensify the idea of property, peculiar interest, or exclusive ownership; as, my own father; my own composition; my own idea; at my own price. \"No man was his own [i. e., no man was master of himself, or in possession of his senses].\" Shak. To hold one's own, to keep or maintain one's possessions; to yield nothing; esp., to suffer no loss or disadvantage in a contest. Shak.\n\nTo hold as property; to have a legal or rightful title to; to be the proprietor or possessor of; to possess; as, to own a house.
owner |One who owns; a rightful proprietor; one who has the legal or rightful title, whether he is the possessor or not. Shak.
ownerless |Without an owner.
ownership |The state of being an owner; the right to own; exclusive right of possession; legal or just claim or title; proprietorship.
owre |The aurohs. [Obs.]
owse |Tanner's ooze. See Ooze, 3.
owser |Tanner's ooze. See Ooze, 3.
