parallel standards |Two or more metals coined without any attempt by the government to regulate their values.
parallel sulcus |A sulcus parallel to, but some distance below, the horizontal limb of the fissure of Sylvius.
parallel transformer |A transformer connected in parallel.
parallel vise |A vise with jaws so guided as to remain parallel.
parallelable |Capable of being paralleled, or equaled. [R.] Bp. Hall.
parallelism |1. The quality or state of being parallel. 2. Resemblance; correspondence; similarity. A close parallelism of thought and incident. T. Warton. 3. Similarity of construction or meaning of clauses placed side by side, especially clauses expressing the same sentiment with slight modifications, as is common in Hebrew poetry; e. g.: -- At her feet he bowed, he fell: Where he bowed, there he fell down dead. Judg. v. 27.
parallelistic |Of the nature of a parallelism; involving parallelism. The antithetic or parallelistic form of Hebrew poetry is entirely lost. Milman.
parallelize |To render parallel. [R.]
parallelless |Matchless. [R.]
parallelly |In a parallel manner; with parallelism. [R.] Dr. H. More.
parallelogram |A right-lined quadrilateral figure, whose opposite sides are parallel, and consequently equal; -- sometimes restricted in popular usage to a rectangle, or quadrilateral figure which is longer than it is broad, and with right angles. Parallelogram of velocities, forces, accelerations, momenta, etc. (Mech.), a parallelogram the diagonal of which represents the resultant of two velocities, forces, accelerations, momenta, etc., both in quantity and direction, when the velocities, forces, accelerations, momenta, etc., are represented in quantity and direction by the two adjacent sides of the parallelogram.
parallelogrammatic |Of or pertaining to a parallelogram; parallelogrammic.
parallelogrammic |Having the properties of a parallelogram. [R.]
parallelogrammical |Having the properties of a parallelogram. [R.]
parallelopiped |A solid, the faces of which are six parallelograms, the opposite pairs being parallel, and equal to each other; a prism whose base is a parallelogram.
parallelopipedon |A parallelopiped. Hutton.
paralogical |Containing paralogism; illogical. \"Paralogical doubt.\" Sir T. Browne.
paralogism |A reasoning which is false in point of form, that is, which is contrary to logical rules or formulæ; a formal fallacy, or pseudo- syllogism, in which the conclusion does not follow from the premises.
paralogize |To reason falsely; to draw conclusions not warranted by the premises. [R.]
paralogy |False reasoning; paralogism.
paralyse |Same as Paralyze.
paralysis |Abolition of function, whether complete or partial; esp., the loss of the power of voluntary motion, with or without that of sensation, in any part of the body; palsy. See Hemiplegia, and Paraplegia. Also used figuratively. \"Utter paralysis of memory.\" G. Eliot. Mischievous practices arising out of the paralysis of the powers of ownership. Duke of Argyll (1887).
paralytic |1. Of or pertaining to paralysis; resembling paralysis. 2. Affected with paralysis, or palsy. The cold, shaking, paralytic hand. Prior. 3. Inclined or tending to paralysis. Paralytic secretion (Physiol.), the fluid, generally thin and watery, secreted from a gland after section or paralysis of its nerves, as the pralytic saliva.\n\nA person affected with paralysis.
paralytical |See Paralytic.
paralyzation |The act or process of paralyzing, or the state of being paralyzed.
paralyze |1. To affect or strike with paralysis or palsy. 2. Fig.: To unnerve; to destroy or impair the energy of; to render ineffective; as, the occurrence paralyzed the community; despondency paralyzed his efforts.
param |A white crystalline nitrogenous substance (C2H4N4); -- called also dicyandiamide.
paramagnetic |Magnetic, as opposed to Ant: diamagnetic. -- n.  A paramagnetic substance. Faraday. -- Par`a*mag*net\"ic*al*ly, adv.
paramagnetism |Magnetism, as opposed to diamagnetism. Faraday.
paramaleic |Pertaining to, or designating, an acid obtained from malic acid, and now called fumaric acid. [Obs.]
paramalic |Pertaining to, or designating, an organic acid metameric with malic acid.
paramastoid |Situated beside, or near, the mastoid portion of the temporal bone; paroccipital; -- applied especially to a process of the skull in some animals.
paramatta |A light fabric of cotton and worsted, resembling bombazine or merino. Beck (Draper's Dict.)
