peevishness |The quality of being peevish; disposition to murmur; sourness of temper. Syn. -- See Petulance.
peevit |See Pewit.
peewit |See Pewit.
peg |1. A small, pointed piece of wood, used in fastening boards together, in attaching the soles of boots or shoes, etc.; as, a shoe peg. 2. A wooden pin, or nail, on which to hang things, as coats, etc. Hence, colloquially and figuratively: A support; a reason; a pretext; as, a peg to hang a claim upon. 3. One of the pins of a musical instrument, on which the strings are strained. Shak. 4. One of the pins used for marking points on a cribbage board. 5. A step; a degree; esp. in the slang phrase \"To take one down peg.\" To screw papal authority to the highest peg. Barrow. And took your grandess down a peg. Hudibras. Peg ladder, a ladder with but one standard, into which cross pieces are inserted. -- Peg tankard, an ancient tankard marked with pegs, so as divide the liquor into equal portions. \"Drink down to your peg.\" Longfellow. -- Peg tooth. See Fleam tooth under Fleam. -- Peg top, a boy's top which is spun by throwing it. -- Screw peg, a small screw without a head, for fastening soles.\n\n1. To put pegs into; to fasten the parts of with pegs; as, to peg shoes; to confine with pegs; to restrict or limit closely. I will rend an oak And peg thee in his knotty entrails. Shak. 2. (Cribbage)  To score with a peg, as points in the game; as, she pegged twelwe points. [Colloq.]\n\nTo work diligently, as one who pegs shoes; -- usually with on, at, or away; as, to peg away at a task.
pegador |A species of remora (Echeneis naucrates). See Remora.
pegasean |Of or pertaining to Pegasus, or, figuratively, to poetry.
pegasoid |Like or pertaining to Pegasus.
pegasus |1. (Gr. Myth.)  A winged horse fabled to have sprung from the body of Medusa when she was slain. He is noted for causing, with a blow of his hoof, Hippocrene, the inspiring fountain of the Muses, to spring from Mount Helicon. On this account he is, in modern times, associated with the Muses, and with ideas of poetic inspiration. Each spurs his jaded Pegasus apace. Byron. 2. (Astron.)  A northen constellation near the vernal equinoctial point. Its three brightest stars, with the brightest star of Andromeda, form the square of Pegasus. 3. (Zoöl.)  A genus of small fishes, having large pectoral fins, and the body covered with hard, bony plates. Several species are known from the East Indies and China.
pegger |One who fastens with pegs.
pegging |The act or process of fastening with pegs.
pegm |A sort of moving machine employed in the old pageants. [Obs.] B. Jonson.
pegmatite |(a) Graphic granite. See under Granite. (b) More generally, a coarse granite occurring as vein material in other rocks.
pegmatitic |Of, pertaining to, or resembling, pegmatite; as, the pegmatic structure of certain rocks resembling graphic granite.
pegmatoid |Resembling pegmatite; pegmatic.
pegomancy |Divination by fountains. [R.]
pegroots |Same as Setterwort.
pehlevi |An ancient Persian dialect in which words were partly represented by their Semitic equivalents. It was in use from the 3d century (and perhaps earlier) to the middle of the 7th century, and later in religious writings. [Written also Pahlavi.]
peignoir |A woman's loose dressing sack; hence, a loose morning gown or wrapper.
pein |See Peen.
peirameter |A dynamometer for measuring the force required to draw wheel carriages on roads of different constructions. G. Francis.
peirastic |Fitted for trail or test; experimental; tentative; treating of attempts.
peise |A weight; a poise. [Obs.] \"To weigh pence with a peise.\" Piers Plowman.\n\nTo poise or weight. [Obs.] Chaucer. Lest leaden slumber peise me down. Shak.
peitrel |See Peytrel.
pejorative |Implying or imputing evil; depreciatory; disparaging; unfavorable.
pekan |See Fisher, 2.
pekoe |A kind of black tea. [Written also pecco.]
pela |See Wax insect, under Wax.
pelage |The covering, or coat, of a mammal, whether of wool, fur, or hair.
pelagian |Of or pertaining to the sea; marine; pelagic; as, pelagian shells.\n\nA follower of Pelagius, a British monk, born in the later part of the 4th century, who denied the doctrines of hereditary sin, of the connection between sin and death, and of conversion through grace.\n\nOf or pertaining to Pelagius, or to his doctrines.
pelagianism |The doctrines of Pelagius.
pelagic |Of or pertaining to the ocean; -- applied especially to animals that live at the surface of the ocean, away from the coast.
pelargonic |Pertaining to, or designating, an organic acid (called also nonoic acid) found in the leaves of the geranium (Pelargonium) and allied plants.
pelargonium |A large genus of plants of the order Geraniaceæ, differing from Geranium in having a spurred calyx and an irregular corolla. Note: About one hundred and seventy species are known, nearly all of them natives of South Africa, and many having very beautiful blossoms. See the Note under Geranium.
pelasgian |1. Of or pertaining to the Pelasgians, an ancient people of Greece, of roving habits. 2. (Zoöl.)  Wandering.
pelasgic |1. Of or pertaining to the Pelasgians, an ancient people of Greece, of roving habits. 2. (Zoöl.)  Wandering.
pelecan |See Pelican.
pelecaniformes |Those birds that are related to the pelican; the Totipalmi.
pelecoid |A figure, somewhat hatched-shaped, bounded by a semicircle and two inverted quadrants, and equal in area to the square ABCD inclosed by the chords of the four quadrants. [Written also pelicoid.] Math. Dict.
pelecypoda |Same as Lamellibranchia.
pelegrine |See Peregrine. [Obs.]
pelerine |A woman's cape; especially, a fur cape that is longer in front than behind. PELE'S HAIR Pe\"le's hair. [After a Hawaiian goddess associated with the crater Kilauea.]  Glass threads or fibers formed by the wind from bits blown from frothy lava or from the tips of lava jets or from bits of liquid lava thrown into the air. It often collects in thick masses resembling tow.
pelf |Money; riches; lucre; gain; -- generally conveying the idea of something ill-gotten or worthless. It has no plural. \"Mucky pelf.\" Spenser. \"Paltry pelf.\" Burke. Can their pelf prosper, not got by valor or industry Fuller.
pelfish |Of or pertaining to pelf. Stanyhurst.
pelfray |Pelf; also, figuratively, rubbish; trash. [Obs.] Cranmer.
pelfry |Pelf; also, figuratively, rubbish; trash. [Obs.] Cranmer.
pelican |1. (Zoöl.)  Any large webfooted bird of the genus of Pelecanus, of which about a dozen species are known. They have an enormous bill, to the lower edge of which is attached a pouch in which captured fishes are temporarily stored. Note: The American white pelican (Pelecanus erythrorhynchos) and the brown species (P. fuscus) are abundant on the Florida coast in winter, but breed about the lakes in the Rocky Mountains and British America. 2. (Old Chem.)  A retort or still having a curved tube or tubes leading back from the head to the body for continuous condensation and redistillation. Note: The principle is still employed in certain modern forms of distilling apparatus. Frigate pelican (Zoöl.), the frigate bird. See under Frigate. -- Pelican fish (Zoöl.), deep-sea fish (Eurypharynx pelecanoides) of the order Lyomeri, remarkable for the enormous development of the jaws, which support a large gular pouch. -- Pelican flower (Bot.), the very large and curiously shaped blossom of a climbing plant (Aristolochia grandiflora) of the West Indies; also, the plant itself. -- Pelican ibis (Zoöl.), a large Asiatic wood ibis (Tantalus leucocephalus). The head and throat are destitute of feathers; the plumage is white, with the quills and the tail greenish black. -- Pelican in her piety (in heraldry and symbolical art), a representation of a pelican in the act of wounding her breast in order to nourish her young with her blood; -- a practice fabulously attributed to the bird, on account of which it was adopted as a symbol of the Redeemer, and of charity. -- Pelican's foot (Zoöl.), a marine gastropod shell of the genus Aporrhais, esp. Aporrhais pes-pelicani of Europe.
pelican state |Louisiana; -- a nickname alluding to the device on its seal.
pelick |The American coot (Fulica).
pelicoid |See Pelecoid.
pelicosauria |A suborder of Theromorpha, including terrestrial reptiles from the Permian formation.
peliom |A variety of iolite, of a smoky blue color; pelioma.
pelioma |1. (Med.)  A livid ecchymosis. 2. (Min.)  See Peliom.
pelisse |An outer garment for men or women, originally of fur, or lined with fur; a lady's outer garment, made of silk or other fabric.
