perfix |To fix surely; to appoint. [Obs.]
perflable |Capable of being blown through. [Obs.]
perflate |To blow through. [Obs.] Harvey.
perflation |The act of perflating. [Obs.] Woodward.
perfoliate |1. (Bot.)  Having the basal part produced around the stem; -- said of leaves which the stem apparently passes directory through. 2. (Zoöl.)  Surrounded by a circle of hairs, or projections of any kind.
perforata |(a) A division of corals including those that have a porous texture, as Porites and Madrepora; -- opposed to Aporosa. (b) A division of Foraminifera, including those having perforated shells.
perforate |To bore through; to pierce through with a pointed instrument; to make a hole or holes through by boring or piercing; to pierce or penetrate the surface of. Bacon.\n\nPierced with a hole or holes, or with pores; having transparent dots resembling holes.
perforated |Pierced with a hole or holes, or with pores; having transparent dots resembling holes.
perforation |1. The act of perforating, or of boring or piercing through. Bacon. 2. A hole made by boring or piercing; an aperture. \"Slender perforations.\" Sir T. Browne.
perforative |Having power to perforate or pierce.
perforator |One who, or that which, perforates; esp., a cephalotome.
perforce |By force; of necessary; at any rate. Shak.\n\nTo force; to compel. [Obs.]
perform |1. To carry through; to bring to completion; to achieve; to accomplish; to execute; to do. I will cry unto God most high, unto God that performeth all things for me. Ps. lvii. 2. Great force to perform what they did attempt. Sir P. Sidney. 2. To discharge; to fulfill; to act up to; as, to perform a duty; to perform a promise or a vow. To perform your father's will. Shak. 3. To represent; to act; to play; as in drama. Perform a part thou hast not done before. Shak. Syn. -- To accomplish; do; act; transact; achieve; execute; discharge; fulfill; effect; complete; consummate. See Accomplish.\n\nTo do, execute, or accomplish something; to acquit one's self in any business; esp., to represent sometimes by action; to act a part; to play on a musical instrument; as, the players perform poorly; the musician performs on the organ.
performable |Admitting of being performed, done, or executed; practicable.
performance |The act of performing; the carrying into execution or action; execution; achievement; accomplishment; representation by action; as, the performance of an undertaking of a duty. Promises are not binding where the performance is impossible. Paley. 2. That which is performed or accomplished; a thing done or carried through; an achievement; a deed; an act; a feat; esp., an action of an elaborate or public character. \"Her walking and other actual performances.\" Shak. \"His musical performances.\" Macaulay. Syn. -- Completion; consummation; execution; accomplishment; achievement; production; work; act; action; deed; exploit; feat.
performer |One who performs, accomplishes, or fulfills; as, a good promiser, but a bad performer; especially, one who shows skill and training in any art; as, a performer of the drama; a performer on the harp.
perfricate |To rub over. Bailey.
perfumatory |Emitting perfume; perfuming. [R.] Sir E. Leigh.
perfume |To fill or impregnate with a perfume; to scent. And Carmel's flowery top perfumes the skies. Pope.\n\n1. The scent, odor, or odoriferous particles emitted from a sweet- smelling substance; a pleasant odor; fragrance; aroma. No rich perfumes refresh the fruitful field. Pope. 2. A substance that emits an agreeable odor. And thou shalt make it a perfume. Ex. xxx. 35.
perfumer |1. One who, oe that which, perfumes. 2. One whose trade is to make or sell perfumes.
perfumery |1. Perfumes, in general. 2. Etym: [Cf. F. parfumerie.]  The art of preparing perfumes.
perfunctorily |In a perfunctory manner; formally; carelessly. Boyle.
perfunctoriness |The quality or state of being perfunctory.
perfunctory |1. Done merely to get rid of a duty; performed mechanically and as a thing of rote; done in a careless and superficial manner; characterized by indifference; as, perfunctory admonitions. Macaulay. 2. Hence: Mechanical; indifferent; listless; careless. \"Perfunctory in his devotions.\" Sharp.
perfuncturate |To perform in a perfunctory manner; to do negligently. [R.]
perfuse |To suffuse; to fill full or to excess. Harvey.
perfusion |The act of perfusing.
perfusive |Of a nature to flow over, or to spread through.
pergamenous |Like parchment.
pergamentaceous |Like parchment.
pergola |Lit., an arbor or bower; specif.: (Italian art)  An arbor or trellis treated architecturally, as with stone columns or similar massive structure.
pergolo |A continuous colonnade or arcade; -- applied to the decorative groups of windows, as in Venetian palazzi.
perhaps |By chance; peradventure; perchance; it may be. And pray God, if perhaps the thought of thine heart may be forgiven thee. Acts viii. 22.
peri |An imaginary being, male or female, like an elf or fairy, represented as a descendant of fallen angels, excluded from paradise till penance is accomplished. Moore.
peri- |A prefix used to signify around, by, near, over, beyond, or to give an intensive sense; as, perimeter, the measure around; perigee, point near the earth; periergy, work beyond what is needed; perispherical, quite spherical.
periagua |See Pirogue.
perianth |(a) The leaves of a flower generally, especially when the calyx and corolla are not readily distinguished. (b) A saclike involucre which incloses the young fruit in most hepatic mosses. See Illust. of Hepatica.
perianthium |The perianth.
periapt |A charm worn as a protection against disease or mischief; an amulet. Coleridge. Now help, ye charming spells and periapts. Shak.
periastral |Among or around the stars. \"Comets in periastral passage.\" R. A. Proctor.
periastron |That point, in the real or apparent orbit of one star revolving around another, at which the former is nearest to the latter.
periauger |See Pirogue. W. Irving.
periblast |The protoplasmic matter which surrounds the entoblast, or cell nucleus, and undergoes segmentation. -- Per`i*blas\"tic, a.
periblem |Nascent cortex, or immature cellular bark.
peribolos |In ancient architecture, an inclosed court, esp., one surrounding a temple.
peribranchial |Surrounding the branchiæ; as, a peribranchial cavity.\n\nAround the bronchi or bronchial tubes; as, the peribronchial lymphatics.
pericambium |A layer of thin-walled young cells in a growing stem, in which layer certain new vessels originate.
pericardiac |Of or pertaining to pericardium; situated around the heart. Pericardial fluid (Physiol.), a serous fluid of a pale yellow color contained in the pericardium.
pericardial |Of or pertaining to pericardium; situated around the heart. Pericardial fluid (Physiol.), a serous fluid of a pale yellow color contained in the pericardium.
pericardian |Pericardiac.
pericardic |Pericardiac.
pericarditus |Inflammation of the pericardium. Dunglison.
pericardium |The double baglike fold of serous membrane which incloses the heart. Note: The inner layer is closely adherent to the outer surface of the heart, and is called the cardiac pericardium. The outer layer loosely incloses the heart and the adherent inner layer, and is called the parietal pericardium. At the base of the heart the two layers are continuous, and form a narrow closed cavity filled with fluid, in which the pulsations of the heart cause little friction.
pericarp |The ripened ovary; the walls of the fruit. See Illusts. of Capsule, Drupe, and Legume.
pericarpial |Of or pertaining to a pericarp.
pericarpic |Of or pertaining to a pericarp.
pericellular |Surrounding a cell; as, the pericellular lymph spaces surrounding ganglion cells.
perichaeth |The leafy involucre surrounding the fruit stalk of mosses; perichætium; perichete.
perichaetial |Of or pertaining to the perichæth.
perichaetium |Same as Perichæth.
perichaetous |Surrounded by setæ; -- said of certain earthworms (genus Perichætus).
perichete |Same as Perichæth.
perichondrial |Of or pertaining to the perichondrium; situated around cartilage.
perichondritis |Inflammation of the perichondrium.
perichondrium |The membrane of fibrous connective tissue which closely invests cartilage, except where covering articular surfaces.
perichordal |Around the notochord; as, a perichordal column. See Epichordal.
periclase |A grayish or dark green mineral, consisting essentially of magnesia (magnesium oxide), occurring in granular forms or in isometric crystals.
periclasite |A grayish or dark green mineral, consisting essentially of magnesia (magnesium oxide), occurring in granular forms or in isometric crystals.
periclinium |The involucre which surrounds the common receptacle in composite flowers.
periclitate |To endanger. [Obs.] Periclitating, pardi! the whole family. Sterne.
periclitation |1. Trial; experiment. [Obs.] 2. The state of being in peril. [Obs.]
pericope |A selection or extract from a book; especially (Theol.), a selection from the Bible, appointed to be read in the churches or used as a text for a sermon.
pericranial |Of or pertaining to the pericranium.
pericranium |The periosteum which covers the cranium externally; the region around the cranium.
periculous |Dangerous; full of peril. [Obs.]
periculum |1. Danger; risk. 2. In a narrower, judicial sense: Accident or casus, as distinguished from dolus and culpa, and hence relieving one from the duty of performing an obligation.
pericystitis |Inflammation of the tissues surrounding the bladder.
periderm |1. (Bot.)  The outer layer of bark. 2. (Zoöl.)  The hard outer covering of hydroids and other marine animals; the perisarc.
peridiastole |The almost inappreciable time which elapses between the systole and the diastole of the heart.
peridium |The envelope or coat of certain fungi, such as the puffballs and earthstars.
peridot |Chrysolite.
peridotite |An eruptive rock characterized by the presence of chrysolite (peridot). It also usually contains pyroxene, enstatite, chromite, etc. It is often altered to serpentine. Note: The chief diamond deposits in South Africa occur in a more or less altered peridotite.
peridrome |The space between the columns and the wall of the cella, in a Greek or a Roman temple.
periecians |See Perioecians.
perienteron |The primitive perivisceral cavity.
periergy |1. Excessive care or diligence. [Obs.] 2. (Rhet.)  A bombastic or labored style. [R.]
periganglionic |Surrounding a ganglion; as, the periganglionic glands of the frog.
perigastric |Surrounding the stomach; -- applied to the body cavity of Bryozoa and various other Invertebrata.
perigean |Pertaining to the perigee. Perigean tides, those spring tides which occur soon after the moon passes her perigee.
perigee |That point in the orbit of the moon which is nearest to the earth; -- opposed to Ant: apogee. It is sometimes, but rarely, used of the nearest points of other orbits, as of a comet, a planet, etc. Called also epigee, epigeum.
perigenesis |A theory which explains inheritance by the transmission of the type of growth force possessed by one generation to another.
perigenetic |Of or pertaining to perigenesis.
perigeum |That point in the orbit of the moon which is nearest to the earth; -- opposed to Ant: apogee. It is sometimes, but rarely, used of the nearest points of other orbits, as of a comet, a planet, etc. Called also epigee, epigeum.
perigone |1. (Bot.) (a) Any organ inclosing the essential organs of a flower; a perianth. (b) In mosses, the involucral bracts of a male flower. 2. (Zoöl.)  A sac which surrounds the generative bodies in the gonophore of a hydroid.
perigonium |Same as Perigone.
perigord pie |A pie made of truffles, much esteemed by epicures.
perigraph |A careless or inaccurate delineation of anything. Etym: [R.]
perigynium |Some unusual appendage about the pistil, as the bottle-shaped body in the sedges, and the bristles or scales in some other genera of the Sedge family, or Cyperaceæ.
perigynous |Having the ovary free, but the petals and stamens borne on the calyx; -- said of flower such as that of the cherry or peach.
perihelion |That point of the orbit of a planet or comet which is nearest to the sun; -- opposed to Ant: aphelion.
perihelium |That point of the orbit of a planet or comet which is nearest to the sun; -- opposed to Ant: aphelion.
peril |Danger; risk; hazard; jeopardy; exposure of person or property to injury, loss, or destruction. In perils of waters, in perils of robbers. 2 Cor. xi. 26. Adventure hard With peril great achieved. Milton. At, or On, one's peril, with risk or danger to one; at the hazard of. \"On thy soul's peril.\" Shak. Syn. -- Hazard; risk; jeopardy. See Danger.\n\nTo expose to danger; to hazard; to risk; as, to peril one's life.\n\nTo be in danger. [Obs.] Milton.
perilla |A genus of labiate herbs, of which one species (Perilla ocimoides, or P. Nankinensis) is often cultivated for its purple or variegated foliage.
