plied |imp. & p. p. of Ply.
pliers |A kind of small pinchers with long jaws, -- used for bending or cutting metal rods or wire, for handling small objects such as the parts of a watch, etc.
pliform |In the form of a ply, fold, or doubling. [Obs.] Pennant.
plight |imp. & p. p. of Plight, to pledge. Chaucer.\n\nimp. & p. p. of Pluck. Chaucer.\n\nTo weave; to braid; to fold; to plait.[Obs.] \"To sew and plight.\" Chaucer. A plighted garment of divers colors. Milton.\n\nA network; a plait; a fold; rarely a garment. [Obs.] \"Many a folded plight.\" Spenser.\n\n1. That which is exposed to risk; that which is plighted or pledged; security; a gage; a pledge. \"That lord whose hand must take my plight.\" Shak. 2. Etym: [Perh. the same word as plight a pledge, but at least influenced by OF. plite, pliste, ploit, ploi, a condition, state; cf. E. plight to fold, and F. pli a fold, habit, plier to fold, E. ply.]  Condition; state; -- risk, or exposure to danger, often being implied; as, a luckless plight. \"Your plight is pitied.\" Shak. To bring our craft all in another plight Chaucer.\n\n1. To pledge; to give as a pledge for the performance of some act; as, to plight faith, honor, word; -- never applied to property or goods. \" To do them plighte their troth.\" Piers Plowman. He plighted his right hand Unto another love, and to another land. Spenser. Here my inviolable faith I plight. Dryden. 2. To promise; to engage; to betroth. Before its setting hour, divide The bridegroom from the plighted bride. Sir W. Scott.
plighter |One who, or that which, plights.
plim |To swell, as grain or wood with water. [Prov. Eng.] Grose. PLIMSOLL'S MARK Plim\"soll's mark`. (Naut.)  A mark conspicuously painted on the port side of all British sea-going merchant vessels, to indicate the limit of submergence allowed by law; -- so called from Samuel Plimsoll, by whose efforts the act of Parliament to prevent overloading was procured.
plinth |(Arch.) In classical architecture, a vertically faced member immediately below the circular base of a column; also, the lowest member of a pedestal; hence, in general, the lowest member of a base; a sub-base; a block upon which the moldings of an architrave or trim are stopped at the bottom. See Illust. of Column.
pliocene |Of, pertaining to, or characterizing, the most recent division of the Tertiary age.\n\nThe Pliocene period or deposits.
pliohippus |An extinct genus of horses from the Pliocene deposits. Each foot had a single toe (or hoof), as in the common horse.
pliosaurus |An extinct genus of marine reptiles allied to Plesiosaurus, but having a much shorter neck.
plitt |An instrument of punishment or torture resembling the knout, used in Russia.
ploc |A mixture of hair and tar for covering the bottom of a ship.
ploce |A figure in which a word is separated or repeated by way of emphasis, so as not only to signify the individual thing denoted by it, but also its peculiar attribute or quality; as, \"His wife's a wife indeed.\" Bailey.
plod |1. To travel slowly but steadily; to trudge. Shak. 2. To toil; to drudge; especially, to study laboriously and patiently. \"Plodding schoolmen.\" Drayton.\n\nTo walk on slowly or heavily. The ploughman homeward plods his weary way. Gray.
plodder |One who plods; a drudge.
plodding |Progressing in a slow, toilsome manner; characterized by laborious diligence; as, a plodding peddler; a plodding student; a man of plodding habits. --Plod\"ding*ly, adv.
plonge |To cleanse, as open drains which are entered by the tide, by stirring up the sediment when the tide ebbs.
