presageful |Full of presages; ominous. Dark in the glass of some presageful mood. Tennyson.
presagement |1. The act or art of presaging; a foreboding. [R.] Sir T. Browne. 2. That which is presaged, or foretold. [R.] \"Ominous presagement before his end. \" Sir H. Wotton.
presager |One who, or that which, presages; a foreteller; a foreboder. Shak.
presagious |Foreboding; ominous. [Obs.]
presbyope |One who has presbyopia; a farsighted person.
presbyopia |A defect of vision consequent upon advancing age. It is due to rigidity of the crystalline lens, which producepresbytia.
presbyopic |Affected by presbyopia; also, remedying presbyopia; farsighted.
presbyopy |See Presbyopia.
presbyte |Same as Presbyope.
presbyter |1. An elder in the early Christian church. See 2d Citation under Bishop, n., 1. 2. (Ch. of Eng. & Prot. Epis. Ch.)  One ordained to the second order in the ministry; -- called also priest. I rather term the one sort presbyter than priest. Hooker. New presbyter is but old priest writ large. Milton. 3. (Presbyterian Ch.)  A member of a presbytery whether lay or clerical. 4. A Presbyterian. [Obs.] Hudibras.
presbyteral |Of or pertaining to a presbyter or presbytery; presbyterial.
presbyterate |A presbytery; also, presbytership. Heber.
presbyteress |A female presbyter. Bale.
presbyterial |Presbyterian. \"Presbyterial government.\" Milton.
presbyterian |Of or pertaining to a presbyter, or to ecclesiastical government by presbyters; relating to those who uphold church government by presbyters; also, to the doctrine, discipline, and worship of a communion so governed.\n\nOne who maintains the validity of ordination and government by presbyters; a member of the Presbyterian church. Reformed Presbyterians. See Cameronian.
presbyterianism |That form of church government which invests presbyters with all spiritual power, and admits no prelates over them; also, the faith and polity of the Presbyterian churches, taken collectively.
presbyterium |Same as Presbytery, 4.
presbytership |The office or station of a presbyter; presbyterate.
presbytery |1. A body of elders in the early Christian church. 2. (Presbyterian Ch.)  A judicatory consisting of all the ministers within a certain district, and one layman, who is a ruling elder, from each parish or church, commissioned to represent the church in conjunction with the pastor. This body has a general jurisdiction over the churches under its care, and next below the provincial synod in authority. 3. The Presbyterian religion of polity. [R.] Tatler. 4. (a) (Arch.) That part of the church reserved for the officiating priest. (b) The residence of a priest or clergyman. Gwilt.
presbytia |Presbyopia.
presbytic |Same as Presbyopic.
presbytism |Presbyopia.
prescapular |(Anat.) Of or pertaining to the prescapula; supraspinous.
prescience |Knowledge of events before they take place; foresight. God's certain prescience of the volitions of moral agents. J. Edwards.
prescient |Having knowledge of coming events; foreseeing; conscious beforehand. Pope. Henry . . . had shown himself sensible, and almost prescient, of this event. Bacon.
presciently |With presciense or foresight.
prescind |1. To cut off; to abstract. [Obs.] Norris. 2. (Metaph.)  To consider by a separate act of attention or analysis. Sir W. Hamilton.
prescindent |Cutting off; abstracting. [R.] Cheyne.
prescious |Foreknowing; having foreknowledge; as, prescious of ills. [R.] Dryden.
prescribe |1. To lay down authoritatively as a guide, direction, or rule of action; to impose as a peremptory order; to dictate; to appoint; to direct. Prescribe not us our duties. Shak. Let streams prescribe their fountains where to run. Dryden. 2. (Med.)  To direct, as a remedy to be used by a patient; as, the doctor prescribed quinine. Syn. -- To appoint; order; command; dictate; ordain; institute; establish.\n\n1. To give directions; to dictate. A forwardness to prescribe to their opinions. Locke. 2. To influence by long use [Obs.] Sir T. Browne. 3. (Med.)  To write or to give medical directions; to indicate remedies; as, to prescribe for a patient in a fever. 4. (Law)  To claim by prescription; to claim a title to a thing on the ground of immemorial use and enjoyment, that is, by a custom having the force of law.
prescriber |One who prescribes.
prescript |Directed; prescribed. \" A prescript from of words.\" Jer. Taylor.\n\n1. Direction; precept; model prescribed. Milton. 2. A medical prescription. [Obs.] Bp. Fell.
prescriptibility |, The quality or state of being prescriptible. Story.
prescriptible |Depending on, or derived from, prescription; proper to be prescribed. Grafton.
prescription |1. The act of prescribing, directing, or dictating; direction; precept; also, that which is prescribed. 2. (Med.)  A direction of a remedy or of remedies for a disease, and the manner of using them; a medical recipe; also, a prescribed remedy. 3. (Law)  A prescribing for title; the claim of title to a thing by virtue immemorial use and enjoyment; the right or title acquired by possession had during the time and in the manner fixed by law. Bacon. That profound reverence for law and prescription which has long been characteristic of Englishmen. Macaulay. Note: Prescription differs from custom, which is a local usage, while prescription is personal, annexed to the person only. Prescription only extends to incorporeal rights, such as aright of way, or of common. What the law gives of common rights is not the subject of prescription. Blackstone. Cruise. Kent. In Scotch law, prescription is employed in the sense in which limitation is used in England and America, namely, to express that operation of the lapse of time by which obligations are extinguished or title protected. Sir T. Craig. Erskine.
prescriptive |Consisting in, or acquired by, immemorial or long-continued use and enjoyment; as, a prescriptive right of title; pleading the continuance and authority of long custom. The right to be drowsy in protracted toil has become prescriptive. J. M. Mason.
prescriptively |By prescription.
prescutum |The first of the four pieces composing the dorsal part, or tergum, of a thoracic segment of an insect. It is usually small and inconspicuous.
preseance |Priority of place in sitting.[Obs.] Carew.
preselect |To select beforehand.
