autocratship |The office or dignity of an autocrat.
autodidact |One who is self-taught; an automath.
autodynamic |Supplying its own power; -- applied to an instrument of the nature of a water-ram.
autoecious |Passing through all its stages on one host, as certain parasitic fungi; -- contrasted with heterocious.
autoecism |Quality of being autocious.
autofecundation |Self-impregnation. Darwin.
autogamous |Characterized by autogamy; self-fertilized.
autogamy |Self-fertilization, the fertilizing pollen being derived from the same blossom as the pistil acted upon.
autogeneal |Self-produced; autogenous.
autogenesis |Spontaneous generation.
autogenetic |Relating to autogenesis; self-generated.
autogenetic drainage |A system of natural drainage developed by the constituent streams through headwater erosion.
autogenetic topography |A system of land forms produced by the free action of rain and streams on rocks of uniform texture.
autogenous |1. (Biol.)  Self-generated; produced independently. 2. (Anat.)  Developed from an independent center of ossification. Owen. Autogenous soldering, the junction by fusion of the joining edges of metals without the intervention of solder.
autogenously |In an autogenous manner; spontaneously.
autograph |That which is written with one's own hand; an original manuscript; a person's own signature or handwriting.\n\nIn one's own handwriting; as, an autograph letter; an autograph will.
autographal |Autographic. [Obs.]
autographic |1. Pertaining to an autograph, or one's own handwriting; of the nature of an autograph. 2. Pertaining to, or used in, the process of autography; as, autographic ink, paper, or press.
autographical |1. Pertaining to an autograph, or one's own handwriting; of the nature of an autograph. 2. Pertaining to, or used in, the process of autography; as, autographic ink, paper, or press.
autography |1. The science of autographs; a person's own handwriting; an autograph. 2. A process in lithography by which a writing or drawing is transferred from paper to stone. Ure.
autoharp |A zitherlike musical instrument, provided with dampers which, when depressed, deaden some strings, leaving free others that form a chord.
autohypnotic |Pert. to autohypnotism; self-hypnotizing. -- n.  An autohypnotic person.
autohypnotism |Hypnotism of one's self by concentration of the attention on some object or idea.
autokinesis |Spontaneous or voluntary movement; movement due to an internal cause.
autokinetic |Self-moving; moving automatically.
autokinetic system |In fire-alarm telegraphy, a system so arranged that when one alarm is being transmitted, no other alarm, sent in from another point, will be transmitted until after the first alarm has been disposed of.
autolatry |Self-worship. Farrar.
automath |One who is self-taught. [R.] Young.
automatic |1. Having an inherent power of action or motion. Nothing can be said to be automatic. Sir H. Davy. 2. Pertaining to, or produced by, an automaton; of the nature of an automaton; self-acting or self-regulating under fixed conditions; -- esp. applied to machinery or devices in which certain things formerly or usually done by hand are done by the machine or device itself; as, the automatic feed of a lathe; automatic gas lighting; an automatic engine or switch; an automatic mouse. 3. Not voluntary; not depending on the will; mechanical; as, automatic movements or functions. Unconscious or automatic reasoning. H. Spenser. Automatic arts, such economic arts or manufacture as are carried on by self-acting machinery. Ure.
automatical |1. Having an inherent power of action or motion. Nothing can be said to be automatic. Sir H. Davy. 2. Pertaining to, or produced by, an automaton; of the nature of an automaton; self-acting or self-regulating under fixed conditions; -- esp. applied to machinery or devices in which certain things formerly or usually done by hand are done by the machine or device itself; as, the automatic feed of a lathe; automatic gas lighting; an automatic engine or switch; an automatic mouse. 3. Not voluntary; not depending on the will; mechanical; as, automatic movements or functions. Unconscious or automatic reasoning. H. Spenser. Automatic arts, such economic arts or manufacture as are carried on by self-acting machinery. Ure.
automatically |In an automatic manner.
automatism |The state or quality of being automatic; the power of self- moving; automatic, mechanical, or involuntary action. (Metaph.) A theory as to the activity of matter.
automaton |1. Any thing or being regarded as having the power of spontaneous motion or action. Huxley. So great and admirable an automaton as the world. Boyle. These living automata, human bodies. Boyle. 2. A self-moving machine, or one which has its motive power within itself; -- applied chiefly to machines which appear to imitate spontaneously the motions of living beings, such as men, birds, etc.
automatous |Automatic. [Obs.] \"Automatous organs.\" Sir T. Browne.
automixte system |A system (devised by Henri Pieper, a Belgian) of driving automobiles employing a gasoline engine and an auxiliary reversible dynamo. When there is an excess of power the dynamo is driven by the engine so as to charge a small storage battery; when there is a deficiency of power the dynamo reverses and acts as an auxiliary motor. Sometimes called Pieper system. -- Automixte car, etc.
automobile |An automobile vehicle or mechanism; esp., a self-propelled vehicle suitable for use on a street or roadway. Automobiles are usually propelled by internal combustion engines (using volatile inflammable liquids, as gasoline or petrol, alcohol, naphtha, etc.), steam engines, or electric motors. The power of the driving motor varies from about 4 to 50 H. P. for ordinary vehicles, ranging from the run-about to the touring car, up to as high as 200 H. P. for specially built racing cars. Automobiles are also commonly, and generally in British usage, called motor cars.
automobilism |The use of automobiles, or the practices, methods, or the like, of those who use them. -- Au`to*mo\"bil*ist, n.
automorphic |Patterned after one's self. The conception which any one frames of another's mind is more or less after the pattern of his own mind, -- is automorphic. H. Spenser.
automorphism |Automorphic characterization. H. Spenser.
autonomasy |The use of a word of common or general signification for the name of a particular thing; as, \"He has gone to town,\" for, \"He has gone to London.\",
  "narcosis |Privation of sense or consciousness, due to a narcotic.
autonomic |Having the power of self-government; autonomous. Hickok.
autonomist |One who advocates autonomy.
autonomous |1. Independent in government; having the right or power of self- government. 2. (Biol.)  Having independent existence or laws.
autonomy |1. The power or right of self-government; self-government, or political independence, of a city or a state. 2. (Metaph.)  The sovereignty of reason in the sphere of morals; or man's power, as possessed of reason, to give law to himself. In this, according to Kant, consist the true nature and only possible proof of liberty. Fleming.
autopathic |Dependent upon, or due or relating to, the structure and characteristics of the diseased organism; endopathic; as, an autopathic disease; an autopathic theory of diseases.
autophagi |Birds which are able to run about and obtain their own food as soon as hatched.
autophagy |The feeding of the body upon itself, as in fasting; nutrition by consumption of one's own tissues.
autophoby |Fear of one's self; fear of being egotistical. [R.] Hare.
autophony |An auscultatory process, which consists in noting the tone of the observer's own voice, while he speaks, holding his head close to the patient's chest. Dunglison.
autoplastic |Of or pertaining to autoplasty.
autoplasty |The process of artificially repairing lesions by taking a piece of healthy tissue, as from a neighboring part, to supply the deficiency caused by disease or wounds.
autopneumatic |Acting or moving automatically by means of compressed air.
autopsic |Pertaining to autopsy; autoptical. [Obs.]
autopsical |Pertaining to autopsy; autoptical. [Obs.]
autopsorin |That which is given under the doctrine of administering a patient's own virus.
