prorectorate |The office of prorector.
prorenal |Pronephric.
proreption |A creeping on.
prorhinal |Situated in front of the nasal chambers.
prorogate |To prorogue. [R.]
prorogation |1. The act of counting in duration; prolongation. [Obs.] South. 2. The act of proroguing; the ending of the session of Parliament, and postponing of its business, by the command of the sovereign. [Eng.] Note: After an adjournment all things continue as they were at the adjournment; whereas, after a prorogation, bill introduced and nut passed are as if they had never been begun at all. Mozley & W.
prorogue |1. To protract; to prolong; to extend. [Obs.] He prorogued his government. Dryden. 2. To defer; to delay; to postpone; as, to proroguedeath; to prorogue a marriage. Shak. 3. To end the session of a parliament by an order of the sovereign, thus deferring its business. Parliament was prorogued to [meet at] Westminster. Bp. Hall. The Parliament was again prorogued to a distant day. Macaulay. Syn. -- To adjourn; postpone; defer. See Adjourn.
proruption |The act or state of bursting forth; a bursting out. [R.] Sir T. Browne.
prosaic |1. Of or pertaining to prose; resembling prose; in the form of prose; unpoetical; writing or using prose; as, a prosaic composition. Cudworth. 2. Dull; uninteresting; commonplace; unimaginative; prosy; as, a prosaic person. Ed. Rev. -- Pro*sa\"ic*al*ly, adv. -- Pro*sa\"ic*al*ness, n.
prosaical |1. Of or pertaining to prose; resembling prose; in the form of prose; unpoetical; writing or using prose; as, a prosaic composition. Cudworth. 2. Dull; uninteresting; commonplace; unimaginative; prosy; as, a prosaic person. Ed. Rev. -- Pro*sa\"ic*al*ly, adv. -- Pro*sa\"ic*al*ness, n.
prosaicism |The quality or state of being prosaic; a prosaic manner or style. [R.] Poe.
prosaism |That which is in the form of prose writing; a prosaic manner. Coleridge.
prosaist |A writer of prose; an unpoetical writer. \"An estimable prosaist.\" I. Taylor.
prosal |Of or pertaining to prose; prosaic. [R.] Sir T. Browne.
proscenium |1. (Anc. Theater)  The part where the actors performed; the stage. 2. (Modern Theater)  The part of the stage in front of the curtain; sometimes, the curtain and its framework. proscenium arch, the framework around the front of the stage.
proscolex |An early larval form of a trematode worm; a redia. See Redia.
proscribe |1. To doom to destruction; to put out of the protection of law; to outlaw; to exile; as, Sylla and Marius proscribed each other's adherents. Robert Vere, Earl of Oxford, . . . was banished the realm, and proscribed. Spenser. 2. To denounce and condemn; to interdict; to prohibit; as, the Puritans proscribed theaters. The Arian doctrines were proscribed and anathematized in the famous Council of Nice. Waterland.
proscriber |One who, or that which, proscribes, denounces, or prohibits.
proscript |1. A proscription; a prohibition; an interdict. [R.] 2. One who is proscribed. [R.]
proscription |1. The act of proscribing; a dooming to death or exile; outlawry; specifically, among the ancient Romans, the public offer of a reward for the head of a political enemy; as, under the triumvirate, many of the best Roman citizens fell by proscription. Every victory by either party had been followed by a sanguinary proscription. Macaulay. 2. The state of being proscribed; denunciation; interdiction; prohibition. Macaulay.
proscriptional |Proscriptive.
proscriptionist |One who proscribes.
proscriptive |Of or pertaining to proscription; consisting in, or of the nature of, proscription; proscribing. Burke. -- Pro*scrip\"tive*ly, adv.
prose |1. The ordinary language of men in speaking or writing; language not cast in poetical measure or rhythm; -- contradistinguished from verse, or metrical composition. I speak in prose, and let him rymes make. Chaucer. Things unattempted yet in prose or rhyme. Milton. I wish our clever young poets would remember my homely definitions of prose and poetry, that is; prose -- words in their best order; poetry -- the best order. Coleridge. 2. Hence, language which evinces little imagination or animation; dull and commonplace discourse. 3. (R. C. Ch.)  A hymn with no regular meter, sometimes introduced into the Mass. See Sequence.\n\n1. Pertaining to, or composed of, prose; not in verse; as, prose composition. 2. Possessing or exhibiting unpoetical characteristics; plain; dull; prosaic; as, the prose duties of life.\n\n1. To write in prose. 2. To write or repeat in a dull, tedious, or prosy way.\n\n1. To write prose. Prosing or versing, but chiefly this latter. Milton.
prosector |One who makes dissections for anatomical illustration; usually, the assistant of a professional anatomist.
prosecutable |Capable of being prosecuted; liable to prosecution.
prosecute |1. To follow or pursue with a view to reach, execute, or accomplish; to endeavor to obtain or complete; to carry on; to continue; as, to prosecute a scheme, hope, or claim. I am beloved Hermia; Why should not I, then, prosecute my right Shak. 2. To seek to obtain by legal process; as, to prosecute a right or a claim in a court of law. 3. (Law)  To pursue with the intention of punishing; to accuse of some crime or breach of law, or to pursue for redress or punishment, before a legal tribunal; to proceed against judicially; as, to prosecute a man for trespass, or for a riot. To acquit themselves and prosecute their foes. Milton.\n\n1. To follow after. [Obs.] Latimer. 2. (Law)  To institute and carry on a legal prosecution; as, to prosecute for public offenses. Blackstone.
