quartzoid |A form of crystal common with quartz, consisting of two six- sided pyramids, base to base.
quartzose |Containing, or resembling, quartz; partaking of the nature or qualities of quartz.
quartzous |Quarzose.
quartzy |Quartzose.
quas |A kind of beer. Same as Quass.
quaschi |The brown coati. See Coati.
quash |Same as Squash.\n\nTo abate, annul, overthrow, or make void; as, to quash an indictment. Blackstone.\n\n1. To beat down, or beat in pieces; to dash forcibly; to crush. The whales Against sharp rocks, like reeling vessels, quashed, Though huge as mountains, are in pieces dashed. Waller. 2. To crush; to subdue; to suppress or extinguish summarily and completely; as, to quash a rebellion. Contrition is apt to quash or allay all worldly grief. Barrow.\n\nTo be shaken, or dashed about, with noise.
quashee |A negro of the West Indies.
quasi |As if; as though; as it were; in a manner sense or degree; having some resemblance to; qualified; -- used as an adjective, or a prefix with a noun or an adjective; as, a quasi contract, an implied contract, an obligation which has arisen from some act, as if from a contract; a quasi corporation, a body that has some, but not all, of the peculiar attributes of a corporation; a quasi argument, that which resembles, or is used as, an argument; quasi historical, apparently historical, seeming to be historical.
quasi corporation |A corporation consisting of a person or body of persons invested with some of the qualities of an artificial person, though not expressly incorporated, esp. the official of certain municipal divisions such as counties, schools districts, and the towns of some States of the United States, certain church officials, as a churchwarden, etc.
quasi-public corporation |A corporation, such as a railroad company, lighting company, water company, etc., organized or chartered to follow a public calling or to render services more or less essential to the general public convenience or safety.
quasimodo |The first Sunday after Easter; Low Sunday.
quasje |The brown coati. See Coati.
quass |A thin, sour beer, made by pouring warm water on rye or barley meal and letting it ferment, -- much used by the Russians. [written also quas.]
quassation |The act of shaking, or the state of being shaken. Gayton.
quassia |The wood of several tropical American trees of the order Simarubeæ, as Quassia amara, Picræna excelsa, and Simaruba amara. It is intensely bitter, and is used in medicine and sometimes as a substitute for hops in making beer.
quassin |The bitter principle of quassia, extracted as a white crystalline substance; -- formerly called quassite. [Written also quassiin, and quassine.]
quat |(a) A pustule. [Obs.] (b) An annoying, worthless person. Shak.\n\nTo satiate; to satisfy. [Prov. Eng.]
quata |The coaita.
quatch |Squat; flat. [Obs.] Shak.
quater-cousin |A cousin within the first four degrees of kindred.
quaternary |1. Consisting of four; by fours, or in sets of four. 2. (Geol.)  Later than, or subsequent to, the Tertiary; Post-tertiary; as, the Quaternary age, or Age of man.\n\n1. The number four. Boyle. 2. (Geol.)  The Quaternary age, era, or formation. See the Chart of Geology.
quaternate |Composed of, or arranged in, sets of four; quaternary; as, quaternate leaves.
quaternion |1. The number four. [Poetic] 2. A set of four parts, things, or person; four things taken collectively; a group of four words, phrases, circumstances, facts, or the like. Delivered him to four quaternions of soldiers. Acts xii. 4. Ye elements, the eldest birth Of Nature's womb, that in quaternion run. Milton. The triads and quaternions with which he loaded his sentences. Sir W. Scott. 3. A word of four syllables; a quadrisyllable. 4. (Math.)  The quotient of two vectors, or of two directed right lines in space, considered as depending on four geometrical elements, and as expressible by an algebraic symbol of quadrinomial form. Note: The science or calculus of quaternions is a new mathematical method, in which the conception of a quaternion is unfolded and symbolically expressed, and is applied to various classes of algebraical, geometrical, and physical questions, so as to discover theorems, and to arrive at the solution of problems. Sir W. R. Hamilton.\n\nTo divide into quaternions, files, or companies. Milton.
quaternity |1. The number four. [Obs.] Sir T. Browne. 2. The union of four in one, as of four persons; -- analogous to the theological term trinity.
quateron |See 2d Quarteron.
quatorzain |A poem of fourteen lines; a sonnet. R. H. Stoddard.
quatorze |The four aces, kings, queens, knaves, or tens, in the game of piquet; -- so called because quatorze counts as fourteen points.
quatrain |A stanza of four lines rhyming alternately. Dryden.
quatre |A card, die. or domino, having four spots, or pips
quatrefeuille |Same as Quarterfoil.
quatrefoil |Same as Quarterfoil.
quattrocento |The fifteenth century, when applied to Italian art or literature; as, the sculpture of the quattrocento; quattrocento style. --Quat`tro*cen\"tist (#), n.
quatuor |A quartet; -- applied chiefly to instrumental compositions.
quave |See Quaver. [Obs.]\n\nTo quaver. [Obs. or Prov. Eng.]
quavemire |See Quagmire. [Obs.]
quaver |1. To tremble; to vibrate; to shake. Sir I. Newton. 2. Especially, to shake the voice; to utter or form sound with rapid or tremulous vibrations, as in singing; also, to trill on a musical instrument\n\nTo utter with quavers. We shall hear her quavering them . . . to some sprightly airs of the opera. Addison.\n\n1. A shake, or rapid and tremulous vibration, of the voice, or of an instrument of music. 2. (Mus.)  An eighth note. See Eighth.
quaverer |One who quavers; a warbler.
quay |A mole, bank, or wharf, formed toward the sea, or at the side of a harbor, river, or other navigable water, for convenience in loading and unloading vessels. [Written also key.]\n\nTo furnish with quays.
quayage |Wharfage. [Also keyage.]
quayd |p. p. of Quail. [Obs.] Spenser.
que |A half farthing. [Obs.]
queach |A thick, bushy plot; a thicket. [Obs.] Chapman.\n\nTo stir; to move. See Quick, v. i. [Obs.]
queachy |1. Yielding or trembling under the feet, as moist or boggy ground; shaking; moving. \"The queachy fens.\" \"Godwin's queachy sands.\" Drayton. 2. Like a queach; thick; bushy. [Obs.] Cockeram.
quean |1. A woman; a young or unmarried woman; a girl. [Obs. or Scot.] Chaucer. 2. A low woman; a wench; a slut. \"The dread of every scolding quean.\" Gay.
queasily |In a queasy manner.
queasiness |The state of being queasy; nausea; qualmishness; squeamishness. Shak.
queasy |1. Sick at the stomach; affected with nausea; inclined to vomit; qualmish. 2. Fastidious; squeamish; delicate; easily disturbed; unsettled; ticklish. \" A queasy question.\" Shak. Some seek, when queasy conscience has its qualms. Cowper.
quebec group |The middle of the three groups into which the rocks of the Canadian period have been divided in the American Lower Silurian system. See the Chart of Geology.
quebracho |A Chilian apocynaceous tree (Aspidosperma Quebracho); also, its bark, which is used as a febrifuge, and for dyspnoea of the lung, or bronchial diseases; -- called also white quebracho, to distinguish it from the red quebracho, a Mexican anacardiaceous tree (Loxopterygium Lorentzii) whose bark is said to have similar properties. J. Smith (Dict. Econ. Plants).
quebrith |Sulphur. [Obs.]
quech |A word occurring in a corrupt passage of Bacon's Essays, and probably meaning, to stir, to move.
queck |A word occurring in a corrupt passage of Bacon's Essays, and probably meaning, to stir, to move.
queen |1. The wife of a king. 2. A woman who is the sovereign of a kingdom; a female monarch; as, Elizabeth, queen of England; Mary, queen of Scots. In faith, and by the heaven's quene. Chaucer. 3. A woman eminent in power or attractions; the highest of her kind; as, a queen in society; -- also used figuratively of cities, countries, etc. \" This queen of cities.\" \" Albion, queen of isles.\" Cowper. 4. The fertile, or fully developed, female of social bees, ants, and termites. 5 5, (Chess)  The most powerful, and except the king the most important, piece in a set of chessmen. 6. A playing card bearing the picture of a queen; as, the queen of spades.  A male homosexual, esp. one who is effeminate or dresses in women's clothing. Sometimes pejorative. Queen apple. Etym: [Cf. OE. quyne aple quince apple.] A kind of apple; a queening. \"Queen apples and red cherries.\" Spenser. -- Queen bee (Zoöl.), a female bee, especially the female of the honeybee. See Honeybee. -- Queen conch (Zoöl.), a very large West Indian cameo conch (Cassis cameo). It is much used for making cameos. -- Queen consort, the wife of a reigning king. Blackstone. -- Queen dowager, the widow of a king. -- Queen gold, formerly a revenue of the queen consort of England, arising from gifts, fines, etc. -- Queen mother, a queen dowager who is also mother of the reigning king or queen. -- Queen of May. See May queen, under May. -- Queen of the meadow (Bot.), a European herbaceous plant (Spiræa Ulmaria). See Meadowsweet. -- Queen of the prairie (Bot.), an American herb (Spiræa lobata) with ample clusters of pale pink flowers. -- Queen pigeon (Zoöl.), any one of several species of very large and handsome crested ground pigeons of the genus Goura, native of New Guinea and the adjacent islands. They are mostly pale blue, or ash- blue, marked with white, and have a large occipital crest of spatulate feathers. Called also crowned pigeon, goura, and Victoria pigeon. -- Queen regent, or Queen regnant, a queen reigning in her own right. -- Queen's Bench. See King's Bench. -- Queen's counsel, Queen's evidence. See King's counsel, King's evidence, under King. -- Queen's delight (Bot.), an American plant (Stillinqia sylvatica) of the Spurge family, having an herbaceous stem and a perennial woody root. -- Queen's metal (Metal.), an alloy somewhat resembling pewter or britannia, and consisting essentially of tin with a slight admixture of antimony, bismuth, and lead or copper. -- Queen's pigeon. (Zoöl.) Same as Queen pigeon, above. -- Queen's ware, glazed English earthenware of a cream color. -- Queen's yellow (Old Chem.), a heavy yellow powder consisting of a basic mercuric sulphate; -- formerly called turpetum minerale, or Turbith's mineral.\n\nTo act the part of a queen. Shak.\n\nTo make a queen (or other piece, at the player's discretion) of by moving it to the eighth row; as, to queen a pawn.
queen olive |Properly, a kind of superior olive grown in the region of Seville, Spain. It is large size and oblong shape with a small but long pit; it is cured when green, keeps well, and has a delicate flavor. Loosely, any olive of similar character.
queen truss |A truss framed with queen-posts; a queen-post truss.
queen-post |One of two suspending posts in a roof truss, or other framed truss of similar form. See King-post.
queencraft |Craft or skill in policy on the part of a queen. Elizabeth showed much queencraft in procuring the votes of the nobility. Fuller.
queendom |The dominion, condition, or character of a queen. Mrs. Browning.
queenfish |A California sciænoid food fish (Seriphys politus). The back is bluish, and the sides and belly bright silvery. Called also kingfish.
queenhood |The state, personality, or character of a queen; queenliness. Tennyson.
queening |Any one of several kinds of apples, as summer queening, scarlet queening, and early queening. An apple called the queening was cultivated in England two hundred years ago.
queenliness |The quality of being queenly; the; characteristic of a queen; stateliness; eminence among women in attractions or power.
queenly |Like, becoming, or suitable to, a queen.
queenship |The state, rank, or dignity of a queen.
queensland nut |The nut of an Australian tree (Macadamia ternifolia). It is about an inch in diameter, and contains a single round edible seed, or sometimes two hemispherical seeds. So called from Queensland in Australia.
queer |1. At variance with what is usual or normal; differing in some odd way from what is ordinary; odd; singular; strange; whimsical; as, a queer story or act. \" A queer look.\" W. Irving. 2. Mysterious; suspicious; questionable; as, a queer transaction. [Colloq.]\n\nCounterfeit money. [Slang] To shove the queer, to put counterfeit money in circulation. [Slang]
queerish |Rather queer; somewhat singular.
queerly |In a queer or odd manner.
queerness |The quality or state of being queer.
queest |The European ringdove (Columba palumbus); the cushat. [Written also quist, queeze, quice, queece.] See Ringdove.
quegh |A drinking vessel. See Quaich.
