rehire |To hire again.
rehypothecate |To hypothecate again. -- Re`hy*poth`e*ca\"tion, n.
rei |A portuguese money of account, in value about one tenth of a cent. [Spelt also ree.]
reichsrath |The parliament of Austria (exclusive of Hungary, which has its own diet, or parliament). It consists of an Upper and a Lower House, or a House of Lords and a House of Representatives.
reichsstand |A free city of the former German empire.
reichstag |The Diet, or House of Representatives, of the German empire, which is composed of members elected for a term of three years by the direct vote of the people. See Bundesrath.
reif |Robbery; spoil. [Obs.]
reigle |A hollow cut or channel for quiding anything; as, the reigle of a side post for a flood gate. Carew.\n\nTo regulate; to govern. [Obs.]
reiglement |Rule; regulation. [Obs.] Bacon. Jer. Taylor.
reign |1. Royal authority; supreme power; sovereignty; rule; dominion. He who like a father held his reign. Pope. Saturn's sons received the threefold reign Of heaven, of ocean,, and deep hell beneath. Prior. 2. The territory or sphere which is reigned over; kingdom; empire; realm; dominion. [Obs.] Spenser. [God] him bereft the regne that he had. Chaucer. 3. The time during which a king, queen, or emperor possesses the supreme authority; as, it happened in the reign of Elizabeth.\n\n1. To possess or exercise sovereign power or authority; to exercise government, as a king or emperor;; to hold supreme power; to rule. Chaucer. We will not have this man to reign over us. Luke xix. 14. Shall Banquo's issue ever Reign in this kingdom Shak. 2. Hence, to be predominant; to prevail. \"Pestilent diseases which commonly reign in summer.\" Bacon. 3. To have superior or uncontrolled dominion; to rule. Let not sin therefore reign in your mortal body. Rom. vi. 12. Syn. -- To rule; govern; direct; control; prevail.
reigner |One who reigns. [R.]
reillume |To light again; to cause to shine anew; to relume; to reillumine. \"Thou must reillume its spark.\" J. R. Drake.
reilluminate |To enlighten again; to reillumine.
reillumination |The act or process of enlightening again.
reillumine |To illumine again or anew; to reillume.
reim |A strip of oxhide, deprived of hair, and rendered pliable, -- used for twisting into ropes, etc. [South Africa] Simmonds.
reimbark |See Re.
reimbody |To imbody again. Boyle.
reimbursable |Capable of being repaid; repayable. A loan has been made of two millions of dollars, reimbursable in ten years. A. Hamilton.
reimburse |1. To replace in a treasury or purse, as an equivalent for what has been taken, lost, or expended; to refund; to pay back; to restore; as, to reimburse the expenses of a war. 2. To make restoration or payment of an equivalent to (a person); to pay back to; to indemnify; -- often reflexive; as, to reimburse one's self by successful speculation. Paley.
reimbursement |The act reimbursing. A. Hamilton.
reimburser |One who reimburses.
reimplant |To implant again.
reimport |To import again; to import what has been exported; to bring back. Young.
reimportation |The act of reimporting; also, that which is reimported.
reimportune |To importune again.
reimpose |To impose anew.
reimpregnate |To impregnate again or anew. Sir T. Browne.
reimpress |To impress anew.
reimpression |A second or repeated impression; a reprint.
reimprint |To imprint again.
reimprison |To imprison again.
reimprisonment |The act of reimprisoning, or the state of being reimprisoned.
rein |1. The strap of a bridle, fastened to the curb or snaffle on each side, by which the rider or driver governs the horse. This knight laid hold upon his reyne. Chaucer. 2. Hence, an instrument or means of curbing, restraining, or governing; government; restraint. \"Let their eyes rove without rein.\" Milton. To give rein, To give the rein to, to give license to; to leave withouut restrain. -- To take the reins, to take the guidance or government; to assume control.\n\n1. To govern or direct with the reins; as, to rein a horse one way or another. He mounts and reins his horse. Chapman. 2. To restrain; to control; to check. Being once chafed, he can not Be reined again to temperance. Shak. To rein in or rein up, to check the speed of, or cause to stop, by drawing the reins.\n\nTo be guided by reins. [R.] Shak.
reinaugurate |To inaugurate anew.
reincit |To incite again.
reincorporate |To incorporate again.
reincrease |To increase again.
reincur |To incur again.
reindeer |Any ruminant of the genus Rangifer, of the Deer family, found in the colder parts of both the Eastern and Western hemispheres, and having long irregularly branched antlers, with the brow tines palmate. Note: The common European species (R. tarandus) is domesticated in Lapland. The woodland reindeer or caribou (R. caribou) is found in Canada and Maine (see Caribou.) The Barren Ground reindeer or caribou (R. Groelandicus), of smaller size, is found on the shores of the Arctic Ocean, in both hemispheries. Reindeer moss (Bot.), a gray branching lichen (Cladonia rangiferina) which forms extensive patches on the ground in arctic and even in north temperature regions. It is the principal food of the Lapland reindeer in winter. -- Reindeer period (Geol.), a name sometimes given to a part of the Paleolithic era when the reindeer was common over Central Europe.
reinduce |To induce again.
reinette |A name given to many different kinds of apples, mostly of French origin.
reinfect |To infect again.
reinfectious |Capable of reinfecting.
reinforce |See Reënforce, v. t.\n\nSee Reënforce, n.
reinforcement |See Reënforcement.
reinfund |To flow in anew. [Obs.] Swift.
reingratiate |To ingratiate again or anew. Sir. T. Herbert.
reinhabit |To inhabit again. Mede.
reinless |Not having, or not governed by, reins; hence, not checked or restrained.
reins |1. The kidneys; also, the region of the kidneys; the loins. 2. The inward impulses; the affections and passions; -- so called because formerly supposed to have their seat in the part of the body where the kidneys are. My reins rejoice, when thy lips speak right things. Prov. xxiii. 16. I am he which searcheth the reins and hearts. Rev. ii. 23. Reins of a vault (Arch.), the parts between the crown andd the spring or abutment, including, and having especial reference to, the loading or filling behind the shell of the vault. The reins are to a vault nearly what the haunches are to an arch, and when a vault gives way by thrusting outward, it is because its reins are not sufficiently filled up.
reinsert |To insert again.
reinsertion |The act of reinserting.
reinspect |To inspect again.
reinspection |The act of reinspecting.
reinspire |To inspire anew. Milton.
reinspirit |To give fresh spirit to.
reinstall |To install again. Milton.
reinstallment |A renewed installment.
reinstate |To place again in possession, or in a former state; to restore to a state from which one had been removed; to instate again; as, to reinstate a king in the possession of the kingdom. For the just we have said already thet some of them were reinstated in their pristine happiness and felicity. Glanvill.
reinstatement |The act of reinstating; the state of being reinstated; re
reinstation |Reinstatement. [R.]
reinstruct |To instruct anew.
reinsurance |1. Insurance a second time or again; renewed insurance. 2. A contract by which an insurer is insured wholly or in part against the risk he has incurred in insuring somebody else. See Reassurance.
reinsure |1. To insure again after a former insuranse has ceased; to renew insurance on. 2. To insure, as life or property, in favor of one who has taken an inssurance risk upon it. The innsurer may cause the property insured to be reinsured by other persons. Walsh.
reinsurer |One who gives reinsurance.
reintegrate |To renew with regard to any state or quality; to restore; to bring again together into a whole, as the parts off anything; to reas, to reintegrate a nation. Bacon.
reintegration |A renewing, or making whole again. See Redintegration.
reinter |To inter again.
reinterrogate |To interrogate again; to question repeatedly. Cotgrave.
reinthrone |See Reënthrone.
reinthronize |To enthrone again.[Obs.]
