resupply |To supply again.
resurgence |The act of rising again; resurrection.
resurgent |Rising again, as from the dead. Coleridge.\n\nOne who rises again, as from the dead. [R.] Sydney Smith.
resurrect |1. To take from the grave; to disinter. [Slang] 2. To reanimate; to restore to life; to bring to view (that which was forgotten or lost). [Slang]
resurrection |1. A rising again; the resumption of vigor. 2. Especially, the rising again from the dead; the resumption of life by the dead; as, the resurrection of Jesus Christ; the general resurrection of all the dead at the Day of Judgment. Nor after resurrection shall he stay Longer on earth. Milton. 3. State of being risen from the dead; future state. In the resurrection they neither marry nor are given in marriage. Matt. xxii. 30. 4. The cause or exemplar of a rising from the dead. I am the resurrection, and the life. John xi. 25. Cross of the resurrection, a slender cross with a pennant floating from the junction of the bars. -- Resurrection plant (Bot.), a name given to several species of Selaginella (as S. convoluta and S. lepidophylla), flowerless plants which, when dry, close up so as to resemble a bird's nest, but revive and expand again when moistened. The name is sometimes also given to the rose of Jericho. See under Rose.
resurrectionist |One who steals bodies from the grave, as for dissection. [Slang]
resurrectionize |To raise from the dead. [R.] Southey.
resurvey |To survey again or anew; to review. Shak.\n\nA second or new survey.
resuscitable |Capable of resuscitation; as, resuscitable plants. Boyle.
resuscitant |One who, or that which resuscitates. Also used adjectively.
resuscitate |Restored to life. [R.] Bp. Gardiner.\n\nTo revivify; to revive; especially, to recover or restore from apparent death; as, to resuscitate a drowned person; to resuscitate withered plants.\n\nTo come to life again; to revive. These projects, however often slain, always resuscitate. J. S. Mill.
resuscitation |The act of resuscitating, or state of being resuscitated. The subject of resuscitation by his sorceries. Sir W. Scott.
resuscitative |Tending to resuscitate; reviving; revivifying.
resuscitator |One who, or that which, resuscitates.
ret |See Aret. [Obs.] Chaucer.\n\nTo prepare for use, as flax, by separating the fibers from the woody part by process of soaking, macerating, and other treatment. Ure.
retable |A shelf behind the altar, for display of lights, vases of wlowers, etc.
retail |The sale of commodities in small quantities or parcels; -- opposed to wholesale; sometimes, the sale of commodities at second hand.\n\nDone at retail; engaged in retailing commodities; as a retail trade; a retail grocer.\n\n1. To sell in small quantities, as by the single yard, pound, gallon, etc.; to sell directly to the consumer; as, to retail cloth or groceries. 2. To sell at second hand. [Obs. or R.] Pope. 3. To distribute in small portions or at second hand; to tell again or to many (what has been told or done); to report; as, to retail slander. \"To whom I will retail my conquest won.\" Shak. He is wit's peddler, and retails his wares At wakes and wassails. Shak.
retailer |One who retails anything; as, a retailer of merchandise; a retailer of gossip.
retailment |The act of retailing.
retain |1. To continue to hold; to keep in possession; not to lose, part with, or dismiss; to retrain from departure, escape, or the like. \"Thy shape invisibleretain.\" Shak. Be obedient, and retain Unalterably firm his love entire. Milton. An executor may retain a debt due to him from the testator. Blackstone. 2. To keep in pay; to employ by a preliminary fee paid; to hire; to engage; as, to retain a counselor. A Benedictine convent has now retained the most learned father of their order to write in its defense. Addison. 3. To restrain; to prevent. [Obs.] Sir W. Temple. Retaining wall (Arch. & Engin.), a wall built to keep any movable backing, or a bank of sand or earth, in its place; -- called also retain wall. Syn. -- To keep; hold; retrain. See Keep.\n\n1. To belong; to pertain. [Obs.] A somewhat languid relish, retaining to bitterness. Boyle. 2. To keep; to continue; to remain. [Obs.] Donne.
retainable |Capable of being retained.
retainal |The act of retaining; retention.
retainer |1. One who, or that which, retains. 2. One who is retained or kept in service; an attendant; an adherent; a hanger-on. 3. Hence, a servant, not a domestic, but occasionally attending and wearing his master's livery. Cowell. 4. (Law) (a) The act of a client by which he engages a lawyer or counselor to manage his cause. (b) The act of withholding what one has in his hands by virtue of some right. (c) A fee paid to engage a lawyer or counselor to maintain a cause, or to prevent his being employed by the opposing party in the case; -- called also retaining fee. Bouvier. Blackstone. 5. The act of keeping dependents, or the state of being in dependence. Bacon.
retainment |The act of retaining; retention. Dr. H. More.
retake |1. To take or receive again. 2. To take from a captor; to recapture; as, to retake a ship or prisoners.
retaker |One who takes again what has been taken; a recaptor. Kent.
retaliate |To return the like for; to repay or requite by an act of the same kind; to return evil for (evil). [Now seldom used except in a bad sense.] One ambassador sent word to the duke's son that his visit should be retaliated. Sir T. Herbert. It is unlucky to be obliged to retaliate the injuries of authors, whose works are so soon forgotten that we are in danger of appearing the first aggressors. Swift.\n\nTo return like for like; specifically, to return evil for evil; as, to retaliate upon an enemy.
retaliation |The act of retaliating, or of returning like for like; retribution; now, specifically, the return of evil for evil; e.g., an eye for an eye, a tooth for a tooth. God . . . takes what is done to others as done to himself, and by promise obloges himself to full retaliation. Calamy. Syn. -- Requital; reprisal; retribution; punishment.
retaliative |Same as Retaliatory.
retaliatory |Tending to, or involving, retaliation; retaliative; as retaliatory measures.
retard |1. To keep delaying; to continue to hinder; to prevent from progress; to render more slow in progress; to impede; to hinder; as, to retard the march of an army; to retard the motion of a ship; -- opposed to Ant: accelerate. 2. To put off; to postpone; as, to retard the attacks of old age; to retard a rupture between nations. Syn. -- To impede; hinder; obstruct; detain; delay; procrastinate; postpone; defer.\n\nTo stay back. [Obs.] Sir. T. Browne.\n\nRetardation; delay. Retard, or Age, of the tide, the interval between the transit of the moon at which a tide originates and the appearance of the tide itself. It is found, in general, that any particular tide is not principally due to the moon's transit immediatelly proceeding, but to a transit which has occured some time before, and which is said to correspond to it. The retard of the tide is thus distinguished from the lunitidal interval. See under Retardation. rHam. Nav. Encyc.
retardation |1. The act of retarding; hindrance; the act of delaying; as, the retardation of the motion of a ship; -- opposed to Ant: acceleration. The retardations of our fluent motion. De Quinsey. 2. That which retards; an obstacle; an obstruction. Hills, sloughs, and other terrestrial retardations. Sir W. Scott. 3. (Mus.)  The keeping back of an approaching consonant chord by prolonging one or more tones of a previous chord into the intermediate chord which follows; -- differing from suspension by resolving upwards instead of downwards. 4. The extent to which anything is retarded; the amount of retarding or delay. Retardation of the tide. (a) The lunitidal interval, or the hour angle of the moon at the time of high tide any port; the interval between the transit of the moon and the time of high tide next following. (b) The age of the tide; the retard of the tide. See under Retard, n.
retardative |Tending, or serving, to retard.
retarder |One who, or that which, retards.
retardment |The act of retarding; retardation. Cowley.
retch |To make an effort to vomit; to strain, as in vomiting. [Written also reach.] Beloved Julia, hear me still beseeching! (Here he grew inarticulate with retching.) Byron.\n\nTo care for; to heed; to reck. [Obs.] Chaucer.
retchless |Careless; reckless. [Obs.] Dryden. --- Retch\"less*ly, adv. -- Retch\"less*ness, n. [Obs.]
rete |A net or network; a plexus; particularly, a network of blood vessels or nerves, or a part resembling a network.
retecious |Resembling network; retiform.
retection |Act of disclosing or uncovering something concealed. [Obs.] Boyle.
retell |To tell again.
retene |A white crystalline hydrocarbon, polymeric with benzene. It is extracted from pine tar, and is also found in certain fossil resins.
retent |That which is retained. Hickok.
retention |1. The act of retaining, or the state of being ratined. 2. The power of retaining; retentiveness. No woman's heart So big, to hold so much; they lack retention. Shak. 3. That which contains something, as a tablet; a [R.] Shak. 4. The act of withholding; retraint; reserve. Shak. 5. Place of custody or confinement. 6. (Law)  The right of withholding a debt, or of retaining property until a debt due to the person claiming the right be duly paid; a lien. Erskine. Craig. Retention cyst (Med.), a cyst produced by obstruction of a duct leading from a secreting organ and the consequent retention of the natural secretions.
retentive |Having power to retain; as, a retentive memory. Nor airless dungeon, nor strong links of iron, Can be retentive to the strength of spirit. Shak.\n\nThat which retains or confines; a restraint. [R.] Bp. Hall.
retentively |In a retentive manner.
retentiveness |The quality of being retentive.
retentivity |The power of retaining; retentive force; as, the retentivity of a magnet.
retentor |A muscle which serves to retain an organ or part in place, esp. when retracted. See Illust. of Phylactolemata.
retepore |Any one of several species of bryozoans of the genus Retepora. They form delicate calcareous corals, usually composed of thin fenestrated fronds.
retex |To annual, as orders. [Obs.] Bp. Hacket.
retexture |The act of weaving or forming again. Carlyle.
rethor |A rhetorician; a careful writer. [Obs.] If a rethor couthe fair endite. Chaucer.
rethoryke |Rhetoric. [Obs.] Chaucer.
retiarius |A gladiator armed with a net for entangling his adversary and a trident for despatching him.
retiary |1. (Zoöl.)  Any spider which spins webs to catch its prey. 2. A retiarius.\n\n1. Netlike. This work is in retiary, or hanging textures. Sir T. Browne. 2. Constructing or using a web, or net, to catch prey; -- said of certain spiders. 3. Armed with a net; hence, skillful to entangle. Scholastic retiary versatility of logic. Coleridge.
reticence |1. The quality or state of being reticent, or keeping silence; the state of holding one's tonque; refraining to speak of that which is suggested; uncommunicativeness. Such fine reserve and noble reticence. Tennyson. 2. (Rhet.)  A figure by which a person really speaks of a thing while he makes a show as if he would say nothingon the subject.
reticency |Reticence.
reticent |Inclined to keep silent; reserved; uncommunicative.
reticle |1. A small net. 2. A reticule. See Reticule,2. [R.]
reticular |1. Having the form of a net, or of network; formed with interstices; retiform; as, reticular cartilage; a reticular leaf. 2. (Anat.)  Of or pertaining to a reticulum.
reticularia |An extensive division of rhizopods in which the pseudopodia are more or less slender and coalesce at certain points, forming irregular meshes. It includes the shelled Foraminifera, together with some groups which lack a true shell.
reticularian |One of the Reticularia.
reticularly |In a reticular manner.
reticulate |1. Resembling network; having the form or appearance of a net; netted; as, a reticulated structure. 2. Having veins, fibers, or lines crossing like the threads or fibers of a network; as, a reticulate leaf; a reticulated surface; a reticulated wing of an insect. Reticulated glass, ornamental ware made from glass in which one set of white or colored lines seems to meet and interlace with another set in a different plane. -- Reticulated micrometer, a micrometer for an optical instrument, consisting of a reticule in the focus of an eyepiece. -- Reticulated work (Masonry), work constructed with diamond-shaped stones, or square stones placed diagonally.
reticulated |1. Resembling network; having the form or appearance of a net; netted; as, a reticulated structure. 2. Having veins, fibers, or lines crossing like the threads or fibers of a network; as, a reticulate leaf; a reticulated surface; a reticulated wing of an insect. Reticulated glass, ornamental ware made from glass in which one set of white or colored lines seems to meet and interlace with another set in a different plane. -- Reticulated micrometer, a micrometer for an optical instrument, consisting of a reticule in the focus of an eyepiece. -- Reticulated work (Masonry), work constructed with diamond-shaped stones, or square stones placed diagonally.
reticulation |The quality or state of being reticulated, or netlike; that which is reticulated; network; an organization resembling a net. The particular net you occupy in the great reticulation. Carlyle.
reticule |1. A little bag, originally of network; a woman's workbag, or a little bag to be carried in the hand. De Quincey. 2. A system of wires or lines in the focus of a telescope or other instrument; a reticle.
reticulosa |Same as Reticularia.
reticulose |Forming a network; characterized by a reticulated sructure. Reticulose rhizopod (Zoöl.), a rhizopod in which the pseudopodia blend together and form irregular meshes.
reticulum |(a) The second stomach of ruminants, in which folds of the mucous membrane form hexagonal cells; -- also called the honeycomb stomach. (b) The neuroglia.
retiform |Composed of crossing lines and interstices; reticular; netlike; as, the retiform coat of the eye.
retina |The delicate membrane by which the back part of the globe of the eye is lined, and in which the fibers of the optic nerve terminate. See Eye. Note: The fibers of the optic nerve and the retinal blood vessels spread out upon the front surface of the retina, while the sensory layer (called Jacob's membrane), containing the rods and cones, is on the back side, next the choroid coat.
retinaculum |1. (Anat.) (a) A connecting band; a frænum; as, the retinacula of the ileocæcal and ileocolic valves. (b) One of the annular ligaments which hold the tendons close to the bones at the larger joints, as at the wrist and ankle. 2. (Zoöl)  One of the retractor muscles of the proboscis of certain worms. 3. (Bot.)  A small gland or process to which bodies are attached; as, the glandular retinacula to which the pollinia of orchids are attached, or the hooks which support the seeds in many acanthaceous plants.
retinal |Of or pertaining to the retina. Retinal purple (Physiol. Chem.), the visual purple.
retinalite |A translucent variety of serpentine, of a honey yellow or greenish yellow color, having a waxy resinlike luster.
retinasphalt |Retinite.
retinasphaltum |Retinite.
retinerved |Having reticulated veins.
retineum |That part of the eye of an invertebrate which corresponds in function with the retina of a vertebrate.
retinic |Of or pertaining to resin; derived from resin; specifically, designating an acid found in certain fossil resins and hydrocarbons.
retinite |An inflammable mineral resin, usually of a yellowish brown color, found in roundish masses, sometimes with coal.
retinitis |Inflammation of the retina.
retinoid |Resinlike, or resinform; resembling a resin without being such.
retinol |A hydrocarbon oil obtained by the distillation of resin, -- used in printer's ink.
retinophora |One of group of two to four united cells which occupy the axial part of the ocelli, or ommatidia, of the eyes of invertebrates, and contain the terminal nerve fibrillæ. See Illust. under Ommatidium.
retinophoral |Of or pertaining to retinophoræ.
retinoscopy |The study of the retina of the eye by means of the ophthalmoscope.
retinue |The body of retainers who follow a prince or other distinguished person; a train of attendants; a suite. Others of your insolent retinue. Shak. What followers, what retinue canst thou gain Milton. To have at one's retinue, to keep or employ as a retainer; to retain. [Obs.] Chaucer.
retinula |One of the group of pigmented cells which surround the retinophoræ of invertebrates. See Illust. under Ommatidium.
retinulate |Having, or characterized by, retinul
retiped |A bird having small polygonal scales covering the tarsi.
retiracy |Retirement; -- mostly used in a jocose or burlesque way. [U.S.] Bartlett. What one of our great men used to call dignified retiracy. C. A. Bristed.
retirade |A kind of retrenchment, as in the body of a bastion, which may be disputed inch by inch after the defenses are dismantled. It usually consists of two faces which make a reëntering angle.
retire |1. To withdraw; to take away; -- sometimes used reflexively. He . . . retired himself, his wife, and children into a forest. Sir P. Sidney. As when the sun is present all the year, And never doth retire his golden ray. Sir J. Davies. 2. To withdraw from circulation, or from the market; to take up and pay; as, to retire bonds; to retire a note. 3. To cause to retire; specifically, to designate as no longer qualified for active service; to place on the retired list; as, to retire a military or naval officer.\n\n1. To go back or return; to draw back or away; to keep aloof; to withdraw or retreat, as from observation; to go into privacy; as, to retire to his home; to retire from the world, or from notice. To Una back he cast him to retire. Spenser. The mind contracts herself, and shrinketh in, And to herself she gladly doth retire. Sir J. Davies. 2. To retreat from action or danger; to withdraw for safety or pleasure; as, to retire from battle. Set Uriah in the forefront of the hottest battle, and retire ye from him, that he may be smitten, and die. 2 Sam. xi. 15. 3. To withdraw from a public station, or from business; as, having made a large fortune, he retired. And from Britannia's public posts retire. Addison. 4. To recede; to fall or bend back; as, the shore of the sea retires in bays and gulfs. 5. To go to bed; as, he usually retires early. Syn. -- To withdraw; leave; depart; secede; recede; retreat; retrocede.\n\n1. The act of retiring, or the state of being retired; also, a place to which one retires. [Obs.] The battle and the retire of the English succors. Bacon. [Eve] discover'd soon the place of her retire. Milton. 2. (Mil.)  A call sounded on a bugle, announcing to skirmishers that they are to retire, or fall back.
retired |1. Private; secluded; quiet; as, a retired life; a person of retired habits. A retired part of the peninsula. Hawthorne. 2. Withdrawn from active duty or business; as, a retired officer; a retired physician. Retired flank (Fort.), a flank bent inward toward the rear of the work. -- Retired list (Mil. & Naval), a list of officers, who, by reason of advanced age or other disability, are relieved from active service, but still receive a specified amount of pay from the government. -- Re*tired\"ly, adv. -- Re*tired\"ness, n.
retirement |1. The act of retiring, or the state of being retired; withdrawal; seclusion; as, the retirement of an officer. O, blest Retirement, friend of life's decline. Goldsmith. Retirement, rural quiet, friendship, books. Thomson. 2. A place of seclusion or privacy; a place to which one withdraws or retreats; a private abode. [Archaic] This coast full of princely retirements for the sumptousness of their buildings and nobleness of the plantations. Evelyn. Caprea had been the retirement of Augustus. Addison. Syn. -- Solitude; withdrawment; departure; retreat; seclusion; privacy. See Solitude.
retirer |One who retires.
retiring |1. Reserved; shy; not forward or obtrusive; as, retiring modesty; retiring manners. 2. Of or pertaining to retirement; causing retirement; suited to, or belonging to, retirement. Retiring board (Mil.), a board of officers who consider and report upon the alleged incapacity of an officer for active service. -- Retiring pension, a pension granted to a public officer on his retirement from office or service.
retistene |A white crystalline hydrocarbon produced indirectly from retene.
retitelae |A group of spiders which spin irregular webs; -- called also Retitelariæ.
retold |imp. & p. p. of Retell.
retorsion |Same as Retortion.
