rhizophaga |A division of marsupials. The wombat is the type.
rhizophagous |Feeding on roots; root-eating.
rhizophora |A genus of trees including the mangrove. See Mangrove.
rhizophorous |Bearing roots.
rhizopod |One of the Rhizopoda. Note: The rhizopods belonging to the Radiolaria and Foraminifera have been of great geological importance, especially in the Cretaceous and Tertiary periods. Chalk is mostly made from the shells of Foraminifera. The nummulites are the principal ingredient of a limestone which is of great extent in Europe and Asia, and is the material of which some of the pyramids of Egypt are made. The shells are abundant in deepsea mud, and are mostly minute, seldom larger than a small grain of sand, except in the case of the nummulities, which are sometimes an inch in diameter.
rhizopoda |An extensive class of Protozoa, including those which have pseudopodia, by means of which they move about and take their food. The principal groups are Lobosa (or Amoebea), Helizoa, Radiolaria, and Foraminifera (or Reticularia). See Protozoa.
rhizopodous |Of or pertaining to the rhizopods.
rhizostomata |A suborder of Medusæ which includes very large species without marginal tentacles, but having large mouth lobes closely united at the edges. See Illust. in Appendix.
rhizostome |One of the Rhizostomata.
rhizotaxis |The arrangement of the roots of plants.
rhob |See 1st Rob.
rhodammonium |Pertaining to, derived from, or containing, rhodium and ammonia; -- said of certain complex compounds.
rhodanate |A salt of rhodanic acid; a sulphocyanate. [Obsoles.]
rhodanic |Pertaining to, or designating, an acid (commonly called sulphocyanic acid) which frms a red color with ferric salts. [Obsoles.]
rhodeoretin |Same as Convolvuln.
rhodian |Of or pertaining to Rhodes, an island of the Mediterranean. -- n.  A native or inhabitant of Rhodes.
rhodic |Of or pertaining to rhodium; containing rhodium.
rhodium |A rare element of the light platinum group. It is found in platinum ores, and obtained free as a white inert metal which it is very difficult to fuse. Symbol Rh. Atomic weight 104.1. Specific gravity 12.
rhodizonic |Pertaining to, or designating, a colorless crystalline substance (called rhodizonic acid, and carboxylic acid) obtained from potassium carboxide and from certain quinones. It forms brilliant red, yellow, and purple salts.
rhodochrosite |Manganese carbonate, a rose-red mineral sometimes occuring crystallized, but generally massive with rhombohedral cleavage like calcite; -- called also dialogite.
rhodocrinite |A rose encrinite.
rhododendron |A genus of shrubs or small trees, often having handsome evergreen leaves, and remarkable for the beauty of their flowers; rosebay.
rhodomontade |See Rodomontade.
rhodomontader |See Rodomontador.
rhodonite |Manganese spar, or silicate of manganese, a mineral occuring crystallised and in rose-red masses. It is often used as an ornamental stone.
rhodophane |The red pigment contained in the inner segments of the cones of the retina in animals. See Chromophane. W. KÜhne.
