seedcake |A sweet cake or cooky containing aromatic seeds, as caraway. Tusser.
seedcod |A seedlip. [Prov. Eng.]
seeder |One who, or that which, sows or plants seed.
seediness |The quality or state of being seedy, shabby, or worn out; a state of wretchedness or exhaustion. [Colloq.] G. Eliot. What is called seedness, after a debauch, is a plain proof that nature has been outraged. J. S. Blackie.
seedless |Without seed or seeds.
seedling |A plant reared from the seed, as distinguished from one propagated by layers, buds, or the like.
seedlip |A vessel in which a sower carries the seed to be scattered. [Prov. Eng.]
seedlop |A vessel in which a sower carries the seed to be scattered. [Prov. Eng.]
seedman |Seedsman.
seedness |Seedtime. [Obs.] Shak.
seedsman |1. A sower; one who sows or scatters seed. The seedsman Upon the slime and ooze scatters his grain. Shak. 2. A person who deals in seeds.
seedtime |The season proper for sowing. While the earth remaineth, seedtime and harvest, and cold and heat, and summer and winter, and day and night, shall not cease. Gen. viii. 22.
seedy |1. Abounding with seeds; bearing seeds; having run to seeds. 2. Having a peculiar flavor supposed to be derived from the weeds growing among the vines; -- said of certain kinds of FRench brandy. 3. Old and worn out; exhausted; spiritless; also, poor and miserable looking; shabily clothed; shabby looking; as, he looked seedy coat. [Colloq.] Little Flanigan here . . . is a little seedy, as we say among us that practice the law. Goldsmith. Seedy toe, an affection of a horse's foot, in which a cavity filled with horn powder is formed between the laminæ and the wall of the hoof.
seeing |(but originally a present participle). In view of the fact (that); considering; taking into account (that); insmuch as; since; because; -- followed by a dependent clause; as, he did well, seeing that he was so young. Wherefore come ye to me, seeing ye hate me Gen. xxvi. 27.
seek |Sick. [Obs.] Chaucer.\n\n1. To go in search of; to look for; to search for; to try to find. The man saked him, saying, What seekest thou And he said, I seek my brethren. Gen. xxxvii. 15,16. 2. To inquire for; to ask for; to solicit; to bessech. Others, tempting him, sought of him a sign. Luke xi. 16. 3. To try to acquire or gain; to strive after; to aim at; as, to seek wealth or fame; to seek one's life. 4. To try to reach or come to; to go to; to resort to. Seek not Bethel, nor enter into Gilgal. Amos v. 5. Since great Ulysses sought the Phrygian plains. Pope.\n\nTo make search or inquiry: to endeavor to make discovery. Seek ye out of the book of the Lord, and read. Isa. xxxiv. 16. To seek, needing to seek or search; hence, unpreparated. \"Unpracticed, unpreparated, and still to seek.\" Milton. [Obs] -- To seek after, to make pursuit of; to attempt to find or take. -- To seek for, to endeavor to find. -- To seek to, to apply to; to resort to; to court. [Obs.] \"All the earth sought to Solomon, to hear his wisdom.\" 1. Kings x. 24. -- To seek upon, to make strict inquiry after; to follow up; to persecute. [Obs.] To seek Upon a man and do his soul unrest. Chaucer.
seek-no-further |A kind of choice winter apple, having a subacid taste; -- formerly called go-no-further.
seek-sorrow |One who contrives to give himself vexation. [Archaic.] Sir P. Sidney.
seeker |1. One who seeks; that which is used in seeking or searching. 2. (Eccl.)  One of a small heterogeneous sect of the 17th century, in Great Britain, who professed to be seeking the true church, ministry, and sacraments. A skeptic [is] ever seeking and never finds, like our new upstart sect of Seekers. Bullokar.
seel |1. (Falconry)  To close the eyes of (a hawk or other bird) by drawing through the lids threads which were fastened over the head. Bacon. Fools climbs to fall: fond hopes, like seeled doves for want of better light, mount till they end their flight with falling. J. Reading. 2. Hence, to shut or close, as the eyes; to blind. Come, seeling night, Scarf up the tender eye of pitiful day. Shak. Gold death, with a violent fate, his sable eyes did seel. Chapman.\n\nTo incline to one side; to lean; to roll, as a ship at sea. [Obs.] Sir W. Raleigh.\n\nThe rolling or agitation of a ship in a sterm. [Obs.] Sandys.\n\n1. Good fortune; favorable opportunity; prosperity. [Obs.] \"So have I seel\". Chaucer. 2. Time; season; as, hay seel. [Prov. Eng.]
seelily |In a silly manner. [Obs.]
seeling |The rolling or agitation of a ship in a sterm. [Obs.] Sandys.
seely |See Silly. [Obs.] Spenser.
seem |To appear, or to appear to be; to have a show or semblance; to present an appearance; to look; to strike one's apprehension or fancy as being; to be taken as. \"It now seemed probable.\" Macaulay. Thou picture of what thou seem'st. Shak. All seemed well pleased; all seemed, but were not all. Milton. There is a way which seemeth right unto a man; but the end thereof are the ways of death. Prov. xiv. 12. It seems, it appears; it is understood as true; it is said. A prince of Italy, it seems, entertained his misstress on a great lake. Addison. Syn. -- To appear; look. -- Seem, Appear. To appear has reference to a thing's being presented to our view; as, the sun appears; to seem is connected with the idea of semblance, and usually implies an inference of our mind as to the probability of a thing's being so; as, a storm seems to be coming. \"The story appears to be true,\" means that the facts, as presented, go to show its truth; \"the story seems to be true,\" means that it has the semblance of being so, and we infer that it is true. \"His first and principal care being to appear unto his people such as he would have them be, and to be such as he appeared.\" Sir P. Sidney. Ham. Ay, madam, it is common. Queen. If it be, Why seems it so particular with thee Ham. Seems, madam! Nay, it is; I know not \"seems.\" Shak.\n\nTo befit; to beseem. [Obs.] Spenser.
seemer |One who seems; one who carries or assumes an appearance or semblance. Hence shall we see, If power change purpose, what our seemers be. Shak.
seeming |Having a semblance, whether with or without reality; apparent; specious; befitting; as, seeming friendship; seeming truth. My lord, you have lost a friend indeed; And I dare swear you borrow not that face Of seeming sorrow, it is sure your own. Shak.\n\n1. Appearance; show; semblance; fair appearance; speciousness. These keep Seeming and savor all the winter long. Shak. 2. Apprehension; judgment. [Obs.] Chaucer. Nothing more clear unto their seeming. Hooker. His persuasive words, impregned With reason, to her seeming. Milton.
