sesamoidal |Sesamoid.
sesban |A leguminous shrub (Sesbania aculeata) which furnishes a fiber used for making ropes. Note: The name is applied also to the similar plant, Sesbania Ægyptiaca, and other species of the same genus.
sesqui- |A combining form (also used adjectively) denoting that three atoms or equivalents of the substance to the name of which it is prefixed are combined with two of some other element or radical; as, sesquibromide, sesquicarbonate, sesquichloride, sesquioxide. Note: Sesquidupli- is sometimes, but rarely, used in the same manner to denote the proportions of two and a half to one, or rather of five to two.
sesquialter |Sesquialteral.\n\nA stop on the organ, containing several ranks of pipes which reënforce some of the high harmonics of the ground tone, and make the sound more brilliant.
sesquialtera |A stop on the organ, containing several ranks of pipes which reënforce some of the high harmonics of the ground tone, and make the sound more brilliant.
sesquialteral |Once and a half times as great as another; having the ratio of one and a half to one. Sesquialteral ratio (Math.), the ratio of one and a half to one; thus, 9 and 6 are in a sequialteral ratio.
sesquialterate |Once and a half times as great as another; having the ratio of one and a half to one. Sesquialteral ratio (Math.), the ratio of one and a half to one; thus, 9 and 6 are in a sequialteral ratio.
sesquialterous |Sesquialteral.
sesquibasic |Containing, or acting as, a base in the proportions of a sesqui compound.
sesquiduplicate |Twice and a half as great (as another thing); having the ratio of two and a half to one. Sesquiduplicate ratio (Math.), the ratio of two and a half to one, or one in which the greater term contains the lesser twice and a half, as that of 50 to 20.
sesquioxide |An oxide containing three atoms of oxygen with two atoms (or radicals) of some other substance; thus, alumina, Al2O3 is a sesquioxide.
sesquipedal |Measuring or containing a foot and a half; as, a sesquipedalian pygmy; -- sometimes humorously applied to long words.
sesquipedalian |Measuring or containing a foot and a half; as, a sesquipedalian pygmy; -- sometimes humorously applied to long words.
sesquipedalianism |Sesquipedality.
sesquipedalism |Sesquipedality.
sesquipedality |1. The quality or condition of being sesquipedal. Sterne. 2. The use of sesquipedalian words; style characterized by the use of long words; sesquipedalism.
sesquiplicate |Subduplicate of the triplicate; -- a term applied to ratios; thus, a and a' are in the sesquiplicate ratio of b and b', when a is to a' as the square root of the cube of b is to the square root of the cube of b', or a:a'::sq. rootb3:sq. rootb'3. The periodic times of the planets are in the sesquiplicate ratio of their mean distances. Sir I. Newton.
sesquisalt |A salt derived from a sesquioxide base, or made up on the proportions of a sesqui compound.
sesquisulphide |A sulphide, analogous to a sesquioxide, containing three atoms of sulphur to two of the other ingredient; -- formerly called also sesquisulphuret; as, orpiment, As2S3 is arsenic sesquisulphide.
sesquitertial |Sesquitertian.
sesquitertian |Having the ratio of one and one third to one (as 4 : 3).
sesquitertianal |Having the ratio of one and one third to one (as 4 : 3).
sesquitone |A minor third, or interval of three semitones.
sess |To lay a tax upon; to assess. [Obs.]\n\nA tax; an assessment. See Cess. [Obs.]
sessa |Hurry; run. [Obs.] Shak.
sessile |1. Attached without any sensible projecting support. 2. (Bot.)  Resting directly upon the main stem or branch, without a petiole or footstalk; as, a sessile leaf or blossom. 3. (Zoöl.)  Permanently attached; -- said of the gonophores of certain hydroids which never became detached.
sessile-eyed |Having eyes which are not elevated on a stalk; -- opposed to stalk-eyed. Sessile-eyed Crustacea, the Arthrostraca.
session |1. The act of sitting, or the state of being seated. [Archaic] So much his ascension into heaven and his session at the right hand of God do import. Hooker. But Viven, gathering somewhat of his mood, . . . Leaped from her session on his lap, and stood. Tennyson. 2. The actual sitting of a court, council, legislature, etc., or the actual assembly of the members of such a body, for the transaction of business. It's fit this royal session do proceed. Shak. 3. Hence, also, the time, period, or term during which a court, council, legislature, etc., meets daily for business; or, the space of time between the first meeting and the prorogation or adjournment; thus, a session of Parliaments is opened with a speech from the throne, and closed by prorogation. The session of a judicial court is called a term. It was resolved that the convocation should meet at the beginning of the next session of Parliament. Macaulay. Note: Sessions, in some of the States, is particularly used as a title for a court of justices, held for granting licenses to innkeepers, etc., and for laying out highways, and the like; it is also the title of several courts of criminal jurisdiction in England and the United States. Church session, the lowest court in the Presbyterian Church, composed of the pastor and a body of elders elected by the members of a particular church, and having the care of matters pertaining to the religious interests of that church, as the admission and dismission of members, discipline, etc. -- Court of Session, the supreme civil court of Scotland. -- Quarter sessions. (Eng.Law) See under Quarter. -- Sessions of the peace, sittings held by justices of the peace. [Eng.]
sessional |Of or pertaining to a session or sessions.
sesspool |Same as Cesspool.
sesterce |A Roman coin or denomination of money, in value the fourth part of a denarius, and originally containing two asses and a half, afterward four asses, -- equal to about two pence sterling, or four cents. Note: The sestertium was equivalent to one thousand sesterces, equal to £8 17s 1d. sterling, or about $43, before the reign of Augustus. After his reign its value was about £7 16s. 3d. sterling. The sesterce was originally coined only in silver, but later both in silver and brass.
sestet |1. (Mus.)  A piece of music composed for six voices or six instruments; a sextet; -- called also sestuor. [Written also sestett, sestette.] 2. (Poet.)  The last six lines of a sonnet.
sestetto |A sestet.
sestine |See Sextain.
sestuor |A sestet.
