shewer |One who shews. See Shower.
shewn |p. p. of Shew.
shiah |Same as Shiite.\n\nA member of that branch of the Mohammedans to which the Persians belong. They reject the first three caliphs, and consider Ali as being the first and only rightful successor of Mohammed. They do not acknowledge the Sunna, or body of traditions respecting Mohammed, as any part of the law, and on these accounts are treated as heretics by the Sunnites, or orthodox Mohammedans.
shibboleth |1. A word which was made the criterion by which to distinguish the Ephraimites from the Gileadites. The Ephraimites, not being able to pronounce sh, called the word sibboleth. See Judges xii. Without reprieve, adjudged to death, For want of well pronouncing shibboleth. Milton.  Also in an extended sense. The th, with its twofold value, is . . . the shibboleth of foreigners. Earle. 2. Hence, the criterion, test, or watchword of a party; a party cry or pet phrase.
shicer |An unproductive mine; a duffer. [Australia]
shide |A thin board; a billet of wood; a splinter. [Prov. Eng.]
shie |See Shy, to throw.
shied |imp. & p. p. of Shy.
shiel |A sheeling. [Scot.] Burns.
shield |1. A broad piece of defensive armor, carried on the arm, -- formerly in general use in war, for the protection of the body. See Buckler. Now put your shields before your hearts and fight, With hearts more proof than shields. Shak. 2. Anything which protects or defends; defense; shelter; protection. \"My council is my shield.\" Shak. 3. Figuratively, one who protects or defends. Fear not, Abram; I am thy shield, and thy exceeding great reward. Gen. xv. 1. 4. (Bot.)  In lichens, a Hardened cup or disk surrounded by a rim and containing the fructification, or asci. 5. (Her.)  The escutcheon or field on which are placed the bearings in coats of arms. Cf. Lozenge. See Illust. of Escutcheon. 6. (Mining & Tunneling)  A framework used to protect workmen in making an adit under ground, and capable of being pushed along as excavation progresses. 7. A spot resembling, or having the form of, a shield. \"Bespotted as with shields of red and black.\" Spenser. 8. A coin, the old French crown, or écu, having on one side the figure of a shield. [Obs.] Chaucer. Shield fern (Bot.), any fern of the genus Aspidium, in which the fructifications are covered with shield-shaped indusia; -- called also wood fern. See Illust. of Indusium.\n\n1. To cover with, or as with, a shield; to cover from danger; to defend; to protect from assault or injury. Shouts of applause ran ringing through the field, To see the son the vanquished father shield. Dryden. A woman's shape doth shield thee. Shak. 2. To ward off; to keep off or out. They brought with them their usual weeds, fit to shield the cold to which they had been inured. Spenser. 3. To avert, as a misfortune; hence, as a supplicatory exclamation, forbid! [Obs.] God shield that it should so befall. Chaucer. God shield I should disturb devotion! Shak.
shield-bearer |1. One who, or that which, carries a shield. 2. (Zoöl.)  Any small moth of the genus Aspidisca, whose larva makes a shieldlike covering for itself out of bits of leaves.
shielddrake |A sheldrake.
shieldless |Destitute of a shield, or of protection. -- Shield\"less*ly, adv. -- Shield\"less*ness, n.
shieldtail |Any species of small burrowing snakes of the family Uropeltidæ, native of Ceylon and Southern Asia. They have a small mouth which can not be dilated.
shieling |A hut or shelter for shepherds of fishers. See Sheeling. [Scot.]
shift |1. To divide; to distribute; to apportion. [Obs.] To which God of his bounty would shift Crowns two of flowers well smelling. Chaucer. 2. To change the place of; to move or remove from one place to another; as, to shift a burden from one shoulder to another; to shift the blame. Hastily he schifte him[self]. Piers Plowman. Pare saffron between the two St. Mary's days, Or set or go shift it that knowest the ways. Tusser. 3. To change the position of; to alter the bearings of; to turn; as, to shift the helm or sails. Carrying the oar loose, [they] shift it hither and thither at pleasure. Sir W. Raleigh. 4. To exchange for another of the same class; to remove and to put some similar thing in its place; to change; as, to shift the clothes; to shift the scenes. I would advise you to shift a shirt. Shak. 5. To change the clothing of; -- used reflexively. [Obs.] As it were to ride day and night; and . . . not to have patience to shift me. Shak. 6. To put off or out of the way by some expedient. \"I shifted him away.\" Shak. To shift off, to delay; to defer; to put off; to lay aside. -- To shift the scene, to change the locality or the surroundings, as in a play or a story. Shift the scene for half an hour; Time and place are in thy power. Swift.\n\n1. To divide; to distribute. [Obs.] Some this, some that, as that him liketh shift. Chaucer. 2. To make a change or changes; to change position; to move; to veer; to substitute one thing for another; -- used in the various senses of the transitive verb. The sixth age shifts Into the lean and slippered pantaloon. Shak. Here the Baillie shifted and fidgeted about in his seat. Sir W. Scott. 3. To resort to expedients for accomplishing a purpose; to contrive; to manage. Men in distress will look to themselves, and leave their companions to schift as well as they can. L'Estrange. 4. To practice indirect or evasive methods. All those schoolmen, though they were exceeding witty, yet better teach all their followers to shift, than to resolve by their distinctions. Sir W. Raleigh. 5. (Naut.)  To slip to one side of a ship, so as to destroy the equilibrum; -- said of ballast or cargo; as, the cargo shifted.\n\n1. The act of shifting. Specifically: (a) The act of putting one thing in the place of another, or of changing the place of a thing; change; substitution. My going to Oxford was not merely for shift of air. Sir H. Wotton. (b) A turning from one thing to another; hence, an expedient tried in difficalty; often, an evasion; a trick; a fraud. \"Reduced to pitiable shifts.\" Macaulay. I 'll find a thousand shifts to get away. Shak. Little souls on little shifts rely. Dryden. 2. Something frequently shifted; especially, a woman's under-garment; a chemise. 3. The change of one set of workmen for another; hence, a spell, or turn, of work; also, a set of workmen who work in turn with other sets; as, a night shift. 4. In building, the extent, or arrangement, of the overlapping of plank, brick, stones, etc., that are placed in courses so as to break joints. 5. (Mining)  A breaking off and dislocation of a seam; a fault. 6. (Mus.)  A change of the position of the hand on the finger board, in playing the violin. To make shift, to contrive or manage in an exigency. \"I shall make shift to go without him.\" Shak. [They] made a shift to keep their own in Ireland. Milton.
shiftable |Admitting of being shifted.
shifter |1. One who, or that which, shifts; one who plays tricks or practices artifice; a cozener. 'T was such a shifter that, if truth were known, Death was half glad when he had got him down. Milton. 2. (Naut.)  An assistant to the ship's cook in washing, steeping, and shifting the salt provisions. 3. (Mach.) (a) An arrangement for shifting a belt sidewise from one pulley to another. (b) (Knitting Mach.) A wire for changing a loop from one needle to another, as in narrowing, etc.
shiftiness |The quality or state of being shifty. Diplomatic shiftiness and political versatility. J. A. Syminds.
shifting |1. Changing in place, position, or direction; varying; variable; fickle; as, shifting winds; shifting opinions or principles. 2. Adapted or used for shifting anything. Shifting backstays (Naut.), temporary stays that have to be let go whenever the vessel tacks or jibes. -- Shifting ballast, ballast which may be moved from one side of a vessel to another as safety requires. -- Shifting center. See Metacenter. -- Shifting locomotive. See Switching engine, under Switch.
shiftingly |In a shifting manner.
shiftless |Destitute of expedients, or not using successful expedients; characterized by failure, especially by failure to provide for one's own support, through negligence or incapacity; hence, lazy; improvident; thriftless; as, a shiftless fellow; shiftless management. -- Shift\"less*ly, adv. -- Shift\"less*ness, n.
