sigillative |Fit to seal; belonging to a seal; composed of wax. [R.]
sigillum |A seal.
sigla |The signs, abbreviations, letters, or characters standing for words, shorthand, etc., in ancient manuscripts, or on coins, medals, etc. W. Savage.
sigma |The Greek letter S, or s). It originally had the form of the English C.
sigmodont |Any one of a tribe (Sigmodontes) of rodents which includes all the indigenous rats and mice of America. So called from the form of the ridges of enamel on the crowns of the worn molars. Also used adjectively.
sigmoid |Curved in two directions, like the letter S, or the Greek s. Sigmoid flexure (Anat.), the last curve of the colon before it terminates in the rectum. See Illust. under Digestive. -- Sigmoid valves. (Anat.) See Semilunar valves, under Semilunar.
sigmoidal |Curved in two directions, like the letter S, or the Greek s. Sigmoid flexure (Anat.), the last curve of the colon before it terminates in the rectum. See Illust. under Digestive. -- Sigmoid valves. (Anat.) See Semilunar valves, under Semilunar.
sigmoidally |In a sigmoidal manner.
sign |That by which anything is made known or represented; that which furnishes evidence; a mark; a token; an indication; a proof. Specifically: (a) A remarkable event, considered by the ancients as indicating the will of some deity; a prodigy; an omen. (b) An event considered by the Jews as indicating the divine will, or as manifesting an interposition of the divine power for some special end; a miracle; a wonder. Through mighty signs and wonders, by the power of the Spirit of God. Rom. xv. 19. It shall come to pass, if they will not believe thee, neither hearken to the voice of the first sign, that they will believe the voice of the latter sign. Ex. iv. 8. (c) Something serving to indicate the existence, or preserve the memory, of a thing; a token; a memorial; a monument. What time the fire devoured two hundred and fifty men, and they became a sign. Num. xxvi. 10. (d) Any symbol or emblem which prefigures, typifles, or represents, an idea; a type; hence, sometimes, a picture. The holy symbols, or signs, are not barely significative; but what they represent is as certainly delivered to us as the symbols themselves. Brerewood. Saint George of Merry England, the sign of victory. Spenser. (e) A word or a character regarded as the outward manifestation of thought; as, words are the sign of ideas. (f) A motion, an action, or a gesture by which a thought is expressed, or a command or a wish made known. They made signs to his father, how he would have him called. Luke i. 62. (g) Hence, one of the gestures of pantomime, or of a language of a signs such as those used by the North American Indians, or those used by the deaf and dumb. Note: Educaters of the deaf distinguish between natural signs, which serve for communicating ideas, and methodical, or systematic, signs, adapted for the dictation, or the rendering, of written language, word by word; and thus the signs are to be distinguished from the manual alphabet, by which words are spelled on the fingers. (h) A military emblem carried on a banner or a standard. Milton. (i) A lettered board, or other conspicuous notice, placed upon or before a building, room, shop, or office to advertise the business there transacted, or the name of the person or firm carrying it on; a publicly displayed token or notice. The shops were, therefore, distinguished by painted signs, which gave a gay and grotesque aspect to the streets. Macaulay. (j) (Astron.)  The twelfth part of the ecliptic or zodiac. Note: The signs are reckoned from the point of intersection of the ecliptic and equator at the vernal equinox, and are named, respectively, Aries (Taurus (Gemini (II), Cancer (Leo (Virgo (Libra (Scorpio (Sagittarius (Capricornus (Aquarius (Pisces ( (k) (Alg.) A character indicating the relation of quantities, or an operation performed upon them; as, the sign + (plus); the sign -- (minus); the sign of division ÷, and the like. (l) (Med.) An objective evidence of disease; that is, one appreciable by some one other than the patient. Note: The terms symptom and and sign are often used synonymously; but they may be discriminated. A sign differs from a symptom in that the latter is perceived only by the patient himself. The term sign is often further restricted to the purely local evidences of disease afforded by direct examination of the organs involved, as distinguished from those evidence of general disturbance afforded by observation of the temperature, pulse, etc. In this sense it is often called physical sign. (m) (Mus.) Any character, as a flat, sharp, dot, etc. (n) (Theol.) That which, being external, stands for, or signifies, something internal or spiritual; -- a term used in the Church of England in speaking of an ordinance considered with reference to that which it represents. An outward and visible sign of an inward and spiritual grace. Bk. of Common Prayer. Note: See the Table of Arbitrary Signs, p. 1924. Sign manual. (a) (Eng. Law) The royal signature superscribed at the top of bills of grants and letter patent, which are then sealed with the privy signet or great seal, as the case may be, to complete their validity. (b) The signature of one's name in one's own handwriting. Craig. Tomlins. Wharton. Syn. -- Token; mark; note; symptom; indication; signal; symbol; type; omen; prognostic; presage; manifestation. See Emblem.\n\n1. To represent by a sign; to make known in a typical or emblematic manner, in distinction from speech; to signify. I signed to Browne to make his retreat. Sir W. Scott. 2. To make a sign upon; to mark with a sign. We receive this child into the congregation of Christ's flock, and do sign him with the sign of the cross. Bk. of Com Prayer. 3. To affix a signature to; to ratify by hand or seal; to subscribe in one's own handwriting. Inquire the Jew's house out, give him this deed, And let him sign it. Shak. 4. To assign or convey formally; -- used with away. 5. To mark; to make distinguishable. Shak.\n\n1. To be a sign or omen. [Obs.] Shak. 2. To make a sign or signal; to communicate directions or intelligence by signs. 3. To write one's name, esp. as a token of assent, responsibility, or obligation.
signable |Suitable to be signed; requiring signature; as, a legal document signable by a particular person.
signal |1. A sign made for the purpose of giving notice to a person of some occurence, command, or danger; also, a sign, event, or watchword, which has been agreed upon as the occasion of concerted action. All obeyed The wonted signal and superior voice Of this great potentate. Milton. 2. A token; an indication; a foreshadowing; a sign. The weary sun . . . Gives signal of a goodly day to-morrow. Shak. There was not the least signal of the calamity to be seen. De Foc.\n\n1. Noticeable; distinguished from what is ordinary; eminent; remarkable; memorable; as, a signal exploit; a signal service; a signal act of benevolence. As signal now in low, dejected state As erst in highest, behold him where he lies. Milton. 2. Of or pertaining to signals, or the use of signals in conveying information; as, a signal flag or officer. The signal service, a bureau of the government (in the United States connected with the War Department) organized to collect from the whole country simultaneous raports of local meteorological conditions, upon comparison of which at the central office, predictions concerning the weather are telegraphed to various sections, where they are made known by signals publicly displayed. -- Signal station, the place where a signal is displayed; specifically, an observation office of the signal service. Syn. -- Eminent; remarkable; memorable; extraordinary; notable; conspicuous.\n\n1. To communicate by signals; as, to signal orders. 2. To notify by a signals; to make a signal or signals to; as, to signal a fleet to anchor. M. Arnold.
signalist |One who makes signals; one who communicates intelligence by means of signals.
signality |The quality or state of being signal or remarkable. [Obs.] Sir T. Browne.
signalize |1. To make signal or eminent; to render distinguished from what is common; to distinguish. It is this passion which drives men to all the ways we see in use of signalizing themselves. Burke. 2. To communicate with by means of a signal; as, a ship signalizes its consort. 3. To indicate the existence, presence, or fact of, by a signal; as, to signalize the arrival of a steamer.
signally |In a signal manner; eminently.
signalman |A man whose business is to manage or display signals; especially, one employed in setting the signals by which railroad trains are run or warned.
signalment |The act of signaling, or of signalizing; hence, description by peculiar, appropriate, or characteristic marks. Mrs. Browning.
signate |Having definite color markings.
signation |Sign given; marking. [Obs.] Sir T. Browne.
signatory |1. Relating to a seal; used in sealing. [Obs.] Bailey. 2. Signing; joining or sharing in a signature; as, signatory powers.\n\nA signer; one who signs or subscribes; as, a conference of signatories.
signature |1. A sign, stamp, or mark impressed, as by a seal. The brain, being well furnished with various traces, signatures, and images. I. Watts. The natural and indelible signature of God, which human souls . . . are supposed to be stamped with. Bentley. 2. Especially, the name of any person, written with his own hand, employed to signify that the writing which precedes accords with his wishes or intentions; a sign manual; an autograph. 3. (Physiol.)  An outward mark by which internal characteristics were supposed to be indicated. Some plants bear a very evident signature of their nature and use. Dr. H. More. 4. (Old Med.)  A resemblance between the external characters of a disease and those of some physical agent, for instance, that existing between the red skin of scarlet fever and a red cloth; -- supposed to indicate this agent in the treatment of the disease. 5. (Mus.)  The designation of the key (when not C major, or its relative, A minor) by means of one or more sharps or flats at the beginning of the staff, immediately after the clef, affecting all notes of the same letter throughout the piece or movement. Each minor key has the same signature as its relative major. 6. (Print.) (a) A letter or figure placed at the bottom of the first page of each sheet of a book or pamphlet, as a direction to the binder in arranging and folding the sheets. (b) The printed sheet so marked, or the form from which it is printed; as, to reprint one or more signatures. Note: Star signatures (as A*, 1*) are the same characters, with the addition of asterisks, used on the first pages of offcuts, as in 12mo sheets. 7. (Pharm.)  That part of a prescription which contains the directions to the patient. It is usually prefaced by S or Sig. (an abbreviation for the Latin signa, imperative of signare to sign or mark).\n\nTo mark with, or as with, a signature or signatures.
signaturist |One who holds to the doctrine of signatures impressed upon objects, indicative of character or qualities. [Obs.] Sir T. Browne.
signboard |A board, placed on or before a shop, office, etc., on which ssome notice is given, as the name of a firm, of a business, or the like.
signer |One who signs or subscribes his name; as, a memorial with a hundred signers.
signet |A seal; especially, in England, the seal used by the sovereign in sealing private letters and grants that pass by bill under the sign manual; -- called also privy signet. I had my father's signet in my purse. Shak. Signet ring, a ring containing a signet or private seal. -- Writer to the signet (Scots Law), a judicial officer who prepares warrants, writs, etc.; originally, a clerk in the office of the secretary of state.
signeted |Stamped or marked with a signet.
signifer |Bearing signs. [Obs.] \"The signifer sphere, or zodiac.\" Holland.
significance |1. The quality or state of being significant. 2. That which is signified; meaning; import; as, the significance of a nod, of a motion of the hand, or of a word or expression. 3. Importance; moment; weight; consequence. With this brain I must work, in order to give significancy and value to the few facts which I possess. De Quincey.
significancy |1. The quality or state of being significant. 2. That which is signified; meaning; import; as, the significance of a nod, of a motion of the hand, or of a word or expression. 3. Importance; moment; weight; consequence. With this brain I must work, in order to give significancy and value to the few facts which I possess. De Quincey.
