skag |An additional piece fastened to the keel of a boat to prevent lateral motion. See Skeg.
skain |See Skein. [Obs.]\n\nSee Skean. Drayton.
skainsmate |A messmate; a companion. [Obs.] Scurvy knave! I am none of his firt-gills; I am none of his skainsmates. Shak.
skaith |See Scatch. [Scot.]
skald |See 5th Scald.
skaldic |See Scaldic. Max Müller.
skall |To scale; to mount. [Obs.]
skar |Wild; timid; shy. [Prov. Eng. & Scot.]
skare |Wild; timid; shy. [Prov. Eng. & Scot.]
skart |The shag. [Prov. Eng.]
skat |1. A three-handed card game played with 32 cards, of which  two constitute the skat (sense 2), or widow. The players bid for the privilege of attempting any of several games or tasks, in most of which the player undertaking the game must take tricks counting in aggregate at least 61 (the counting cards being ace 11, ten 10, king 4, queen 3, jack 2). The four jacks are the best trumps, ranking club, spade, heart, diamond, and ten outranks king or queen (but when the player undertakes to lose all the tricks, the cards rank as in whist). The value of hands depends upon the game played, trump suit, points taken, and number of matadores. 2.  (Skat) A widow of two cards.
skate |A metallic runner with a frame shaped to fit the sole of a shoe, -- made to be fastened under the foot, and used for moving rapidly on ice. Batavia rushes forth; and as they sweep, On sounding skates, a thousand different ways, In circling poise, swift as the winds, along, The then gay land is maddended all to joy. Thomson. Roller skate. See under Roller.\n\nTo move on skates.\n\nAny one of numerous species of large, flat elasmobranch fishes of the genus Raia, having a long, slender tail, terminated by a small caudal fin. The pectoral fins, which are large and broad and united to the sides of the body and head, give a somewhat rhombic form to these fishes. The skin is more or less spinose. Note: Some of the species are used for food, as the European blue or gray skate (Raia batis), which sometimes weighs nearly 200 pounds. The American smooth, or barn-door, skate (R. lævis) is also a large species, often becoming three or four feet across. The common spiny skate (R. erinacea) is much smaller. Skate's egg. See Sea purse. -- Skate sucker, any marine leech of the genus Pontobdella, parasitic on skates.
skater |1. One who skates. 2. (Zoöl.)  Any one of numerous species of hemipterous insects belonging to Gerris, Pyrrhocoris, Prostemma, and allied genera. They have long legs, and run rapidly over the surface of the water, as if skating.
skatol |A constituent of human fæces formed in the small intestines as a product of the putrefaction of albuminous matter. It is also found in reduced indigo. Chemically it is methyl indol, C9H9N.
skayles |[sq. root159.] Skittles. [Obs.]
skean |A knife or short dagger, esp. that in use among the Highlanders of Scotland. [Variously spelt.] \"His skean, or pistol.\" Spenser.
skedaddle |To betake one's self to flight, as if in a panic; to flee; to run away. [Slang, U. S.]
skee |A long strip of wood, curved upwards in front, used on the foot for sliding.
skeed |See Skid.
skeel |A shallow wooden vessel for holding milk or cream. [Prov. Eng. & Scot.] Grose.
skeelduck |The common European sheldrake. [Prov. Eng.]
skeelgoose |The common European sheldrake. [Prov. Eng.]
skeet |A scoop with a long handle, used to wash the sides of a vessel, and formerly to wet the sails or deck.
skeg |1. A sort of wild plum. [Obs.] Holland. 2. pl.  A kind of oats. Farm. Encyc. 3. (Naut.)  The after part of the keel of a vessel, to which the rudder is attached.
skegger |The parr. Walton.
skein |1. A quantity of yarn, thread, or the like, put up together, after it is taken from the reel, -- usually tied in a sort of knot. Note: A skein of cotton yarn is formed by eighty turns of the thread round a fifty-four inch reel. 2. (Wagon Making)  A metallic strengthening band or thimble on the wooden arm of an axle. Knight.\n\nA flight of wild fowl (wild geese or the like). [Prov. Eng.]
skeine |See Skean.
skelder |To deceive; to cheat; to trick. [Obs.] B. Jonson.\n\nA vagrant; a cheat. [Obs.] B. Jonson.
skeldrake |(a) The common European sheldrake. (b) The oyster catcher.
skelet |A skeleton. See Scelet.
skeletal |Pertaining to the skeleton.
skeletogenous |Forming or producing parts of the skeleton.
skeletology |That part of anatomy which treats of the skeleton; also, a treatise on the skeleton.
skeleton |1. (Anat.) (a) The bony and cartilaginous framework which supports the soft parts of a vertebrate animal. Note: [See Illust. of the Human Skeleton, in Appendix.] (b) The more or less firm or hardened framework of an invertebrate animal. Note: In a wider sense, the skeleton includes the whole connective- tissue framework with the integument and its appendages. See Endoskeleton, and Exoskeleton. 2. Hence, figuratively: (a) A very thin or lean person. (b) The framework of anything; the principal parts that support the rest, but without the appendages. The great skeleton of the world. Sir M. Hale. (c) The heads and outline of a literary production, especially of a sermon.\n\nConsisting of, or resembling, a skeleton; consisting merely of the framework or outlines; having only certain leading features of anything; as, a skeleton sermon; a skeleton crystal. Skeleton bill, a bill or draft made out in blank as to the amount or payee, but signed by the acceptor. [Eng.] -- Skeleton key, a key with nearly the whole substance of the web filed away, to adapt it to avoid the wards of a lock; a master key; -- used for opening locks to which it has not been especially fitted. -- Skeleton leaf, a leaf from which the pulpy part has been removed by chemical means, the fibrous part alone remaining. -- Skeleton proof, a proof of a print or engraving, with the inscription outlined in hair strokes only, such proofs being taken before the engraving is finished. -- Skeleton regiment, a regiment which has its complement of officers, but in which there are few enlisted men. -- Skeleton shrimp (Zoöl.), a small crustacean of the genus Caprella. See Illust. under Læmodipoda.
skeletonize |To prepare a skeleton of; also, to reduce, as a leaf, to its skeleton. Pop. Sci. Monthly.
skeletonizer |Any small moth whose larva eats the parenchyma of leaves, leaving the skeleton; as, the apple-leaf skeletonizer.
skellum |A scoundrel. [Obs. or Scot.] Pepys. Burns.
skelly |To squint. [Prov. Eng. & Scot.] Sir W. Scott.\n\nA squint. [Prov. Eng. & Scot.]
skelp |1. A blow; a smart stroke. [Prov. Eng.] Brockett. 2. A squall; also, a heavy fall of rain. [Scot.]\n\nTo strike; to slap. [Scot.] C. Reade.\n\nA wrought-iron plate from which a gun barrel or pipe is made by bending and welding the edges together, and drawing the thick tube thus formed.
skelter |To run off helter-skelter; to hurry; to scurry; -- with away or off. [Colloq.] A. R. Wallace.
sken |To squint. [Prov. Eng.]
skene |See Skean. C. Kingsley.
skep |1. A coarse round farm basket. [Obs. or Prov. Eng. & Scot.] Tusser. 2. A beehive. [Prov. Eng. & Scot.]
