slutch |Slush. [Prov. Eng.]
slutchy |Slushy. [Prov. Eng.] Pennant.
sluthhound |Sleuthhound.
sluttery |The qualities and practices of a slut; sluttishness; slatternlines. Drayton.
sluttish |Like a slut; untidy; indecently negligent of cleanliness; disorderly; as, a sluttish woman. Why is thy lord so slutish, I thee pray. Chaucer. An air of liberal, though sluttish, plenty, indicated the wealthy farmer. Sir W. Scott. -- Slut\"tish*ly, adv. -- Slut\"tish*ness, n.
sly |1. Dexterous in performing an action, so as to escape notice; nimble; skillful; cautious; shrewd; knowing; -- in a good sense. Be ye sly as serpents, and simple as doves. Wyclif (Matt. x. 16). Whom graver age And long experience hath made wise and sly. Fairfax. 2. Artfully cunning; secretly mischievous; wily. For my sly wiles and subtle craftiness, The litle of the kingdom I possess. Spenser. 3. Done with, and marked by, artful and dexterous secrecy; subtle; as, a sly trick. Envy works in a sly and imperceptible manner. I. Watts. 4. Light or delicate; slight; thin. [Obs.] By the sly, or On the sly, in a sly or secret manner. [Colloq.] \"Gazed on Hetty's charms by the sly.\" G. Eliot. -- Sly goose (Zoöl.), the common sheldrake; -- so named from its craftiness. Syn. -- Cunning; crafty; subtile; wily. See Cunning.\n\nSlyly. [Obs. or Poetic] Spenser.
slyboots |A humerous appellation for a sly, cunning, or waggish person. Slyboots was cursedly cunning to hide 'em. Goldsmith.
slyly |In a sly manner; shrewdly; craftily. Honestly and slyly he it spent. Chaucer.
slyness |The quality or state of being sly.
slype |A narrow passage between two buildings, as between the transept and chapter house of a monastery. [Eng.]
smack |A small sailing vessel, commonly rigged as a sloop, used chiefly in the coasting and fishing trade.\n\n1. Taste or flavor, esp. a slight taste or flavor; savor; tincture; as, a smack of bitter in the medicine. Also used figuratively. So quickly they have taken a smack in covetousness. Robynson (More's Utopia). They felt the smack of this world. Latimer. 2. A small quantity; a taste. Dryden. 3. A loud kiss; a buss. \"A clamorous smack.\" Shak. 4. A quick, sharp noise, as of the lips when suddenly separated, or of a whip. 5. A quick, smart blow; a slap. Johnson.\n\nAs if with a smack or slap. [Colloq.]\n\n1. To have a smack; to be tinctured with any particular taste. 2. To have or exhibit indications of the presence of any character or quality. All sects, all ages, smack of this vice. Shak. 3. To kiss with a close compression of the lips, so as to make a sound when they separate; to kiss with a sharp noise; to buss. 4. To make a noise by the separation of the lips after tasting anything.\n\n1. To kiss with a sharp noise; to buss. 2. To open, as the lips, with an inarticulate sound made by a quick compression and separation of the parts of the mouth; to make a noise with, as the lips, by separating them in the act of kissing or after tasting. Drinking off the cup, and smacking his lips with an air of ineffable relish. Sir W. Scott. 3. To make a sharp noise by striking; to crack; as, to smack a whip. \"She smacks the silken thong.\" Young.
