southwestern |Of or pertaining to the southwest; southwesterly; as, to sail a southwestern course.
southwestward |Toward the southwest.
southwestwardly |Toward the southwest.
souvenance |Remembrance. [Obs.] Of his way he had no sovenance. Spenser.
souvenir |That which serves as a reminder; a remembrancer; a memento; a keepsake.
sovenaunce |Remembrance. [Obs.] Of his way he had no sovenance. Spenser.
sovereign |1. Supreme or highest in power; superior to all others; chief; as, our sovereign prince. 2. Independent of, and unlimited by, any other; possessing, or entitled to, original authority or jurisdiction; as, a sovereign state; a sovereign discretion. 3. Princely; royal. \"Most sovereign name.\" Shak. At Babylon was his sovereign see. Chaucer. 4. Predominant; greatest; utmost; paramount. We acknowledge him [God] our sovereign good. Hooker. 5. Efficacious in the highest degree; effectual; controlling; as, a sovereign remedy. Dryden. Such a sovereign influence has this passion upon the regulation of the lives and actions of men. South. Sovereign state, a state which administers its own government, and is not dependent upon, or subject to, another power.\n\n1. The person, body, or state in which independent and supreme authority is vested; especially, in a monarchy, a king, queen, or emperor. No question is to be made but that the bed of the Mississippi belongs to the sovereign, that is, to the nation. Jefferson. 2. A gold coin of Great Britain, on which an effigy of the head of the reigning king or queen is stamped, valued at one pound sterling, or about $4.86. 3. (Zoöl.)  Any butterfly of the tribe Nymphalidi, or genus Basilarchia, as the ursula and the viceroy. Syn. -- King; prince; monarch; potentate; emperor.
sovereignize |To exercise supreme authority. [Obs.] Sir T. Herbert.
sovereignly |In a sovereign manner; in the highest degree; supremely. Chaucer.
sovereignty |The quality or state of being sovereign, or of being a sovereign; the exercise of, or right to exercise, supreme power; dominion; sway; supremacy; independence; also, that which is sovereign; a sovereign state; as, Italy was formerly divided into many sovereignties. Woman desiren to have sovereignty As well over their husband as over their love. Chaucer.
sovran |A variant of Sovereign. [Poetic] On thy bald, awful head, O sovran Blanc. Coleridge.
sow |To sew. See Sew. [Obs.] Chaucer.\n\n1. (Zoöl.)  The female of swine, or of the hog kind. 2. (Zoöl.)  A sow bug. 3. (Metal.) (a) A channel or runner which receives the rows of molds in the pig bed. (b) The bar of metal which remains in such a runner. (c) A mass of solidified metal in a furnace hearth; a salamander. 4. (Mil.)  A kind of covered shed, formerly used by besiegers in filling up and passing the ditch of a besieged place, sapping and mining the wall, or the like. Craig. Sow bread. (Bot.) See Cyclamen. -- Sow bug, or Sowbug (Zoöl.), any one of numerous species of terrestrial Isopoda belonging to Oniscus, Porcellio, and allied genera of the family Oniscidæ. They feed chiefly on decaying vegetable substances. -- Sow thistle Etym: [AS. sugepistel] (Bot.), a composite plant (Sonchus oleraceus) said to be eaten by swine and some other animals.\n\n1. To scatter, as seed, upon the earth; to plant by strewing; as, to sow wheat. Also used figuratively: To spread abroad; to propagate. \"He would sow some difficulty.\" Chaucer. A sower went forth to sow; and when he sowed, some seeds fell by the wayside. Matt. xiii. 3, 4. And sow dissension in the hearts of brothers. Addison. 2. To scatter seed upon, in, or over; to supply or stock, as land, with seeds. Also used figuratively: To scatter over; to besprinkle. The intellectual faculty is a goodly field, . . . and it is the worst husbandry in the world to sow it with trifles. Sir M. Hale. [He] sowed with stars the heaven. Milton. Now morn . . . sowed the earth with orient pearl. Milton.\n\nTo scatter seed for growth and the production of a crop; -- literally or figuratively. They that sow in tears shall reap in joi. Ps. cxxvi. 5.
sowans |See Sowens.
sowar |In India, a mounted soldier.
sowbane |The red goosefoot (Chenopodium rubrum), -- said to be fatal to swine.
sowce |See Souse. [Obs.]
sowdan |Sultan. [Obs.] Chaucer.
sowdanesse |A sultaness. [Obs.] Chaucer.
sowens |A nutritious article of food, much used in Scotland, made from the husk of the oat by a process not unlike that by which common starch is made; -- called flummery in England. [Written also sowans, and sowins.]
sower |One who, or that which, sows.
sowins |See Sowens.
sowl |To pull by the ears; to drag about. [Obs.] hak.\n\nSee Soul, v. i. [Obs.]
sowle |To pull by the ears; to drag about. [Obs.] hak.
sown |p. p. of Sow.
sowne |To sound. [Obs.] Chaucer.
sowse |See Souse. [Obs.] ryden.
sowter |See Souter. [Obs.] B. Jonson.
soy |1. A Chinese and Japanese liquid sauce for fish, etc., made by subjecting boiled beans (esp. soja beans), or beans and meal, to long fermentation and then long digestion in salt and water. 2. (Bot.)  The soja, a kind of bean. See Soja.
soyle |To solve, to clear up; as, to soyl all other texts. [Obs.] Tyndate.\n\nPrey. [Obs.] Spenser.
soyned |Filled with care; anxious. [Obs.] Mir. for Mag.
sozzle |1. To splash or wet carelessly; as, to sozzle the feet in water. [Local, U.S.] Bartlett. 2. To heap up in confusion. [Prov. Eng.] Forby.\n\n1. One who spills water or other liquids carelessly; specifically, a sluttish woman. [Local, U.S.] 2. A mass, or heap, confusedly mingled. [Prov. Eng.]
spa |A spring or mineral water; -- so called from a place of this name in Belgium.
spaad |A kind of spar; earth flax, or amianthus. [Obs.] oodward.
