stirless |Without stirring; very quiet; motionless. \"Lying helpless and stirless.\" Hare.
stirp |Stock; race; family. [Obs.] Bacon.
stirpiculture |The breeding of special stocks or races.
stirps |1. (Law)  Stock; race; family. Blackstone. 2. (Bot.)  A race, or a fixed and permanent variety.
stirrage |The act of stirring; stir; commotion. [Obs.] T. Granger.
stirrer |One who, or that which, stirs something; also, one who moves about, especially after sleep; as, an early stirrer. Shak. Stirrer up, an instigator or inciter. Atterbury.
stirring |Putting in motion, or being in motion; active; active in business; habitually employed in some kind of business; accustomed to a busy life. A more stirring and intellectual age than any which had gone before it. Southey. Syn. -- Animating; arousing; awakening; stimulating; quickening; exciting.
stirrup |1. A kind of ring, or bent piece of metal, wood, leather, or the like, horizontal in one part for receiving the foot of a rider, and attached by a strap to the saddle, -- used to assist a person in mounting a horse, and to enable him to sit steadily in riding, as well as to relieve him by supporting a part of the weight of the body. Our host upon his stirpoes stood anon. Chaucer. 2. (Carp. & Mach.)  Any piece resembling in shape the stirrup of a saddle, and used as a support, clamp, etc. See Bridle iron. 3. (Naut.)  A rope secured to a yard, with a thimble in its lower end for supporting a footrope. Totten. Stirrup bone (Anat.), the stapes. -- Stirrup cup, a parting cup taken after mounting. -- Stirrup iron, an iron stirrup. -- Stirrup leather, or Stirrup strap, the strap which attaches a stirrup to the saddle. See Stirrup, 1.
stirt |Started; leaped. They privily be stirt into a well. Chaucer.
stirte |imp. of Start, v. i. & t. Chaucer.
stitch |1. A single pass of a needle in sewing; the loop or turn of the thread thus made. 2. A single turn of the thread round a needle in knitting; a link, or loop, of yarn; as, to let down, or drop, a stitch; to take up a stitch. 3. Etym: [Cf. OE. sticche, stecche, stucche, a piece, AS. stycce. Cf. Stock.]  A space of work taken up, or gone over, in a single pass of the needle; hence, by extension, any space passed over; distance. You have gone a good stitch. Bunyan. In Syria the husbandmen go lightly over with their plow, and take no deep stitch in making their furrows. Holland. 4. A local sharp pain; an acute pain, like the piercing of a needle; as, a stitch in the side. He was taken with a cold and with stitches, which was, indeed, a pleurisy. Bp. Burnet. 5. A contortion, or twist. [Obs.] If you talk, Or pull your face into a stitch again, I shall be angry. Marston. 6. Any least part of a fabric or dress; as, to wet every stitch of clothes. [Colloq.] 7. A furrow. Chapman. Chain stitch, Lock stitch. See in the Vocabulary. -- Pearl, or Purl stitch. See 2nd Purl, 2.\n\n1. To form stitches in; especially, to sew in such a manner as to show on the surface a continuous line of stitches; as, to stitch a shirt bosom. 2. To sew, or unite together by stitches; as, to stitch printed sheets in making a book or a pamphlet. 3. (Agric.)  To form land into ridges. To stitch up, to mend or unite with a needle and thread; as, to stitch up a rent; to stitch up an artery.\n\nTo practice stitching, or needlework.
stitchel |A kind of hairy wool. [Prov.]
stitcher |One who stitches; a seamstress.
stitchery |Needlework; -- in comtempt. Shak.
stitching |1. The act of one who stitches. 2. Work done by sewing, esp. when a continuous line of stitches is shown on the surface; stitches, collectively.
stitchwort |See Stichwort.
stith |Strong; stiff; rigid. [Obs. or Prov. Eng.]\n\nAn anvil; a stithy. [Obs. or Prov. Eng.] He invented also pincers, hammers, iron crows, and the anvil, or stith. Holland.
stithy |1. An anvil. Sir W. Scott. 2. A smith's shop; a smithy; a smithery; a forge. \"As foul as Vulcan's stithy.\" Shak.\n\nTo forge on an anvil. The forge that stithied Mars his helm. Shak.
stive |To stuff; to crowd; to fill full; hence, to make hot and close; to render stifling. Sandys. His chamber was commonly stived with friends or suitors of one kind or other. Sir H. Wotton.\n\nTo be stifled or suffocated.\n\nThe floating dust in flour mills caused by the operation or grinding. De Colange.
stiver |A Dutch coin, and money of account, of the value of two cents, or about one penny sterling; hence, figuratively, anything of little worth.
stives |Stews; a brothel. [Obs.] Chaucer.
stoak |To stop; to choke.
stoat |The ermine in its summer pelage, when it is reddish brown, but with a black tip to the tail. The name is sometimes applied also to other brown weasels.
stocah |A menial attendant. [Obs.] Spenser.
stoccade |See Stockade.
stoccado |A stab; a thrust with a rapier. Shak.
stochastic |Conjectural; able to conjecture. [Obs.] Whitefoot.
