stronghold |A fastness; a fort or fortress; fortfield place; a place of security.
strongish |Somewhat strong.
strongly |In a strong manner; so as to be strong in action or in resistance; with strength; with great force; forcibly; powerfully; firmly; vehemently; as, a town strongly fortified; he objected strongly.
strongylid |Strongyloid.
strongyloid |Like, or pertaining to, Strongylus, a genus of parasitic nematode worms of which many species infest domestic animals. Some of the species, especially those living in the kidneys, lungs, and bronchial tubes, are often very injurious. -- n.  A strongyloid worm.
strontia |An earth of a white color resembling lime in appearance, and baryta in many of its properties. It is an oxide of the metal strontium.
strontian |Strontia.
strontianite |Strontium carbonate, a mineral of a white, greenish, or yellowish color, usually occurring in fibrous massive forms, but sometimes in prismatic crystals.
strontic |Of or pertaining to strontium; containing, or designating the compounds of, strontium.
strontitic |Strontic.
strontium |A metallic element of the calcium group, always naturally occurring combined, as in the minerals strontianite, celestite, etc. It is isolated as a yellowish metal, somewhat malleable but harder than calcium. It is chiefly employed (as in the nitrate) to color pyrotechnic flames red. Symbol Sr. Atomic weight 87.3. A radioactive isotope of strontium produced by certain nuclear reactions, and constituting one of the prominent harmful components of radioactive fallout from nuclear explosions; also called radiostrontium. It has a half-life of 28 years.
strook |imp. of Strike. Dryden.\n\nA stroke. [Obs.] Chaucer.
stroot |To swell out; to strut. [Obs.] Chapman.
strop |A strap; specifically, same as Strap, 3.\n\nTo draw over, or rub upon, a strop with a view to sharpen; as, to strop a razor.\n\nA piece of rope spliced into a circular wreath, and put round a block for hanging it.
strophanthus |A genus of tropical apocynaceous shrubs having singularly twisted flowers. One species (Strophanthus hispidus) is used medicinally as a cardiac sedative and stimulant.
strophe |In Greek choruses and dances, the movement of the chorus while turning from the right to the left of the orchestra; hence, the strain, or part of the choral ode, sung during this movement. Also sometimes used of a stanza of modern verse. See the Note under Antistrophe.
strophic |Pertaining to, containing, or consisting of, strophes.
strophiolate |Furnished with a strophiole, or caruncle, or that which resembles it. Gray.
strophiolated |Furnished with a strophiole, or caruncle, or that which resembles it. Gray.
strophiole |A crestlike excrescence about the hilum of certain seeds; a caruncle.
strophulus |See Red-gum, 1.
stroud |A kind of coarse blanket or garment used by the North American Indians.
strouding |Material for strouds; a kind of coarse cloth used in trade with the North American Indians.
strout |To swell; to puff out; to project. [Obs.] Chaucer.\n\nTo cause to project or swell out; to enlarge affectedly; to strut. [Obs.] Bacon.
strove |imp. of Strive.
strow |Same as Strew. Thick as autumnal leaves that strow the brooks In Vallombrosa. Milton. A manner turbid . . . and strown with blemished. M. Arnold.
strowl |To stroll. [Obs.]
strown |p. p. of Strow.
stroy |To destroy. [Obs.] Tusser.
struck |imp. & p. p. of Strike. Struck jury (Law), a special jury, composed of persons having special knowledge or qualifications, selected by striking from the panel of jurors a certain number for each party, leaving the number required by law to try the cause.
strucken |p. p. of Strike. Shak.
structural |1. Of or pertaining to structure; affecting structure; as, a structural error. 2. (Biol.)  Of or pertaining to organit structure; as, a structural element or cell; the structural peculiarities of an animal or a plant. Structural formula. (Chem.) See Rational formula, under Formula. empirical formula.
structural shape |The shape of a member especially adapted to structural purposes, esp. in giving the greatest strength with the least material. Hence, Colloq.,  any steel or iron member of such shape, as channel irons, I beams, T beams, etc., or, sometimes, a column, girder, etc., built up with such members.
structural steel |(a) Rolled steel in structural shapes. (b)  A kind of strong mild steel, suitable for structural shapes.
