supremely |In a supreme manner.
supremity |Supremacy. [Obs.] Fuller.
sur- |A prefix signifying over, above, beyond, upon.
sura |One of the sections or chapters of the Koran, which are one hundred and fourteen in number.
suradanni |A valuable kind of wood obtained on the shores of the Demerara River in South America, much used for timbers, rails, naves and fellies of wheels, and the like.
suraddition |Something added or appended, as to a name. [Obs.] Shak.
surah |A soft twilled silk fabric much used for women's dresses; -- called also surah silk.
sural |Of or pertaining to the calf of the leg; as, the sural arteries.
surance |Assurance. [Obs.] Shak.
surangular |Above the angular bone; supra-angular; -- applied to a bone of the lower jaw in many reptiles and birds. -- n.  The surangular bone.
surbase |1. (Arch.)  A cornice, or series of moldings, on the top of the base of a pedestal, podium, etc. See Illust. of Column. 2. A board or group of moldings running round a room on a level with the tops of the chair backs. Knight.
surbased |(a) Having a surbase, or molding above the base. (b) Etym: [F. surbaissé.]  Having the vertical height from springing line to crown less than the half span; -- said of an arch; as, a segmental arch is surbased.
surbate |1. To make sore or bruise, as the feet by travel. [Obs.] Lest they their fins should bruise, and surbate sore Their tender feet upon the stony ground. Spenser. Chalky land surbates and spoils oxen's feet. Mortimer. 2. To harass; to fatigue. [Obs.] Clarendon.
surbeat |Same as Surbate. [Obs.]
surbed |To set edgewise, as a stone; that is, to set it in a position different from that which it had in the quarry. It . . . has something of a grain parallel with the horizon, and therefore should not be surbedded. Gilbert White.
surbet |Same as Surbate. [Obs.]\n\nSurbated; bruised. [Obs.] Spenser.
surcease |Cessation; stop; end. \"Not desire, but its surcease.\" Longfellow. It is time that there were an end and surcease made of this immodest and deformed manner of writing. Bacon.\n\nTo cause to cease; to end. [Obs.] \"The waves . . . their range surceast.\" Spenser. The nations, overawed, surceased the fight. Dryden.\n\nTo cease. [Obs.]
surceaseance |Cessation. [Obs.]
surcharge |1. To overload; to overburden; to overmatch; to overcharge; as, to surcharge a beast or a ship; to surcharge a cannon. Four charged two, and two surcharged one. Spenser. Your head reclined, as hiding grief from view, Droops like a rose surcharged with morning dew. Dryden. 2. (Law) (a) To overstock; especially, to put more cattle into, as a common, than the person has a right to do, or more than the herbage will sustain. Blackstone. (b) (Equity) To show an omission in (an account) for which credit ought to have been given. Story. Daniel.\n\n1. An overcharge; an excessive load or burden; a load greater than can well be borne. A numerous nobility causeth poverty and inconvenience in a state, for it is surcharge of expense. Bacon. 2. (Law) (a) The putting, by a commoner, of more beasts on the common than he has a right to. (b) (Equity) The showing an omission, as in an account, for which credit ought to have been given. Burrill.
surchargement |The act of surcharging; also, surcharge, surplus. [Obs.] Daniel.
surcharger |One who surcharges.
surcingle |1. A belt, band, or girth which passes over a saddle, or over anything laid on a horse's back, to bind it fast. 2. (Eccl.)  The girdle of a cassock, by which it is fastened round the waist.
surcingled |Bound with the surcingle.
surcle |A little shoot; a twig; a sucker. [Obs.] Sir T. Browne.
surcloy |To surfeit. [Obs.]
surcoat |1. A coat worn over the other garments; especially, the long and flowing garment of knights, worn over the armor, and frequently emblazoned with the arms of the wearer. A long surcoat of pers upon he had.. Chaucer. At night, or in the rain, He dons a surcoat which he doffs at morn. Emerson. 2. A name given to the outer garment of either sex at different epochs of the Middle Ages.
surcrew |Increase; addition; surplus. [Obs.] Sir H. Wotton.
surculate |To purne; to trim. [Obs.] Cockeram.
surculation |Act of purning. [Obs.]
surculose |Producing suckers, or shoots resembling suckers.
surd |1. Net having the sense of hearing; deaf. [Obs.] \"A surd . . . generation.\" Sir T. Browne. 2. Unheard. [Obs.] Kenrick. 3. (Math.)  Involving surds; not capable of being expressed in rational numbers; radical; irrational; as, a surd expression or quantity; a surd number. 4. (Phonetics)  Uttered, as an element of speech, without tone, or proper vocal sound; voiceless; unintonated; nonvocal; atonic; whispered; aspirated; sharp; hard, as f, p, s, etc.; -- opposed to sonant. See Guide to Pronunciation, §§169, 179, 180.\n\n1. A quantity which can not be expressed by rational numbers; thus, *2 is a surd. 2. (Phon.)  A surd element of speech. See Surd, a., 4.
surdal |Same as Surd, a., 3.
surdiny |A sardine. [Obs.] Beau. & Fl.
surdity |Deafness. [Obs.]
sure |1. Certainly knowing and believing; confident beyond doubt; implicity trusting; unquestioning; positive. We are sure that the judgment of God is according to truth against them which commit such things. Rom. ii. 2. I'm sure care 's an enemy of life. Shak. 2. Certain to find or retain; as, to be sure of game; to be sure of success; to be sure of life or health. 3. Fit or worthy to be depended on; certain not to fail or disappoint expectation; unfailing; strong; permanent; enduring. \"His sure word.\" Keble. The Lord will certainly make my lord a sure house; because my lord fighteth the battles of the Lord. 1 Sam. xxv. 28. The testimony of the Lord is sure. Ps. xix. 7. Which put in good sure leather sacks. Chapman. 4. Betrothed; engaged to marry. [Obs.] The king was sure to Dame Elizabeth Lucy, and her husband before God. Sir T. More. I presume . . . that you had been sure as fast as faith could bind you, man and wife. Brome. 5. Free from danger; safe; secure. Fear not; the forest is not three leagues off; If we recover that we are sure enough. Shak. -- To be sure, or Be sure, certainly; without doubt; as, Shall you do To be sure I shall. -- To make sure. (a) To make certain; to secure so that there can be no failure of the purpose or object. \"Make Cato sure.\" Addison. \"A peace can not fail, provided we make sure of Spain.\" Sir W. Temple. (b) To betroth. [Obs.] She that's made sure to him she loves not well. Cotgrave. Syn. -- Certain; unfailing; infallible; safe; firm; permanent; steady; stable; strong; secure; indisputable; confident; positive.\n\nIn a sure manner; safely; certainly. \"Great, sure, shall be thy meed.\" Spenser. 'T is pleasant, sure, to see one's name in print. Byron.
sure-footed |Not liable to stumble or fall; as, a sure-footed horse.
surely |1. In a sure or certain manner; certainly; infallibly; undoubtedly; assuredly. In the day that thou eatest thereof thou shalt surely die. Gen. ii. 17. He that created something out of nothing, surely can raise great things out of small. South. 2. Without danger; firmly; steadly; securely. He that walketh uprightly walketh surely. Prov. x. 9.
surement |A making sure; surety. [Obs.] Every surement and every bond. Chaucer.
sureness |The state of being sure; certainty. For more sureness he repeats it. Woodward. The law holds with equal sureness for all right action. Emerson.
suresby |One to be sure of, or to be relied on. [Obs.] There is one which is suresby, as they say, to serve, if anything will serve. Bradford.
suretiship |Suretyship. Prov. xi. 15.
surety |1. The state of being sure; certainty; security. Know of a surety, that thy seed shall be a stranger in a land that is not theirs. Gen. xv. 13. For the more surety they looked round about. Sir P. Sidney. 2. That which makes sure; that which confirms; ground of confidence or security. [We] our happy state Hold, as you yours, while our obedience holds; On other surety none. Milton. 3. Security against loss or damage; security for payment, or for the performance of some act. There remains unpaid A hundred thousand more; in surety of the which One part of Aquitaine is bound to us. Shak. 4. (Law)  One who is bound with and for another who is primarily liable, and who is called the principal; one who engages to answer for another's appearance in court, or for his payment of a debt, or for performance of some act; a bondsman; a bail. He that is surety for a stranger shall smart for it. Prov. xi. 15. 5. Hence, a substitute; a hostage. Cowper. 6. Evidence; confirmation; warrant. [Obs.] She called the saints to surety, That she would never put it from her finger, Unless she gave it to yourself. Shak.\n\nTo act as surety for. [Obs.] Shak.
suretyship |The state of being surety; the obligation of a person to answer for the debt, default, or miscarriage of another. Bouvier.
surf |The swell of the sea which breaks upon the shore, esp. upon a sloping beach. Surf bird (Zoöl.), a ploverlike bird of the genus Aphriza, allied to the turnstone. -- Surf clam (Zoöl.), a large clam living on the open coast, especially Mactra, or Spisula, solidissima. See Mactra. -- Surf duck (Zoöl.), any one of several species of sea ducks of the genus Oidemia, especially O. percpicillata; -- called also surf scoter. See the Note under Scoter. -- Surf fish (Zoöl.), any one of numerous species of California embiotocoid fishes. See Embiotocoid. -- Surf smelt. (Zoöl.) See Smelt. -- Surf whiting. (Zoöl.) See under Whiting.\n\nThe bottom of a drain. [Prov. Eng.]
surface |1. The exterior part of anything that has length and breadth; one of the limits that bound a solid, esp. the upper face; superficies; the outside; as, the surface of the earth; the surface of a diamond; the surface of the body. The bright surface of this ethereous mold. Milton. 2. Hence, outward or external appearance. Vain and weak understandings, which penetrate no deeper than the surface. V. Knox. 3. (Geom.)  A magnitude that has length and breadth without thickness; superficies; as, a plane surface; a spherical surface. 4. (Fort.)  That part of the side which is terminated by the flank prolonged, and the angle of the nearest bastion. Stocqueler. Caustic surface, Heating surface, etc. See under Caustic, Heating, etc. -- Surface condensation, Surface condenser. See under Condensation, and Condenser. -- Surface gauge (Mach.), an instrument consisting of a standard having a flat base and carrying an adjustable pointer, for gauging the evenness of a surface or its height, or for marking a line parallel with a surface. -- Surface grub (Zoöl.), the larva of the great yellow underwing moth (Triphoena pronuba). It is often destructive to the roots of grasses and other plants. -- Surface plate (Mach.), a plate having an accurately dressed flat surface, used as a standard of flatness by which to test other surfaces. -- Surface printing, printing from a surface in relief, as from type, in distinction from plate printing, in which the ink is contained in engraved lines.\n\n1. To give a surface to; especially, to cause to have a smooth or plain surface; to make smooth or plain. 2. To work over the surface or soil of, as ground, in hunting for gold.
surface loading |The weight supported per square unit of surface; the quotient obtained by dividing the gross weight, in pounds, of a fully loaded flying machine, by the total area, in square feet, of its supporting surface.
surface tension |That property, due to molecular forces, which exists in the surface film of all liquids and tends to bring the contained volume into a form having the least superficial area. The thickness of this film, amounting to less than a thousandth of a millimeter, is considered to equal the radius of the sphere of molecular action, that is, the greatest distance at which there is cohesion between two particles. Particles lying below this film, being equally acted on from all sides, are in equilibrium as to forces of cohesion, but those in the film are on the whole attracted inward, and tension results.
surfacer |A form of machine for dressing the surface of wood, metal, stone, etc.
surfboat |A boat intended for use in heavy surf. It is built with a pronounced sheer, and with a view to resist the shock of waves and of contact with the beach.
surfeit |1. Excess in eating and drinking. Let not Sir Surfeit sit at thy board. Piers Plowman. Now comes the sick hour that his surfeit made. Shak. 2. Fullness and oppression of the system, occasioned often by excessive eating and drinking. To prevent surfeit and other diseases that are incident to those that heat their blood by travels. Bunyan. 3. Disgust caused by excess; satiety. Sir P. Sidney. Matter and argument have been supplied abundantly, and even to surfeit. Burke.\n\n1. To load the stomach with food, so that sickness or uneasiness ensues; to eat to excess. They are as sick that surfeit with too much as they that starve with nothing. Shak. 2. To indulge to satiety in any gratification.\n\n1. To feed so as to oppress the stomach and derange the function of the system; to overfeed, and produce satiety, sickness, or uneasiness; -- often reflexive; as, to surfeit one's self with sweets. 2. To fill to satiety and disgust; to cloy; as, he surfeits us with compliments. V. Knox.
surfeit-water |Water for the cure of surfeits. [Obs.] Locke.
surfeiter |One who surfeits. Shak.
surfel |To wash, as the face, with a cosmetic water, said by some to be prepared from the sulphur. [Obs.] She shall no oftener powder her hair, [or] surfel her cheeks, . . . but she shall as often gaze on my picture. Ford.
surfer |The surf duck. [U. S.]
surfle |To wash, as the face, with a cosmetic water, said by some to be prepared from the sulphur. [Obs.] She shall no oftener powder her hair, [or] surfel her cheeks, . . . but she shall as often gaze on my picture. Ford.
surfman |One who serves in a surfboat in the life-saving service.
surfoot |Tired or sore of foot from travel; lamed. [Obs.] Nares.
surfy |Consisting of, abounding in, or resembling, surf; as, a surfy shore. Scarce had they cleared the surfy waves That foam around those frightful caves. Moore.
surge |1. A spring; a fountain. [Obs.] \"Divers surges and springs of water.\" Ld. Berners. 2. A large wave or billow; a great, rolling swell of water, produced generally by a high wind. He that doubteth is like the surge of the sea driven by the wind and tossed. James i. 6 (Rev. Ver.) He flies aloft, and, with impetuous roar, Pursues the foaming surges to the shore. Dryden. 3. The motion of, or produced by, a great wave. 4. The tapered part of a windlass barrel or a capstan, upon which the cable surges, or slips.\n\n1. To swell; to rise hifg and roll. The surging waters like a mountain rise. Spenser. 2. (Naut.)  To slip along a windlass.\n\nTo let go or slacken suddenly, as a rope; as, to surge a hawser or messenger; also, to slacken the rope about (a capstan).
surgeful |Abounding in surges; surgy. \"Tossing the surgeful tides.\" Drayton.
surgeless |Free from surges; smooth; calm.
surgent |Rising; swelling, as a flood. [R.] Robert Greene.
surgeon |1. One whose profession or occupation is to cure diseases or injuries of the body by manual operation; one whose occupation is to cure local injuries or disorders (such as wounds, dislocations, tumors, etc.), whether by manual operation, or by medication and constitutional treatment. 2. (Zoöl.)  Any one of numerous species of chætodont fishes of the family Teuthidæ, or Acanthuridæ, which have one or two sharp lancelike spines on each side of the base of the tail. Called also surgeon fish, doctor fish, lancet fish, and sea surgeon. Surgeon apothecary, one who unites the practice of surgery with that of the apothecary. Dunglison. -- Surgeon dentist, a dental surgeon; a dentist. -- Surgeon fish. See def. 2, above. -- Surgeon general. (a) In the United States army, the chief of the medical department. (b) In the British army, a surgeon ranking next below the chief of the medical department.
surgeoncy |The office or employment of a surgeon, as in the naval or military service.
surgeonry |Surgery. [Obs.]
surgery |1. The art of healing by manual operation; that branch of medical science which treats of manual operations for the healing of diseases or injuries of the body; that branch of medical science which has for its object the cure of local injuries or diseases, as wounds or fractures, tumors, etc., whether by manual operation or by medicines and constitutional treatment. 2. A surgeon's operating room or laboratory.
surgical |Of or pertaining to surgeons or surgery; done by means of surgery; used in surgery; as, a surgical operation; surgical instruments. Surgical fever. (Med.) (a) Pyæmia. (b) Traumatic fever, or the fever accompanying inflammation.
surgically |By means of surgery.
surgy |Rising in surges or billows; full of surges; resembling surges in motion or appearance; swelling. \"Over the surgy main.\" Pope.
suricat |Same as Zenick. [Written also suricate, surikate.]
surinam toad |A species of toad native of Surinam. See Pipa.
surintendant |Superintendent. [R.]
surlily |In a surly manner.
surliness |The quality or state of being surly.
surling |A sour, morose fellow. [Obs.] Camden.
surloin |A loin of beef, or the upper part of the loin. See Sirloin, the more usual, but not etymologically preferable, orthography.
surly |1. Arrogant; haughty. [Obs.] Cotgrave. 2. Gloomily morose; ill-natured, abrupt, and rude; severe; sour; crabbed; rough; sullen; gloomy; as, a surly groom; a surly dog; surly language; a surly look. \"That surly spirit, melancholy.\" Shak. 3. Rough; dark; tempestuous. Now softened into joy the surly storm. Thomson.
surmark |A mark made on the molds of a ship, when building, to show where the angles of the timbers are to be placed. [Written also sirmark.]
surmisable |Capable of being surmised; as, a surmisable result.
surmisal |Surmise. [R.] Milton.
surmise |1. A thought, imagination, or conjecture, which is based upon feeble or scanty evidence; suspicion; guess; as, the surmisses of jealousy or of envy. [We] double honor gain From his surmise proved false. Milton. No man ought to be charged with principles he actually disowns, unless his practicies contradict his profession; not upon small surmises. Swift. 2. Reflection; thought. [Obs.] Shak. Syn. -- Conjecture; supposition; suspicion; doubt.\n\nTo imagine without certain knowledge; to infer on slight grounds; to suppose, conjecture, or suspect; to guess. It wafted nearer yet, and then she knew That what before she but surmised, was true. Dryden. This change was not wrought by altering the form or position of the earth, as was surmised by a very learned man, but by dissolving it. Woodward.
surmiser |One who surmises.
surmising |from Surmise, v.
surmount |1. To rise above; to be higher than; to overtop. The mountains of Olympus, Athos, and Atlas, overreach and surmount all winds and clouds. Sir W. Raleigh. 2. To conquer; to overcome; as, to surmount difficulties or obstacles. Macaulay. 3. To surpass; to exceed. Spenser. What surmounts the reach Of human sense I shall delineate. Milton. Syn. -- To conquer; overcome; vanquish; subdue; surpass; exceed.
surmountable |Capable of being surmounted or overcome; superable. -- Sur*mount\"a*ble*ness, n.
surmounted |1. (Arch.)  Having its vertical height greater than the half span; -- said of an arch. 2. (Her.)  Partly covered by another charge; -- said of an ordinary or other bearing.
surmounter |One who, or that which, surmounts.
surmullet |Any one of various species of mullets of the family Millidæ, esp. the European species (Millus surmulletus), which is highly prized as a food fish. See Mullet.
surmulot |The brown, or Norway, rat.
surname |1. A name or appellation which is added to, or over and above, the baptismal or Christian name, and becomes a family name. Note: Surnames originally designated occupation, estate, place of residence, or some particular thing or event that related to the person; thus, Edmund Ironsides; Robert Smith, or the smith; William Turner. Surnames are often also patronymics; as, John Johnson. 2. An appellation added to the original name; an agnomen. \"My surname, Coriolanus.\" Shak. Note: This word has been sometimes written sirname, as if it signified sire-name, or the name derived from one's father.\n\nTo name or call by an appellation added to the original name; to give a surname to. Another shall subscribe with his hand unto the Lord, and surname himself by the name of Israel. Isa. xliv. 5. And Simon he surnamed Peter. Mark iii. 16.
surnominal |Of or pertaining to a surname or surnames.
suroxidate |To combine with oxygen so as to form a suroxide or peroxide. [Obs.]
suroxide |A peroxide. [Obs.]
surpass |To go beyond in anything good or bad; to exceed; to excel. This would surpass Common revenge and interrupt his joy. Milton. Syn. -- To exceed; excel; outdo; outstrip.
surpassable |That may be surpassed.
surpassing |Eminently excellent; exceeding others. \"With surpassing glory crowned.\" Milton. -- Sur*pass\"ing*ly, adv. -- Sur*pass\"ing*ness, n.
surphul |To surfel. [Obs.] Marston.
surplice |A white garment worn over another dress by the clergy of the Roman Catholic, Episcopal, and certain other churches, in some of their ministrations. Surplice fees (Eccl.), fees paid to the English clergy for occasional duties.
surpliced |Wearing a surplice.
