tailage |See Tallage.
tailblock |A block with a tail. See Tail, 9.
tailboard |The board at the rear end of a cart or wagon, which can be removed or let down, for convenience in loading or unloading.
tailed |Having a tail; having (such) a tail or (so many) tails; -- chiefly used in composition; as, bobtailed, longtailed, etc. Snouted and tailed like a boar. Grew.
tailing |1. (Arch.)  The part of a projecting stone or brick inserted in a wall. Gwilt. 2. (Surg.)  Same as Tail, n., 8 (a). 3. Sexual intercourse. [Obs.] Chaucer. 4. pl.  The lighter parts of grain separated from the seed threshing and winnowing; chaff. 5. pl. (Mining)  The refuse part of stamped ore, thrown behind the tail of the buddle or washing apparatus. It is dressed over again to secure whatever metal may exist in it. Called also tails. Pryce.
taille |1. A tally; an account scored on a piece of wood. [Obs.] Whether that he paid or took by taille. Chaucer. 2. (O. F. Law)  Any imposition levied by the king, or any other lord, upon his subjects. The taille, as it still subsists in France, may serve as an example of those ancient tallages. It was a tax upon the profits of the farmer, which they estimate by the stock that he has upon the farm. A. Smith. 3. (Mus.)  The French name for the tenor voice or part; also, for the tenor viol or viola.
tailless |Having no tail. H. Spencer.
taillie |Same as Tailzie.
tailor |1. One whose occupation is to cut out and make men's garments; also, one who cuts out and makes ladies' outer garments. Well said, good woman's tailor . . . I would thou wert a man's tailor. Shak. 2. (Zoöl.) (a) The mattowacca; -- called also tailor herring. (b) The silversides. 3. (Zoöl.)  The goldfish. [Prov. Eng.] Salt-water tailor (Zoöl.), the bluefish. [Local, U.S.] Bartlett. -- Tailor bird (Zoöl.), any one of numerous species of small Asiatic and East Indian singing birds belonging to Orthotomus, Prinia, and allied genera. They are noted for the skill with which they sew leaves together to form nests. The common Indian species are O. longicauda, which has the back, scapulars, and upper tail coverts yellowish green, and the under parts white; and the golden-headed tailor bird (O. coronatus), which has the top of the head golden yellow and the back and wings pale olive-green.\n\nTo practice making men's clothes; to follow the business of a tailor. These tailoring artists for our lays Invent cramped rules. M. Green.
tailor-made |Made by a tailor or according to a tailor's fashion; -- said specif. of women's garments made with certain closeness of fit, simplicity of ornament, etc.
tailoress |A female tailor.
tailoring |The business or the work of a tailor or a tailoress.
