terebrant |Boring, or adapted for boring; -- said of certain Hymenoptera, as the sawflies.
terebrantia |A division of Hymenoptera including those which have an ovipositor adapted for perforating plants. It includes the sawflies.
terebrate |To perforate; to bore; to pierce. [R.] Sir T. Browne.
terebrating |1. (Zoöl.)  Boring; perforating; -- applied to molluskas which form holes in rocks, wood, etc. 2. (Med.)  Boring; piercing; -- applied to certain kinds of pain, especially to those of locomotor ataxia.
terebration |The act of terebrating, or boring. [R.] Bacon.
terebratula |A genus of brachiopods which includes many living and some fossil species. The larger valve has a perforated beak, through which projects a short peduncle for attachment. Called also lamp shell.
terebratulid |Any species of Terebratula or allied genera. Used also adjectively.
terebratuliform |Having the general form of a terebratula shell.
teredine |A borer; the teredo.
teredo |A genus of long, slender, wormlike bivalve mollusks which bore into submerged wood, such as the piles of wharves, bottoms of ships, etc.; -- called also shipworm. See Shipworm. See Illust. in App.
terek |A sandpiper (Terekia cinerea) of the Old World, breeding in the far north of eastern Europe and Asia and migrating to South Africa and Australia. It frequents rivers.
terephthalate |A salt of terephthalic acid.
terephthalic |Of, pertaining to, or designating, a dibasic acid of the aromatic series, metameric with phthalic acid, and obtained, as a tasteless white crystalline powder, by the oxidation of oil of turpentine; -- called also paraphthalic acid. Cf. Phthalic.
teret |Round; terete. [Obs.] Fotherby.
terete |Cylindrical and slightly tapering; columnar, as some stems of plants.
teretial |Rounded; as, the teretial tracts in the floor of the fourth ventricle of the brain of some fishes. Owen.
teretous |Terete. [Obs.]
tergal |Of or pertaining to back, or tergum. See Dorsal.
tergant |Showing the back; as, the eagle tergant. [Written also tergiant.]
tergeminal |Thrice twin; having three pairs of leaflets.
tergeminate |Thrice twin; having three pairs of leaflets.
tergeminous |Threefold; thrice-paired. Blount.
tergiferous |Carrying or bearing upon the back. Tergiferous plants (Bot.), plants which bear their seeds on the back of their leaves, as ferns.
tergite |The dorsal portion of an arthromere or somite of an articulate animal. See Illust. under Coleoptera.
tergiversate |To shift; to practice evasion; to use subterfuges; to shuffle. [R.] Bailey.
