theogonic |Of or relating to theogony.
theogonism |Theogony. [R.]
theogonist |A writer on theogony.
theogony |The generation or genealogy of the gods; that branch of heathen theology which deals with the origin and descent of the deities; also, a poem treating of such genealogies; as, the Theogony of Hesiod.
theologaster |A pretender or quack in theology. [R.] Burton.
theologer |A theologian. Cudworth.
theologian |A person well versed in theology; a professor of theology or divinity; a divine.
theologic |Theological.
theological |Of or pertaining to theology, or the science of God and of divine things; as, a theological treatise. -- The`o*log\"ic*al*ly, adv.
theologics |Theology. Young.
theologist |A theologian.
theologize |To render theological; to apply to divinity; to reduce to a system of theology. School divinity was but Aristotle's philosophy theologized. Glanvill.\n\nTo frame a system of theology; to theorize or speculate upon theological subjects.
theologizer |One who theologizes; a theologian. [R.] Boyle.
theologue |1. A theologian. Dryden. Ye gentle theologues of calmer kind. Young. He [Jerome] was the theologue -- and the word is designation enough. I. Taylor. 2. A student in a theological seminary. [Written also theolog.] [Colloq. U.S.]
theology |The science of God or of religion; the science which treats of the existence, character, and attributes of God, his laws and government, the doctrines we are to believe, and the duties we are to practice; divinity; (as more commonly understood) \"the knowledge derivable from the Scriptures, the systematic exhibition of revealed truth, the science of Christian faith and life.\" Many speak of theology as a science of religion [instead of \"science of God\"] because they disbelieve that there is any knowledge of God to be attained. Prof. R. Flint (Enc. Brit.). Theology is ordered knowledge; representing in the region of the intellect what religion represents in the heart and life of man. Gladstone. Ascetic theology, Natural theology. See Ascetic, Natural. -- Moral theology, that phase of theology which is concerned with moral character and conduct. -- Revealed theology, theology which is to be learned only from revelation. -- Scholastic theology, theology as taught by the scholastics, or as prosecuted after their principles and methods. -- Speculative theology, theology as founded upon, or influenced by, speculation or metaphysical philosophy. -- Systematic theology, that branch of theology of which the aim is to reduce all revealed truth to a series of statements that together shall constitute an organized whole. E. G. Robinson (Johnson's Cyc.).
theomachist |One who fights against the gods; one who resists God of the divine will.
theomachy |1. A fighting against the gods, as the battle of the gaints with the gods. 2. A battle or strife among the gods. Gladstone. 3. Opposition to God or the divine will. Bacon.
theomancy |A kind of divination drawn from the responses of oracles among heathen nations.
theopathetic |Of or pertaining to a theopathy.
theopathic |Of or pertaining to a theopathy.
theopathy |Capacity for religious affections or worship.
theophanic |Of or pertaining to a theopany; appearing to man, as a god.
theophany |A manifestation of God to man by actual appearance, usually as an incarnation.
theophilanthropic |Pertaining to theophilanthropy or the theophilanthropists.
theophilanthropism |The doctrine of the theophilanthropists; theophilanthropy.
theophilanthropist |A member of a deistical society established at Paris during the French revolution.
theophilanthropy |Theophilanthropism. Macaulay.
theophilosophic |Combining theism and philosophy, or pertaining to the combination of theism and philosophy.
theopneusted |Divinely inspired; theopneustic. [R.]
theopneustic |Given by the inspiration of the Spirit of God.
theopneusty |Divine inspiration; the supernatural influence of the Divine Spirit in qualifying men to receive and communicate revealed truth.
theorbist |One who plays on a theorbo.
theorbo |An instrument made like large lute, but having two necks, with two sets of pegs, the lower set holding the strings governed by frets, while to the upper set were attached the long bass strings used as open notes. Note: A larger form of theorbo was also called the archlute, and was used chiefly, if not only, as an accompaniment to the voice. Both have long fallen into disuse.
theorem |1. That which is considered and established as a principle; hence, sometimes, a rule. Not theories, but theorems (Coleridge. By the theorems, Which your polite and terser gallants practice, I re-refine the court, and civilize Their barbarous natures. Massinger. 2. (Math.)  A statement of a principle to be demonstrated. Note: A theorem is something to be proved, and is thus distinguished from a problem, which is something to be solved. In analysis, the term is sometimes applied to a rule, especially a rule or statement of relations expressed in a formula or by symbols; as, the binomial theorem; Taylor's theorem. See the Note under Proposition, n., 5. Binomial theorem. (Math.) See under Binomial. -- Negative theorem, a theorem which expresses the impossibility of any assertion. -- Particular theorem (Math.), a theorem which extends only to a particular quantity. -- Theorem of Pappus. (Math.) See Centrobaric method, under Centrobaric. -- Universal theorem (Math.), a theorem which extends to any quantity without restriction.\n\nTo formulate into a theorem.
theorematic |Of or pertaining to a theorem or theorems; comprised in a theorem; consisting of theorems.
theorematical |Of or pertaining to a theorem or theorems; comprised in a theorem; consisting of theorems.
theorematist |One who constructs theorems.
theoremic |Theorematic. Grew.
theoretic |Pertaining to theory; depending on, or confined to, theory or speculation; speculative; terminating in theory or speculation: not practical; as, theoretical learning; theoretic sciences. -- The`o*ret\"ic*al*ly, adv.
theoretical |Pertaining to theory; depending on, or confined to, theory or speculation; speculative; terminating in theory or speculation: not practical; as, theoretical learning; theoretic sciences. -- The`o*ret\"ic*al*ly, adv.
theoretics |The speculative part of a science; speculation. At the very first, with our Lord himself, and his apostles, as represented to us in the New Testament, morals come before contemplation, ethics before theoretics. H. B. Wilson.
theoric |1. Of or pertaining to the theorica. 2. (pron.  Relating to, or skilled in, theory; theoretically skilled. [Obs.] A man but young, Yet old in judgment, theoric and practic In all humanity. Massinger.\n\nSpeculation; theory. [Obs.] Shak.
theorica |Public moneys expended at Athens on festivals, sacrifices, and public entertainments (especially theatrical performances), and in gifts to the people; -- also called theoric fund.
theorical |Theoretic. [Obs.] Bp. Hall.
theorically |In a theoretic manner. [Obs.]
theorist |One who forms theories; one given to theory and speculation; a speculatist. Cowper. The greatest theoretists have given the preference to such a government as that which obtains in this kingdom. Addison.
theorization |The act or product of theorizing; the formation of a theory or theories; speculation.
theorize |To form a theory or theories; to form opinions solely by theory; to speculate.
theorizer |One who theorizes or speculates; a theorist.
theory |1. A doctrine, or scheme of things, which terminates in speculation or contemplation, without a view to practice; hypothesis; speculation. Note: \"This word is employed by English writers in a very loose and improper sense. It is with them usually convertible into hypothesis, and hypothesis is commonly used as another term for conjecture. The terms theory and theoretical are properly used in opposition to the terms practice and practical. In this sense, they were exclusively employed by the ancients; and in this sense, they are almost exclusively employed by the Continental philosophers.\" Sir W. Hamilton. 2. An exposition of the general or abstract principles of any science; as, the theory of music. 3. The science, as distinguished from the art; as, the theory and practice of medicine. 4. The philosophical explanation of phenomena, either physical or moral; as, Lavoisier's theory of combustion; Adam Smith's theory of moral sentiments. Atomic theory, Binary theory, etc. See under Atomic, Binary, etc. Syn. -- Hypothesis, speculation. -- Theory, Hypothesis. A theory is a scheme of the relations subsisting between the parts of a systematic whole; an hypothesis is a tentative conjecture respecting a cause of phenomena.
theosoph |A theosophist.
theosopher |A theosophist.
theosophic |Of or pertaining to theosophy. -- The`o*soph\"ic*al*ly, adv.
theosophical |Of or pertaining to theosophy. -- The`o*soph\"ic*al*ly, adv.
theosophism |Belief in theosophy. Murdock.
theosophist |One addicted to theosophy. The theosophist is one who gives you a theory of God, or of the works of God, which has not reason, but an inspiration of his own, for its basis. R. A. Vaughan.
theosophistical |Of or pertaining to theosophy; theosophical.
theosophize |To practice theosophy. [R.]
theosophy |Any system of philosophy or mysticism which proposes to attain intercourse with God and superior spirits, and consequent superhuman knowledge, by physical processes, as by the theurgic operations of some ancient Platonists, or by the chemical processes of the German fire philosophers; also, a direct, as distinguished from a revealed, knowledge of God, supposed to be attained by extraordinary illumination; especially, a direct insight into the processes of the divine mind, and the interior relations of the divine nature.
therapeutae |A name given to certain ascetics said to have anciently dwelt in the neighborhood of Alexandria. They are described in a work attributed to Philo, the genuineness and credibility of which are now much discredited.
therapeutic |Of or pertaining to the healing art; concerned in discovering and applying remedies for diseases; curative. \"Therapeutic or curative physic.\" Sir T. Browne. Medicine is justly distributed into \"prophylactic,\" or the art of preserving health, and therapeutic, or the art of restoring it. I. Watts.\n\nOne of the Therapeutæ.
therapeutical |Of or pertaining to the healing art; concerned in discovering and applying remedies for diseases; curative. \"Therapeutic or curative physic.\" Sir T. Browne. Medicine is justly distributed into \"prophylactic,\" or the art of preserving health, and therapeutic, or the art of restoring it. I. Watts.
therapeutics |That part of medical science which treats of the discovery and application of remedies for diseases.
therapeutist |One versed in therapeutics, or the discovery and application of remedies.
therapy |Therapeutics.
there |1. In or at that place. \"[They] there left me and my man, both bound together.\" Shak. The Lord God planted a garden eastward in Eden; and there he put the man whom he had formed. Ge. ii. 8. Note: In distinction from here, there usually signifies a place farther off. \"Darkness there might well seem twilight here.\" Milton. 2. In that matter, relation, etc.; at that point, stage, etc., regarded as a distinct place; as, he did not stop there, but continued his speech. The law that theaten'd death becomes thy friend And turns it to exile; there art thou happy. Shak. 3. To or into that place; thither. The rarest that e'er came there. Shak. Note: There is sometimes used by way of exclamation, calling the attention to something, especially to something distant; as, there, there! see there! look there! There is often used as an expletive, and in this use, when it introduces a sentence or clause, the verb precedes its subject. A knight there was, and that a worthy man. Chaucer. There is a path which no fowl knoweth. Job xxviii. 7. Wherever there is a sense or perception, there some idea is actually produced. Locke. There have been that have delivered themselves from their ills by their good fortune or virtue. Suckling. Note: There is much used in composition, and often has the sense of a pronoun. See Thereabout, Thereafter, Therefrom, etc. Note: There was formerly used in the sense of where. Spend their good there it is reasonable. Chaucer. Here and there, in one place and another. Syn. -- See Thither.
there-anent |Concerning that. [Scot.]
thereabout |1. Near that place. 2. Near that number, degree, or quantity; nearly; as, ten men, or thereabouts. Five or six thousand horse . . . or thereabouts. Shak. Some three months since, or thereabout. Suckling. 3. Concerning that; about that. [R.] What will ye dine I will go thereabout. Chaucer. They were much perplexed thereabout. Luke xxiv. 4.
thereabouts |1. Near that place. 2. Near that number, degree, or quantity; nearly; as, ten men, or thereabouts. Five or six thousand horse . . . or thereabouts. Shak. Some three months since, or thereabout. Suckling. 3. Concerning that; about that. [R.] What will ye dine I will go thereabout. Chaucer. They were much perplexed thereabout. Luke xxiv. 4.
thereafter |1. After that; afterward. 2. According to that; accordingly. I deny not but that it is of greatest concernment in the church and commonwealth to have a vigilant eye how books demean themselves as well as men; and thereafter to confine, imprison, and do sharpest justice on them as malefactors. Milton. 3. Of that sort. [Obs.] \"My audience is not thereafter.\" Latimer.
thereagain |In opposition; against one's course. [Obs.] If that him list to stand thereagain. Chaucer.
thereat |1. At that place; there. Wide is the gate, and broad is the way, that leadeth to destruction, and many there be which go in thereat. Matt. vii. 13. 2. At that occurrence or event; on that account. Every error is a stain to the beauty of nature; for which cause it blusheth thereat. Hooker.
therebefore |Before that time; beforehand. [Obs.] Many a winter therebiforn. Chaucer.
