bergmaster |See Barmaster.
bergmeal |(Min.) An earthy substance, resembling fine flour. It is composed of the shells of infusoria, and in Lapland and Sweden is sometimes eaten, mixed with flour or ground birch bark, in times of scarcity. This name is also given to a white powdery variety of calcite.
bergmote |See Barmote.
bergomask |A rustic dance, so called in ridicule of the people of Bergamo, in Italy, once noted for their clownishness.
bergschrund |The crevasse or series of crevasses, usually deep and often broad, frequently occurring near the head of a mountain glacier, about where the névé field joins the valley portion of the glacier.
bergstock |A long pole with a spike at the end, used in climbing mountains; an alpenstock.
bergylt |The Norway haddock. See Rosefish.
berhyme |To mention in rhyme or verse; to rhyme about. Note: [Sometimes use depreciatively.] Shak.
beriberi |An acute disease occurring in India, characterized by multiple inflammatory changes in the nerves, producing great muscular debility, a painful rigidity of the limbs, and cachexy.
berime |To berhyme. Note: [The earlier and etymologically preferable spelling.]
bering sea controversy |A controversy (1886 --93) between Great Britain and the United States as to the right of Canadians not licensed by the United States to carry on seal fishing in the Bering Sea, over which the United States claimed jurisdiction as a mare clausum. A court of arbitration, meeting in Paris in 1893, decided against the claim of the United States, but established regulations for the preservation of the fur seal.
berkeleian |,a.Of or relating to Bishop Berkeley or his system of idealism; as, Berkeleian philosophy. -- Berke\"ley*ism, n.
berlin |1. A four-wheeled carriage, having a sheltered seat behind the body and separate from it, invented in the 17th century, at Berlin. 2. Fine worsted for fancy-work; zephyr worsted; -- called also Berlin wool. Berlin black, a black varnish, drying with almost a dead surface; -- used for coating the better kinds of ironware. Ure. -- Berlin blue, Prussian blue. Ure. -- Berlin green, a complex cyanide of iron, used as a green dye, and similar to Prussian blue. -- Berlin iron, a very fusible variety of cast iron, from which figures and other delicate articles are manufactured. These are often stained or lacquered in imitation of bronze. -- Berlin shop, a shop for the sale of worsted embroidery and the materials for such work. -- Berlin work, worsted embroidery.
berm |1. (Fort.)  A narrow shelf or path between the bottom of a parapet and the ditch. 2. (Engineering)  A ledge at the bottom of a bank or cutting, to catch earth that may roll down the slope, or to strengthen the bank.
berme |1. (Fort.)  A narrow shelf or path between the bottom of a parapet and the ditch. 2. (Engineering)  A ledge at the bottom of a bank or cutting, to catch earth that may roll down the slope, or to strengthen the bank.
bermuda grass |A kind of grass (Cynodon Dactylon) esteemed for pasture in the Southern United States. It is a native of Southern Europe, but is now wide-spread in warm countries; -- called also scutch grass, and in Bermuda, devil grass.
bermuda lily |The large white lily (Lilium longiflorum eximium, syn. L. Harrisii) which is extensively cultivated in Bermuda.
berna fly |A Brazilian dipterous insect of the genus Trypeta, which lays its eggs in the nostrils or in wounds of man and beast, where the larvæ do great injury.
bernacle |See Barnacle.
bernardine |Of or pertaining to St. Bernard of Clairvaux, or to the Cistercian monks. -- n.  A Cistercian monk.
bernese |Pertaining to the city o -- n. sing. & pl.  A native or natives of Bern.
bernicle |A bernicle goose. [Written also barnacle.] Bernicle goose (Zoöl.), a goose (Branta leucopsis), of Arctic Europe and America. It was formerly believed that it hatched from the cirripeds of the sea (Lepas), which were, therefore, called barnacles, goose barnacles, or Anatifers. The name is also applied to other related species. See Anatifa and Cirripedia.
bernouse |Some as Burnoose.
berob |To rob; to plunder. [Obs.]
beroe |A small, oval, transparent jellyfish, belonging to the Ctenophora.
berretta |A square cap worn by ecclesiastics of the Roman Catholic Church. A cardinal's berretta is scarlet; that worn by other clerics is black, except that a bishop's is lined with green. [Also spelt beretta, biretta, etc.]
berried |Furnished with berries; consisting of a berry; baccate; as, a berried shrub.
berry |1. Any small fleshy fruit, as the strawberry, mulberry, huckleberry, etc. 2. (Bot.)  A small fruit that is pulpy or succulent throughout, having seeds loosely imbedded in the pulp, as the currant, grape, blueberry. 3. The coffee bean. 4. One of the ova or eggs of a fish. Travis. In berry, containing ova or spawn.\n\nTo bear or produce berries.\n\nA mound; a hillock. W. Browne.
berrying |A seeking for or gathering of berries, esp. of such as grow wild.
berseem |An Egyptian clover (Trifolium alexandrinum) extensively cultivated as a forage plant and soil-renewing crop in the alkaline soils of the Nile valley, and now introduced into the southwestern United States. It is more succulent than other clovers or than alfalfa. Called also Egyptian clover.
berserk |1. (Scand. Myth.)  One of a class of legendary heroes, who fought frenzied by intoxicating liquors, and naked, regardless of wounds. Longfellow. 2. One who fights as if frenzied, like a Berserker.
berserker |1. (Scand. Myth.)  One of a class of legendary heroes, who fought frenzied by intoxicating liquors, and naked, regardless of wounds. Longfellow. 2. One who fights as if frenzied, like a Berserker.
berstle |See Bristle. [Obs.] Chaucer.
berth |1. (Naut.) (a) Convenient sea room. (b) A room in which a number of the officers or ship's company mess and reside. (c) The place where a ship lies when she is at anchor, or at a wharf. 2. An allotted place; an appointment; situation or employment. \"He has a good berth.\" Totten. 3. A place in a ship to sleep in; a long box or shelf on the side of a cabin or stateroom, or of a railway car, for sleeping in. Berth deck, the deck next below the lower gun deck. Ham. Nav. Encyc. -- To give (the land or any object) a wide berth, to keep at a distance from it.\n\n1. To give an anchorage to, or a place to lie at; to place in a berth; as, she was berthed stem to stern with the Adelaide. 2. To allot or furnish berths to, on shipboard; as, to berth a ship's company. Totten.
bertha |A kind of collar or cape worn by ladies.
berthage |A place for mooring vessels in a dock or harbor.
berthierite |A double sulphide of antimony and iron, of a dark steel-gray color.
berthing |The planking outside of a vessel, above the sheer strake. Smyth.
bertillon system |A system for the identification of persons by a physical description based upon anthropometric measurements, notes of markings, deformities, color, impression of thumb lines, etc.
bertram |Pellitory of Spain (Anacyclus pyrethrum).
berycoid |Of or pertaining to the Berycidæ, a family of marine fishes.
beryl |A mineral of great hardness, and, when transparent, of much beauty. It occurs in hexagonal prisms, commonly of a green or bluish green color, but also yellow, pink, and white. It is a silicate of aluminium and glucinum (beryllium). The aquamarine is a transparent, sea-green variety used as a gem. The emerald is another variety highly prized in jewelry, and distinguished by its deep color, which is probably due to the presence of a little oxide of chromium.
berylline |Like a beryl; of a light or bluish green color.
beryllium |A metallic element found in the beryl. See Glucinum.
berylloid |A solid consisting of a double twelve-sided pyramid; -- so called because the planes of this form occur on crystals of beryl.
bes-antler |Same as Bez-antler.
besaiel |1. A great-grandfather. [Obs.] 2. (Law)  A kind of writ which formerly lay where a great-grandfather died seized of lands in fee simple, and on the day of his death a stranger abated or entered and kept the heir out. This is now abolished. Blackstone.
besaile |1. A great-grandfather. [Obs.] 2. (Law)  A kind of writ which formerly lay where a great-grandfather died seized of lands in fee simple, and on the day of his death a stranger abated or entered and kept the heir out. This is now abolished. Blackstone.
besaint |To make a saint of.
besant |See Bezant.
besayle |1. A great-grandfather. [Obs.] 2. (Law)  A kind of writ which formerly lay where a great-grandfather died seized of lands in fee simple, and on the day of his death a stranger abated or entered and kept the heir out. This is now abolished. Blackstone.
bescatter |1. To scatter over. 2. To cover sparsely by scattering (something); to strew. \"With flowers bescattered.\" Spenser.
bescorn |To treat with scorn. \"Then was he bescorned.\" Chaucer.
bescratch |To tear with the nails; to cover with scratches.
bescrawl |To cover with scrawls; to scribble over. Milton.
bescreen |To cover with a screen, or as with a screen; to shelter; to conceal. Shak.
bescribble |To scribble over. \"Bescribbled with impertinences.\" Milton.
bescumber |To discharge ordure or dung upon. [Obs.] B. Jonson.
bescummer |To discharge ordure or dung upon. [Obs.] B. Jonson.
besee |To see; to look; to mind. [Obs.] Wyclif.
beseech |1. To ask or entreat with urgency; to supplicate; to implore. I beseech you, punish me not with your hard thoughts. Shak. But Eve . . . besought his peace. Milton. Syn. -- To beg; to crave. -- To Beseech, Entreat, Solicit, Implore, Supplicate. These words agree in marking that sense of want which leads men to beg some favor. To solicit is to make a request, with some degree of earnestness and repetition, of one whom we address as a superior. To entreat implies greater urgency, usually enforced by adducing reasons or arguments. To beseech is still stronger, and belongs rather to the language of poetry and imagination. To implore denotes increased fervor of entreaty, as addressed either to equals or superiors. To supplicate expresses the extreme of entreaty, and usually implies a state of deep humiliation. Thus, a captive supplicates a conqueror to spare his life. Men solicit by virtue of their interest with another; they entreat in the use of reasoning and strong representations; they beseech with importunate earnestness; they implore from a sense of overwhelming distress; they supplicate with a feeling of the most absolute inferiority and dependence.\n\nSolicitation; supplication. [Obs. or Poetic] Shak.
beseecher |One who beseeches.
beseeching |Entreating urgently; imploring; as, a beseeching look. -- Be*seech\"ing*ly, adv. -- Be*seech\"ing*ness, n.
beseechment |The act of beseeching or entreating earnestly. [R.] Goodwin.
beseek |To beseech. [Obs.] Chaucer.
beseem |Literally: To appear or seem (well, ill, best, etc.) for (one) to do or to have. Hence: To be fit, suitable, or proper for, or worthy of; to become; to befit. A duty well beseeming the preachers. Clarendon. What form of speech or behavior beseemeth us, in our prayers to God Hocker.\n\nTo seem; to appear; to be fitting. [Obs.] \"As beseemed best.\" Spenser.
beseeming |1. Appearance; look; garb. [Obs.] I . . . did company these three in poor beseeming. Shak. 2. Comeliness. Baret.\n\nBecoming; suitable. [Archaic] -- Be*seem\"ing*ly, adv. -- Be*seem\"ing*ness, n.
beseemly |Fit; suitable; becoming. [Archaic] In beseemly order sitten there. Shenstone.
beseen |1. Seen; appearing. [Obs. or Archaic] 2. Decked or adorned; clad. [Archaic] Chaucer. 3. Accomplished; versed. [Archaic] Spenser.
beset |1. To set or stud (anything) with ornaments or prominent objects. A robe of azure beset with drops of gold. Spectator. The garden is so beset with all manner of sweet shrubs that it perfumes the air. Evelyn. 2. To hem in; to waylay; to surround; to besiege; to blockade. \"Beset with foes.\" Milton. Let thy troops beset our gates. Addison. 3. To set upon on all sides; to perplex; to harass; -- said of dangers, obstacles, etc. \"Adam, sore beset, replied.\" Milton. \"Beset with ills.\" Addison. \"Incommodities which beset old age.\" Burke. 4. To occupy; to employ; to use up. [Obs.] Chaucer. Syn. -- To surround; inclose; environ; hem in; besiege; encircle; encompass; embarrass; urge; press.
besetment |The act of besetting, or the state of being beset; also, that which besets one, as a sin. \"Fearing a besetment.\" Kane.
besetter |One who, or that which, besets.
besetting |Habitually attacking, harassing, or pressing upon or about; as, a besetting sin.
beshine |To shine upon; to ullumine.
beshow |A large food fish (Anoplopoma fimbria) of the north Pacific coast; -- called also candlefish.
beshrew |To curse; to execrate. Beshrew me, but I love her heartily. Shak. Note: Often a very mild form of imprecation; sometimes so far from implying a curse, as to be uttered coaxingly, nay even with some tenderness. Schmidt.
beshroud |To cover with, or as with, a shroud; to screen.
beshut |To shut up or out. [Obs.]
beside |1. At the side of; on one side of. \"Beside him hung his bow.\" Milton. 2. Aside from; out of the regular course or order of; in a state of deviation from; out of. [You] have done enough To put him quite beside his patience. Shak. 3. Over and above; distinct from; in addition to. Note: [In this use besides is now commoner.] Wise and learned men beside those whose names are in the Christian records. Addison. To be beside one's self, to be out ob one's wits or senses. Paul, thou art beside thyself. Acts xxvi. 24. Syn. -- Beside, Besides. These words, whether used as prepositions or adverbs, have been considered strictly synonymous, from an early period of our literature, and have been freely interchanged by our best writers. There is, however, a tendency, in present usage, to make the following distinction between them: 1. That beside be used only and always as a preposition, with the original meaning \"by the side of; \" as, to sit beside a fountain; or with the closely allied meaning \"aside from\| \"apart from\"| or \"out of\"; as| this is beside our present purpose; to be beside one's self with joy. The adverbial sense to be wholly transferred to the cognate word. 2. That besides| as a preposition| take the remaining sense \"in addition to\"| as| besides all this; besides the considerations here offered. \"There was a famine in the land besides the first famine.\" Gen. xxvi. 1. And that it also take the adverbial sense of \"moreover\"| \"beyond\"| etc.| which had been divided between the words; as| besides| there are other considerations which belong to this case. The following passages may serve to illustrate this use of the words| -- Lovely Thais sits beside thee. Dryden. Only be patient till we have appeased The multitude| beside themselves with fear. Shak. It is beside my present business to enlarge on this speculation. Locke. Besides this| there are persons in certain situations who are expected to be charitable. Bp. Porteus. And| besides| the Moor May unfold me to him; there stand I in much peril. Shak. That man that does not know those things which are of necessity for him to know is but an ignorant man| whatever he may know besides. Tillotson. Note| See Moreover.\n\n1. On one side. [Obs.] Chaucer. Shak. 2. More than that; over and above; not included in the number| or in what has been mentioned; moreover; in addition. The men said unto Lot| Hast thou here any besides Gen. xix. 12. To all beside| as much an empty shade| An Eugene living| as a Cæsar dead. Pope. Note| These sentences may be considered as elliptical."
besides |1. On one side. [Obs.] Chaucer. Shak. 2. More than that; over and above; not included in the number, or in what has been mentioned; moreover; in addition. The men said unto Lot, Hast thou here any besides Gen. xix. 12. To all beside, as much an empty shade, An Eugene living, as a Cæsar dead. Pope. Note: These sentences may be considered as elliptical.\n\nOver and above; separate or distinct from; in addition to; other than; else than. See Beside, prep., 3, and Syn. under Beside. Besides your cheer, you shall have sport. Shak.
besiege |To beset or surround with armed forces, for the purpose of compelling to surrender; to lay siege to; to beleaguer; to beset. Till Paris was besieged, famished, and lost. Shak. Syn. -- To environ; hem in; invest; encompass.
besiegement |The act of besieging, or the state of being besieged. Golding.
besieger |One who besieges; -- opposed to the besieged.
besieging |That besieges; laying siege to. -- Be*sie\"ging*ly, adv.
besit |To suit; to fit; to become. [Obs.]
beslabber |To beslobber.
beslave |To enslave. [Obs.] Bp. Hall.
beslaver |To defile with slaver; to beslobber.
beslime |To daub with slime; to soil. [Obs.] B. Jonson.
beslobber |To slobber on; to smear with spittle running from the mouth. Also Fig.: as, to beslobber with praise.
beslubber |To beslobber.
besmear |To smear with any viscous, glutinous matter; to bedaub; to soil. Besmeared with precious balm. Spenser.
besmearer |One that besmears.
besmirch |To smirch or soil; to discolor; to obscure. Hence: To dishonor; to sully. Shak.
besmoke |1. To foul with smoke. 2. To harden or dry in smoke. Johnson.
besmut |To blacken with smut; to foul with soot.
besnow |1. To scatter like snow; to cover thick, as with snow flakes. [R.] Gower. 2. To cover with snow; to whiten with snow, or as with snow.
besnuff |To befoul with snuff. Young.
besogne |A worthless fellow; a bezonian. [Obs.]
besom |A brush of twigs for sweeping; a broom; anything which sweeps away or destroys. [Archaic or Fig.] I will sweep it with the besom of destruction. Isa. xiv. 23. The housemaid with her besom. W. Irving.\n\nTo sweep, as with a besom. [Archaic or Poetic] Cowper. Rolls back all Greece, and besoms wide the plain. Barlow.
besomer |One who uses a besom. [Archaic]
besort |To assort or be congruous with; to fit, or become. [Obs.] Such men as may besort your age. Shak.\n\nBefitting associates or attendants. [Obs.] With such accommodation and besort As levels with her breeding. Shak.
besot |To make sottish; to make dull or stupid; to stupefy; to infatuate. Fools besotted with their crimes. Hudibras.
besotted |Made sottish, senseless, or infatuated; characterized by drunken stupidity, or by infatuation; stupefied. \"Besotted devotion.\" Sir W. Scott. -- Be*sot\"ted*ly, adv. -- Be*sot\"ted*ness, n. Milton.
besottingly |In a besotting manner.
besought |of Beseech.
bespangle |To adorn with spangles; to dot or sprinkle with something brilliant or glittering. The grass . . . is all bespangled with dewdrops. Cowper.
bespatter |1. To soil by spattering; to sprinkle, esp. with dirty water, mud, or anything which will leave foul spots or stains. 2. To asperse with calumny or reproach. Whom never faction could bespatter. Swift.
bespawl |To daub, soil, or make foul with spawl or spittle. [Obs.] Milton.
bespeak |1. To speak or arrange for beforehand; to order or engage against a future time; as, to bespeak goods, a right, or a favor. Concluding, naturally, that to gratify his avarice was to bespeak his favor. Sir W. Scott. 2. To show beforehand; to foretell; to indicate. [They] bespoke dangers . . . in order to scare the allies. Swift. 3. To betoken; to show; to indicate by external marks or appearances. When the abbot of St. Martin was born, he had so little the figure of a man that it bespoke him rather a monster. Locke. 4. To speak to; to address. [Poetic] He thus the queen bespoke. Dryden.\n\nTo speak. [Obs.] Milton.\n\nA bespeaking. Among actors, a benefit (when a particular play is bespoken.) \"The night of her bespeak.\" Dickens.
bespeaker |One who bespeaks.
bespeckle |To mark with speckles or spots. Milton.
bespew |To soil or daub with spew; to vomit on.
bespice |To season with spice, or with some spicy drug. Shak.
bespirt |Same as Bespurt.
bespit |To daub or soil with spittle. Johnson.
bespoke |imp. & p. p. of Bespeak.
bespot |To mark with spots, or as with spots.
bespread |To spread or cover over. The carpet which bespread His rich pavilion's floor. Glover.
besprent |Sprinkled over; strewed. His face besprent with liquid crystal shines. Shenstone. The floor with tassels of fir was besprent. Longfellow.
besprinkle |To sprinkle over; to scatter over. The bed besprinkles, and bedews the ground. Dryden.
besprinkler |One who, or that which, besprinkles.
besprinkling |The act of sprinkling anything; a sprinkling over.
bespurt |To spurt on or over; to asperse. [Obs.] Milton.
bessemer steel |Steel made directly from cast iron, by burning out a portion of the carbon and other impurities that the latter contains, through the agency of a blast of air which is forced through the molten metal; -- so called from Sir Henry Bessemer, an English engineer, the inventor of the process.
best |1. Having good qualities in the highest degree; most good, kind, desirable, suitable, etc.; most excellent; as, the best man; the best road; the best cloth; the best abilities. When he is best, he is a little worse than a man. Shak. Heaven's last, best gift, my ever new delight. Milton. 2. Most advanced; most correct or complete; as, the best scholar; the best view of a subject. 3. Most; largest; as, the best part of a week. Best man, the only or principal groomsman at a wedding ceremony.\n\nUtmost; highest endeavor or state; most nearly perfect thing, or being, or action; as, to do one's best; to the best of our ability. At best, in the utmost degree or extent applicable to the case; under the most favorable circumstances; as, life is at best very short. -- For best, finally. [Obs.] \"Those constitutions . . . are now established for best, and not to be mended.\" Milton. -- To get the best of, to gain an advantage over, whether fairly or unfairly. -- To make the best of. (a) To improve to the utmost; to use or dispose of to the greatest advantage. \"Let there be freedom to carry their commodities where they can make the best of them.\" Bacon. (b) To reduce to the least possible inconvenience; as, to make the best of ill fortune or a bad bargain.\n\n1. In the highest degree; beyond all others. \"Thou serpent! That name best befits thee.\" Milton. He prayeth best, who loveth best All things both great and small. Coleridge. 2. To the most advantage; with the most success, case, profit, benefit, or propriety. Had we best retire I see a storm. Milton. Had I not best go to her Thackeray. 3. Most intimately; most thoroughly or correctly; as, what is expedient is best known to himself.\n\nTo get the better of. [Colloq.]
bestad |Beset; put in peril. [Obs.] Chaucer.
bestain |To stain.
bestar |To sprinkle with, or as with, stars; to decorate with, or as with, stars; to bestud. \"Bestarred with anemones.\" W. Black.
bestead |1. To put in a certain situation or condition; to circumstance; to place. [Only in p. p.] They shall pass through it, hardly bestead and hungry: . . . and curse their king and their God. Is. viii. 21. Many far worse bestead than ourselves. Barrow. 2. To put in peril; to beset. Note: [Only in p. p.] Chaucer. 3. To serve; to assist; to profit; to avail. Milton.
bestial |1. Belonging to a beast, or to the class of beasts. Among the bestial herds to range. Milton. 2. Having the qualities of a beast; brutal; below the dignity of reason or humanity; irrational; carnal; beastly; sensual. Shak. Syn. -- Brutish; beastly; brutal; carnal; vile; low; depraved; sensual; filthy.\n\nA domestic animal; also collectively, cattle; as, other kinds of bestial. [Scot.]
bestiality |1. The state or quality of being bestial. 2. Unnatural connection with a beast.
bestialize |To make bestial, or like a beast; to degrade; to brutalize. The process of bestializing humanity. Hare.
bestially |In a bestial manner.
bestiary |A treatise on beasts; esp., one of the moralizing or allegorical beast tales written in the Middle Ages. A bestiary . . . in itself one of the numerous mediæval renderings of the fantastic mystical zoölogy. Saintsbury.
bestick |To stick over, as with sharp points pressed in; to mark by infixing points or spots here and there; to pierce. Truth shall retire Bestuck with slanderous darts. Milton.
bestill |To make still.
bestir |To put into brisk or vigorous action; to move with life and vigor; -- usually with the reciprocal pronoun. You have so bestirred your valor. Shak. Rouse and bestir themselves ere well awake. Milton.
bestorm |To storm. Young.
bestow |1. To lay up in store; to deposit for safe keeping; to stow; to place; to put. \"He bestowed it in a pouch.\" Sir W. Scott. See that the women are bestowed in safety. Byron. 2. To use; to apply; to devote, as time or strength in some occupation. 3. To expend, as money. [Obs.] 4. To give or confer; to impart; -- with on or upon. Empire is on us bestowed. Cowper. Though I bestow all my goods to feed the poor. 1 Cor. xiii. 3. 5. To give in marriage. I could have bestowed her upon a fine gentleman. Tatler. 6. To demean; to conduct; to behave; -- followed by a reflexive pronoun. [Obs.] How might we see Falstaff bestow himself to-night in his true colors, and not ourselves be seen Shak. Syn. -- To give; grant; present; confer; accord.
bestowal |The act of bestowing; disposal.
bestower |One that bestows.
bestowment |1. The act of giving or bestowing; a conferring or bestowal. If we consider this bestowment of gifts in this view. Chauncy. 2. That which is given or bestowed. They almost refuse to give due praise and credit to God's own bestowments. I. Taylor.
bestraddle |To bestride.
bestraught |Out of one's senses; distracted; mad. [Obs.] Shak.
bestreak |To streak.
bestrew |To strew or scatter over; to besprinkle. [Spelt also bestrow.] Milton.
bestride |1. To stand or sit with anything between the legs, or with the legs astride; to stand over That horse that thou so often hast bestrid. Shak. Why, man, he doth bestride the narrow world Like a Colossus. Shak. 2. To step over; to stride over or across; as, to bestride a threshold.
bestrode |imp. & p. p. of Bestride.
bestrown |p. p. of Bestrew.
bestuck |imp. & p. p. Bestick.
bestud |To set or adorn, as with studs or bosses; to set thickly; to stud; as, to bestud with stars. Milton.
beswike |To lure; to cheat. [Obs.] Gower.
bet |That which is laid, staked, or pledged, as between two parties, upon the event of a contest or any contingent issue; the act of giving such a pledge; a wager. \"Having made his bets.\" Goldsmith.\n\nTo stake or pledge upon the event of a contingent issue; to wager. John a Gaunt loved him well, and betted much money on his head. Shak. I'll bet you two to one I'll make him do it. O. W. Holmes.\n\nimp. & p. p. of Beat. [Obs.]\n\nAn early form of Better. [Obs.] To go bet, to go fast; to hurry. [Obs.] Chaucer.
beta |The second letter of the Greek alphabet, B, b. See B, and cf. etymology of Alphabet. Beta (B, b) is used variously for classifying, as: (a) (Astron.) To designate some bright star, usually the second brightest, of a constellation, as, b Aurigæ. (b) (Chem.) To distinguish one of two or more isomers; also, to indicate the position of substituting atoms or groups in certain compounds; as, b-naphthol. With acids, it commonly indicates that the substituent is in union with the carbon atom next to that to which the carboxyl group is attached.
