trimester |A term or period of three months.
trimestral |Trimestrial. Southey.
trimestrial |Of or pertaining to a trimester, or period of three months; occurring once in every three months; quarterly.
trimeter |Consisting of three poetical measures. -- n.  A poetical division of verse, consisting of three measures. Lowth.
trimethyl |(Chem.) A prefix or combining form (also used adjectively) indicating the presence of three methyl groups.
trimethylamine |A colorless volatile alkaline liquid, N.(CH3)3, obtained from herring brine, beet roots, etc., with a characteristic herringlike odor. It is regarded as a substituted ammonia containing three methyl groups.
trimethylene |A gaseous hydrocarbon, C3H6, isomeric with propylene and obtained from it indirectly. It is the base of a series of compounds analogous to the aromatic hydrocarbons.
trimetric |Same as Orthorhombic.
trimetrical |Same as Trimeter.
trimly |In a trim manner; nicely.
trimmer |1. One who trims, arranges, fits, or ornaments. 2. One who does not adopt extreme opinions in politics, or the like; one who fluctuates between parties, so as to appear to favor each; a timeserver. Thus Halifax was a trimmer on principle. Macaulay. 3. An instrument with which trimming is done. 4. (Arch.)  A beam, into which are framed the ends of headers in floor framing, as when a hole is to be left for stairs, or to avoid bringing joists near chimneys, and the like. See Illust. of Header.
trimming |a. from Trim, v. The Whigs are, essentially, an inefficient, trimming, halfway sort of a party. Jeffrey. Trimming joist (Arch.), a joist into which timber trimmers are framed; a header. See Header. Knight.\n\n1. The act of one who trims. 2. That which serves to trim, make right or fitting, adjust, ornament, or the like; especially, the necessary or the ornamental appendages, as of a garment; hence, sometimes, the concomitants of a dish; a relish; -- usually in the pluraltrimmings.. 3. The act of reprimanding or chastisting; as, to give a boy a trimming. [Colloq.]
trimmingly |In a trimming manner.
trimness |The quality or state of being trim; orderliness; compactness; snugness; neatness.
trimorph |A substance which crystallizes in three distinct forms, or which has three distinct physical states; also, any one of these distinct forms. See Trimorphism, 1.
trimorphic |Of, pertaining to, or characterized by, trimorphism; -- contrasted with monomorphic, dimorphic, and polymorphic.
trimorphism |1. (Crystallog.)  The property of crystallizing in three forms fundamentally distinct, as is the case with titanium dioxide, which crystallizes in the forms of rutile, octahedrite, and brookite. See Pleomorphism. 2. (Biol.)  The coëxistence among individuals of the same species of three distinct forms, not connected, as a rule, by intermediate gradations; the condition among individuals of the same species of having three different shapes or proportions of corresponding parts; -- contrasted with polymorphism, and dimorphism. Heterogonous trimporphism (Bot.), that condition in which flowers of plants of the same species have three different lengths of stamens, short, medium, and long, the blossoms of one individual plant having short and medium stamens and a long style, those of another having short and long stamens and a style of medium length, and those of a third having medium and long stamens and a short style, the style of each blossom thus being of a length not represented by its stamens.
trimorphous |Of, pertaining to, or characterized by, trimorphism; -- contrasted with monomorphic, dimorphic, and polymorphic.
trimurti |The triad, or trinity, of Hindoo gods, consisting of Brahma, the Creator, Vishnu, the Preserver, and Siva, the Destroyer. [Spelled also Trimurtti.]
trimyarian |A lamellibranch which has three muscular scars on each valve.
trinal |Threefold. \"Trinal unity.\" Milton. In their trinal triplicities on high. Spenser.
trindle |See Trundle.
trine |Threefold; triple; as, trine dimensions, or length, breadth, and thickness.\n\n1. (Astrol.)  The aspect of planets distant from each other 120 degrees, or one third of the zodiac; trigon. In sextile, square, and trine. Milton. 2. A triad; trinity. [R.] A single trine of brazen tortoises. Mrs. Browning. Eternal One, Almighty Trine! Keble.\n\nTo put in the aspect of a trine. [R.] By fortune he [Saturn] was now to Venus trined. Dryden.
trinervate |Having three ribs or nerves extending unbranched from the base to the apex; -- said of a leaf. Gray.
trinerve |Same as Trinervate.
trinerved |Same as Trinervate.
tringa |A genus of limicoline birds including many species of sandpipers. See Dunlin, Knot, and Sandpiper.
tringle |A curtain rod for a bedstead.
tringoid |Of or pertaining to Tringa, or the Sandpiper family.
