unoperculated |Destitute of an operculum, or cover.
unorder |To countermand an order for. [R.]
unorderly |Disorderly. [Obs.] Bp. Sanderson.
unordinate |Disorderly; irregular; inordinate. [R.] -- Un*or\"di*nate*ly, adv. [R.]
unorganized |Not organized; being without organic structure; specifically (Biol.), not having the different tissues and organs characteristic of living organisms, nor the power of growth and development; as, the unorganized ferments. See the Note under Ferment, n., 1.
unoriginated |1. Not originated; existing from all eternity. F. W. Newman. 2. Not yet caused to be, or to be made; as, possible inventions still unoriginated.
unoriginately |Without origin.
unossified |Destitute of a bony structure.
unowed |1. Ownerless. [Obs.] Shak. 2. Not owed; as, to pay money unowed.
unowned |1. Not owned; having no owner. Milton. 2. Not acknowledged; not avowed. Gay.
unpack |1. To separate and remove, as things packed; to open and remove the contents of; as, to unpack a trunk. 2. To relieve of a pack or burden. [R.] Shak.
unpacker |One who unpacks.
unpaganize |To cause to cease to be pagan; to divest of pagan character. [R.] Cudworth.
unpaint |To remove the paint from; to efface, as a painting. Parnell.
unpaired |Not paired; not suited or matched. And minds unpaired had better think alone. Crabbe.
unpalped |Destitute of a palp.
unpannel |To take the saddle off; to unsaddle. [Obs.] Jervas.
unparadise |To deprive of happiness like that of paradise; to render unhappy. [R.] Young.
unparagoned |Having no paragon or equal; matchless; peerless. [R.] Your unparagoned mistress is dead. Shak.
unparalleled |Having no parallel, or equal; unequaled; unmatched. The unparalleled perseverance of the armies of the United States, under every suffering and discouragement, was little short of a miracle. Washington.
unparched |Dried up; withered by heat. [Obs.] \"My tongue . . . unparched.\" Crashaw.
unpardonable |Not admitting of pardon or forgiveness; inexcusable.
unparented |Having no parent, or no acknowledged parent. [R.]
unparliamentary |Not parliamentary; contrary to the practice of parliamentary bodies. -- Un*par`lia*men\"ta*ri*ness, n.
unpartial |Impartial. [Obs.] Bp. Sanderson. -- Un*par\"tial*ly, adv. [Obs.] Hooker.
unpassable |Impassable. E. A. Freeman. -- Un*pass\"a*ble*ness, n. Evelyn.
unpassionate |Not passionate; dispassionate. -- Un*pas\"sion*ate*ly, adv.
unpastor |To cause to be no longer pastor; to deprive of pastorship. [R.] Fuller.
unpathed |Not having a path. Shak.
unpathwayed |Pathless. [R.] \"The smooth, unpathwayed plain.\" Wordsworth.
unpatience |Impatience. [Obs.]
unpatient |Impatient. [Obs.] Wyclif.
unpaved |1. Not paved; not furnished with a pavement. Hakewill. 2. Castrated. [Obs.] \"Unpaved eunuch.\" Shak.
