bilaminate |Formed of, or having, two laminæ, or thin plates.
biland |A byland. [Obs.] Holland.
bilander |A small two-masted merchant vessel, fitted only for coasting, or for use in canals, as in Holland. Why choose we, then, like bilanders to creep Along the coast, and land in view to keep Dryden.
bilateral |1. Having two sides; arranged upon two sides; affecting two sides or two parties. 2. (Biol.)  Of or pertaining to the two sides of a central area or organ, or of a central axis; as, bilateral symmetry in animals, where there is a similarity of parts on the right and left sides of the body.
bilaterality |State of being bilateral.
bilberry |1. (Bot.)  The European whortleberry (Vaccinium myrtillus); also, its edible bluish black fruit. There pinch the maids as blue as bilberry. Shak. 2. (Bot.) Any similar plant or its fruit; esp., in America, the species Vaccinium myrtilloides, V. cæspitosum and V. uliginosum.
bilbo |1. A rapier; a sword; so named from Bilbao, in Spain. Shak. 2. pl.  A long bar or bolt of iron with sliding shackles, and a lock at the end, to confine the feet of prisoners or offenders, esp. on board of ships. Methought I lay Worse than the mutines in the bilboes. Shak.
bilboquet |The toy called cup and ball.
bilcock |The European water rail.
bildstein |Same as Agalmatolite.
bile |1. (Physiol.)  A yellow, or greenish, viscid fluid, usually alkaline in reaction, secreted by the liver. It passes into the intestines, where it aids in the digestive process. Its characteristic constituents are the bile salts, and coloring matters. 2. Bitterness of feeling; choler; anger; ill humor; as, to stir one's bile. Prescott. Note: The ancients considered the bile to be the \"humor\" which caused irascibility.\n\nA boil. [Obs. or Archaic]
bilection |That portion of a group of moldings which projects beyond the general surface of a panel; a bolection.
bilestone |A gallstone, or biliary calculus. See Biliary. E. Darwin.
bilge |1. The protuberant part of a cask, which is usually in the middle. 2. (Naut.)  That part of a ship's hull or bottom which is broadest and most nearly flat, and on which she would rest if aground. 3. Bilge water. Bilge free (Naut.), stowed in such a way that the bilge is clear of everything; -- said of a cask. -- Bilge pump, a pump to draw the bilge water from the gold of a ship. -- Bilge water (Naut.), water which collects in the bilge or bottom of a ship or other vessel. It is often allowed to remain till it becomes very offensive. -- Bilge ways, the timbers which support the cradle of a ship upon the ways, and which slide upon the launching ways in launching the vessel.\n\n1. (Naut.)  To suffer a fracture in the bilge; to spring a leak by a fracture in the bilge. 2. To bulge.\n\n1. (Naut.)  To fracture the bilge of, or stave in the bottom of (a ship or other vessel). 2. To cause to bulge.
bilgy |Having the smell of bilge water.
biliary |Relating or belonging to bile; conveying bile; as, biliary acids; biliary ducts. Biliary calculus (Med.), a gallstone, or a concretion formed in the gall bladder or its duct.
biliation |The production and excretion of bile.
biliferous |Generating bile.
bilifuscin |A brownish green pigment found in human gallstones and in old bile. It is a derivative of bilirubin.
bilimbi |The berries of two East Indian species of Averrhoa, of the Oxalideæ or Sorrel family. They are very acid, and highly esteemed when preserved or pickled. The juice is used as a remedy for skin diseases. [Written also blimbi and blimbing.]
bilimbing |The berries of two East Indian species of Averrhoa, of the Oxalideæ or Sorrel family. They are very acid, and highly esteemed when preserved or pickled. The juice is used as a remedy for skin diseases. [Written also blimbi and blimbing.]
biliment |A woman's ornament; habiliment. [Obs.]
