whobub |Hubbub. [Obs.] Beau. & Fl.
whoever |Whatever person; any person who; be or she who; any one who; as, he shall be punished, whoever he may be. \"Whoever envies or repines.\" Milton. \"Whoever the king favors.\" Shak.
whole |1. Containing the total amount, number, etc.; comprising all the parts; free from deficiency; all; total; entire; as, the whole earth; the whole solar system; the whole army; the whole nation. \"On their whole host I flew unarmed.\" Milton. The whole race of mankind. Shak. 2. Complete; entire; not defective or imperfect; not broken or fractured; unimpaired; uninjured; integral; as, a whole orange; the egg is whole; the vessel is whole. My life is yet whole in me. 2 Sam. i. 9. 3. Possessing, or being in a state of, heath and soundness; healthy; sound; well. [She] findeth there her friends hole and sound. Chaucer. They that be whole need not a physician. Matt. ix. 12. When Sir Lancelot's deadly hurt was whole. Tennyson. Whole blood. (Law of Descent) See under Blood, n., 2. -- Whole note (Mus.), the note which represents a note of longest duration in common use; a semibreve. -- Whole number (Math.), a number which is not a fraction or mixed number; an integer. Whole snipe (Zoöl.), the common snipe, as distinguished from the smaller jacksnipe. [Prov. Eng.] Syn. -- All; total; complete; entire; integral; undivided; uninjured; unimpaired; unbroken; healthy. -- Whole, Total, Entire, Complete. When we use the word whole, we refer to a thing as made up of parts, none of which are wanting; as, a whole week; a whole year; the whole creation. When we use the word total, we have reference to all as taken together, and forming a single totality; as, the total amount; the total income. When we speak of a thing as entire, we have no reference to parts at all, but regard the thing as an integer, i. e., continuous or unbroken; as, an entire year; entire prosperity. When we speak of a thing as complete, there is reference to some progress which results in a filling out to some end or object, or a perfected state with no deficiency; as, complete success; a complete victory. All the whole army stood agazed on him. Shak. One entire and perfect chrysolite. Shak. Lest total darkness should by night regain Her old possession, and extinguish life. Milton. So absolute she seems, And in herself complete. Milton.\n\n1. The entire thing; the entire assemblage of parts; totality; all of a thing, without defect or exception; a thing complete in itself. \"This not the whole of life to live, Nor all of death to die. J. Montgomery. 2. A regular combination of parts; a system. Parts answering parts shall slide into a whole. Pope. Committee of the whole. See under Committee. -- Upon the whole, considering all things; taking everything into account; in view of all the circumstances or conditions. Syn. -- Totality; total; amount; aggregate; gross.
whole-hoofed |Having an undivided hoof, as the horse.
whole-length |Representing the whole figure; -- said of a picture or statue. -- n.  A portrait or statue representing the whole figure.
whole-souled |Thoroughly imbued with a right spirit; noble-minded; devoted.
wholeness |The quality or state of being whole, entire, or sound; entireness; totality; completeness.
wholesale |Sale of goods by the piece or large quantity, as distinguished from retail. By wholesale, in the mass; in large quantities; without distinction or discrimination. Some, from vanity or envy, despise a valuable book, and throw contempt upon it by wholesale. I. Watts.\n\n1. Pertaining to, or engaged in, trade by the piece or large quantity; selling to retailers or jobbers rather than to consumers; as, a wholesale merchant; the wholesale price. 2. Extensive and indiscriminate; as, wholesale slaughter. \"A time for wholesale trust.\" Mrs. Humphry Ward.
wholesome |1. Tending to promote health; favoring health; salubrious; salutary. Wholesome thirst and appetite. Milton. From which the industrious poor derive an agreeable and wholesome variety of food. A Smith. 2. Contributing to the health of the mind; favorable to morals, religion, or prosperity; conducive to good; salutary; sound; as, wholesome advice; wholesome doctrines; wholesome truths; wholesome laws. A wholesome tongue is a tree of life. Prov. xv. 4. I can not . . . make you a wholesome answer; my wit's diseased. Shak. A wholesome suspicion began to be entertained. Sir W. Scott. 3. Sound; healthy. [Obs.] Shak. -- Whole\"some*ly, adv. -- Whole\"some*ness, n.
wholly |1. In a whole or complete manner; entirely; completely; perfectly. Nor wholly overcome, nor wholly yield. Dryden. 2. To the exclusion of other things; totally; fully. They employed themselves wholly in domestic life. Addison.
whom |The objective case of who. See Who. Note: In Old English, whom was also commonly used as a dative. Cf. Him. And every grass that groweth upon root She shall eke know, and whom it will do boot. Chaucer.
whomsoever |The objective of whosoever. See Whosoever. The Most High ruleth in the kingdow of men, and giveth it to whomsoever he will. Dan. iv. 17.
whoobub |Hubbub. [Obs.] Shak.
whoop |The hoopoe.\n\n1. To utter a whoop, or loud cry, as eagerness, enthusiasm, or enjoyment; to cry out; to shout; to halloo; to utter a war whoop; to hoot, as an owl. Each whooping with a merry shout. Wordsworth. When naught was heard but now and then the howl Of some vile cur, or whooping of the owl. W. Browne. 2. To cough or breathe with a sonorous inspiration, as in whooping cough.\n\nTo insult with shouts; to chase with derision. And suffered me by the voice of slaves to be Whooped out of Rome. Shak.\n\n1. A shout of pursuit or of war; a very of eagerness, enthusiasm, enjoyment, vengeance, terror, or the like; an halloo; a hoot, or cry, as of an owl. A fox, crossing the road, drew off a considerable detachment, who clapped spurs to their horses, and pursued him with whoops and halloos. Addison. The whoop of the crane. Longfellow. 2. A loud, shrill, prolonged sound or sonorous inspiration, as in whooping cough.
whooper |One who, or that which, whooops. Woopher swan. (Zoöl.) See the Note under Swan.
whooping |a. & n. from Whoop, v. t. Whooping cough (Med.), a violent, convulsive cough, returning at longer or shorter intervals, and consisting of several expirations, followed by a sonorous inspiration, or whoop; chin cough; hooping cough. Dunglison. -- Whooping crane (Zoöl.), a North American crane (Crus Americana) noted for the loud, whooplike note which it utters. -- Whooping swan (Zoöl.), the whooper swan. See the Note under Swan.
whoot |To hoot. [Obs.]
whop |To throw one's self quickly, or by an abrupt motion; to turn suddenly; as, she whapped down on the floor; the fish whapped over. Bartlett. Note: This word is used adverbially in the north of England, as in the United States, when anything vanishes, or is gone suddenly; as, whap went the cigar out of my mouth.\n\nTo beat or strike.\n\nA blow, or quick, smart stroke.\n\nSame as Whap. Forby.\n\nSame as Whap.
whopper |Something uncommonly large of the kind; something astonishing; -- applied especially to a bold lie. [Colloq.]\n\n1. One who, or that which, whops. 2. Same as Whapper.
whopping |Very large; monstrous; astonishing; as, a whapping story. [Colloq.]
whore |A woman who practices unlawful sexual commerce with men, especially one who prostitutes her body for hire; a prostitute; a harlot. Wyclif. Syn. -- Harlot; courtesan; prostitute; strumpet.\n\n1. To have unlawful sexual intercourse; to practice lewdness. 2. (Script.)  To worship false and impure gods.\n\nTo corrupt by lewd intercourse; to make a whore of; to debauch. [R.] Congreve.
whoredom |1. The practice of unlawful intercourse with the other sex; fornication; lewdness. 2. (Script.)  The sin of worshiping idols; idolatry. O Ephraim, thou committest whoredom, and Israel is defiled; they will not . . . turn unto their God. Hos. v. 3, 4.
whoremaster |1. A man who practices lewdness; a lecher; a whoremonger. 2. One keeps or procures whores for others; a pimp; a procurer.
whoremasterly |Having the character of a whoremaster; lecherous; libidinous.
whoremonger |A whoremaster; a lecher; a man who frequents the society of whores.
whoreson |A bastard; colloquially, a low, scurvy fellow; -- used generally in contempt, or in coarse humor. Also used adjectively. [Archaic] Shak.
whorish |Resembling a whore in character or conduct; addicted to unlawful pleasures; incontinent; lewd; unchaste. -- Whor\"ish*ly, adv. -- Whor\"ish*ness, n.
whorl |1. (Bot.)  A circle of two or more leaves, flowers, or other organs, about the same part or joint of a stem. 2. (Zoöl.)  A volution, or turn, of the spire of a univalve shell. 3. (Spinning)  The fly of a spindle.
whorled |Furnished with whorls; arranged in the form of a whorl or whorls; verticillate; as, whorled leaves.
whorler |A potter's wheel.
whort |The whortleberry, or bilberry. See Whortleberry (a).
whortle |The whortleberry, or bilberry. [He] looked ahead of him from behind a tump of whortles. R. D. Blackmore.
whortleberry |(a) In England, the fruit of Vaccinium Myrtillus; also, the plant itself. See Bilberry, 1. (b) The fruit of several shrubby plants of the genus Gaylussacia; also, any one of these plants. See Huckleberry.
whose |The possessive case of who or which. See Who, and Which. Whose daughter art thou tell me, I pray thee. Gen. xxiv. 23. The question whose solution I require. Dryden.
whosesoever |The possessive of whosoever. See Whosoever.
whoso |Whosoever. Piers Plowman. Whoso shrinks or falters now, . . . Brand the craven on his brow! Whittier.
whosoever |Whatsoever person; any person whatever that; whoever. Whosoever will, let him take . . . freely. Rev. xxii. 17.
whot |Hot. [Obs.] Spenser.
whur |1. To make a rough, humming sound, like one who pronounces the letter r with too much force; to whir; to birr. 2. To snarl or growl, as a dog. Halliwell.\n\nA humming or whirring sound, like that of a body moving through the air with velocity; a whir.
whurry |To whisk along quickly; to hurry. [R.] Whurrying the chariot with them to the shore. Vicars.
whurt |See Whort.
why |1. For what cause, reason, or purpose; on what account; wherefore; -- used interrogatively. See the Note under What, pron., 1. Turn ye, turn ye from your evil ways; for why will ye die, O house of Israel Ezek. xxxiii. 11. 2. For which; on account of which; -- used relatively. No ground of enmity between us known Why he should mean me ill or seek to harm. Milton. Turn the discourse; I have a reason why I would not have you speak so tenderly. Dryden. 3. The reason or cause for which; that on account of which; on what account; as, I know not why he left town so suddenly; -- used as a compound relative. Note: Why is sometimes used as an interjection or an expletive in expression of surprise or content at a turn of affairs; used also in calling. \"Why, Jessica!\" Shak. If her chill heart I can not move, Why, I'll enjoy the very love. Cowley. Sometimes, also, it is used as a noun. The how and the why and the where. Goldsmith. For why, because; why. See Forwhy. [Obs. or Colloq.]\n\nA young heifer. [Prov. Eng.] Grose.
why-not |A violent and peremptory procedure without any assigned reason; a sudden conclusive happening. [Obs.] When the church Was taken with a why-not in the lurch. Hudibras. This game . . . was like to have been lost with a why-not. Nugæ Antiq.
whydah bird |The whidah bird.
whydah finch |The whidah bird.
wich |A variant of 1st Wick.\n\n1. A street; a village; a castle; a dwelling; a place of work, or exercise of authority; -- now obsolete except in composition; as, bailiwick, Warwick, Greenwick. Stow. 2. (Curling)  A narrow port or passage in the rink or course, flanked by the stones of previous players.
wichitas |A tribe of Indians native of the region between the Arkansas and Red rivers. They are related to the Pawnees. See Pawnees.
wick |1. A street; a village; a castle; a dwelling; a place of work, or exercise of authority; -- now obsolete except in composition; as, bailiwick, Warwick, Greenwick. Stow. 2. (Curling)  A narrow port or passage in the rink or course, flanked by the stones of previous players.\n\nA bundle of fibers, or a loosely twisted or braided cord, tape, or tube, usually made of soft spun cotton threads, which by capillary attraction draws up a steady supply of the oil in lamps, the melted tallow or wax in candles, or other material used for illumination, in small successive portions, to be burned. But true it is, that when the oil is spent The light goes out, and wick is thrown away. Spenser.\n\nTo strike a stone in an oblique direction. Jamieson.
wicke |Wicked. [Obs.] Piers Plowman. \"With full wikke intent.\" Chaucer.
wicked |Having a wick; -- used chiefly in composition; as, a two-wicked lamp.\n\n1. Evil in principle or practice; deviating from morality; contrary to the moral or divine law; addicted to vice or sin; sinful; immoral; profligate; -- said of persons and things; as, a wicked king; a wicked woman; a wicked deed; wicked designs. Hence, then, and evil go with thee along, Thy offspring, to the place of evil, hell, Thou and thy wicked crew! Milton. Never, never, wicked man was wise. Pope. 2. Cursed; baneful; hurtful; bad; pernicious; dangerous. [Obs.] \"Wicked dew.\" Shak. This were a wicked way, but whoso had a guide. P. Plowman. 3. Ludicrously or sportively mischievous; disposed to mischief; roguish. [Colloq.] Pen looked uncommonly wicked. Thackeray. Syn. -- Iniquitous; sinful; criminal; guilty; immoral; unjust; unrighteous; unholy; irreligious; ungodly; profane; vicious; pernicious; atrocious; nefarious; heinous; flagrant; flagitious; abandoned. See Iniquitous.
wickedly |In a wicked manner; in a manner, or with motives and designs, contrary to the divine law or the law of morality; viciously; corruptly; immorally. I have sinned, and I have done wickedly. 2 Sam. xxiv. 17.
wickedness |1. The quality or state of being wicked; departure from the rules of the divine or the moral law; evil disposition or practices; immorality; depravity; sinfulness. God saw that the wickedness of man was great. Gen. vi. 5. Their inward part is very wickedness. Ps. v. 9. 2. A wicked thing or act; crime; sin; iniquity. I'll never care what wickedness I do, If this man comes to good. Shak.
wicken tree |Same as Quicken tree.
wicker |1. A small pliant twig or osier; a rod for making basketwork and the like; a withe. 2. Wickerwork; a piece of wickerwork, esp. a basket. Then quick did dress His half milk up for cheese, and in a press Of wicker pressed it. Chapman. 3. Same as 1st Wike. [Prov. Eng.]\n\nMade of, or covered with, twigs or osiers, or wickerwork. Each one a little wicker basket had, Made of fine twigs, entrailéd curiously. Spenser.
wickered |Made of, secured by, or covered with, wickers or wickerwork. Ships of light timber, wickered with osier between, and covered over with leather. Milton.
wickerwork |A texture of osiers, twigs, or rods; articles made of such a texture.
wicket |1. A small gate or door, especially one forming part of, or placed near, a larger door or gate; a narrow opening or entrance cut in or beside a door or gate, or the door which is used to close such entrance or aperture. Piers Plowman. \"Heaven's wicket.\" Milton. And so went to the high street, . . . and came to the great tower, but the gate and wicket was fast closed. Ld. Berners. The wicket, often opened, knew the key. Dryden. 2. A small gate by which the chamber of canal locks is emptied, or by which the amount of water passing to a water wheel is regulated. 3. (Cricket) (a) A small framework at which the ball is bowled. It consists of three rods, or stumps, set vertically in the ground, with one or two short rods, called bails, lying horizontally across the top. (b) The ground on which the wickets are set. 4. A place of shelter made of the boughs of trees, -- used by lumbermen, etc. [Local, U. S.] Bartlett. 5. (Mining)  The space between the pillars, in postand-stall working. Raymond. Wicket door, Wicket gate, a small door or gate; a wicket. See def. 1, above. Bunyan. -- Wicket keeper (Cricket), the player who stands behind the wicket to catch the balls and endeavor to put the batsman out.
wicking |the material of which wicks are made; esp., a loosely braided or twisted cord or tape of cotton.
wickiup wickyup |Vars of Wikiup.
wickliffite |See Wyclifite.
wiclifite |See Wyclifite.
wicopy |See Leatherwood. WIDAL'S TEST; WIDAL TEST; WIDAL'S REACTION; WIDAL REACTION Wi*dal's\| or Wi*dal\"| test or reaction . [After Fernand Widal (b. 1862)| French physician.] (Med.)  A test for typhoid fever based on the fact that blood serum of one affected| in a bouillon culture of typhoid bacilli| causes the bacilli to agglutinate and lose their motility."
widdy |A rope or halter made of flexible twigs, or withes, as of birch. [Scot.]
