blancmanger |A sort of fricassee with white sauce, variously made of capon, fish, etc. [Obs.] Chaucer.
bland |1. Mild; soft; gentle; smooth and soothing in manner; suave; as, a bland temper; bland persuasion; a bland sycophant. \"Exhilarating vapor bland.\" Milton. 2. Having soft and soothing qualities; not drastic or irritating; not stimulating; as, a bland oil; a bland diet.
blandation |Flattery. [Obs.]
blandiloquence |Mild, flattering speech.
blandiloquious |Fair-spoken; flattering.
blandiloquous |Fair-spoken; flattering.
blandise |To blandish any one. [Obs.] Chaucer.
blandish |1. To flatter with kind words or affectionate actions; to caress; to cajole. 2. To make agreeable and enticing. Mustering all her wiles, With blandished parleys. Milton.
blandisher |One who uses blandishments.
blandishment |The act of blandishing; a word or act expressive of affection or kindness, and tending to win the heart; soft words and artful caresses; cajolery; allurement. Cowering low with blandishment. Milton. Attacked by royal smiles, by female blandishments. Macaulay.
blandly |In a bland manner; mildly; suavely.
blandness |The state or quality of being bland.
blank |1. Of a white or pale color; without color. To the blank moon Her office they prescribed. Milton. 2. Free from writing, printing, or marks; having an empty space to be filled in with some special writing; -- said of checks, official documents, etc.; as, blank paper; a blank check; a blank ballot. 3. Utterly confounded or discomfited. Adam . . . astonied stood, and blank. Milton. 4. Empty; void; without result; fruitless; as, a blank space; a blank day. 5. Lacking characteristics which give variety; as, a blank desert; a blank wall; destitute of interests, affections, hopes, etc.; as, to live a blank existence; destitute of sensations; as, blank unconsciousness. 6. Lacking animation and intelligence, or their associated characteristics, as expression of face, look, etc.; expressionless; vacant. \"Blank and horror-stricken faces.\" C. Kingsley. The blank . . . glance of a half returned consciousness. G. Eliot. 7. Absolute; downright; unmixed; as, blank terror. Blank bar (Law), a plea put in to oblige the plaintiff in an action of trespass to assign the certain place where the trespass was committed; -- called also common bar. -- Blank cartridge, a cartridge containing no ball. -- Blank deed. See Deed. -- Blank door, or Blank window (Arch.), a depression in a wall of the size of a door or window, either for symmetrical effect, or for the more convenient insertion of a door or window at a future time, should it be needed. -- Blank indorsement (Law), an indorsement which omits the name of the person in whose favor it is made; it is usually made by simply writing the name of the indorser on the back of the bill. -- Blank line (Print.), a vacant space of the breadth of a line, on a printed page; a line of quadrats. -- Blank tire (Mech.), a tire without a flange. -- Blank tooling. See Blind tooling, under Blind. -- Blank verse. See under Verse. -- Blank wall, a wall in which there is no opening; a dead wall.\n\n1. Any void space; a void space on paper, or in any written instrument; an interval void of consciousness, action, result, etc; a void. I can not write a paper full, I used to do; and yet I will not forgive a blank of half an inch from you. Swift. From this time there ensues a long blank in the history of French legislation. Hallam. I was ill. I can't tell how long -- it was a blank. G. Eliot. 2. A lot by which nothing is gained; a ticket in a lottery on which no prize is indicated. In Fortune's lottery lies A heap of blanks, like this, for one small prize. Dryden. 3. A paper unwritten; a paper without marks or characters a blank ballot; -- especially, a paper on which are to be inserted designated items of information, for which spaces are left vacant; a bland form. The freemen signified their approbation by an inscribed vote, and their dissent by a blank. Palfrey. 4. A paper containing the substance of a legal instrument, as a deed, release, writ, or execution, with spaces left to be filled with names, date, descriptions, etc. 5. The point aimed at in a target, marked with a white spot; hence, the object to which anything is directed. Let me still remain The true blank of thine eye. Shak. 6. Aim; shot; range. [Obs.] I have stood . . . within the blank of his displeasure For my free speech. Shak. 7. A kind of base silver money, first coined in England by Henry V., and worth about 8 pence; also, a French coin of the seventeenth century, worth about 4 pence. Nares. 8. (Mech.)  A piece of metal prepared to be made into something by a further operation, as a coin, screw, nuts. 9. (Dominoes)  A piece or division of a piece, without spots; as, the \"double blank\"; the \"six blank.\" In blank, with an essential portion to be supplied by another; as, to make out a check in blank.\n\n1. To make void; to annul. [Obs.] Spenser. 2. To blanch; to make blank; to damp the spirits of; to dispirit or confuse. [Obs.] Each opposite that blanks the face of joy. Shak.
blanket |1. A heavy, loosely woven fabric, usually of wool, and having a nap, used in bed clothing; also, a similar fabric used as a robe; or any fabric used as a cover for a horse. 2. (Print.)  A piece of rubber, felt, or woolen cloth, used in the tympan to make it soft and elastic. 3. A streak or layer of blubber in whales. Note: The use of blankets formerly as curtains in theaters explains the following figure of Shakespeare. Nares. Nor heaven peep through the blanket of the dark To cry, \"Hold, hold!\" Shak. Blanket sheet, a newspaper of folio size. -- A wet blanket, anything which damps, chills, dispirits, or discour\n\n1. To cover with a blanket. I'll . . . blanket my loins. Shak. 2. To toss in a blanket by way of punishment. We'll have our men blanket 'em i' the hall. B. Jonson. 3. To take the wind out of the sails of (another vessel) by sailing to windward of her. Blanket cattle. See Belted cattle, under Belted.
blanket clause |A clause, as in a blanket mortgage or policy, that includes a group or class of things, rather than a number mentioned individually and having the burden, loss, or the like, apportioned among them.
blanket mortgage |One that covers a group or class of things or properties instead of one or more things mentioned individually, as where a mortgage secures various debts as a group, or subjects a group or class of different pieces of property to one general lien.
blanket policy |One that covers a group or class of things or properties instead of one or more things mentioned individually, as where a mortgage secures various debts as a group, or subjects a group or class of different pieces of property to one general lien.
blanket stitch |A buttonhole stitch worked wide apart on the edge of material, as blankets, too thick to hem.
blanketing |1. Cloth for blankets. 2. The act or punishment of tossing in a blanket. That affair of the blanketing happened to thee for the fault thou wast guilty of. Smollett.
blankly |1. In a blank manner; without expression; vacuously; as, to stare blankly. G. Eliot. 2. Directly; flatly; point blank. De Quincey.
blankness |The state of being blank.
blanquette |A white fricassee.
blanquillo |A large fish of Florida and the W. Indies (Caulolatilus chrysops). It is red, marked with yellow.
blare |To sound loudly and somewhat harshly. \"The trumpet blared.\" Tennyson.\n\nTo cause to sound like the blare of a trumpet; to proclaim loudly. To blare its own interpretation. Tennyson.\n\nThe harsh noise of a trumpet; a loud and somewhat harsh noise, like the blast of a trumpet; a roar or bellowing. With blare of bugle, clamor of men. Tennyson. His ears are stunned with the thunder's blare. J. R. Drake.
blarney |Smooth, wheedling talk; flattery. [Colloq.] Blarney stone, a stone in Blarney castle, Ireland, said to make those who kiss it proficient in the use of blarney.\n\nTo influence by blarney; to wheedle with smooth talk; to make or accomplish by blarney. \"Blarneyed the landlord.\" Irving. Had blarneyed his way from Long Island. S. G. Goodrich.
blase |Having the sensibilities deadened by excess or frequency of enjoyment; sated or surfeited with pleasure; used up.
blaspheme |1. To speak of, or address, with impious irreverence; to revile impiously (anything sacred); as, to blaspheme the Holy Spirit. So Dagon shall be magnified, and God, Besides whom is no god, compared with idols, Disglorified, blasphemed, and had in scorn. Milton. How long, O Lord, holy and true, dost thou not judge and avenge thyself on all those who thus continually blaspheme thy great and all-glorious name Dr. W. Beveridge. 2. Figuratively, of persons and things not religiously sacred, but held in high honor: To calumniate; to revile; to abuse. You do blaspheme the good in mocking me. Shak. Those who from our labors heap their board, Blaspheme their feeder and forget their lord. Pope.\n\nTo utter blasphemy. He that shall blaspheme against the Holy Ghost hath never forgiveness. Mark iii. 29.
blasphemer |One who blasphemes. And each blasphemer quite escape the rod, Because the insult's not on man, but God Pope.
blasphemous |Speaking or writing blasphemy; uttering or exhibiting anything impiously irreverent; profane; as, a blasphemous person; containing blasphemy; as, a blasphemous book; a blasphemous caricature. \"Blasphemous publications.\" Porteus. Nor from the Holy One of Heaven Refrained his tongue blasphemous. Milton. Note: Formerly this word was accented on the second syllable, as in the above example.
blasphemously |In a blasphemous manner.
blasphemy |1. An indignity offered to God in words, writing, or signs; impiously irreverent words or signs addressed to, or used in reference to, God; speaking evil of God; also, the act of claiming the attributes or prerogatives of deity. Note: When used generally in statutes or at common law, blasphemy is the use of irreverent words or signs in reference to the Supreme Being in such a way as to produce scandal or provoke violence. 2. Figuratively, of things held in high honor: Calumny; abuse; vilification. Punished for his blasphemy against learning. Bacon.
blast |1. A violent gust of wind. And see where surly Winter passes off, Far to the north, and calls his ruffian blasts; His blasts obey, and quit the howling hill. Thomson. 2. A forcible stream of air from an orifice, as from a bellows, the mouth, etc. Hence: The continuous blowing to which one charge of ore or metal is subjected in a furnace; as, to melt so many tons of iron at a blast. Note: The terms hot blast and cold blast are employed to designate whether the current is heated or not heated before entering the furnace. A blast furnace is said to be in blast while it is in operation, and out of blast when not in use. 3. The exhaust steam from and engine, driving a column of air out of a boiler chimney, and thus creating an intense draught through the fire; also, any draught produced by the blast. 4. The sound made by blowing a wind instrument; strictly, the sound produces at one breath. One blast upon his bugle horn Were worth a thousand men. Sir W. Scott. The blast of triumph o'er thy grave. Bryant. 5. A sudden, pernicious effect, as if by a noxious wind, especially on animals and plants; a blight. By the blast of God they perish. Job iv. 9. Virtue preserved from fell destruction's blast. Shak. 6. The act of rending, or attempting to rend, heavy masses of rock, earth, etc., by the explosion of gunpowder, dynamite, etc.; also, the charge used for this purpose. \"Large blasts are often used.\" Tomlinson. 7. A flatulent disease of sheep. Blast furnace, a furnace, usually a shaft furnace for smelting ores, into which air is forced by pressure. -- Blast hole, a hole in the bottom of a pump stock through which water enters. -- Blast nozzle, a fixed or variable orifice in the delivery end of a blast pipe; -- called also blast orifice. -- In full blast, in complete operation; in a state of great activity. See Blast, n., 2. [Colloq.]\n\n1. To injure, as by a noxious wind; to cause to wither; to stop or check the growth of, and prevent from fruit-bearing, by some pernicious influence; to blight; to shrivel. Seven thin ears, and blasted with the east wind. Gen. xii. 6. 2. Hence, to affect with some sudden violence, plague, calamity, or blighting influence, which destroys or causes to fail; to visit with a curse; to curse; to ruin; as, to blast pride, hopes, or character. I'll cross it, though it blast me. Shak. Blasted with excess of light. T. Gray. 3. To confound by a loud blast or din. Trumpeters, With brazen din blast you the city's ear. Shak. 4. To rend open by any explosive agent, as gunpowder, dynamite, etc.; to shatter; as, to blast rocks.\n\n1. To be blighted or withered; as, the bud blasted in the blossom. 2. To blow; to blow on a trumpet. [Obs.] Toke his blake trumpe faste And gan to puffen and to blaste. Chaucer.
blast lamp |A lamp provided with some arrangement for intensifying combustion by means of a blast.
blast pipe |The exhaust pipe of a steam engine, or any pipe delivering steam or air, when so constructed as to cause a blast.
blasted |1. Blighted; withered. Upon this blasted heath. Shak. 2. Confounded; accursed; detestable. Some of her own blasted gypsies. Sir W. Scott. 3. Rent open by an explosive. The blasted quarry thunders, heard remote. Wordsworth.
