brigose |Contentious; quarrelsome. [Obs.] Puller.
brigue |A cabal, intrigue, faction, contention, strife, or quarrel. [Obs.] Chesterfield.\n\nTo contend for; to canvass; to solicit. [Obs.] Bp. Hurd.
brike |A breach; ruin; downfall; peril. [Obs.] Chaucer.
brill |A fish allied to the turbot (Rhombus levis), much esteemed in England for food; -- called also bret, pearl, prill. See Bret.
brillante |In a gay, showy, and sparkling style.
brilliance |Brilliancy. Tennyson.
brilliancy |The quality of being brilliant; splendor; glitter; great brighness, whether in a literal or figurative sense. With many readers brilliancy of style passes for affluence of thought. Longfellow.
brilliant |1. Sparkling with luster; glittering; very bright; as, a brilliant star. 2. Distinguished by qualities which excite admiration; splended; shining; as, brilliant talents. Washington was more solicitous to avoid fatal mistakes than to perform brilliant exploits. Fisher Ames. Syn. -- See Shining.\n\n1. A diamond or other gem of the finest cut, formed into faces and facets, so as to reflect and refract the light, by which it is rendered nore brilliant. It has at the middle, or top, a principal face, called the table, which is surrounded by a number of sloping facets forming a bizet; below, it has a small face or collet, parallel to the table, connected with the gridle by a pavilion of elongated facets. It is thus distinguished from the rose diamond, which is entirely covered with facets on the surface, and is flat below. This snuffbox -- on the hinge see brilliants shine. Pope. 2. (Print.)  The small size of type used in England printing. Note: This line is printed in the type called Brilliant. 3. A kind of kotton goods, figured on the weaving.
brilliantine |1. An oily composition used to make the hair glossy. 2.  A dress fabric having a glossy finish on both sides, resembling alpaca but of superior quality.
brilliantly |In a brilliant manner.
brilliantness |Brilliancy; splendor; glitter.
brills |The hair on the eyelids of a horse. Bailey.
brim |1. The rim, border, or upper sdge of a cup, dish, or any hollow vessel used for holding anything. Saw I that insect on this goblet's brim I would remove it with an anxious pity. Coleridge. 2. The edge or margin, as of a fountain, or of the water contained in it; the brink; border. The feet of the priest that bare the ark were dipped in the brim of the water. Josh. iii. 15. 3. The rim of a hat. Wordsworth.\n\nTo be full to the brim. \"The brimming stream.\" Milton. To brim over (literally or figuratively), to be so full that some of the contents flows over the brim; as, cup brimming over with wine; a man brimming over with fun.\n\nTo fill to the brim, upper edge, or top. Arrange the board and brim the glass. Tennyson.\n\nFierce; sharp; cold. See Breme. [Obs.]
brimful |Full to the brim; completely full; ready to overflow. \"Her brimful eyes.\" Dryden.
brimless |Having no brim; as, brimless caps.
brimmed |1. Having a brim; -- usually in composition. \"Broad-brimmed hat.\" Spectator. 2. Full to, or level with, the brim. Milton.
brimmer |A brimful bowl; a bumper.
brimming |Full to the brim; overflowing.
brimstone |Sulphur; See Sulphur.\n\nMade of, or pertaining to, brimstone; as, brimstone matches. From his brimstone bed at break of day A-walking the devil has gone. Coleridge.
brimstony |Containing or resembling brimstone; sulphurous. B. Jonson.
brin |One of the radiating sticks of a fan. The outermost are larger and longer, and are called panaches. Knight.
brinded |Of a gray or tawny color with streaks of darker hue; streaked; brindled. \"Three brinded cows,\" Dryden. \"The brinded cat.\" Shak.
brindle |1. The state of being brindled. 2. A brindled color; also, that which is brindled.\n\nBrindled.
brindled |Having dark streaks or spots on a gray or tawny ground; brinded. \"With a brindled lion played.\" Churchill.
brine |1. Water saturated or strongly inpregnated with salt; pickle; hence, any strong saline solution; also, the saline residue or strong mother liquor resulting from the evaporation of natural or artificial waters. 2. The ocean; the water of an ocean, sea, or salt lake. Not long beneath the whelming brine . . . he lay. Cowper. 3. Tears; -- so called from their saltness. What a deal of brine Hath washed thy sallow cheecks for Rosaline! Shak. Brine fly (Zoöl.), a fly of the genus Ephydra, the larvæ of which live in artificial brines and in salt lakes. -- Brine gauge, an instrument for measuring the saltness of a liquid. -- Brine pan, a pit or pan of salt water, where salt is formed by cristallization. -- Brine pit, a salt spring or well, from which water is taken to be boiled or evaporated for making salt. -- Brine pump (Marine Engin.), a pump for changing the water in the boilers, so as to clear them of the brine which collects at the bottom. -- Brine shrimp, Brine worm (Zoöl.), a phyllopod crustacean of the genus Artemia, inhabiting the strong brines of salt works and natural salt lakes. See Artemia. -- Brine spring, a spring of salt water. -- Leach brine (Saltmaking), brine which drops from granulated salt in drying, and is preserved to be boiled again.\n\n1. To steep or saturate in brine. 2. To sprinkle with salt or brine; as, to brine hay.
