bullwort |See Bishop's-weed.
bully |1. A noisy, blustering fellow, more insolent than courageous; one who is threatening and quarrelsome; an insolent, tyrannical fellow. Bullies seldom execute the threats they deal in. Palmerston. 2. A brisk, dashing fellow. [Slang Obs.] Shak.\n\n1. Jovial and blustering; dashing. [Slang] \"Bless thee, bully doctor.\" Shak. 2. Fine; excellent; as, a bully horse. [Slang, U.S.]\n\nTo intimidate with threats and by an overbearing, swaggering demeanor; to act the part of a bully toward. For the last fortnight there have been prodigious shoals of volunteers gone over to bully the French, upon hearing the peace was just signing. Tatler. Syn. -- To bluster; swagger; hector; domineer.\n\nTo act as a bully.\n\nPickled or canned beef.
bully beef |Pickled or canned beef.
bully tree |The name of several West Indian trees of the order Sapotaceæ, as Dipholis nigra and species of Sapota and Mimusops. Most of them yield a substance closely resembling gutta-percha.
bullyrag |Same as Bullirag.
bullyrock |A bully. [Slang Obs.] Shak.
bulrush |A kind of large rush, growing in wet land or in water. Note: The name bulrush is applied in England especially to the cat- tail (Typha latifolia and T. angustifolia) and to the lake club-rush (Scirpus lacustris); in America, to the Juncus effusus, and also to species of Scirpus or club-rush.
bulse |A purse or bag in which to carry or measure diamonds, etc. [India] Macaulay.
bultel |A bolter or bolting cloth; also, bran. [Obs.]
bulti |Same as Bolty.
bultong |Biltong.
bultow |A trawl; a boulter; the mod
bulwark |1. (Fort.)  A rampart; a fortification; a bastion or outwork. 2. That which secures against an enemy, or defends from attack; any means of defense or protection. The royal navy of England hath ever been its greatest defense, . . . the floating bulwark of our island. Blackstone. 3. pl. (Naut.)  The sides of a ship above the upper deck. Syn. -- See Rampart.\n\nTo fortify with, or as with, a rampart or wall; to secure by fortification; to protect. Of some proud city, bulwarked round and armed With rising towers. Glover.
bum |The buttock. [Low] Shak.\n\nTo make murmuring or humming sound. Jamieson.\n\nA humming noise. Halliwell.
bumbailiff |See Bound bailiff, under Bound, a.
bumbard |See Bombard. [Obs.]
bumbarge |See Bumboat. Carlyle.
bumbast |See Bombast. [Obs.]
bumbelo |A glass used in subliming camphor. [Spelled also bombolo and bumbolo.]
bumble |The bittern. [Local, Eng.]\n\nTo make a hollow or humming noise, like that of a bumblebee; to cry as a bittern. As a bittern bumbleth in the mire. Chaucer.
bumblebee |A large bee of the genus Bombus, sometimes called humblebee; -- so named from its sound. Note: There are many species. All gather honey, and store it in the empty cocoons after the young have come out.
bumblepuppy |1.  The old game of nineholes. 2.  (Card Playing) Whist played in an unscientific way.
