cerotype |A printing process of engraving on a surface of wax spread on a steel plate, for electrotyping.
cerrial |Of or pertaining to the cerris. Chaplets green of cerrial oak. Dryden.
cerris |A species of oak (Quercus cerris) native in the Orient and southern Europe; -- called also bitter oak and Turkey oak.
certain |1. Assured in mind; having no doubts; free from suspicions concerning. To make her certain of the sad event. Dryden. I myself am certain of you. Wyclif. 2. Determined; resolved; -- used with an infinitive. However, I with thee have fixed my lot, Certain to undergo like doom. Milton. 3. Not to be doubted or denied; established as a fact. The dream is certain, and the interpretation thereof sure. Dan. ii. 45. 4. Actually existing; sure to happen; inevitable. Virtue that directs our ways Through certain dangers to uncertain praise. Dryden. Death, as the Psalmist saith, is certain to all. Shak. 5. Unfailing; infallible. I have often wished that I knew as certain a remedy for any other distemper. Mead. 6. Fixed or stated; regular; determinate. The people go out and gather a certain rate every day. Ex. xvi. 4. 7. Not specifically named; indeterminate; indefinite; one or some; -- sometimes used independenty as a noun, and meaning certain persons. It came to pass when he was in a certain city. Luke. v. 12. About everything he wrote there was a certain natural grace und decorum. Macaulay. For certain, assuredly. -- Of a certain, certainly. Syn. -- Bound; sure; true; undeniable; unquestionable; undoubted; plain; indubitable; indisputable; incontrovertible; unhesitating; undoubting; fixed; stated.\n\n1. Certainty. [Obs.] Gower. 2. A certain number or quantity. [Obs.] Chaucer.\n\nCertainly. [Obs.] Milton.
certainly |Without doubt or question; unquestionably.
certainness |Certainty.
certainty |1. The quality, state, or condition, of being certain. The certainty of punishment is the truest security against crimes. Fisher Ames. 2. A fact or truth unquestionable established. Certainties are uninteresting and sating. Landor. 3. (Law)  Clearness; freedom from ambiguity; lucidity. Of a certainty, certainly.
certes |Certainly; in truth; verily. [Archaic] Certes it great pity was to see Him his nobility so foul deface. Spenser.
certificate |1. A written testimony to the truth of any fact; as, certificate of good behavior. 2. A written declaration legally authenticated. Trial by certificate, a trial which the testimony of the person certifying is the only proper criterion of the point in dispute; as, when the issue is whether a person was absent in the army, this is tried by the certificate of the proper officer in writing, under his seal. Blackstone.\n\n1. To verify or vouch for by certificate. 2. To furnish with a certificate; as, to certificate the captain of a vessel; a certificated teacher.
certification |The act of certifying.
certifier |One who certifies or assures.
certify |1. To give cetain information to; to assure; to make certain. We certify the king, that . . . thou shalt have no portion on this side the river. Ezra iv. 16. 2. To give certain information of; to make certain, as a fact; to verify. Hammond. The industry of science at once certifies and greatly extends our knowledge of the vastness of the creation. I. Taylor. 3. To testify to in writing; to make a declaration concerning, in writing, under hand, or hand and seal. The judges shall certify their opinion to the chancellor, and upon such certificate the decree is usually founded. Blackstone. Certified check, A bank check, the validity of which is certified by the bank on which it is drawn.
certiorari |A writ issuing out of chancery, or a superior court, to call up the records of a inferior court, or remove a cause there depending, in order that the party may have more sure and speedy justice, or that errors and irreguarities may be corrected. It is obtained upon complaint of a party that he has not received justice, or can not have an impartial trial in the inferior court. Note: A certiorari is the correct process to remove the proceedings of a court in which cases are tried in a manner different from the course of the common law, as of county commissioners. It is also used as an auxiliary process in order to obtain a full return to some other process. Bouvier.
certitude |Freedom from doubt; assurance; certainty. J. H. Newman.
cerule |Blue; cerulean. [Obs.] Dyer.
cerulean |Sky-colored; blue; azure. Cowper. Blue, blue, as if that sky let fall A flower from its cerulean wall. Bryant.
cerulein |A fast dyestuff, C20H8O6, made by heating gallein with strong sulphuric acid. It dyes mordanted fabrics green.
ceruleous |Cerulean. [Obs.] Dr. H. More.
cerulescent |Tending to cerulean; light bluish.
ceruleum |A greenish blue pigment prepared in various ways, consisting essentially of cobalt stannate. Unlike other cobalt blues, it does not change color by gaslight.
cerulific |Producing a blue or sky color. [R.]
cerumen |The yellow, waxlike secretion from the glands of the external ear; the earwax.
