cheirosophy |The art of reading character as it is delineated in the hand. -- Chei*ros\"o*phist (, n.
cheirotherium |A genus of extinct animals, so named from fossil footprints rudely resembling impressions of the human hand, and believed to have been made by labyrinthodont reptiles. See Illustration in Appendix.
chekelatoun |See Ciclatoun. [Obs.] Chaucer.
chekmak |A turkish fabric of silk and cotton, with gold thread interwoven.
chela |The pincherlike claw of Crustacea and Arachnida.
chelate |Same as Cheliferous.
chelerythrine |Am alkaloidal principle obtained from the celandine, and named from the red color of its salts, It is a coloriess crystalline substance, and acts as an acrid narcotic poison. It is identical with sanguinarine.
chelicera |One of the anterior pair of mouth organs, terminated by a pincherlike claw, in scorpions and allied Arachnida. They are homologous with the falcers of spiders, and probably with the mandibles of insects.
chelidon |The hollow at the flexure of the arm.
chelidonic |Of, pertaining to, or derived from, the celandine. Cheidonic acid, a weak acid extracted fron the celandine (Chelidonium majus), as a white crystalline substance.
chelidonius |A small stone taken from the gizzard of a young swallow. -- anciently worn as a medicinal charm.
chelifer |See Book scorpion, under Book.
cheliferous |Having cheliform claws, like a crab.
cheliform |Having a movable joint or finger closing againts a preceding joint or a projecting part of it, so that the whole may be ised for grasping, as the claw of a crab; pincherlike.
chelone |A genus of hardy perennial flowering plants, of the order Scrophulariaceaæ., natives of North America; -- called also snakehead, turtlehead, shellflower, etc.
chelonia |An order of reptiles, including the tortoises and turtles, perculiar in having a part of the vertebræ, ribs, and sternum united with the dermal plates so as to form a firm shell. The jaws are covered by a horny beak. See Reptilia; also, Illust. in Appendix.
chelonian |Of or pertaining to animals of the tortoise kind. -- n.  One of the Chelonia.
chelura |A genus of marine amphipod crustacea, which bore into and sometimes destroy timber.
chely |A claw. See Chela. [Obs.]
chemic |1. A chemist; an alchemist. [Obs.] 2. (Bleaching)  A solution of chloride of line.\n\nChemical. Blackw. Mag.
chemical |Pertaining to chemistry; characterized or produced by the forces and operations of chemistry; employed in the processes of chemistry; as, chemical changes; chemical comnbinations. Chemical attraction or affinity. See under Attraction.\n\nA substance used for producing a chemical effect; a reagent.
chemically |According to chemical principles; by chemical process or operation.
chemiglyphic |Engraved by a voltaic battary.
chemigraphy |Any mechanical engraving process depending upon chemical action; specif., a process of zinc etching not employing photography. -- Chem`i*graph\"ic (#), a.
chemiloon |A garment for women, consisting of chemise and drawers united in one. [U. S.]
chemiotaxis |The sensitiveness exhibited by small free-swimming organisms, as bacteria, zoöspores of algæ, etc., to chemical substances held in solution. They may be attracted (positive chemotaxis) or repelled (negative chemotaxis). -- Chem`o*tac\"tic (#), a. -- Chem`o*tac\"tic*al*ly, adv.
chemise |1. A shift, or undergarment, worn by women. 2. A wall that lines the face of a bank or earthwork.
chemisette |An under-garment, worn by women, usually covering the neck, shoulders, and breast.
chemism |The force exerted between the atoms of elementary substance whereby they unite to form chemical compounds; chemical attaction; affinity; -- sometimes used as a general expression for chemical activity or relationship.
chemist |A person versed in chemistry or given to chemical investigation; an analyst; a maker or seller of chemicals or drugs.
chemistry |1. That branch of science which treats of the composition of substances, and of the changes which they undergo in consequence of alterations in the constitution of the molecules, which depend upon variations of the number, kind, or mode of arrangement, of the constituent atoms. These atoms are not assumed to be indivisible, but merely the finest grade of subdivision hitherto attained. Chemistry deals with the changes in the composition and constitution of molecules. See Atom, Molecule. Note: Historically, chemistry is an outgrowth of alchemy (or alchemistry), with which it was anciently identified. 2. An application of chemical theory and method to the consideration of some particular subject; as, the chemistry of iron; the chemistry of indigo. 3. A treatise on chemistry. Note: This word and its derivatives were formerly written with y, and sometimes with i, instead of e, in the first syllable, chymistry, chymist, chymical, etc., or chimistry, chimist, chimical, etc.; and the pronunciation was conformed to the orthography. Inorganic chemistry, that which treats of inorganic or mineral substances. -- Organic chemistry, that which treats of the substances which from the structure of organized beings and their products, whether animal or vegetable; -- called also chemistry of the carbon compounds. There is no fundamental difference between organic and inorganic chemistry. -- Physiological chemistry, the chemistry of the organs and tissues of the body, and of the various physiological processes incident to life. -- Practical chemistry, or Applied chemistry, that which treats of the modes of manufacturing the products of chemistry that are useful in the arts, of their applications to economical purposes, and of the conditions essential to their best use. -- Pure chemistry, the consideration of the facts and theories of chemistry in their purely scientific relations, without necessary reference to their practical applications or mere utility.
chemitype |One of a number of processes by which an impression from an engraved plate is obtained in relief, to be used for printing on an ordinary printing press.
chemolysis |A term sometimes applied to the decomposition of organic substance into more simple bodies, by the use of chemical agents alone. Thudichum.
chemosis |Inflammatory swelling of the conjunctival tissue surrounding the cornea. --Che*mot\"ic (#), a.
chemosmosis |Chemical action taking place through an intervening membrane.
chemosmotic |Pertaining to, or produced by, chemosmosis. [R.]
chemosynthesis |Synthesis of organic compounds by energy derived from chemical changes or reactions. Chemosynthesis of carbohydrates occurs in the nitrite bacteria through the oxidation of ammonia to nitrous acid, and in the nitrate bacteria through the conversion of nitrous into nitric acid. -- Chem`o*syn*thet\"ic (#), a.
chemotaxis |The sensitiveness exhibited by small free-swimming organisms, as bacteria, zoöspores of algæ, etc., to chemical substances held in solution. They may be attracted (positive chemotaxis) or repelled (negative chemotaxis). -- Chem`o*tac\"tic (#), a. -- Chem`o*tac\"tic*al*ly, adv.
chemung period |A subdivision in the upper part of the Devonian system in America, so named from the Chemung River, along which the rocks are well developed. It includes the Portage and Chemung groups or epochs. See the Diagram under Geology.
cheng |A chinese reed instrument, with tubes, blown by the mouth.
chenille |Tufted cord, of silk or worsted, for the trimimg of ladies' dresses, for embroidery and fringes, and for the weft of chenille rugs.
chepster |The European starling. [Local, Eng.]
cheque |See Check.
chequer |Same as Checker.
chequing |A coin. See Sequin. Shak.
chequy |Same as Checky.
cherif |See Cherif.
cherimoyer |1. A small downy-leaved tree (Anona Cherimolia), with fragrant flowers. It is a native of Peru. 2. Its delicious fruit, which is succulent, dark purple, and similar to the custard apple of the West Indies.
