choregraphical |Pertaining to choregraphy.
choregraphy |The art of representing dancing by signs, as music is represented by notes. Craig.
choreic |Of the nature of, or pertaining to, chorea; convulsive.
chorepiscopal |Pertaining to a chorepiscopus or his change or authority.
chorepiscopus |A \"country\" or suffragan bishop, appointed in the ancient church by a diocesan bishop to exercise episcopal jurisdiction in a rural district.
choreus |(a) a trochee. (b) A tribrach.
choriamb |Same as Choriambus.
choriambic |Pertaining to a choriamb. -- n.  A choriamb.
choriambus |A foot consisting of four syllables, of which the first and last are long, and the other short (- ~ ~ -); that is, a choreus, or trochee, and an iambus united.
choric |Of or pertaining to a chorus. I remember a choric ode in the Hecuba. Coleridge.
chorion |1. (Anat.) (a) The outer membrane which invests the fetus in the womb; also, the similar membrane investing many ova at certain stages of development. (b) The true skin, or cutis. 2. (Bot.)  The outer membrane of seeds of plants.
chorisis |The separation of a leaf or floral organ into two more parts. Note: In collateral chorisis the parts are side by side. -- In parallel or median chorisis they are one in front of another.
chorist |A singer in a choir; a chorister. [R.]
chorister |1. One of a choir; a singer in a chorus. Dryden. 2. One who leads a choir in church music. [U. S.]
choristic |Choric; choral. [R.]
chorograph |An instrument for constructing triangles in marine surveying, etc.
chorographer |1. One who describes or makes a map of a district or region. \"The chorographers of Italy.\" Sir T. Browne. 2. A geographical antiquary; one who investigates the locality of ancient places.
chorographical |Pertaining to chorography. -- Cho`ro*graph\"ic*al*ly, adv.
chorography |the mapping or description of a region or district. The chorography of their provinces. Sir T. Browne.
choroid |resembling the chorion; as, the choroid plexuses of the ventricles of the brain, and the choroid coat of the eyeball. -- n.  The choroid coat of the eye. See Eye. Choroid plexus (Anat.), one of the delicate fringelike processes, consisting almost entirely of blood vessels, which project into the ventricles of the brain.
choroidal |Pertaining to the choroid coat.
chorology |The science which treats of the laws of distribution of living organisms over the earth's surface as to latitude, altitude, locality, etc. Its distribution or chorology. Huxley.
chorometry |The art of surveying a region or district.
chortle |A word coined by Lewis Carroll (Charles L. Dodgson), and usually explained as a combination of chuckle and snort. [Humorous] O frabjous day ! Callooh ! Callay ! He chortled in his joy. Lewis Carroll.
chorus |1. (Antiq.)  A band of singers and dancers. The Grecian tragedy was at first nothing but a chorus of singers. Dryden. 2. (Gr. Drama)  A company of persons supposed to behold what passed in the acts of a tragedy, and to sing the sentiments which the events suggested in couplets or verses between the acts; also, that which was thus sung by the chorus. What the lofty, grave tragedians taught In chorus or iambic. Milton. 3. An interpreter in a dumb show or play. [Obs.] 4. (Mus.)  A company of singers singing in concert. 5. (Mus.)  A composition of two or more parts, each of which is intended to be sung by a number of voices. 6. (Mus.)  Parts of a song or hymn recurring at intervals, as at the end of stanzas; also, a company of singers who join with the singer or choir in singer or choir in singing such parts. 7. The simultaneous of a company in any noisy demonstration; as, a Chorus of shouts and catcalls.\n\nTo sing in chorus; to exclaim simultaneously. W. D. Howells.
chose |A thing; personal property. Chose in action, a thing of which one has not possession or actual enjoyment, but only a right to it, or a right to demand it by action at law, and which does not exist at the time in specie; a personal right to a thing not reduced to possession, but recoverable by suit at law; as a right to recover money due on a contract, or damages for a tort, which can not be enforced against a reluctant party without suit. -- Chose in possession, a thing in possession, as distinguished from a thing in action. -- Chose local, a thing annexed to a place, as a mill. -- Chose transitory, a thing which is movable. Cowell. Blount.\n\nimp. & p. p. of Choose.
chosen |Selected from a number; picked out; choice. Seven hundred chosen men left-handed. Judg. xx. 16.\n\nOne who, or that which is the object of choice or special favor.
chou |1. A cabbage. 2.  A kind of light pastry, usually in the form of a small round cake, and with a filling, as of jelly or cream. 3.  A bunch, knot, or rosette of ribbon or other material, used as an ornament in women's dress.
chouan |One of the royalist insurgents in western France (Brittany, etc.), during and after the French revolution.
chough |A bird of the Crow family (Fregilus graculus) of Europe. It is of a black color, with a long, slender, curved bill and red legs; -- also called chauk, chauk-daw, chocard, Cornish chough, red-legged crow. The name is also applied to several allied birds, as the Alpine chough. Cornish chough (Her.), a bird represented black, with red feet, and beak; -- called also aylet and sea swallow.
chouicha |The salmon of the Columbia River or California. See Quinnat.
chouka |The Indian four-horned antelope; the chikara.
choule |See Jowl. Sir W. Scott.
choultry |See Choltry.
chouse |To cheat, trick, defraud; -- followed by of, or out of; as, to chouse one out of his money. [Colloq.] The undertaker of the afore-cited poesy hath choused your highness. Landor.\n\n1. One who is easily cheated; a tool; a simpleton; a gull. Hudibras. 2. A trick; sham; imposition. Johnson. 3. A swindler. B. Jonson.
chout |An assessment equal to a fourth part of the revenue. [India] J. Mill.
chow |A prefecture or district of the second rank in China, or the chief city of such a district; -- often part of the name of a city, as in Foochow.
chowchow |Consisting of several kinds mingled together; mixed; as, chowchow sweetmeats (preserved fruits put together). Chowchow chop, the last lighter containing the small sundry packages sent off to fill up a ship. S. W. Williams.\n\nA kind of mixed pickles.
chowder |1. (Cookery)  A dish made of fresh fish or clams, biscuit, onions, etc., stewed together. 2. A seller of fish. [Prov. Eng.] Halliwell. Chowder beer, a liquor made by boiling black spruce in water and mixing molasses with the decoction.\n\nTo make a chowder of.
chowry |A whisk to keep off files, used in the East Indies. Malcom.
chowter |To grumble or mutter like a froward child. [Obs.] E. Phillips.
choy root |See Chay root.
chrematistics |The science of wealth; the science, or a branch of the science, of political economy.
chreotechnics |The science of the useful arts, esp. agriculture, manufactures, and commerce. [R.]
chrestomathic |Teaching what is useful. \"A chrestomathic school.\" Southey.
chrestomathy |A selection of passages, with notes, etc., to be used in acquiring a language; as, a Hebrew chrestomathy.
chrism |1. Olive oil mixed with balm and spices, consecrated by the bishop on Maundy Thursday, and used in the administration of baptism, confirmation, ordination, etc. 2. The same as Chrisom.
chrismal |Of or pertaining to or used in chrism.
chrismation |The act of applying the chrism, or consecrated oil. Chrismation or cross-signing with ointment, was used in baptism. Jer. Taylor.
chrismatory |A cruet or vessel in which chrism is kept.
chrisom |1. A white cloth, anointed with chrism, or a white mantle thrown over a child when baptized or christened. [Obs.] 2. A child which died within a month after its baptism; -- so called from the chrisom cloth which was used as a shroud for it. [Obs.] Blount.
christ |The Anointed; an appellation given to Jesus, the Savior. It is synonymous with the Hebrew Messiah.
christcross |1. The mark of the cross, as cut, painted, written, or stamped on certain objects, -- sometimes as the sign of 12 o'clock on a dial. The fescue of the dial is upon the christcross of noon. Old Play. Nares. 2. The beginning and the ending. [Obs.] Quarles.
christcross-row |The alphabet; -- formerly so called, either from the cross usually set before it, or from a superstitious custom, sometimes practiced, of writing it in the form of a cross, by way of a charm. From infant conning of the Christcross-row. Wordsworth.
