circumvolant |Flying around. The circumvolant troubles of humanity. G. Macdonald.
circumvolation |The act of flying round. [R.]
circumvolution |1. The act of rolling round; the state of being rolled. 2. A thing rolled round another. Arbuthnot. 3. A roundabout procedure; a circumlocution. He had neither time nor temper for sentimental circumvolutions. Beaconsfield.
circumvolve |To roll round; to cause to revolve; to put into a circular motion. Herrick.\n\nTo roll round; to revolve.
circus |1. (Roman Antiq.)  A level oblong space surrounded on three sides by seats of wood, earth, or stone, rising in tiers one above another, and divided lengthwise through the middle by a barrier around which the track or course was laid out. It was used for chariot races, games, and public shows. Note: The Circus Maximus at Rome could contain more than 100,000 spectators. Harpers' Latin Dict. 2. A circular inclosure for the exhibition of feats of horsemanship, acrobatic displays, etc. Also, the company of performers, with their equipage. 3. Circuit; space; inclosure. [R.] The narrow circus of my dungeon wall. Byron.
cirl bunting |A European bunting (Emberiza cirlus).
cirque |1. A circle; a circus; a circular erection or arrangement of objects. A dismal cirque Of Druid stones upon a forlorn moor. Keats. 2. A kind of circular valley in the side of a mountain, walled around by precipices of great height.
cirrate |Having cirri along the margin of a part or organ.
cirrhiferous |See Cirriferous.
cirrhose |Same as Cirrose.
cirrhosis |A disease of the liver in which it usually becomes smaller in size and more dense and fibrous in consistence; hence sometimes applied to similar changes in other organs, caused by increase in the fibrous framework and decrease in the proper substance of the organ.
cirrhotic |Pertaining to, caused by, or affected with, cirrhosis; as, cirrhotic degeneration; a cirrhotic liver.
cirrhous |See Cirrose.
cirrhus |Same as Cirrus.
cirri |See Cirrus.
cirriferous |Bearing cirri, as many plants and animals.
cirriform |Formed like a cirrus or tendril; -- said of appendages of both animals and plants.
cirrigerous |Having curled locks of hair; supporting cirri, or hairlike appendages.
cirrigrade |Moving or moved by cirri, or hairlike appendages.
cirriped |One of the Cirripedia.
cirripedia |An order of Crustacea including the barnacles. When adult, they have a calcareous shell composed of several pieces. From the opening of the shell the animal throws out a group of curved legs, looking like a delicate curl, whence the name of the group. See Anatifa.
cirro-cumulus |See under Cloud.
cirro-stratus |See under Cloud.
cirrobranchiata |A division of Mollusca having slender, cirriform appendages near the mouth; the Scaphopoda.
cirrose |(a) Bearing a tendril or tendrils; as, a cirrose leaf. (b) Resembling a tendril or cirrus. [Spelt also cirrhose.]
cirrostomi |The lowest group of vertebrates; -- so called from the cirri around the mouth; the Leptocardia. See Amphioxus.
cirrous |1. (Bot.)  Cirrose. 2. (Zoöl.)  Tufted; -- said of certain feathers of birds.
cirrus |1. (Bot.)  A tendril or clasper. 2. (Zoöl.) (a) A soft tactile appendage of the mantle of many Mollusca, and of the parapodia of Annelida. Those near the head of annelids are Tentacular cirri; those of the last segment are caudal cirri. (b) The jointed, leglike organs of Cirripedia. See Annelida, and Polychæta. Note: In some of the inferior animals the cirri aid in locomotion; in others they are used in feeding; in the Annelida they are mostly organs of touch. Some cirri are branchial in function. 3. (Zoöl.)  The external male organ of trematodes and some other worms, and of certain Mollusca. 4. (Meteor.)  See under Cloud.
cirsocele |The varicose dilatation of the spermatic vein.
cirsoid |Varicose. Cirsoid aneurism, a disease of an artery in which it becomes dilated and elongated, like a varicose vein.
cirsotomy |Any operation for the removal of varices by incision. Dunglison.
cis- |A Latin preposition, sometimes used as a prefix in English words, and signifying on this side.
cisalpine |On the hither side of the Alps with reference to Rome, that is, on the south side of the Alps; -- opposed to transalpine.
cisatlantic |On this side of the Atlantic Ocean; -- used of the eastern or the western side, according to the standpoint of the writer. Story.
cisco |The Lake herring (Coregonus Artedi), valuable food fish of the Great Lakes of North America. The name is also applied to C. Hoyi, a related species of Lake Michigan.
ciselure |The process of chasing on metals; also, the work thus chased. Weale.
cisleithan |On the Austrian side of the river Leitha; Austrian.
cismontane |On this side of the mountains. See under Ultramontane.
cispadane |On the hither side of the river Po with reference to Rome; that is, on the south side.
cissoid |A curve invented by Diocles, for the purpose of solving two celebrated problems of the higher geometry; viz., to trisect a plane angle, and to construct two geometrical means between two given straight lines.
cist |1. (Antiq.)  A box or chest. Specifically: (a) A bronze receptacle, round or oval, frequently decorated with engravings on the sides and cover, and with feet, handles, etc., of decorative castings. (b) A cinerary urn. See Illustration in Appendix. 2. See Cyst.
cisted |Inclosed in a cyst. See Cysted.
cistercian |A monk of the prolific branch of the Benedictine Order, established in 1098 at Cîteaux, in France, by Robert, abbot of Molesme. For two hundred years the Cistercians followed the rule of St. Benedict in all its rigor. -- a.  Of or pertaining to the Cistercians.
cistern |1. An artificial reservoir or tank for holding water, beer, or other liquids. 2. A natural reservoir; a hollow place containing water. \"The wide cisterns of the lakes.\" Blackmore.
cistic |See Cystic.
cit |A citizen; an inhabitant of a city; a pert townsman; -- used contemptuously. \"Insulted as a cit\". Johnson Which past endurance sting the tender cit. Emerson.
citable |Capable of being cited.
citadel |A fortress in or near a fortified city, commanding the city and fortifications, and intended as a final point of defense. Syn. - Stronghold. See Fortress.
cital |1. Summons to appear, as before a judge. [R.] Johnson 2. Citation; quotation [R.] Johnson.
citation |1. An official summons or notice given to a person to appear; the paper containing such summons or notice. 2. The act of citing a passage from a book, or from another person, in his own words; also, the passage or words quoted; quotation. This horse load of citations and fathers. Milton. 3. Enumeration; mention; as, a citation of facts. 4. (Law)  A reference to decided cases, or books of authority, to prove a point in law.
citator |One who cites. [R]
citatory |Having the power or form of a citation; as, letters citatory.
cite |1. To call upon officially or authoritatively to appear, as before a court; to summon. The cited dead, Of all past ages, to the general doom Shall hasten. Milton. Cited by finger of God. De Quincey. 2. To urge; to enjoin. [R.] Shak. 3. To quote; to repeat, as a passage from a book, or the words of another. The devil can cite Scripture for his purpose. Shak. 4. To refer to or specify, as for support, proof, illustration, or confirmation. The imperfections which you have cited. Shak. 5. To bespeak; to indicate. [Obs.] Aged honor cites a virtuous youth. Shak. 6. (Law)  To notify of a proceeding in court. Abbot Syn. -- To quote; mention, name; refer to; adduce; select; call; summon. See Quote.
citer |One who cites.
citess |A city woman [R.]
cithara |An ancient instrument resembling the harp.
citharistic |Pertaining, or adapted, to the cithara.
cithern |See Cittern.
citicism |The manners of a cit or citizen.
citied |1. Belonging to, or resembling, a city. \"Smoky, citied towns\" [R.] Drayton. 2. Containing, or covered with, cities. [R.] \"The citied earth.\" Keats.
citified |Aping, or having, the manners of a city.
citigradae |A suborder of Arachnoidea, including the European tarantula and the wolf spiders (Lycosidae) and their allies, which capture their prey by rapidly running and jumping. See Wolf spider.
citigrade |Pertaining to the Citigradæ. -- n.  One of the Citigradæ.
citiner |One who is born or bred in a city; a citizen. [Obs.] Champan.
