coincidental |Coincident.
coincidently |With coincidence.
coincider |One who coincides with another in an opinion.
coindication |One of several signs or sumptoms indicating the same fact; as, a coindication of disease.
coiner |1. One who makes or stamps coin; a maker of money; -- usually, a maker of counterfeit money. Precautions such as are employed by coiners and receivers of stolen goods. Macaulay. 2. An inventor or maker, as of words. Camden.
coinhabitant |One who dwells with another, or with others. \"Coinhabitants of the same element.\" Dr. H. More.
coinhere |To inhere or exist together, as in one substance. Sir W. Hamilton.
coinheritance |Joint inheritance.
coinheritor |A coheir.
coinitial |Having a common beginning.
coinquinate |Topollute. [Obs.] Skelton.
coinquination |Defilement. [Obs.]
coinstantaneous |Happening at the same instant. C. Darwin.
coinsurance |Insurance jointly with another or others; specif., that system of fire insurance in which the insurer is treated as insuring himself to the extent of that part of the risk not covered by his policy, so that any loss is apportioned between him and the insurance company on the principle of average, as in marine insurance or between other insurers.
cointense |Equal in intensity or degree; as, the relations between 6 and 12, and 8 and 16, are cointense. H. Spencer.
cointension |The condition of being of equal in intensity; -- applied to relations; as, 3 : 6 and 6 : 12 are relations of cointension. Cointension . . . is chosen indicate the equality of relations in respect of the contrast between their terms. H. Spencer.
coir |1. A material for cordage, matting, etc., consisting of the prepared fiber of the outer husk of the cocoanut. Homans. 2. Cordage or cables, made of this material.
coistril |1. An inferior groom or lad employed by an esquire to carry the knight's arms and other necessaries. [Written also coistrel.] 2. A mean, paltry fellow; a coward. [Obs.] Shak.
coit |A quoit. [Obs.] Carew.\n\nTo throw, as a stone. [Obs.] See Quoit.
coition |A coming together; sexual intercourse; copulation. Grew.
cojoin |To join; to conjoin. [R.] Shak.
cojuror |One who swears to another's credibility. W. Wotton.
coke |Mineral coal charred, or depriver of its bitumen, sulphur, or other volatile matter by roasting in a kiln or oven, or by distillation, as in gas works. It is lagerly used where [Written also coak.] Gas coke, the coke formed in gas retorts, as distinguished from that made in ovens.\n\nTo convert into coke.
cokenay |A cockney. [Obs.] Chaucer.
cokernut |The cocoanut. Note: A mode of spelling introduced by the London customhouse to distinguish more widely between this and other articles spelt much in the same manner.
cokes |A simpleton; a gull; a dupe. [Obs.] B. Jonson.
cokewold |Cuckold. [Obs.] Chaucer.
col |- (with, together. See Com-.\n\nA short ridge connecting two higher elevations or mountains; the pass over such a ridge.
col- |- (with, together. See Com-.
cola |(a) A genus of sterculiaceous trees, natives of tropical Africa, esp. Guinea, but now naturalized in tropical America, esp. in the West Indies and Brazil. (b) Same as Cola nut, below.\n\nL. pl. of Colon.
cola nut |The bitter fruit of Cola acuminata, which is nearly as large as a chestnut, and furnishes a stimulant, which is used in medicine.
cola seed |The bitter fruit of Cola acuminata, which is nearly as large as a chestnut, and furnishes a stimulant, which is used in medicine.
colaborer |One who labors with another; an associate in labor.
colander |A utensil with a bottom perforated with little holes for straining liquids, mashed vegetable pulp, etc.; a strainer of wickerwork, perfprated metal, or the like.
colation |The act or process of straining or filtering. [R.]
colatitude |The complement of the latitude, or the difference between any latitude and ninety degrees.
colature |The process of straining; the matter strained; a strainer. [R.]
colbertine |A kind of lace. [Obs.] Pinners edged with colbertine. Swift. Difference rose between Mechlin, the queen of lace, and colbertine. Young.
colchicine |A powerful vegetable alkaloid, C17H19NO5, extracted from the Colchicum autumnale, or meadow saffron, as a white or yellowish amorphous powder, with a harsh, bitter taste; -- called also colchicia.
colchicum |A genus of bulbous-rooted plants found in many parts of Europe, including the meadow saffron. Note: Preparations made from the poisonous bulbs and seeds, and perhaps from the flowers, of the Colchicum autumnale (meadow saffron) are used as remedies for gout and rheumatism.
colcothar |Polishing rouge; a reddish brown oxide of iron, used in polishing glass, and also as a pigment; -- called also crocus Martis.
cold |1. Deprived of heat, or having a low temperature; not warm or hot; gelid; frigid. \"The snowy top of cold Olympis.\" Milton. 2. Lacking the sensation of warmth; suffering from the absence of heat; chilly; shivering; as, to be cold. 3. Not pungent or acrid. \"Cold plants.\" Bacon 4. Wanting in ardor, intensity, warmth, zeal, or passion; spiritless; unconcerned; reserved. A cold and unconcerned spectator. T. Burnet. No cold relation is a zealous citizen. Burke. 5. Unwelcome; disagreeable; unsatisfactory. \"Cold news for me.\" \"Cold comfort.\" Shak. 6. Wanting in power to excite; dull; uninteresting. What a deal of cold business doth a man misspend the better part of life in! B. Jonson. The jest grows cold . . . when in comes on in a second scene. Addison. 7. Affecting the sense of smell (as of hunting dogs) but feebly; having lost its odor; as, a cold scent. 8. Not sensitive; not acute. Smell this business with a sense as cold As is a dead man's nose. Shak. 9. Distant; -- said, in the game of hunting for some object, of a seeker remote from the thing concealed. 10. (Paint.)  Having a bluish effect. Cf. Warm, 8. Cold abscess. See under Abscess. -- Cold blast See under Blast, n., 2. Cold blood. See under Blood, n., 8. -- Cold chill, an ague fit. Wright. -- Cold chisel, a chisel of peculiar strength and hardness, for cutting cold metal. Weale. -- Cold cream. See under Cream. -- Cold slaw. See Cole slaw. -- In cold blood, without excitement or passion; deliberately. He was slain in cold blood after thefight was over. Sir W. Scott. To give one the cold shoulder, to treat one with neglect. Syn. -- Gelid; bleak; frigid; chill; indifferent; unconcerned; passionless; reserved; unfeeling; stoical.\n\n1. The relative absence of heat or warmth. 2. The sensation produced by the escape of heat; chilliness or chillness. When she saw her lord prepared to part, A deadly cold ran shivering to her heart. Dryden. 3. (Med.)  A morbid state of the animal system produced by exposure to cold or dampness; a catarrh. Cold sore (Med.), a vesicular eruption appearing about the mouth as the result of a cold, or in the course of any disease attended with fever. -- To leave one out in the cold, to overlook or neglect him. [Colloq.] Cold, v. i.  To become cold. [Obs.] Chaucer.
cold wave |In the terminology of the United States Weather Bureau, an unusual fall in temperature, to or below the freezing point, exceeding 16º in twenty-four hours or 20º in thirty-six hours, independent of the diurnal range.
cold-blooded |1. Having cold blood; -- said of fish or animals whose blood is but little warmer than the water or air about them. 2. Deficient in sensibility or feeling; hard-hearted. 3. Not thoroughbred; -- said of animals, as horses, which are derived from the common stock of a country.
cold-hearted |Wanting passion or feeling; indifferent. -- Cold\"-heart`ed*ness, n.
cold-short |Brittle when cold; as, cold-short iron.
cold-shut |Closed while too cold to become thoroughly welded; -- said of a forging or casting. -- n.  An imperfection caused by such insufficient welding.
coldfinch |A British wagtail.
coldish |Somewhat cold; cool; chilly.
coldly |In a cold manner; without warmth, animation, or feeling; with indifference; calmly. Withdraw unto some private place, And reason coldly of your grievances. Shak.
coldness |The state or quality of being cold.
cole |A plant of the Brassica or Cabbage genus; esp. that form of B. oleracea called rape and coleseed.
colegoose |See Coalgoose.
colemanite |A hydrous borate of lime occurring in transparent colorless or white crystals, also massive, in Southern California.
colemouse |See Coletit.
coleopter |One of the Coleoptera.
coleoptera |An order of insects having the anterior pair of wings (elytra) hard and horny, and serving as coverings for the posterior pair, which are membranous, and folded transversely under the others when not in use. The mouth parts form two pairs of jaws (mandibles and maxillæ) adapted for chewing. Most of the Coleoptera are known as beetles and weevils.
coleopteral |Having wings covered with a case or sheath; belonging to the Coleoptera.
coleopteran |One of the order of Coleoptera.
coleopterist |One versed in the study of the Coleoptera.
coleopterous |Having wings covered with a case or sheath; belonging to the Coleoptera.
coleorhiza |A sheath in the embryo of grasses, inclosing the caulicle. Gray.
coleperch |A kind of small black perch.
colera |Bile; choler. [Obs.] Chaucer.
coleridgian |Pertaining to Samuel Taylor Coleridge, or to his poetry or metaphysics.
coleseed |The common rape or cole.
coleslaw |A salad made of sliced cabbage.
colestaff |See Colstaff.
colet |An inferior church servant. [Obs.] See Acolyte.
coletit |A small European titmouse (Parus ater), so named from its black color; -- called also coalmouse and colemouse.
coleus |A plant of several species of the Mint family, cultivated for its bright-colored or variegated leaves.
colewort |1. A variety of cabbage in which the leaves never form a compact head. 2. Any white cabbage before the head has become firm.
colfox |A crafty fox. [Obs.] Chaucer.
