corrivalship |Corivalry. [R.] By the corrivalship of Shager his false friend. Sir T. Herbert.
corrivate |To cause to flow together, as water drawn from several streams. [Obs.] Burton.
corrivation |The flowing of different streams into one. [Obs.] Burton.
corroborant |Strengthening; supporting; corroborating. Bacon. -- n.  Anything which gives strength or support; a tonic. The brain, with its proper corroborants, especially with sweet odors and with music. Southey.
corroborate |1. To make strong, or to give additional strength to; to strengthen. [Obs.] As any limb well and duly exercised, grows stronger, the nerves of the body are corroborated thereby. I. Watts. 2. To make more certain; to confirm; to establish. The concurrence of all corroborates the same truth. I. Taylor.\n\nCorroborated. [Obs.] Bacon.
corroboration |1. The act of corroborating, strengthening, or confirming; addition of strength; confirmation; as, the corroboration of an argument, or of information. 2. That which corroborates.
corroborative |Tending to strengthen of confirm.\n\nA medicine that strengthens; a corroborant. Wiseman.
corroboratory |Tending to strengthen; corroborative; as, corroboratory facts.
corroboree |1. A nocturnal festivity with which the Australian aborigines celebrate tribal events of importance. Symbolic dances are given by the young men of the tribe, while the women act as musicians. 2.  A song or chant made for such a festivity. 3.  A festivity or social gathering, esp. one of a noisy or uproarious character; hence, tumult; uproar. [Australia]
corrobory |See Corroboree.
corrode |1. To eat away by degrees; to wear away or diminish by gradually separating or destroying small particles of, as by action of a strong acid or a caustic alkali. Aqua fortis corroding copper . . . is wont to reduce it to a green- blue solution. Boyle. 2. To consume; to wear away; to prey upon; to impair.\n\nTo have corrosive action; to be subject to corrosion. Corroding lead, lead sufficiently pure to be used in making white lead by a process of corroding. Syn. -- To canker; gnaw; rust; waste; wear away.
corrodent |Corrosive. [R.] Bp. King.\n\nAnything that corrodes. Bp. King.
corrodiate |To eat away by degrees; to corrode. [Obs.] Sandys.
corrodibility |The qualityof being corrodible. [R.] Johnson.
corrodible |Capable of being corroded; corrosible. Sir T. Browne.
corrosibility |Corrodibility. \"Corrosibility . . . answers corrosiveness.\" Boyle.
corrosible |Corrodible. Bailey.
corrosibleness |The quality or state of being corrosible. Bailey.
corrosion |The action or effect of corrosive agents, or the process of corrosive change; as, the rusting of iron is a variety of corrosion. Corrosion is a particular species of dissolution of bodies, either by an acid or a saline menstruum. John Quincy.
corrosive |1. Eating away; having the power of gradually wearing, changing, or destroying the texture or substance of a body; as, the corrosive action of an acid. \"Corrosive liquors.\" Grew. \"Corrosive famine.\"Thomson. 2. Having the quality of fretting or vexing. Care is no cure, but corrosive. Shak. Corrosive sublimate (Chem.), mercuric chloride, HgCl2; so called because obtained by sublimation, and because of its harsh irritating action on the body tissue. Usually it is in the form of a heavy, transparent, crystalline substance, easily soluble, and of an acrid, burning taste. It is a virulent poison, a powerful antiseptic, and an exellent antisyphilitic; called also mercuric bichloride. It is to be carefully distinguished from calomel, the mild chloride of mercury.\n\n1. That which has the quality of eating or wearing away gradually. [Corrosives] act either directly, by chemically destroying the part, or indirectly by causing inflammation and gangrene. Dunglison. 2. That which has the power of fretting or irritating. Such speeches . . . are grievous corrosives. Hooker. -- Cor*ro\"sive*ly, adv. -- Cor*ro\"sive*ness, n.
corroval |A dark brown substance of vegetable origin, allied to curare, and used by the natives of New Granada as an arrow poison.
corrovaline |A poisonous alkaloid extracted from corroval, and characterized by its immediate action in paralyzing the heart.
corrugant |Having the power of contracting into wrinkles. Johnson.
corrugate |Wrinkled; crumpled; furrowed; contracted into ridges and furrows.\n\nTo form or shape into wrinkles or folds, or alternate ridges and grooves, as by drawing, contraction, pressure, bending, or otherwise; to wrinkle; to purse up; as, to corrugate plates of iron; to corrugate the forehead. Corrugated iron, sheet iron bent into a series of alternate ridges and grooves in parallel lines, giving it greater stiffness. -- Corrugated paper, a thick, coarse paper corrugated in order to give it elasticity. It is used as a wrapping material for fragile articles, as bottles.
corrugation |The act corrugating; contraction into wrinkles or alternate ridges and grooves.
corrugator |A muscle which contracts the skin of the forehead into wrinkles.
corrugent |Drawing together; contracting; -- said of the corrugator. [Obs.]
corrump |To corrupt. See Corrupt. [Obs.] Chauser.
corrumpable |Corruptible. [Obs.]
corrupt |1. Changed from a sound to a putrid state; spoiled; tainted; vitiated; unsound. Who with such corrupt and pestilent bread would feed them. Knolles. 2. Changed from a state of uprightness, correctness, truth, etc., to a worse state; vitiated; depraved; debased; perverted; as, corrupt language; corrupt judges. At what ease Might corrupt minds procure knaves as corrupt To swear against you. Shak. 3. Abounding in errors; not genuine or correct; as, the text of the manuscript is corrupt.\n\n1. To change from a sound to a putrid or putrescent state; to make putrid; to putrefy. 2. To change from good to bad; to vitiate; to deprave; to pervert; to debase; to defile. Evil communications corrupt good manners. 1. Cor. xv. 33. 3. To draw aside from the path of rectitude and duty; as, to corrupt a judge by a bribe. Heaven is above all yet; there sits a Judge That no king can corrupt. Shak. 4. To debase or render impure by alterations or innovations; to falsify; as, to corrupt language; to corrupt the sacred text. He that makes an ill use of it [language], though he does not corrupt the fountains of knowledge, . . . yet he stops the pines. Locke. 5. To waste, spoil, or consume; to make worthless. Lay not up for yourselves treasures upon earth, where moth and rust doth corrupt. Matt. vi. 19.\n\n1. To become putrid or tainted; to putrefy; to rot. Bacon. 2. To become vitiated; to lose putity or goodness.
corrupter |One who corrupts; one who vitiates or taints; as, a corrupter of morals.
corruptful |Tending to corrupt; full of corruption. [Obs.] \"Corruptful bribes.\" Spenser.
corruptibility |The quality of being corruptible; the possibility or liability of being corrupted; corruptibleness. Burke.
