covertly |Secretly; in private; insidiously.
covertness |Secrecy; privacy. [R.]
coverture |1. Covering; shelter; defence; hiding. Protected by walls or other like coverture. Woodward. Beatrice, who even now Is couched in the woodbine coverture. Shak. 2. (Law)  The condition of a woman during marriage, because she is considered under the cover, influence, power, and protection of her husband, and therefore called a feme covert, or femme couverte.
covet |1. To wish for with eagerness; to desire possession of; -- used in a good sen Covet earnestly the best gifts. 1. Cor. xxii. 31. If it be a sin to covet honor, I am the most offending soul alive. Shak. 2. To long for inordinately or unlawfully; to hanker after (something forbidden). Thou shalt not covet thy neighbor's house. Ex. xx. 17. Syn: To long for; desire; hanker after; crave.\n\nTo have or indulge inordinate desire. Which [money] while some coveted after, they have erred from the faith. 1 Tim. vi. 10.
covetable |That may be coveted; desirable.
coveter |One who covets.
covetise |Avarice. [Obs.] Spenser.
covetiveness |Acquisitiveness.
covetous |1. Very desirous; eager to obtain; -- used in a good sense. [Archaic] Covetous of wisdom and fair virtue. Shak. Covetous death bereaved us all, To aggrandize one funeral. Emerson. 2. Inordinately desirous; excessively eager to obtain and possess (esp. money); avaricious; -- in a bad sense. The covetous person lives as if the world were madealtogether for him, and not he for the world. South. Syn. -- Avaricious; parsimonious; penurious; misrely; niggardly. See Avaricious.
covetously |In a covetous manner.
covetousness |1. Strong desire. [R.] When workmen strive to do better than well, They do confound their skill in covetousness. Shak. 2. A strong or inordinate desire of obtaining and possessing some supposed good; excessive desire for riches or money; -- in a bad sense. Covetousness, by a greed of getting more, deprivess itself of the true end of getting. Sprat. Syn. -- Avarice; cupidity; eagerness.
covey |1. A brood or hatch of birds; an old bird with her brood of young; hence, a small flock or number of birds together; -- said of game; as, a covey of partridges. Darwin. 2. A company; a bevy; as, a covey of girls. Addison.\n\nTo brood; to incubate. [Obs.] [Tortoises] covey a whole year before they hatch. Holland.\n\nA pantry. [Prov. Eng.] Parker.
covin |1. (Law)  A collusive agreement between two or more persons to prejudice a third. 2. Deceit; fraud; artifice. [Obs.] Chaucer.
coving |(a) A cove or series of coves, as the concaved surface under the overhang of a projecting upper story. (b) The splayed jambs of a flaring fireplace.
covinous |Deceitful; collusive; fraudulent; dishonest.
cow |A chimney cap; a cowl\n\n1. The mature female of bovine animals. 2. The female of certain large mammals, as whales, seals, etc.\n\nTo depress with fear; to daunt the spirits or courage of; to overawe. To vanquish a people already cowed. Shak. THe French king was cowed. J. R. Green.\n\nA wedge, or brake, to check the motion of a machine or car; a chock. Knight.
