crinosity |Hairiness. [R.]
crinum |A genus of bulbous plants, of the order Amaryllidace, cultivated as greenhouse plants on account of their beauty.
criosphinx |A sphinx with the head of a ram.
cripple |One who creeps, halts, or limps; one who has lost, or never had, the use of a limb or limbs; a lame person; hence, one who is partially disabled. I am a cripple in my limbs; but what decays are in my mind, the reader must determine. Dryden.\n\nLame; halting. [R.] \"The cripple, tardy-gaited night.\" Shak.\n\n1. To deprive of the use of a limb, particularly of a leg or foot; to lame. He had crippled the joints of the noble child. Sir W. Scott. 2. To deprive of strength, activity, or capability for service or use; to disable; to deprive of resources; as, to be financially crippled. More serious embarrassments . . . were crippling the energy of the settlement in the Bay. Palfrey. An incumbrance which would permanently cripple the body politic. Macaulay.
crippled |Lamed; lame; disabled; impeded. \"The crippled crone.\" Longfellow.
crippleness |Lameness. [R.] Johnson.
crippler |A wooden tool used in graining leather. Knight.
crippling |Spars or timbers set up as a support against the side of a building.
cripply |Lame; disabled; in a crippled condition. [R.] Mrs. Trollope.
crisis |1. The point of time when it is to be decided whether any affair or course of action must go on, or be modified or terminate; the decisive moment; the turning point. This hour's the very crisis of your fate. Dryden. The very times of crisis for the fate of the country. Brougham. 2. (Med.)  That change in a disease which indicates whether the result is to be recovery or death; sometimes, also, a striking change of symptoms attended by an outward manifestation, as by an eruption or sweat. Till some safe crisis authorize their skill. Dryden.
crisp |1. Curling in stiff curls or ringlets; as, crisp hair. 2. Curled with the ripple of the water. [Poetic] You numphs called Naiads, of the winding brooks . . . Leave jour crisp channels. Shak. 3. Brittle; friable; in a condition to break with a short, sharp fracture; as, crisp snow. The cakes at tea ate short and crisp. Goldsmith. 4. Possessing a certain degree of firmness and freshness; in a fresh, unwilted condition. It [laurel] has been plucked nine months, and yet looks as hale and crisp as if it would last ninety years. Leigh Hunt. 5. Lively; sparking; effervescing. Your neat crisp claret. Beau & Fl. 6. Brisk; crackling; cheerful; lively. The snug, small room, and the crisp fire. Dickens.\n\n1. To curl; to form into ringlets, as hair, or the nap of cloth; to interweave, as the branches of trees. 2. To cause to undulate irregularly, as crape or water; to wrinkle; to cause to ripple. Cf. Crimp. The lover with the myrtle sprays Adorns his crisped tresses. Drayton. Along the crisped shades and bowers. Milton. The crisped brooks, Rolling on orient pearl and sands of gold. Milton. 3. To make crisp or brittle, as in cooking. Crisping iron, an instrument by which hair or any textile fabric is crisped. -- Crisping pin, the simplest form of crisping iron. Is. iii. 22.\n\nTo undulate or ripple. Cf. Crisp, v. t. To watch the crisping ripples on the beach. Tennuson.\n\nThat which is crisp or brittle; the state of being crisp or brittle; as, burned to a crisp; specifically, the rind of roasted pork; crackling.
crispate |Having a crisped appearance; irregularly curled or twisted.
crispated |Having a crisped appearance; irregularly curled or twisted.
crispation |1. The act or process of curling, or the state of being curled. Bacon. 2. A very slight convulsive or spasmodic contraction of certain muscles, external or internal. Few men can look down from a great height without creepings and crispations. O. W. Holmes.
crispature |The state of being crispate.
crisper |One who, or that which, crisps or curls; an instrument for making little curls in the nap of cloth, as in chinchilla.
crispin |1. A shoemaker; -- jocularly so called from the patron sant of the craft. 2. A member of a union or association of shoemakers.
crisply |In a crisp manner.
crispness |The state or quality of being crisp.
crispy |1. Formed into short, close ringlets; frizzed; crisp; as, crispy locks. 2. Crisp; brittle; as. a crispy pie crust.
crissal |1. Pertaining to the crissum; as, crissal feathers. 2. Having highly colored under tail coverts; as, the crissal thrasher.
crisscross |1. A mark or cross, as the signature of a person who is unable to write. 2. A child's game played on paper or on a slate, consisting of lines arranged in the form of a cross.\n\nTo mark or cover with cross lines; as, a paper was crisscrossed with red marks.\n\n1. In opposite directions; in a way to cross something else; crossing one another at various angles and in various ways. Logs and tree luing crisscross in utter confusion. W. E. Boardman. 2. With opposition or hindrance; at cross purposes; contrarily; as, things go crisscross.
crisscross-row |See Christcross-row.
crissum |That part of a bird, or the feathers, surrounding the cloacal opening; the under tail coverts.
cristallology |The science of the crystalline structure of inorganic bodies.
cristate |Crested.
criterion |A standard of judging; any approved or established rule or test, by which facts, principles opinions, and conduct are tried in forming a correct judgment respecting them. Of the diseases of the mind there is no criterion. Donne. Inferences founded on such enduring criteria. Sir G. C. Lewis. Syn. -- Standard; measure; rule.
crith |The unit for estimating the weight of a
crithomancy |A kind of divination by means of the dough of the cakes offered in the ancient sacrifices, and the meal strewed over the victims.
critic |1. One skilled in judging of the merits of literary or artistic works; a connoisseur; an adept; hence, one who examines literary or artistic works, etc., and passes judgment upon them; a reviewer. The opininon of the most skillful critics was, that nothing finer [than Goldsmith's \"Traveler\"] had appeared in verse since the fourth book of the \"Dunciad.\" Macaulay. 2. One who passes a rigorous or captious judgment; one who censures or finds fault; a harsh examiner or judge; a caviler; a carper. When an author has many beauties consistent with virtue, piety, and truth, let not little critics exalt themselves, and shower down their ill nature. I. Watts. You know who the critics are the men who have failed in literature and art. Beaconsfield. 3. The art of criticism. [Obs.] Locke. 4. An act of criticism; a critique. [Obs.] And make each day a critic on the last. Pope.\n\nOf or pertaining to critics or criticism; critical. [Obs.] \"Critic learning.\" Pope.\n\nTo criticise; to play the critic. [Obs.] Nay, if you begin to critic once, we shall never have done. A. Brewer.
critical |1. Qualified to criticise, or pass judgment upon, literary or artistic productions. It is submitted to the judgment of more critical ears to direct and determine what is graceful and what is not. Holder. 2. Pertaining to criticism or the critic's art; of the nature of a criticism; accurate; as, critical knowledge; a critical dissertation. 3. Inclined to make nice distinctions, or to exercise careful judgment and selection; exact; nicely judicious. Virgil was so critical in the rites of religion. that he would never have brought in such prayers as these, if they had not been agreeable to the Roman customs. Bp. Stillingfleet. 4. Inclined to criticise or find fault; fastidious; captious; censorious; exacting. O gentle lady, do not put me to 't, For I am nothing, if not critical. Shak. 5. Characterized by thoroughness and a reference to principles, as becomes a critic; as, a critical analysis of a subject. 6. Etym: [See Crisis.]  Pertaining to, or indicating, a crisis, turning point, or specially important juncture; important as regards consequences; hence, of doubtful issue; attended with risk; dangerous; as, the critical stage of a fever; a critical situation. Our circumstances are indeed critical. Burke. The small moment, the exact point, the critical minute, on which every good work so much depends. South. Critical angle (Optics), that angle of incidence of a luminous ray at which it is wholly reflected, and no portion of it transmitted. The sine of this angle is the reciprocal of the refractive index of the medium. -- Critical philosophy, the metaphysical system of Kant; -- so called from his most important work, the \"Critique of Pure Reason.\" - - Critical point (Physics), a certain temperature, different for different gases, but always the same for each gas, regarded as the limit above which no amount of pressure can produce condensation to a liquid.
critically |1. In a critical manner; with nice discernment; accurately; exactly. Critically to discern good writers from bad. Dryden. 2. At a crisis; at a critical time; in a situation. place, or condition of decisive consequence; as, a fortification critically situated. Coming critically the night before the session. Bp. Burnet.
criticalness |1. The state or quality of being critical, or of occurring at a critical time. 2. Accuracy in examination or decision; exactness.
criticaster |A contemptible or vicious critic. The rancorous and reptile crew of poeticules, who decompose into criticasters. Swinburne.
criticisable |Capable of being criticised.
criticise |1. To examine and judge as a critic; to pass literary or artistic judgment upon; as, to criticise an author; to criticise a picture. 2. To express one's views as to the merit or demerit of; esp., to animadvert upon; to find fault with; as, to criticise conduct. Blackwood's Mag.\n\n1. To act as a critic; to pass literary or artistic judgment; to play the critic; -- formerly used with on or upon. Several of these ladies, indeed, criticised upon the form of the association. Addison. 2. To discuss the merits or demerits of a thing or person; esp., to find fault. Cavil you may, but never criticise. Pope.
criticiser |One who criticises; a critic.
criticism |1. The rules and principles which regulate the practice of the critic; the art of judging with knowledge and propriety of the beauties and faults of a literary performance, or of a production in the fine arts; as, dramatic criticism. The elements ofcriticism depend on the two principles of Beauty and Truth, one of which is the final end or object of study in every one of its pursuits: Beauty, in letters and the arts; Truth, in history and sciences. Brande & C. By criticism, as it was first instituted by Aristotle, was meant a standard of judging well. Dryden. 2. The act of criticising; a critical judgment passed or expressed; a critical observation or detailed examination and review; a critique; animadversion; censure. About the plan of \"Rasselas\" little was said by the critics; and yet the faults of the plan might seem to invite severe criticism. Macaulay.
