cullionly |Mean; base. Shak.
cullis |A strong broth of meat, strained and made clear for invalids; also, a savory jelly. [Obs.] When I am exellent at caudles And cullises . . . you shall be welcome to me. Beau. & Fl.\n\nA gutter in a roof; a channel or groove.
culls |1. Refuse timber, from which the best part has been culled out. 2. Any refuse stuff, as rolls not properly baked.
cully |A person easily deceived, tricked, or imposed on; a mean dupe; a gull. I have learned that . . . I am not the first cully whom she has passed upon for a countess. Addison.\n\nTo trick, cheat, or impose on; to deceive. \"Tricks to cully fools.\" Pomfret.
cullyism |The state of being a cully. Less frequent instances of eminent cullyism. Spectator.
culm |The stalk or stem of grain and grasses (including the bamboo), jointed and usually hollow.\n\n(a) Mineral coal that is not bituminous; anthracite, especially when found in small masses. (b) The waste of the Pennsylvania anthracite mines, consisting of fine coal, dust, etc., and used as fuel. Raymond.
culmen |1. Top; summit; acme. R. North. 2. (Zoöl.)  The dorsal ridge of a bird's bill.
culmiferous |Having jointed stems or culms.\n\nContaining, or abounding in, culm or glance coal.
culminal |Pertaining to a culmen.
culminant |Being vertical, or at the highest point of altitude; hence, predominant. [R.]
culminate |1. To reach its highest point of altitude; to come to the meridian; to be vertical or directly overhead. As when his beams at noon Culminate from the equator. Milton. 2. To reach the highest point, as of rank, size, power, numbers, etc. The reptile race culminated in the secondary era. Dana. The house of Burgundy was rapidly culminating. Motley.\n\nGrowing upward, as distinguished from a laterral growth; -- applied to the growth of corals. Dana.
culmination |1. The attainment of the highest point of altitude reached by a heavently body; passage across the meridian; transit. 2. Attainment or arrival at the highest pitch of glory, power, etc.
culpa |Negligence or fault, as distinguishable from dolus (deceit, fraud), which implies intent, culpa being imputable to defect of intellect, dolus to defect of heart. Wharton.
culpability |The state of being culpable.
culpable |1. Deserving censure; worthy of blame; faulty; immoral; criminal. State Trials (1413). If he acts according to the best reason he hath, he is not culpable, though he be mistaken in his measures. Sharp. 2. Guilty; as, clpable of a crime. [Obs.] Spenser. -- Cul\"pa*ble*ness, n. -- Cul\"pa*bly, adv.
culpatory |Expressing blame; censuring; reprehensory; inculpating. Adjectives . . . commonly used by Latian authors in a culpatory sense. Walpole.
culpe |Blameworthiness. [Obs.] Banished out of the realme . . . without culpe. E. Hall.
culpon |A shered; a fragment; a strip of wood. [Obs.] Chaucer.
culprit |1. One accused of, or ar An author is in the condition of a culprit; the public are his judges. Prior. 2. One quilty of a fault; a criminal.
culrage |Smartweed (Polygonum Hydropiper).
cult |1. Attentive care; homage; worship. Every one is convinced of the reality of a better self, and of. thecult or homage which is due to it. Shaftesbury. 2. A system of religious belief and worship. That which was the religion of Moses is the ceremonial or cult of the religion of Christ. Coleridge.
cultch |Empty oyster shells and other substances laid down on oyster grounds to furnish points for the attachment of the spawn of the oyster. [Also written cutch.]
culter |A colter. See Colter.
cultirostral |Having a bill shaped like the colter of a plow, or like a knife, as the heron, stork, etc.
cultirostres |A tribe of wading birds including the stork, heron, crane, etc.
cultivable |Capable of being cultivated or tilled. Todd.
cultivatable |Cultivable.
cultivate |1. To bestow attention, care, and labor upon, with a view to valuable returns; to till; to fertilize; as, to cultivate soil. 2. To direct special attention to; to devote time and thought to; to foster; to cherish. Leisure . . . to cultivate general literature. Wordsworth. 3. To seek the society of; to court intimacy with. I ever looked on Lord Keppel as one of the greatest and best men of his age; and I loved and cultivated him accordingly. Burke. 4. To improve by labor, care, or study; to impart culture to; to civilize; to refine. To cultivate the wild, licentious savage. Addison. The mind of man hath need to be prepared for piety and virtue; it must be cultivated to the end. Tillotson. 5. To raise or produce by tillage; to care for while growing; as, to cultivate corn or grass.
cultivation |1. The art or act of cultivating; improvement for agricultural purposes or by agricultural processes; tillage; production by tillage. 2. Bestowal of time or attention for self-improvement or for the benefit of others; fostering care. 3. The state of being cultivated; advancement in physical, intellectual, or moral condition; refinement; culture. Italy . . . was but imperfectly reduced to cultivation before the irruption of the barbarians. Hallam.
