cystoidea |Same as Cystidea.
cystoidean |Same as Cystidean.
cystolith |1. (Bot.)  A concretion of mineral matter within a leaf or other part of a plant. 2. (Med.)  A urinary calculus.
cystolithic |Relating to stone in the bladder.
cystoplast |A nucleated cell having an envelope or cell wall, as a red blood corpuscle or an epithelial cell; a cell concerned in growth.
cystose |Containing, or resembling, a cyst or cysts; cystic; bladdery.
cystotome |A knife or instrument used in cystotomy.
cystotomy |The act or practice of opening cysts; esp., the operation of cutting into the bladder, as for the extraction of a calculus.
cytherean |Pertaining to the goddess Venus.
cytoblast |The nucleus of a cell; the germinal or active spot of a cellule, through or in which cell development takes place.
cytoblastema |See Protoplasm.
cytococcus |The nucleus of the cytula or parent cell. Hæckel.
cytode |A nonnucleated mass of protoplasm, the supposed simplest form of independent life differing from the amoeba, in which nuclei are present.
cytogenesis |Development of cells in animal and vegetable organisms. See Gemmation, Budding, Karyokinesis; also Cell development, under Cell.
cytogenetic |Of or pertaining to cytogenesis or cell development.
cytogenic |Of or pertaining to cytogenesis or cell development.
cytogenous |Producing cells; -- applied esp. to lymphatic, or adenoid, tissue.
cytogeny |Cell production or development; cytogenesis.
cytoid |Cell-like; -- applied to the corpuscles of lymph, blood, chyle, etc.
cytoplasm |The substance of the body of a cell, as distinguished from the karyoplasma, or substance of the nucleus. -- Cy`to*plas\"mic (-pl, a.
cytula |The fertilized egg cell or parent cell, from the development of which the child or other organism is formed. Hæckel.
czar |A king; a chief; the title of the emperor of Russia. [Written also tzar.]
czarevna |The title of the wife of the czarowitz.
czarina |The title of the empress of Russia.
czarinian |Of or pertaining to the czar or the czarina; czarish.
czarish |Of or pertaining to the czar.
czarowitz |The title of the eldest son of the czar of Russia.
czech |1. One of the Czechs. 2. The language of the Czechs (often called Bohemian), the harshest and richest of the Slavic languages.
czechic |Of or pertaining to the Czechs. \"One Czechic realm.\" The Nation.
czechs |The most westerly branch of the great Slavic family of nations, numbering now more than 6,000,000, and found principally in Bohemia and Moravia.
d |1. The fourth letter of the English alphabet, and a vocal consonent. The English letter is from Latin, which is from Greek, which took it from Phoenician, the probable ultimate origin being Egyptian. It is related most nearly to t and th; as, Eng. deep, G. tief; Eng. daughter, G. tochter, Gr. duhitr. See Guide to Pronunciation, sq. root178, 179, 229. 2. (Mus.)  The nominal of the second tone in the model major scale (that in C), or of the fourth tone in the relative minor scale of C (that in A minor), or of the key tone in the relative minor of F. 3. As a numeral D stands for 500. in this use it is not the initial of any word, or even strictly a letter, but one half of the sign
d valve |A kind of slide valve. See Slide valve, under Slide.
dab |A skillful hand; a dabster; an expert. [Colloq.] One excels at a plan or the titlepage, another works away at the body of the book, and the therd is a dab at an index. Goldsmith.\n\nA name given to several species of Pleuronectes . TheAmerican rough dab is Hippoglossoides platessoides.\n\n1. To strike or touch gently, as with a soft or moist substance; to tap; hence, to besmear with a dabber. A sore should . . . be wiped . . . only by dabbing it over with fine lint. S. Sharp. 2. To strike by a thrust; to hit with a sudden blow or thrust. \"To dab him in the neck.\" Sir T. More.\n\n1. A gentle blow with the hand or some soft substance; a sudden blow or hit; a peck. Astratch of her clame, a dab of her beack. Hawthorne. 2. A small mass of anything soft or moist.
dabb |A large, spine-tailed lizard (Uromastix spinipes), found in Egypt, Arabia, and Palestine; -- called also dhobb, and dhabb.
dabber |That with which one dabs; hence, a pad or other device used by printers, engravers, etc., as for dabbing type or engraved plates with ink.
dabble |To wet by little dips or strokes; to spatter; to sprinkle; to moisten; to wet. \"Bright hair dabbled in blood.\" Shak.\n\n1. To play in water, as with the hands; to paddle or splash in mud or water. Wher the duck dabbles Wordsworth. 2. To work in slight or superficial manner; to do in a small way; to tamper; to meddle. \"Dabbling here and there with the text.\" Atterbury. During the ferst year at Dumfries, Burns for the ferst time began to dabble in politics. J. C. Shairp.
dabbler |1. One who dabbles. 2. One who dips slightly into anything; a superficial meddler. \"our dabblers in politics.\" Swift.
dabblingly |In a dabbling manner.
dabchick |A small water bird (Podilymbus podiceps), allied to the grebes, remarkable for its quickness in diving; -- called also dapchick, dobchick, dipchick, didapper, dobber, devil-diver, hell-diver, and pied-billed grebe.
daboia |A large and highly venomous Asiatic viper (Daboia xanthica).
dabster |One who is skilled; a master of his business; a proficient; an adept. [Colloq.] Note: Sometimes improperly used for dabbler; as, \"I am but a dabster with gentle art.\",
  "incendiary |1. Any person who maliciously sets fire to a building or other valuable or other valuable property. 2. A person who excites or inflames factions, and promotes quarrels or sedition; an agitator; an exciter. Several cities . . . drove them out as incendiaries. Bentley.\n\n1. Of or pertaining to incendiarism, or the malicious burning of valuable property; as, incendiary material; as incendiary crime. 2. Tending to excite or inflame factions, sedition, or quarrel; inflammatory; seditious. Paley. Incendiary shell, a bombshell. See Carcass, 4.
dacapo |From the beginning; a direction to return to, and end with, the first strain; -- indicated by the letters D. C. Also, the strain so repeated.
dace |A small European cyprinoid fish (Squalius leuciscus or Leuciscus vulgaris); -- called also dare. Note: In America the name is given to several related fishes of the genera Squalius, Minnilus, etc. The black-nosed dace is Rhinichthys atronasus the horned dace is Semotilus corporalis. For red dace, see Redfin.
dachshund |One of a breed of small dogs with short crooked legs, and long body; -- called also badger dog. There are two kinds, the rough- haired and the smooth-haired.
dacian |Of or pertaining to Dacia or the Dacians. -- n.  A native of ancient Dacia.
dacoit |One of a class of robbers, in India, who act in gangs.
dacoity |The practice of gang robbery in India; robbery committed by dacoits.
dacotahs |Same as Dacotas. Longfellow.
dactyl |1. (Pros.)  A poetical foot of three sylables (-- ~ ~), one long followed by two short, or one accented followed by two unaccented; as, L. tëgmînê, E. mer\"ciful; -- so called from the similarity of its arrangement to that of the joints of a finger. [Written also dactyle.] 2. (Zoöl.) (a) A finger or toe; a digit. (b) The claw or terminal joint of a leg of an insect or crustacean.
dactylar |1. Pertaining to dactyl; dactylic. 2. (Zoöl.)  Of or pertaining to a finger or toe, or to the claw of an insect crustacean.
dactylet |A dactyl. [Obs.]
dactylic |Pertaining to, consisting chiefly or wholly of, dactyls; as, dactylic verses.\n\n1. A line consisting chiefly or wholly of dactyls; as, these lines are dactylics. 2. pl.  Dactylic meters.
dactylioglyph |(a) An engraver of gems for rings and other ornaments. (b) The inscription of the engraver's name on a finger ring or gem.
dactylioglyphy |The art or process of gem engraving.
dactyliography |(a) The art of writing or engraving upon gems. (b) In general, the literature or history of the art.
dactyliology |(a) That branch of archæology which has to do with gem engraving. (b) That branch of archæology which has to do with finger rings.
dactyliomancy |Divination by means of finger rings.
dactylist |A writer of dactylic verse.
dactylitis |An inflammatory affection of the fingers. Gross.
dactylology |The art of communicating ideas by certain movements and positions of the fingers; -- a method of conversing practiced by the deaf and dumb. Note: There are two different manual alphabets, the one hand alphabet (which was perfected by Abbé de l'Epée, who died in 1789), and the two hand alphabet. The latter was probably based on the manual alphabet published by George Dalgarus of Aberdeen, in 1680. See Illustration in Appendix.
dactylomancy |Dactylio mancy. [R.] Am. Cyc.
dactylonomy |The art of numbering or counting by the fingers.
dactylopterous |Having the inferior rays of the pectoral fins partially or entirely free, as in the gurnards.
dactylotheca |The scaly covering of the toes, as in birds.
dactylozooid |A kind of zooid of Siphonophora which has an elongated or even vermiform body, with one tentacle, but no mouth. See Siphonophora.
dad |Father; -- a word sometimes used by children. I was never so bethumped withwords, Since I first called my brother's father dad. Shak.
daddle |To toddle; to walk unsteadily, like a child or an old man; hence, to do anything slowly or feebly.
daddock |The rotten body of a tree. [Prov. Eng.] Wright.
daddy |Diminutive of Dad. Dryden.
daddy longlegs |1. (Zoöl.)  An arachnidan of the genus Phalangium, and allied genera, having a small body and four pairs of long legs; -- called also harvestman, carter, and grandfather longlegs. 2. (Zoöl.)  A name applied to many species of dipterous insects of the genus Tipula, and allied genera, with slender bodies, and very long, slender legs; the crane fly; -- called also father longlegs.
dade |To hold up by leading strings or by the hand, as a child while he toddles. [Obs.] Little children when they learn to go By painful mothers daded to and fro. Drayton.\n\nTo walk unsteadily, as a child in leading strings, or just learning to walk; to move slowly. [Obs.] No sooner taught to dade, but from their mother trip. Drayton.
