debarrass |To disembarrass; to relieve. [R.]
debase |To reduce from a higher to a lower state or grade of worth, dignity, purity, station, etc.; to degrade; to lower; to deteriorate; to abase; as, to debase the character by crime; to debase the mind by frivolity; to debase style by vulgar words. The coin which was adulterated and debased. Hale. It is a kind of taking God's name in vain to debase religion with such frivolous disputes. Hooker. And to debase the sons, exalts the sires. Pope. Syn. -- To abase; degrade. See Abase.
debased |Turned upside down from its proper position; inverted; reversed.
debasement |The act of debasing or the state of being debased. Milton.
debaser |One who, or that which, debases.
debasingly |In a manner to debase.
debatable |Liable to be debated; disputable; subject to controversy or contention; open to question or dispute; as, a debatable question. The Debatable Land or Ground, a tract of land between the Esk and the Sark, claimed by both England and Scotland; the Batable Ground.
debate |1. To engage in combat for; to strive for. Volunteers . . . thronged to serve under his banner, and the cause of religion was debated with the same ardor in Spain as on the plains of Palestine. Prescott. 2. To contend for in words or arguments; to strive to maintain by reasoning; to dispute; to contest; to discuss; to argue for and against. A wise council . . . that did debate this business. Shak. Debate thy cause with thy neighbor himself. Prov. xxv. 9. Syn. -- To argue; discuss; dispute; controvert. See Argue, and Discuss.\n\n1. To engage in strife or combat; to fight. [Obs.] Chaucer. Well could he tourney and in lists debate. Spenser. 2. To contend in words; to dispute; hence, to deliberate; to consider; to discuss or examine different arguments in the mind; -- often followed by on or upon. He presents that great soul debating upon the subject of life and death with his intimate friends. Tatler.\n\n1. A fight or fighting; contest; strife. [Archaic] On the day of the Trinity next ensuing was a great debate . . . and in that murder there were slain . . . fourscore. R. of Gloucester. But question fierce and proud reply Gave signal soon of dire debate. Sir W. Scott. 2. Contention in words or arguments; discussion for the purpose of elucidating truth or influencing action; strife in argument; controversy; as, the debates in Parliament or in Congress. Heard, noted, answer'd, as in full debate. Pope. 3. Subject of discussion. [R.] Statutes and edicts concerning this debate. Milton.
debateful |Full of contention; contentious; quarrelsome. [Obs.] Spenser.
debatefully |With contention. [Obs.]
debatement |Controversy; deliberation; debate. [R.] A serious question and debatement with myself. Milton.
debater |One who debates; one given to argument; a disputant; a controvertist. Debate where leisure serves with dull debaters. Shak.
debating |The act of discussing or arguing; discussion. Debating society or club, a society or club for the purpose of debate and improvement in extemporaneous speaking.
debatingly |In the manner of a debate.
debauch |To lead away from purity or excellence; to corrupt in character or principles; to mar; to vitiate; to pollute; to seduce; as, to debauch one's self by intemperance; to debauch a woman; to debauch an army. Learning not debauched by ambition. Burke. A man must have got his conscience thoroughly debauched and hardened before he can arrive to the height of sin. South. Her pride debauched her judgment and her eyes. Cowley.\n\n1. Excess in eating or drinking; intemperance; drunkenness; lewdness; debauchery. The first physicians by debauch were made. Dryden. 2. An act or occasion of debauchery. Silenus, from his night's debauch, Fatigued and sick. Cowley.
debauched |Dissolute; dissipated. \"A coarse and debauched look.\" Ld. Lytton.
debauchedly |In a profligate manner.
debauchedness |The state of being debauched; intemperance. Bp. Hall.
debauchee |One who is given to intemperance or bacchanalian excesses; a man habitually lewd; a libertine.
debaucher |One who debauches or corrupts others; especially, a seducer to lewdness.
debauchery |1. Corruption of fidelity; seduction from virtue, duty, or allegiance. The republic of Paris will endeavor to complete the debauchery of the army. Burke. 2. Excessive indulgence of the appetites; especially, excessive indulgence of lust; intemperance; sensuality; habitual lewdness. Oppose . . . debauchery by temperance. Sprat.
debauchment |The act of corrupting; the act of seducing from virtue or duty.
debauchness |Debauchedness. [Obs.]
debeige |A kind of woolen or mixed dress goods. [Written also debage.]
debel |To conquer. [Obs.] Milton.
debellate |To subdue; to conquer in war. [Obs.] Speed.
debellation |The act of conquering or subduing. [Obs.]
debenture |1. A writing acknowledging a debt; a writing or certificate signed by a public officer, as evidence of a debt due to some person; the sum thus due. 2. A customhouse certificate entitling an exporter of imported goods to a drawback of duties paid on their importation. Burrill. Note: It is applied in England to deeds of mortgage given by railway companies for borrowed money; also to municipal and other bonds and securities for money loaned.
debenture stock |The debt or series of debts, collectively, represented by a series of debentures; a debt secured by a trust deed of property for the benefit of the holders of shares in the debt or of a series of debentures. By the terms of much debenture stock the holders are not entitled to demand payment until the winding up of the company or default in payment; in the winding up of the company or default in payment; in the case of railway debentures, they cannot demand payment of the principal, and the debtor company cannot redeem the stock, except by authority of an act of Parliament. [Eng.]
debentured |Entitled to drawback or debenture; as, debentured goods.
debile |Weak. [Obs.] Shak.
debilitant |Diminishing the energy of organs; reducing excitement; as, a debilitant drug.
debilitate |To impair the strength of; to weaken; to enfeeble; as, to debilitate the body by intemperance. Various ails debilitate the mind. Jenyns. The debilitated frame of Mr. Bertram was exhausted by this last effort. Sir W. Scott.
debilitation |The act or process of debilitating, or the condition of one who is debilitated; weakness.
debility |The state of being weak; weakness; feebleness; languor. The inconveniences of too strong a perspiration, which are debility, faintness, and sometimes sudden death. Arbuthnot. Syn. -- Debility, Infirmity, Imbecility. An infirmity belongs, for the most part, to particular members, and is often temporary, as of the eyes, etc. Debility is more general, and while it lasts impairs the ordinary functions of nature. Imbecility attaches to the whole frame, and renders it more or less powerless. Debility may be constitutional or may be the result or superinduced causes; Imbecility is always constitutional; infirmity is accidental, and results from sickness or a decay of the frame. These words, in their figurative uses, have the same distinctions; we speak of infirmity of will, debility of body, and an Imbecility which affects the whole man; but Imbecility is often used with specific reference to feebleness of mind.
