defiatory |Bidding or manifesting defiance. [Obs.] Shelford.
defibrinate |To deprive of fibrin, as fresh blood or lymph by stirring with twigs.
defibrination |The act or process of depriving of fibrin.
defibrinize |To defibrinate.
deficience |Same as Deficiency. Thou in thyself art perfect, and in thee Is no deficience found. Milton.
deficiency |The state of being deficient; inadequacy; want; failure; imperfection; shortcoming; defect. \"A deficiencyof blood.\" Arbuthnot. [Marlborough] was so miserably ignorant, that his deficiencies made him the ridicule of his contemporaries. Buckle. Deficiency of a curve (Geom.), the amount by which the number of double points on a curve is short of the maximum for curves of the same degree.
deficient |Wanting, to make up completeness; wanting, as regards a requirement; not sufficient; inadequate; defective; imperfect; incomplete; lacking; as, deficient parts; deficient estate; deficient strength; deficient in judgment. The style was indeed deficient in ease and variety. Macaulay. Deficient number. (Arith.) See under Abundant. -- De*fi\"cient-ly, adv.
deficit |Deficiency in amount or quality; a falling short; lack; as, a deficit in taxes, revenue, etc. Addison.
defier |One who dares and defies; a contemner; as, a defier of the laws.
defiguration |Disfiguration; mutilation. [Obs.] Bp. Hall.
defigure |To delineate. [Obs.] These two stones as they are here defigured. Weever.
defilade |To raise, as a rampart, so as to shelter interior works commanded from some higher point.
defilading |The art or act of determining the directions and heights of the lines of rampart with reference to the protection of the interior from exposure to an enemy's fire from any point within range, or from any works which may be erected. Farrow.
defile |To march off in a line, file by file; to file off.\n\nSame as Defilade.\n\n1. Any narrow passage or gorge in which troops can march only in a file, or with a narrow front; a long, narrow pass between hills, rocks, etc. 2. (Mil.)  The act of defilading a fortress, or of raising the exterior works in order to protect the interior. See Defilade.\n\n1. To make foul or impure; to make filthy; to dirty; to befoul; to pollute. They that touch pitch will be defiled. Shak. 2. To soil or sully; to tarnish, as reputation; to taint. He is . . . among the greatest prelates of this age, however his character may be defiled by . . . dirty hands. Swift. 3. To injure in purity of character; to corrupt. Defile not yourselves with the idols of Egypt. Ezek. xx. 7. 4. To corrupt the chastity of; to debauch; to violate. The husband murder'd and the wife defiled. Prior. 5. To make ceremonially unclean; to pollute. That which dieth of itself, or is torn with beasts, he shall not eat to defile therewith. Lev. xxii. 8.
defilement |The protection of the interior walls of a fortification from an enfilading fire, as by covering them, or by a high parapet on the exposed side.\n\nThe act of defiling, or state of being defiled, whether physically or morally; pollution; foulness; dirtiness; uncleanness. Defilements of the flesh. Hopkins. The chaste can not rake into such filth without danger of defilement. Addison.
defiler |One who defiles; one who corrupts or violates; that which pollutes.
defiliation |Abstraction of a child from its parents. Lamb.
definable |Capable of being defined, limited, or explained; determinable; describable by definition; ascertainable; as, definable limits; definable distinctions or regulations; definable words. -- De*fin\"a*bly, adv.
define |1. To fix the bounds of; to bring to a termination; to end. \"To define controversies.\" Barrow. 2. To determine or clearly exhibit the boundaries of; to mark the limits of; as, to define the extent of a kingdom or country. 3. To determine with precision; to mark out with distinctness; to ascertain or exhibit clearly; as, the defining power of an optical instrument. Rings . . . very distinct and well defined. Sir I. Newton. 4. To determine the precise signification of; to fix the meaning of; to describe accurately; to explain; to expound or interpret; as, to define a word, a phrase, or a scientific term. They define virtue to be life ordered according to nature. Robynson (More's Utopia).\n\nTo determine; to decide. [Obs.]
definement |The act of defining; definition; description. [Obs.] Shak.
definer |One who defines or explains.
definite |1. Having certain or distinct; determinate in extent or greatness; limited; fixed; as, definite dimensions; a definite measure; a definite period or interval. Elements combine in definite proportions. Whewell. 2. Having certain limits in signification; determinate; certain; precise; fixed; exact; clear; as, a definite word, term, or expression. 3. Determined; resolved. [Obs.] Shak. 4. Serving to define or restrict; limiting; determining; as, the definite article. Definite article (Gram.), the article the, which is used to designate a particular person or thing, or a particular class of persons or things; -- also called a definitive. See Definitive, n. -- Definite inflorescence. (Bot.) See Determinate inflorescence, under Determinate. -- Law of definite proportions (Chem.), the essential law of chemical combination that every definite compound always contains the same elements in the same proportions by weight; and, if two or more elements form more than one compound with each other, the relative proportions of each are fixed. Compare Law of multiple proportions, under Multiple.\n\nA thing defined or determined. [Obs.]
definitely |In a definite manner; with precision; precisely; determinately.
definiteness |The state of being definite; determinateness; precision; certainty.
definition |1. The act of defining; determination of the limits; as, the telescope accurate in definition. 2. Act of ascertaining and explaining the signification; a description of a thing by its properties; an explanation of the meaning of a word or term; as, the definition of \"circle;\" the definition of \"wit;\" an exact definition; a loose definition. Definition being nothing but making another understand by words what the term defined stands for. Locke. 3. Description; sort. [R.] \"A new creature of another definition.\" Jer. Taylor. 4. (Logic)  An exact enunciation of the constituents which make up the logical essence. 5. (Opt.)  Distinctness or clearness, as of an image formed by an optical instrument; precision in detail. Syn. -- Definition, Explanation, Description. A definition is designed to settle a thing in its compass and extent; an explanation is intended to remove some obscurity or misunderstanding, and is therefore more extended and minute; a description enters into striking particulars with a view to interest or impress by graphic effect. It is not therefore true, though often said, that description is only an extended definition. \"Logicians distinguish definitions into essential and accidental. An essential definition states what are regarded as the constituent parts of the essence of that which is to be defined; and an accidental definition lays down what are regarded as circumstances belonging to it, viz., properties or accidents, such as causes, effects, etc.\" Whately.
definitional |Relating to definition; of the nature of a definition; employed in defining.
definitive |1. Determinate; positive; final; conclusive; unconditional; express. A strict and definitive truth. Sir T. Browne. Some definitive . . . scheme of reconciliation. Prescott. 2. Limiting; determining; as, a definitive word. 3. Determined; resolved. [Obs.] Shak.\n\nA word used to define or limit the extent of the signification of a common noun, such as the definite article, and some pronouns. Note: Definitives . . . are commonly called by grammarians articles. . . . They are of two kinds, either those properly and strictly so called, or else pronominal articles, such as this, that, any, other, some, all, no, none, etc. Harris (Hermes).
definitively |In a definitive manner.
definitiveness |The quality of being definitive.
definitude |Definiteness. [R.] Definitude . . . is a knowledge of minute differences. Sir W. Hamilton.
defix |To fix; to fasten; to establish. [Obs.] \"To defix their princely seat . . . in that extreme province.\" Hakluyt.
deflagrability |The state or quality of being deflagrable. The ready deflagrability . . . of saltpeter. Boyle.
deflagrable |Burning with a sudden and sparkling combustion, as niter; hence, slightly explosive; liable to snap and crackle when heated, as salt.
deflagrate |To burn with a sudden and sparkling combustion, as niter; also, to snap and crackle with slight explosions when heated, as salt.\n\nTo cause to burn with sudden and sparkling combustion, as by the action of intense heat; to burn or vaporize suddenly; as, to deflagrate refractory metals in the oxyhydrogen flame.
deflagration |1. A burning up; conflagration. \"Innumerable deluges and deflagrations.\" Bp. Pearson. 2. (Chem.)  The act or process of deflagrating.
deflagrator |A form of the voltaic battery having large plates, used for producing rapid and powerful combustion.
deflate |To reduce from an inflated condition.
deflect |To cause to turn aside; to bend; as, rays of light are often deflected. Sitting with their knees deflected under them. Lord (1630).\n\nTo turn aside; to deviate from a right or a horizontal line, or from a proper position, course or direction; to swerve. At some part of the Azores, the needle deflecteth not, but lieth in the true meridian. Sir T. Browne. To deflect from the line of truth and reason. Warburton.
deflectable |Capable of being deflected.
deflected |1. Turned aside; deviating from a direct line or course. 2. Bent downward; deflexed.
deflection |1. The act of turning aside, or state of being turned aside; a turning from a right line or proper course; a bending, esp. downward; deviation. The other leads to the same point, through certain deflections. Lowth. 2. (Gunnery)  The deviation of a shot or ball from its true course. 3. (Opt.)  A deviation of the rays of light toward the surface of an opaque body; inflection; diffraction. 4. (Engin.)  The bending which a beam or girder undergoes from its own weight or by reason of a load.
deflectionization |The act of freeing from inflections. Earle.
deflectionize |To free from inflections. Deflectionized languages are said to be analytic. Earle.
deflective |Causing deflection. Deflective forces, forces that cause a body to deviate from its course.
deflector |That which deflects, as a diaphragm in a furnace, or a come in a lamp (to deflect and mingle air and gases and help combustion).
deflexed |Bent abruptly downward.
deflexion |See Deflection.
deflexure |A bending or turning aside; deflection. Bailey.
deflorate |Past the flowering state; having shed its pollen. Gray.
defloration |1. The act of deflouring; as, the defloration if a virgin. Johnson. 2. That which is chosen as the flower or choicest part; careful culling or selection. [R.] The laws of Normandy are, in a great measure, the defloration of the English laws. Sir M. Hale.
deflour |1. To deprive of flowers. 2. To take away the prime beauty and grace of; to rob of the choicest ornament. He died innocent and before the sweetness of his soul was defloured and ravished from him. Jer. Taylor. 3. To deprive of virginity, as a woman; to violate; to ravish; also, to seduce.
deflourer |One who deflours; a ravisher.
deflow |To flow down. [Obs.] Sir T. Browne.
deflower |Same as Deflour. An earthquake . . . deflowering the gardens. W. Montagu. If a man had deflowered a virgin. Milton.
