diagraph |A drawing instrument, combining a protractor and scale.
diagraphic |Descriptive.
diagraphical |Descriptive.
diagraphics |The art or science of descriptive drawing; especially, the art or science of drawing by mechanical appliances and mathematical rule.
diaheliotropic |Relating or, or manifesting, diaheliotropism.
diaheliotropism |A tendency of leaves or other organs of plants to have their dorsal surface faced towards the rays of light.
dial |1. An instrument, formerly much used for showing the time of day from the shadow of a style or gnomon on a graduated arc or surface; esp., a sundial; but there are lunar and astral dials. The style or gnomon is usually parallel to the earth's axis, but the dial plate may be either horizontal or vertical. 2. The graduated face of a timepiece, on which the time of day is shown by pointers or hands. 3. A miner's compass. Dial bird (Zoöl.), an Indian bird (Copsychus saularius), allied to the European robin. The name is also given to other related species. -- Dial lock, a lock provided with one or more plates having numbers or letters upon them. These plates must be adjusted in a certain determined way before the lock can be operated. -- Dial plate, the plane or disk of a dial or timepiece on which lines and figures for indicating the time are placed.\n\n1. To measure with a dial. Hours of that true time which is dialed in heaven. Talfourd. 2. (Mining)  To survey with a dial. Raymond.
dialect |1. Means or mode of expressing thoughts; language; tongue; form of speech. This book is writ in such a dialect As may the minds of listless men affect. Bunyan. The universal dialect of the world. South. 2. The form of speech of a limited region or people, as distinguished from ether forms nearly related to it; a variety or subdivision of a language; speech characterized by local peculiarities or specific circumstances; as, the Ionic and Attic were dialects of Greece; the Yorkshire dialect; the dialect of the learned. In the midst of this Babel of dialects there suddenly appeared a standard English language. Earle. [Charles V.] could address his subjects from every quarter in their native dialect. Prescott. Syn. -- Language; idiom; tongue; speech; phraseology. See Language, and Idiom.
dialectal |Relating to a dialect; dialectical; as, a dialectical variant.
dialectic |Same as Dialectics. Plato placed his dialectic above all sciences. Liddell & Scott.\n\n1. Pertaining to dialectics; logical; argumental. 2. Pertaining to a dialect or to dialects. Earle.
dialectical |1. Pertaining to dialectics; logical; argumental. 2. Pertaining to a dialect or to dialects. Earle.
dialectically |In a dialectical manner.
dialectician |One versed in dialectics; a logician; a reasoner.
dialectics |That branch of logic which teaches the rules and modes of reasoning; the application of logical principles to discursive reasoning; the science or art of discriminating truth from error; logical discussion. Note: Dialectics was defined by Aristotle to be the method of arguing with probability on any given problem, and of defending a tenet without inconsistency. By Plato, it was used in the following senses: 1. Discussion by dialogue as a method of scientific investigation. 2. The method of investigating the truth by analysis. 3. The science of ideas or of the nature and laws of being -- higher metaphysics. By Kant, it was employed to signify the logic of appearances or illusions, whether these arise from accident or error, or from those necessary limitations which, according to this philosopher, originate in the constitution of the human intellect.
dialectology |That branch of philology which is devoted to the consideration of dialects. Beck.
dialector |One skilled in dialectics.
dialing |1. The art of constructing dials; the science which treats of measuring time by dials. [Written also dialling.] 2. A method of surveying, especially in mines, in which the bearings of the courses, or the angles which they make with each other, are determined by means of the circumferentor.
dialist |A maker of dials; one skilled in dialing.
diallage |A figure by which arguments are placed in various points of view, and then turned to one point. Smart.\n\nA dark green or bronze-colored laminated variety of pyroxene, common in certain igneous rocks.
diallel |Meeting and intersecting, as lines; not parallel; -- opposed to parallel. [Obs.] Ash.
diallyl |A volatile, pungent, liquid hydrocarbon, C6H10, consisting of two allyl radicals, and belonging to the acetylene series.
dialogical |Relating to a dialogue; dialogistical. Burton.
dialogically |In the manner or nature of a dialogue. Goldsmith.
dialogism |An imaginary speech or discussion between two or more; dialogue. Fulke.
dialogist |1. A speaker in a dialogue. 2. A writer of dialogues. P. Skelton.
dialogistic |Pertaining to a dialogue; having the form or nature of a dialogue. -- Di*al`o*gis\"tic*al*ly, adv.
dialogistical |Pertaining to a dialogue; having the form or nature of a dialogue. -- Di*al`o*gis\"tic*al*ly, adv.
dialogite |Native carbonate of manganese; rhodochrosite.
dialogize |To discourse in dialogue. Fotherby.
dialogue |1. A conversation between two or more persons; particularly, a formal conservation in theatrical performances or in scholastic exercises. 2. A written composition in which two or more persons are represented as conversing or reasoning on some topic; as, the Dialogues of Plato.\n\nTo take part in a dialogue; to dialogize. [R.] Shak.\n\nTo express as in dialogue. [R.] And dialogued for him what he would say. Shak.
dialypetalous |Having separate petals; polypetalous.
dialysis |1. (Gram.)  Diæresis. See Diæresis, 1. 2. (Rhet.)  Same as Asyndeton. 3. (Med.) (a) Debility. (b) A solution of continuity; division; separation of parts. 4. (Chem.)  The separation of different substances in solution, as crystalloids and colloids, by means of their unequal diffusion, especially through natural or artificial membranes.
dialytic |Having the quality of unloosing or separating. Clarke. Dialytic telescope, an achromatic telescope in which the colored dispersion produced by a single object lens of crown glass is corrected by a smaller concave lens, or combination of lenses, of high dispersive power, placed at a distance in the narrower part of the converging cone of rays, usually near the middle of the tube.
dialyzate |The material subjected to dialysis.
dialyzation |The act or process of dialysis.
dialyze |To separate, prepare, or obtain, by dialysis or osmose; to pass through an animal membrane; to subject to dialysis. [Written also dialyse.]
dialyzed |Prepared by diffusion through an animal membrane; as, dialyzed iron.
dialyzer |The instrument or medium used to effect chemical dialysis.
diamagnet |A body having diamagnetic polarity.
diamagnetic |Pertaining to, or exhibiting the phenomena of, diamagnetism; taking, or being of a nature to take, a position at right angles to the lines of magnetic force. See Paramagnetic. Diamagnetic attraction. See under Attraction.\n\nAny substance, as bismuth, glass, phosphorous, etc., which in a field of magnetic force is differently affected from the ordinary magnetic bodies, as iron; that is, which tends to take a position at right angles to the lines of magnetic force, and is repelled by either pole of the magnet.
diamagnetically |In the manner of, or according to, diamagnetism.
diamagnetism |1. The science which treats of diamagnetic phenomena, and of the properties of diamagnetic bodies. 2. That form or condition of magnetic action which characterizes diamagnetics.
diamantiferous |Yielding diamonds.
diamantine |Adamantine. [Obs.]
diameter |1. (Geom.) (a) Any right line passing through the center of a figure or body, as a circle, conic section, sphere, cube, etc., and terminated by the opposite boundaries; a straight line which bisects a system of parallel chords drawn in a curve. (b) A diametral plane. 2. The length of a straight line through the center of an object from side to side; width; thickness; as, the diameter of a tree or rock. Note: In an elongated object the diameter is usually taken at right angles to the longer axis. 3. (Arch.)  The distance through the lower part of the shaft of a column, used as a standard measure for all parts of the order. See Module. Conjugate diameters. See under Conjugate.
diametral |Pertaining to a diameter; diametrical. Diametral curve, Diametral surface (Geom.), any line or surface which bisects a system of parallel chords drawn in a curve or surface. -- Diametral planes (Crystal.), planes in which two of the axes lie.\n\nA diameter. [Obs.] Sir T. Browne.
diametrally |Diametrically.
diametric |1. Of or pertaining to a diameter. 2. As remote as possible, as if at the opposite end of a diameter; directly adverse.
diametrical |1. Of or pertaining to a diameter. 2. As remote as possible, as if at the opposite end of a diameter; directly adverse.
diametrically |In a diametrical manner; directly; as, diametrically opposite. Whose principles were diametrically opposed to his. Macaulay.
diamide |Any compound containing two amido groups united with one or more acid or negative radicals, -- as distinguished from a diamine. Cf. Amido acid, under Amido, and Acid amide, under Amide.
diamido- |A prefix or combining form of Diamine. Note: [Also used adjectively.]
diamine |A compound containing two amido groups united with one or more basic or positive radicals, -- as contrasted with a diamide. Note: In chemical nomenclature, if any amine or diamine is named by prefixing the nitrogen group, the name of the latter takes the form of amido, diamido, etc., thus ethylene diamine, C2H4.(NH2)2, is also called diamido-ethylene.
