diminishable |Capable of being diminished or lessened.
diminisher |One who, or that which, diminishes anything. Clerke (1637).
diminishingly |In a manner to diminish.
diminishment |Diminution. [R.] Cheke.
diminuendo |In a gradually diminishing manner; with abatement of tone; decrescendo; -- expressed on the staff by Dim., or Dimin., or the sign.
diminuent |Lessening. Bp. Sanderson.
diminutal |Indicating or causing diminution. Earle.
diminute |Small; diminished; diminutive. [Obs.] Jer. Taylor.
diminutely |Diminutively. [Obs.]
diminution |1. The act of diminishing, or of making or becoming less; state of being diminished; reduction in size, quantity, or degree; -- opposed to augmentation or increase. 2. The act of lessening dignity or consideration, or the state of being deprived of dignity; a lowering in estimation; degradation; abasement. The world's opinion or diminution of me. Eikon Basilike. Nor thinks it diminution to be ranked In military honor next. Philips. 3. (Law)  Omission, inaccuracy, or defect in a record. 4. (Mus.)  In counterpoint, the imitation of, or reply to, a subject, in notes of half the length or value of those the subject itself. Syn. -- Decrease; decay; abatement; reduction; deduction; decrement.
diminutival |Indicating diminution; diminutive. \"Diminutival forms\" [of words]. Earle. -- n.  A diminutive. Earle.
diminutive |1. Below the average size; very small; little. 2. Expressing diminution; as, a diminutive word. 3. Tending to diminish. [R.] Diminutive of liberty. Shaftesbury.\n\n1. Something of very small size or value; an insignificant thing. Such water flies, diminutives of nature. Shak. 2. (Gram.)  A derivative from a noun, denoting a small or a young object of the same kind with that denoted by the primitive; as, gosling, eaglet, lambkin. Babyisms and dear diminutives. Tennyson. Note: The word sometimes denotes a derivative verb which expresses a diminutive or petty form of the action, as scribble.
diminutively |In a diminutive manner.
diminutiveness |The quality of being diminutive; smallness; littleness; minuteness.
dimish |See Dimmish.
dimission |Leave to depart; a dismissing. [Obs.] Barrow.
dimissory |Sending away; dismissing to another jurisdiction; granting leave to depart. Letters dimissory (Eccl.), letters given by a bishop dismissing a person who is removing into another diocese, and recommending him for reception there. Hook.
dimit |To dismiss, let go, or release. [Obs.]
dimity |A cotton fabric employed for hangings and furniture coverings, and formerly used for women's under-garments. It is of many patterns, both plain and twilled, and occasionally is printed in colors.
dimly |In a dim or obscure manner; not brightly or clearly; with imperfect sight.
dimmish |Somewhat dim; as, dimmish eyes. \"Dimmy clouds.\" Sir P. Sidney.
dimmy |Somewhat dim; as, dimmish eyes. \"Dimmy clouds.\" Sir P. Sidney.
dimness |1. The state or quality 2. Dullness, or want of clearness, of vision or of intellectual perception. Dr. H. More. Syn. -- Darkness; obscurity; gloom. See Darkness.
dimorph |Either one of the two forms of a dimorphous substance; as, calcite and aragonite are dimorphs.
dimorphic |Having the property of dimorphism; dimorphous.
