displosive |Explosive.
displume |To strip of, or as of, a plume, or plumes; to deprive of decoration; to dishonor; to degrade. Displumed, degraded, and metamorphosed. Burke.
dispoline |One of several isomeric organic bases of the quinoline series of alkaloids.
dispond |See Despond.
dispondee |A double spondee; a foot consisting of four long syllables.
dispone |1. (Her.)  To dispose. 2. To dispose of. Chaucer. 3. (Scots Law)  To make over, or convey, legally. He has disponed . . . the whole estate. Sir W. Scott.
disponee |The person to whom any property is legally conveyed.
disponer |One who legally transfers property from himself to another.
disponge |To sprinkle, as with water from a sponge. [Poetic & Rare] [Written also dispunge.] O sovereign mistress of true melancholy, The poisonous damp of night disponge upon me. Shak.
dispope |To refuse to consider as pope; to depose from the popedom. One whom they disposed. Tennyson.
disporous |Having two spores.
disport |Play; sport; pastime; diversion; playfulness. Milton.\n\nTo play; to wanton; to move in gayety; to move lightly and without restraint; to amuse one's self. Where light disports in ever mingling dyes. Pope. Childe Harold basked him in the noontide sun, Disporting there like any other fly. Byron.\n\n1. To divert or amuse; to make merry. They could disport themselves. Buckle. 2. To remove from a port; to carry away. Prynne.
disportment |Act of disporting; diversion; play. [Obs.] Dr. H. More.
disposable |Subject to disposal; free to be used or employed as occasion may require; not assigned to any service or use. The great of this kingdom . . . has easily afforded a disposable surplus. Burke.
disposal |1. The act of disposing, or disposing of, anything; arrangement; orderly distribution; a putting in order; as, the disposal of the troops in two lines. 2. Ordering; regulation; adjustment; management; government; direction. The execution leave to high disposal. Milton. 3. Regulation of the fate, condition, application, etc., of anything; the transference of anything into new hands, a new place, condition, etc.; alienation, or parting; as, a disposal of property. A domestic affair of great importance, which is no less than the disposal of my sister Jenny for life. Tatler. 4. Power or authority to dispose of, determine the condition of, control, etc., especially in the phrase at, or in, the disposal of. The sole and absolute disposal of him an his concerns. South. Syn. -- Disposition; dispensation; management; conduct; government; distribution; arrangement; regulation; control.
dispose |1. To distribute and put in place; to arrange; to set in order; as, to dispose the ships in the form of a crescent. Who hath disposed the whole world Job xxxiv. 13. All ranged in order and disposed with grace. Pope. The rest themselves in troops did else dispose. Spenser. 2. To regulate; to adjust; to settle; to determine. The knightly forms of combat to dispose. Dryden. 3. To deal out; to assign to a use; to bestow for an object or purpose; to apply; to employ; to dispose of. Importuned him that what he designed to bestow on her funeral, he would rather dispose among the poor. Evelyn. 4. To give a tendency or inclination to; to adapt; to cause to turn; especially, to incline the mind of; to give a bent or propension to; to incline; to make inclined; -- usually followed by to, sometimes by for before the indirect object. Endure and conquer; Jove will soon dispose To future good our past and present woes. Dryden. Suspicions dispose kings to tyranny, husbands to jealousy, and wise men to irresolution and melancholy. Bacon. To dispose of. (a) To determine the fate of; to exercise the power of control over; to fix the condition, application, employment, etc. of; to direct or assign for a use. Freedom to order their actions and dispose of their possessions and persons. Locke. (b) To exercise finally one's power of control over; to pass over into the control of some one else, as by selling; to alienate; to part with; to relinquish; to get rid of; as, to dispose of a house; to dispose of one's time. More water . . . than can be disposed of. T. Burnet. I have disposed of her to a man of business. Tatler. A rural judge disposed of beauty's prize. Waller. Syn. -- To set; arrange; order; distribute; adjust; regulate; adapt; fit; incline; bestow; give.\n\nTo bargain; to make terms. [Obs.] She had disposed with Cæsar. Shak.\n\n1. Disposal; ordering; management; power or right of control. [Obs.] But such is the dispose of the sole Disposer of empires. Speed. 2. Cast of mind; disposition; inclination; behavior; demeanor. [Obs.] He hath a person, and a smooth dispose To be suspected. Shak.
disposed |1. Inclined; minded. When he was disposed to pass into Achaia. Acts xviii. 27. 2. Inclined to mirth; jolly. [Obs.] Beau. & Fl. Well disposed, in good condition; in good health. [Obs.] Chaucer.
disposedness |The state of being disposed or inclined; inclination; propensity. [R.]
disposement |Disposal. [Obs.] Goodwin.
disposer |One who, or that which, disposes; a regulator; a director; a bestower. Absolute lord and disposer of all things. Barrow.
disposingly |In a manner to dispose.
disposited |Disposed. [Obs.] Glanvill.
disposition |1. The act of disposing, arranging, ordering, regulating, or transferring; application; disposal; as, the disposition of a man's property by will. Who have received the law by the disposition of angels. Acts vii. 53. The disposition of the work, to put all things in a beautiful order and harmony, that the whole may be of a piece. Dryden. 2. The state or the manner of being disposed or arranged; distribution; arrangement; order; as, the disposition of the trees in an orchard; the disposition of the several parts of an edifice. 3. Tendency to any action or state resulting from natural constitution; nature; quality; as, a disposition in plants to grow in a direction upward; a disposition in bodies to putrefaction. 4. Conscious inclination; propension or propensity. How stands your disposition to be married Shak. 5. Natural or prevailing spirit, or temperament of mind, especially as shown in intercourse with one's fellow-men; temper of mind. \"A man of turbulent disposition.\" Hallam. \"He is of a very melancholy disposition.\" Shak. His disposition led him to do things agreeable to his quality and condition wherein God had placed him. Strype. 6. Mood; humor. As I perchance hereafter shall think meet To put an antic disposition on. Shak. Syn. -- Disposal; adjustment; regulation; arrangement; distribution; order; method; adaptation; inclination; propensity; bestowment; alienation; character; temper; mood. -- Disposition, Character, Temper. Disposition is the natural humor of a person, the predominating quality of his character, the constitutional habit of his mind. Character is this disposition influenced by motive, training, and will. Temper is a quality of the fiber of character, and is displayed chiefly when the emotions, especially the passions, are aroused.
dispositional |Pertaining to disposition.
dispositioned |Having (such) a disposition; -- used in compounds; as, well- dispositioned.
dispositive |1. Disposing; tending to regulate; decretive. [Obs.] His dispositive wisdom and power. Bates. 2. Belonging to disposition or natural, tendency. [Obs.] \"Dispositive holiness.\" Jer. Taylor.
dispositively |In a dispositive manner; by natural or moral disposition. [Obs.] Sir T. Browne. Do dispositively what Moses is recorded to have done literally, . . . break all the ten commandments at once. Boyle.
dispositor |1. A disposer. 2. (Astrol.)  The planet which is lord of the sign where another planet is. [Obs.] Crabb.
dispossess |To put out of possession; to deprive of the actual occupancy of, particularly of land or real estate; to disseize; to eject; -- usually followed by of before the thing taken away; as, to dispossess a king of his crown. Usurp the land, and dispossess the swain. Goldsmith.
dispossession |1. The act of putting out of possession; the state of being dispossessed. Bp. Hall. 2. (Law)  The putting out of possession, wrongfully or otherwise, of one who is in possession of a freehold, no matter in what title; -- called also ouster.
dispossessor |One who dispossesses. Cowley.
dispost |To eject from a post; to displace. [R.] Davies (Holy Roode).
disposure |1. The act of disposing; power to dispose of; disposal; direction. Give up My estate to his disposure. Massinger. 2. Disposition; arrangement; position; posture. [Obs.] In a kind of warlike disposure. Sir H. Wotton.
dispraisable |Blamable. [R.]
dispraise |To withdraw praise from; to notice with disapprobation or some degree of censure; to disparage; to blame. Dispraising the power of his adversaries. Chaucer. I dispraised him before the wicked, that the wicked might not fall in love with him. Shak.\n\nThe act of dispraising; detraction; blame censure; reproach; disparagement. Dryden. In praise and in dispraise the same. Tennyson.
dispraiser |One who blames or dispraises.
dispraisingly |By way of dispraise.
dispread |To spread abroad, or different ways; to spread apart; to open; as, the sun dispreads his beams. Spenser.\n\nTo extend or expand itself. [R.] While tyrant Hdispreading through the sky. Thomson.
dispreader |One who spreads abroad. Dispreaders both of vice and error. Milton.
disprejudice |To free from prejudice. [Obs.] W. Montagu.
disprepare |To render unprepared. [Obs.] Hobbes.
disprince |To make unlike a prince. [R.] For I was drench'd with ooze, and torn with briers, . . . And, all one rag, disprinced from head to heel. Tennyson.
disprison |To let loose from prison, to set all liberty. [R.] Bulwer.
disprivilege |To deprive of a privilege or privileges. [R.]
disprize |To do preciate. [R.] Cotton (Ode to Lydia).
disprofess |To renounce the profession or pursuit of. His arms, which he had vowed to disprofess. Spenser.
disprofit |Loss; damage. Foxe.\n\nTo be, or to cause to be, without profit or benefit. [Obs. or Archaic] Bale.
disprofitable |Unprofitable. [Obs.]
disproof |A proving to be false or erroneous; confutation; refutation; as, to offer evidence in disproof of a statement. I need not offer anything farther in support of one, or in disproof of the other. Rogers.
disproperty |To cause to be no longer property; to dispossess of. [R.] Shak.
disproportion |1. Want of proportion in form or quantity; lack of symmetry; as, the arm may be in disproportion to the body; the disproportion of the length of a building to its height. 2. Want of suitableness, adequacy, or due proportion to an end or use; unsuitableness; disparity; as, the disproportion of strength or means to an object.\n\nTo make unsuitable in quantity, form, or fitness to an end; to violate symmetry in; to mismatch; to join unfitly. To shape my legs of an unequal size; To disproportion me in every part. Shak. A degree of strength altogether disproportioned to the extent of its territory. Prescott.
disproportionable |Disproportional; unsuitable in form, size, quantity, or adaptation; disproportionate; inadequate. -- Dis`pro*por\"tion*a*ble*ness, n. Hammond. -- Dis`pro*por\"tion*a*bly, adv.
disproportional |Not having due proportion to something else; not having proportion or symmetry of parts; unsuitable in form, quantity or value; inadequate; unequal; as, a disproportional limb constitutes deformity in the body; the studies of youth should not be disproportional to their understanding.
disproportionality |The state of being disproportional. Dr. H. More.
disproportionally |In a disproportional manner; unsuitably in form, quantity, or value; unequally.
