drunkship |The state of being drunk; drunkenness. [Obs.] Gower.
drupaceous |Producing, or pertaining to, drupes; having the form of drupes; as, drupaceous trees or fruits.
drupal |Drupaceous.
drupe |A fruit consisting of pulpy, coriaceous, or fibrous exocarp, without valves, containing a nut or stone with a kernel. The exocarp is succulent in the plum, cherry, apricot, peach, etc.; dry and subcoriaceous in the almond; and fibrous in the cocoanut.
drupel |A small drupe, as one of the pulpy grains of the blackberry.
drupelet |A small drupe, as one of the pulpy grains of the blackberry.
druse |A cavity in a rock, having its interior surface studded with crystals and sometimes filled with water; a geode.\n\nOne of a people and religious sect dwelling chiefly in the Lebanon mountains of Syria. The Druses separated from the Mohammedan Arabs in the 9th century. Their characteristic dogma is the unity of God. Am. Cyc.
drused |Covered with a large number of minute crystals.
drusy |Covered with a large number of minute crystals.
druxey |Having decayed spots or streaks of a whitish color; -- said of timber. Weale.
druxy |Having decayed spots or streaks of a whitish color; -- said of timber. Weale.
dry |1. Free from moisture; having little humidity or none; arid; not wet or moist; deficient in the natural or normal supply of moisture, as rain or fluid of any kind; -- said especially: (a) Of the weather: Free from rain or mist. The weather, we agreed, was too dry for the season. Addison. (b) Of vegetable matter: Free from juices or sap; not succulent; not green; as, dry wood or hay. (c) Of animals: Not giving milk; as, the cow is dry. (d) Of persons: Thirsty; needing drink. Give the dry fool drink. Shak (e) Of the eyes: Not shedding tears. Not a dry eye was to be seen in the assembly. Prescott. (f) (Med.)  Of certain morbid conditions, in which there is entire or comparative absence of moisture; as, dry gangrene; dry catarrh. 2. Destitute of that which interests or amuses; barren; unembellished; jejune; plain. These epistles will become less dry, more susceptible of ornament. Pope. 3. Characterized by a quality somewhat severe, grave, or hard; hence, sharp; keen; shrewd; quaint; as, a dry tone or manner; dry wit. He was rather a dry, shrewd kind of body. W. Irving. 4. (Fine Arts)  Exhibiting a sharp, frigid preciseness of execution, or the want of a delicate contour in form, and of easy transition in coloring. Dry area (Arch.), a small open space reserved outside the foundation of a building to guard it from damp. -- Dry blow. (a) (Med.) A blow which inflicts no wound, and causes no effusion of blood. (b) A quick, sharp blow. -- Dry bone (Min.), Smithsonite, or carbonate of zinc; -- a miner's term. -- Dry castor (Zoöl.) a kind of beaver; -- called also parchment beaver. -- Dry cupping. (Med.) See under Cupping. -- Dry dock. See under Dock. -- Dry fat. See Dry vat (below). -- Dry light, pure unobstructed light; hence, a clear, impartial view. Bacon. The scientific man must keep his feelings under stern control, lest they obtrude into his researches, and color the dry light in which alone science desires to see its objects. J. C. Shairp. -- Dry masonry. See Masonry. -- Dry measure, a system of measures of volume for dry or coarse articles, by the bushel, peck, etc. -- Dry pile (Physics), a form of the Voltaic pile, constructed without the use of a liquid, affording a feeble current, and chiefly useful in the construction of electroscopes of great delicacy; -- called also Zamboni's , from the names of the two earliest constructors of it. -- Dry pipe (Steam Engine), a pipe which conducts dry steam from a boiler. -- Dry plate (Photog.), a glass plate having a dry coating sensitive to light, upon which photographic negatives or pictures can be made, without moistening. -- Dry-plate process, the process of photographing with dry plates. -- Dry point. (Fine Arts) (a) An engraving made with the needle instead of the burin, in which the work is done nearly as in etching, but is finished without the use acid. (b) A print from such an engraving, usually upon paper. (c) Hence: The needle with which such an engraving is made. -- Dry rent (Eng. Law), a rent reserved by deed, without a clause of distress. Bouvier. -- Dry rot, a decay of timber, reducing its fibers to the condition of a dry powdery dust, often accompanied by the presence of a peculiar fungus (Merulius lacrymans), which is sometimes considered the cause of the decay; but it is more probable that the real cause is the decomposition of the wood itself. D. C. Eaton. Called also sap rot, and, in the United States, powder post. Hebert. -- Dry stove, a hothouse adapted to preserving the plants of arid climates. Brande & C. -- Dry vat, a vat, basket, or other receptacle for dry articles. -- Dry wine, that in which the saccharine matter and fermentation were so exactly balanced, that they have wholly neutralized each other, and no sweetness is perceptible; -- opposed to sweet wine, in which the saccharine matter is in excess.\n\nTo make dry; to free from water, or from moisture of any kind, and by any means; to exsiccate; as, to dry the eyes; to dry one's tears; the wind dries the earth; to dry a wet cloth; to dry hay. To dry up. (a) To scorch or parch with thirst; to deprive utterly of water; to consume. Their honorable men are famished, and their multitude dried up with thirst. Is. v. 13. The water of the sea, which formerly covered it, was in time exhaled and dried up by the sun. Woodward. (b) To make to cease, as a stream of talk. Their sources of revenue were dried up. Jowett (Thucyd. ) -- To dry, or dry up, a cow, to cause a cow to cease secreting milk. Tylor.\n\n1. To grow dry; to become free from wetness, moisture, or juice; as, the road dries rapidly. 2. To evaporate wholly; to be exhaled; -- said of moisture, or a liquid; -- sometimes with up; as, the stream dries, or dries up. 3. To shrivel or wither; to lose vitality. And his hand, which he put forth against him, dried up, so that he could not pull it in again to him. I Kings xiii. 4.
dry dock |See under Dock.
dry goods |A commercial name for textile fabrics, cottons, woolens, linen, silks, laces, etc., -- in distinction from groceries. [U.S.]
dry nurse |A nurse who attends and feeds a child by hand; -- in distinction from a wet nurse, who suckles it.
dry-beat |To beat severely. Shak.
dry-boned |Having dry bones, or bones without flesh.
dry-eyed |Not having tears in the eyes.
dry-fisted |Niggardly.
dry-rub |To rub and cleanse without wetting. Dodsley.
dry-shod |Without wetting the feet.
dry-stone |Constructed of uncemented stone. \"Dry-stone walls.\" Sir W. Scott.
dryad |A wood nymph; a nymph whose life was bound up with that of her tree.
dryandra |A genus of shrubs growing in Australia, having beautiful, hard, dry, evergreen leaves.
dryas |A dryad.
dryer |See Drier. Sir W. Temple.
dryfland |An ancient yearly payment made by some tenants to the king, or to their landlords, for the privilege of driving their cattle through a manor to fairs or markets. Cowell.
dryfoot |The scent of the game, as far as it can be traced. [Obs.] Shak.
drying |1. Adapted or tending to exhaust moisture; as, a drying wind or day; a drying room. 2. Having the quality of rapidly becoming dry. Drying oil, an oil which, either naturally or after boiling with oxide of lead, absorbs oxygen from the air and dries up rapidly. Drying oils are used as the bases of many paints and varnishes.
dryly |In a dry manner; not succulently; without interest; without sympathy; coldly.
dryness |The state of being dry. See Dry.
drynurse |To feed, attend, and bring up without the breast. Hudibras.
drysalter |A dealer in salted or dried meats, pickles, sauces, etc., and in the materials used in pickling, salting, and preserving various kinds of food Hence drysalters usually sell a number of saline substances and miscellaneous drugs. Brande & C.
drysaltery |The articles kept by a drysalter; also, the business of a drysalter.
dryth |Drought. [Obs.] Tyndale.
duad |A union of two; duality. [R.] Harris.
dual |Expressing, or consisting of, the number two; belonging to two; as, the dual number of nouns, etc. , in Greek. Here you have one half of our dual truth. Tyndall.
dualin |An explosive substance consisting essentially of sawdust or wood pulp, saturated with nitroglycerin and other similar nitro compounds. It is inferior to dynamite, and is more liable to explosion.
dualism |State of being dual or twofold; a twofold division; any system which is founded on a double principle, or a twofold distinction; as: (a) (Philos.) A view of man as constituted of two original and independent elements, as matter and spirit. (Theol.) (b) A system which accepts two gods, or two original principles, one good and the other evil. (c) The doctrine that all mankind are divided by the arbitrary decree of God, and in his eternal foreknowledge, into two classes, the elect and the reprobate. (d) (Physiol.) The theory that each cerebral hemisphere acts independently of the other. An inevitable dualism bisects nature, so that each thing is a half, and suggests another thing to make it whole. Emerson.
dualist |1. One who believes in dualism; a ditheist. 2. One who administers two offices. Fuller.
dualistic |Consisting of two; pertaining to dualism or duality. Dualistic system or theory (Chem.), the theory, originated by Lavoisier and developed by Berzelius, that all definite compounds are binary in their nature, and consist of two distinct constituents, themselves simple or complex, and possessed of opposite chemical or electrical affinities.
duality |The quality or condition of being two or twofold; dual character or usage.
duan |A division of a poem corresponding to a canto; a poem or song. [R.]
duarchy |Government by two persons.
dub |1. To confer knight. Note: The conclusion of the ceremony was marked by a tap on the shoulder with the sword. 2. To invest with any dignity or new character; to entitle; to call. A man of wealth is dubbed a man of worth. Pope. 3. To clothe or invest; to ornament; to adorn. [Obs.] His diadem was dropped down Dubbed with stones. Morte d'Arthure. 4. To strike, rub, or dress smooth; to dab; as: (a) To dress with an adz; as, to dub a stick of timber smooth. (b) To strike cloth with teasels to raise a nap. Halliwell. (c) To rub or dress with grease, as leather in the process of cyrrying it. Tomlinson. (d) To prepare for fighting, as a gamecock, by trimming the hackles and cutting off the comb and wattles. To dub a fly, to dress a fishing fly. [Prov. Eng.] Halliwell. -- To dub out (Plastering), to fill out, as an uneven surface, to a plane, or to carry out a series of small projections.\n\nTo make a noise by brisk drumbeats. \"Now the drum dubs.\" Beau. & Fl.\n\nA blow. [R.] Hudibras.\n\nA pool or puddle. [Prov. Eng.] Halliwell.
dubb |The Syrian bear. See under Bear. [Written also dhubb, and dub.]
dubber |One who, or that which, dubs.\n\nA globular vessel or bottle of leather, used in India to hold ghee, oil, etc. [Also written dupper.] M'Culloch.
dubbing |1. The act of dubbing, as a knight, etc. 2. The act of rubbing, smoothing, or dressing; a dressing off smooth with an adz. 3. A dressing of flour and water used by weavers; a mixture of oil and tallow for dressing leather; daubing. 4. The body substance of an angler's fly. Davy.
dubiety |Doubtfulness; uncertainty; doubt. [R.] Lamb. \"The dubiety of his fate.\" Sir W. Scott.
dubiosity |The state of being doubtful; a doubtful statement or thing. [R.] Men often swallow falsities for truths, dubiosities for certainties, possibilities for feasibilities. Sir T. Browne.
dubious |1. Doubtful or not settled in opinion; being in doubt; wavering or fluctuating; undetermined. \"Dubious policy.\" Sir T. Scott. A dubious, agitated state of mind. Thackeray. 2. Occasioning doubt; not clear, or obvious; equivocal; questionable; doubtful; as, a dubious answer. Wiping the dingy shirt with a still more dubious pocket handkerchief. Thackeray. 3. Of uncertain event or issue; as, in dubious battle. Syn. -- Doubtful; doubting; unsettled; undetermined; equivocal; uncertain. Cf. Doubtful.
dubiously |In a dubious manner.
dubiousness |State of being dubious.
dubitable |Liable to be doubted; uncertain. [R.] Dr. H. More. -- Du\"bi*ta*bly, adv. [R.]
dubitancy |Doubt; uncertainty. [R.] Hammond.
dubitate |To doubt. [R.] If he . . . were to loiter dubitating, and not come. Carlyle.
dubitation |Act of doubting; doubt. [R.] Sir T. Scott.
dubitative |Tending to doubt; doubtful. [R.] -- Du\"bi*ta*tive*ly, adv. [R.] . Eliot.
duboisia |Same as Duboisine.
duboisine |An alkaloid obtained from the leaves of an Australian tree (Duboisia myoporoides), and regarded as identical with hyoscyamine. It produces dilation of the pupil of the eye.
ducal |Of or pertaining to a duke. His ducal cap was to be exchanged for a kingly crown. Motley.
ducally |In the manner of a duke, or in a manner becoming the rank of a duke.
ducat |A coin, either of gold or silver, of several countries in Europe; originally, one struck in the dominions of a duke. Note: The gold ducat is generally of the value of nine shillings and four pence sterling, or somewhat more that two dollars. The silver ducat is of about half this value.
ducatoon |A silver coin of several countries of Europe, and of different values.
duces tecum |A judicial process commanding a person to appear in court and bring with him some piece of evidence or other thing to be produced to the court.
duchess |The wife or widow of a duke; also, a lady who has the sovereignty of a duchy in her own right. DUCHESSE D'ANGOULEME Du`chesse\" d'An`gou`lême\". Etym: [F.] (Bot.)  A variety of pear of large size and excellent flavor.
duchesse lace |A beautiful variety of Brussels pillow lace made originally in Belgium and resembling Honiton guipure. It is worked with fine thread in large sprays, usually of the primrose pattern, with much raised work.
duchy |The territory or dominions of a duke; a dukedom.
duck |A pet; a darling. Shak.\n\n1. A linen (or sometimes cotton) fabric, finer and lighter than canvas, -- used for the lighter sails of vessels, the sacking of beds, and sometimes for men's clothing. 2. (Naut.) pl.  The light clothes worn by sailors in hot climates. [Colloq.]\n\n1. To thrust or plunge under water or other liquid and suddenly withdraw. Adams, after ducking the squire twice or thrice, leaped out of the tub. Fielding. 2. To plunge the head of under water, immediately withdrawing it; as, duck the boy. 3. To bow; to bob down; to move quickly with a downward motion. \" Will duck his head aside. Swift.\n\n1. To go under the surface of water and immediately reappear; to dive; to plunge the head in water or other liquid; to dip. In Tiber ducking thrice by break of day. Dryden. 2. To drop the head or person suddenly; to bow. The learned pate Ducks to the golden fool. Shak.\n\n1. (Zool.)  Any bird of the subfamily Anatinæ, family Anatidæ. Note: The genera and species are numerous. They are divided into river ducks and sea ducks. Among the former are the common domestic duck (Anas boschas); the wood duck (Aix sponsa); the beautiful mandarin duck of China (Dendronessa galeriliculata); the Muscovy duck, originally of South America (Cairina moschata). Among the sea ducks are the eider, canvasback, scoter, etc. 2. A sudden inclination of the bead or dropping of the person, resembling the motion of a duck in water. Here be, without duck or nod, Other trippings to be trod. Milton. Bombay duck (Zoöl.), a fish. See Bummalo. -- Buffel duck, or Spirit duck. See Buffel duck. -- Duck ant (Zoöl.), a species of white ant in Jamaica which builds large nests in trees. -- Duck barnacle. (Zoöl.) See Goose barnacle. -- Duck hawk. (Zoöl.) (a) In the United States: The peregrine falcon. (b) In England: The marsh harrier or moor buzzard. -- Duck mole (Zoöl.), a small aquatic mammal of Australia, having webbed feet and a bill resembling that of a duck (Ornithorhynchus anatinus). It belongs the subclass Monotremata and is remarkable for laying eggs like a bird or reptile; -- called also duckbill, platypus, mallangong, mullingong, tambreet, and water mole. -- To make ducks and drakes, to throw a flat stone obliquely, so as to make it rebound repeatedly from the surface of the water, raising a succession of jets; hence: To play at ducks and drakes, with property, to throw it away heedlessly or squander it foolishly and unprofitably. -- Lame duck. See under Lame.
duck-billed |Having a bill like that of a duck..
duck-legged |Having short legs, like a waddling duck; short-legged. Dryden.
duckbill |See Duck mole, under Duck, n.
ducker |1. One who, or that which, ducks; a plunger; a diver. 2. A cringing, servile person; a fawner.
ducking |, from Duck, v. t. & i. Ducking stool, a stool or chair in which common scolds were formerly tied, and plunged into water, as a punishment. See Cucking stool. The practice of ducking began in the latter part of the 15th century, and prevailed until the early part of the 18th, and occasionally as late as the 19th century. Blackstone. Chambers.
duckling |A young or little duck. Gay. DUCKMEAT; DUCK'S-MEAT Duck\"meat`, or Duck's\"-meat`, n. (Bot.)  Duckweed. DUCK'S-BILL Duck's\"-bill`, a.  Having the form of a duck's bill. Duck's-bill limpet (Zoöl.), a limpet of the genus Parmaphorus; -- so named from its shape. DUCK'S-FOOT Duck's\"-foot`, n. (Bot.)  The May apple (Podophyllum peltatum).
duckweed |A genus (Lemna) of small plants, seen floating in great quantity on the surface of stagnant pools fresh water, and supposed to furnish food for ducks; -- called also duckmeat.
duct |1. Any tube or canal by which a fluid or other substance is conducted or conveyed. 2. (Anat.)  One of the vessels of an animal body by which the products of glandular secretion are conveyed to their destination. 3. (Bot.)  A large, elongated cell, either round or prismatic, usually found associated with woody fiber. Note: Ducts are classified, according to the character of the surface of their walls, or their structure, as annular, spiral, scalariform, etc. 4. Guidance; direction. [Obs.] Hammond.
ductible |Capable of being drawn out [R.] Feltham.
ductile |1. Easily led; tractable; complying; yielding to motives, persuasion, or instruction; as, a ductile people. Addison. Forms their ductile minds To human virtues. Philips. 2. Capable of being elongated or drawn out, as into wire or threads. Gold . . . is the softest and most ductile of all metals. Dryden. -- Duc\"tile*ly, adv. -- Duc\"tile*ness, n.
ductilimeter |An instrument for accurately determining the ductility of metals.
ductility |1. The property of a metal which allows it to be drawn into wires or filaments. 2. Tractableness; pliableness. South.
duction |Guidance. [Obs.] Feltham.
ductless |Having to duct or outlet; as, a ductless gland.
ductor |1. One who leads. [Obs.] Sir T. Browne. 2. (Mach.)  A contrivance for removing superfluous ink or coloring matter from a roller. See Doctor, 4. Knight. Ductor roller (Printing), the roller which conveys or supplies ink to another roller. Knight.
ducture |Guidance. [Obs.] South.
dudder |To confuse or confound with noise. Jennings.\n\nTo shiver or tremble; to dodder. I dudder and shake like an aspen leaf. Ford.\n\nA peddler or hawker, especially of cheap and flashy goods pretended to be smuggled; a duffer. [Eng.]
duddery |A place where rags are bought and kept for sale. [Eng.]
dude |A kind of dandy; especially, one characterized by an ultrafashionable style of dress and other affectations. [Recent] The social dude who affects English dress and English drawl. The American.
dudeen |A short tobacco pipe. [Written also dudheen.] [Irish]
dudgeon |1. The root of the box tree, of which hafts for daggers were made. Gerarde (1597). 2. The haft of a dagger. Shak. 3. A dudgeon-hafted dagger; a dagger. Hudibras.\n\nResentment; ill will; anger; displeasure. I drink it to thee in dudgeon and hostility. Sir T. Scott.\n\nHomely; rude; coarse. [Obs.] By my troth, though I am plain and dudgeon, I would not be an ass. Beau. & Fl.
dudish |Like, or characterized of, a dude.
duds |1. Old or inferior clothes; tattered garments. [Colloq.] 2. Effects, in general.[Slang]
due |1. Owed, as a debt; that ought to be paid or done to or for another; payable; owing and demandable. 2. Justly claimed as a right or property; proper; suitable; becoming; appropriate; fit. Her obedience, which is due to me. Shak. With dirges due, in sad array, Slow through the churchway path we saw him borne. Gray. 3. Such as (a thing) ought to be; fulfilling obligation; proper; lawful; regular; appointed; sufficient; exact; as, due process of law; due service; in due time. 4. Appointed or required to arrive at a given time; as, the steamer was due yesterday. 5. Owing; ascribable, as to a cause. This effect is due to the attraction of the sun. J. D. Forbes.\n\nDirectly; exactly; as, a due east course.\n\n1. That which is owed; debt; that which one contracts to pay, or do, to or for another; that which belongs or may be claimed as a right; whatever custom, law, or morality requires to be done; a fee; a toll. He will give the devil his due. Shak. Yearly little dues of wheat, and wine, and oil. Tennyson. 2. Right; just title or claim. The key of this infernal pit by due . . . I keep. Milton.\n\nTo endue. [Obs.] Shak.
duebill |A brief written acknowledgment of a debt, not made payable to order, like a promissory note. Burrill.
dueful |Fit; becoming. [Obs.] Spenser.
duel |A combat between two persons, fought with deadly weapons, by agreement. It usually arises from an injury done or an affront given by one to the other. Trial by duel (Old Law), a combat between two persons for proving a cause; trial by battel.\n\nTo fight in single combat. [Obs.]
dueler |One who engages in a duel. [R.] [Written also dueller.] South.
dueling |e act or practice of fighting in single combat. Also adj. [Written also duelling.]
duelist |One who fights in single combat. [Written also duellist.] A duelist . . . always values himself upon his courage, his sense of honor, his fidelity and friendship. Hume.
duelo |A duel; also, the rules of dueling. [Obs.] Shak.
duena |See Doña.
dueness |Quality of being due; debt; what is due or becoming. T. Goodwin.
duenna |1. The chief lady in waiting on the queen of Spain. Brande. 2. An elderly lady holding a station between a governess and companion, and appointed to have charge over the younger ladies in a Spanish or a Portuguese family. Brande & C. 3. Any old woman who is employed to guard a younger one; a governess. Arbuthnot.
duenya |See Doña.
